Date,Station,AQI
2019-11-01,site_103,657.0
2019-11-01,site_104,530.0
2019-11-01,site_105,592.0
2019-11-01,site_106,666.0
2019-11-01,site_107,621.0
2019-11-01,site_108,507.0
2019-11-01,site_109,489.0
2019-11-01,site_113,423.0
2019-11-01,site_114,459.0
2019-11-01,site_115,431.0
2019-11-01,site_116,
2019-11-01,site_117,506.0
2019-11-01,site_118,594.0
2019-11-01,site_119,669.0
2019-11-01,site_122,533.0
2019-11-01,site_124,538.0
2019-11-01,site_125,534.0
2019-11-01,site_134,139.0
2019-11-01,site_1393,114.0
2019-11-01,site_1396,137.0
2019-11-01,site_1405,
2019-11-01,site_1406,64.0
2019-11-01,site_1408,
2019-11-01,site_1410,179.0
2019-11-01,site_1420,656.0
2019-11-01,site_1421,539.0
2019-11-01,site_1422,750.0
2019-11-01,site_1423,713.0
2019-11-01,site_1424,593.0
2019-11-01,site_1425,593.0
2019-11-01,site_1426,688.0
2019-11-01,site_1427,516.0
2019-11-01,site_1428,605.0
2019-11-01,site_1429,610.0
2019-11-01,site_1430,690.0
2019-11-01,site_1431,549.0
2019-11-01,site_1432,582.0
2019-11-01,site_1434,706.0
2019-11-01,site_1435,610.0
2019-11-01,site_146,429.0
2019-11-01,site_1553,122.0
2019-11-01,site_1554,75.0
2019-11-01,site_1555,96.0
2019-11-01,site_1556,86.0
2019-11-01,site_1558,89.0
2019-11-01,site_1560,737.0
2019-11-01,site_1561,724.0
2019-11-01,site_1562,470.0
2019-11-01,site_1563,562.0
2019-11-01,site_157,359.0
2019-11-01,site_162,84.0
2019-11-01,site_163,64.0
2019-11-01,site_164,61.0
2019-11-01,site_165,109.0
2019-11-01,site_166,64.0
2019-11-01,site_168,
2019-11-01,site_199,60.0
2019-11-01,site_251,50.0
2019-11-01,site_252,63.0
2019-11-01,site_254,135.0
2019-11-01,site_256,313.0
2019-11-01,site_260,164.0
2019-11-01,site_262,40.0
2019-11-01,site_272,388.0
2019-11-01,site_275,45.0
2019-11-01,site_277,370.0
2019-11-01,site_288,55.0
2019-11-01,site_293,77.0
2019-11-01,site_294,63.0
2019-11-01,site_296,304.0
2019-11-01,site_297,411.0
2019-11-01,site_298,63.0
2019-11-01,site_301,777.0
2019-11-01,site_306,311.0
2019-11-01,site_308,132.0
2019-11-01,site_309,246.0
2019-11-01,site_5024,601.0
2019-11-01,site_5025,532.0
2019-11-01,site_5073,141.0
2019-11-01,site_5092,76.0
2019-11-01,site_5094,49.0
2019-11-01,site_5102,58.0
2019-11-01,site_5104,76.0
2019-11-01,site_5106,81.0
2019-11-01,site_5107,108.0
2019-11-01,site_5110,262.0
2019-11-01,site_5111,289.0
2019-11-01,site_5112,49.0
2019-11-01,site_5113,33.0
2019-11-01,site_5115,103.0
2019-11-01,site_5119,106.0
2019-11-01,site_5120,71.0
2019-11-01,site_5126,227.0
2019-11-01,site_5128,365.0
2019-11-01,site_5129,
2019-11-01,site_5238,146.0
2019-11-01,site_5261,
2019-11-01,site_5262,
2019-11-01,site_5263,
2019-11-01,site_5331,
2019-11-01,site_5335,
2019-11-01,site_5336,
2019-11-01,site_5344,
2019-11-01,site_5345,
2019-11-02,site_103,495.0
2019-11-02,site_104,446.0
2019-11-02,site_105,481.0
2019-11-02,site_106,450.0
2019-11-02,site_107,462.0
2019-11-02,site_108,437.0
2019-11-02,site_109,433.0
2019-11-02,site_113,373.0
2019-11-02,site_114,431.0
2019-11-02,site_115,382.0
2019-11-02,site_116,
2019-11-02,site_117,473.0
2019-11-02,site_118,453.0
2019-11-02,site_119,546.0
2019-11-02,site_122,440.0
2019-11-02,site_124,413.0
2019-11-02,site_125,448.0
2019-11-02,site_134,224.0
2019-11-02,site_1393,129.0
2019-11-02,site_1396,179.0
2019-11-02,site_1405,
2019-11-02,site_1406,49.0
2019-11-02,site_1408,
2019-11-02,site_1410,187.0
2019-11-02,site_1420,515.0
2019-11-02,site_1421,464.0
2019-11-02,site_1422,510.0
2019-11-02,site_1423,574.0
2019-11-02,site_1424,464.0
2019-11-02,site_1425,437.0
2019-11-02,site_1426,524.0
2019-11-02,site_1427,399.0
2019-11-02,site_1428,476.0
2019-11-02,site_1429,483.0
2019-11-02,site_1430,495.0
2019-11-02,site_1431,431.0
2019-11-02,site_1432,468.0
2019-11-02,site_1434,545.0
2019-11-02,site_1435,518.0
2019-11-02,site_146,382.0
2019-11-02,site_1553,52.0
2019-11-02,site_1554,82.0
2019-11-02,site_1555,68.0
2019-11-02,site_1556,88.0
2019-11-02,site_1558,67.0
2019-11-02,site_1560,457.0
2019-11-02,site_1561,484.0
2019-11-02,site_1562,439.0
2019-11-02,site_1563,457.0
2019-11-02,site_157,426.0
2019-11-02,site_162,65.0
2019-11-02,site_163,79.0
2019-11-02,site_164,63.0
2019-11-02,site_165,137.0
2019-11-02,site_166,60.0
2019-11-02,site_168,
2019-11-02,site_199,71.0
2019-11-02,site_251,57.0
2019-11-02,site_252,68.0
2019-11-02,site_254,125.0
2019-11-02,site_256,311.0
2019-11-02,site_260,136.0
2019-11-02,site_262,54.0
2019-11-02,site_272,408.0
2019-11-02,site_275,57.0
2019-11-02,site_277,455.0
2019-11-02,site_288,48.0
2019-11-02,site_293,78.0
2019-11-02,site_294,65.0
2019-11-02,site_296,249.0
2019-11-02,site_297,473.0
2019-11-02,site_298,96.0
2019-11-02,site_301,604.0
2019-11-02,site_306,191.0
2019-11-02,site_308,121.0
2019-11-02,site_309,240.0
2019-11-02,site_5024,441.0
2019-11-02,site_5025,475.0
2019-11-02,site_5073,111.0
2019-11-02,site_5092,71.0
2019-11-02,site_5094,69.0
2019-11-02,site_5102,29.0
2019-11-02,site_5104,62.0
2019-11-02,site_5106,54.0
2019-11-02,site_5107,103.0
2019-11-02,site_5110,243.0
2019-11-02,site_5111,
2019-11-02,site_5112,46.0
2019-11-02,site_5113,25.0
2019-11-02,site_5115,67.0
2019-11-02,site_5119,71.0
2019-11-02,site_5120,59.0
2019-11-02,site_5126,155.0
2019-11-02,site_5128,384.0
2019-11-02,site_5129,138.0
2019-11-02,site_5238,141.0
2019-11-02,site_5261,
2019-11-02,site_5262,
2019-11-02,site_5263,
2019-11-02,site_5331,
2019-11-02,site_5335,
2019-11-02,site_5336,
2019-11-02,site_5344,
2019-11-02,site_5345,
2019-11-03,site_103,700.0
2019-11-03,site_104,659.0
2019-11-03,site_105,653.0
2019-11-03,site_106,744.0
2019-11-03,site_107,690.0
2019-11-03,site_108,694.0
2019-11-03,site_109,623.0
2019-11-03,site_113,453.0
2019-11-03,site_114,559.0
2019-11-03,site_115,516.0
2019-11-03,site_116,
2019-11-03,site_117,631.0
2019-11-03,site_118,702.0
2019-11-03,site_119,711.0
2019-11-03,site_122,441.0
2019-11-03,site_124,628.0
2019-11-03,site_125,647.0
2019-11-03,site_134,324.0
2019-11-03,site_1393,143.0
2019-11-03,site_1396,282.0
2019-11-03,site_1405,
2019-11-03,site_1406,75.0
2019-11-03,site_1408,
2019-11-03,site_1410,147.0
2019-11-03,site_1420,730.0
2019-11-03,site_1421,654.0
2019-11-03,site_1422,747.0
2019-11-03,site_1423,674.0
2019-11-03,site_1424,689.0
2019-11-03,site_1425,635.0
2019-11-03,site_1426,686.0
2019-11-03,site_1427,679.0
2019-11-03,site_1428,668.0
2019-11-03,site_1429,703.0
2019-11-03,site_1430,653.0
2019-11-03,site_1431,590.0
2019-11-03,site_1432,682.0
2019-11-03,site_1434,746.0
2019-11-03,site_1435,638.0
2019-11-03,site_146,485.0
2019-11-03,site_1553,112.0
2019-11-03,site_1554,104.0
2019-11-03,site_1555,82.0
2019-11-03,site_1556,104.0
2019-11-03,site_1558,78.0
2019-11-03,site_1560,712.0
2019-11-03,site_1561,795.0
2019-11-03,site_1562,629.0
2019-11-03,site_1563,673.0
2019-11-03,site_157,419.0
2019-11-03,site_162,90.0
2019-11-03,site_163,85.0
2019-11-03,site_164,99.0
2019-11-03,site_165,
2019-11-03,site_166,52.0
2019-11-03,site_168,121.0
2019-11-03,site_199,95.0
2019-11-03,site_251,86.0
2019-11-03,site_252,60.0
2019-11-03,site_254,143.0
2019-11-03,site_256,305.0
2019-11-03,site_260,286.0
2019-11-03,site_262,67.0
2019-11-03,site_272,378.0
2019-11-03,site_275,94.0
2019-11-03,site_277,428.0
2019-11-03,site_288,90.0
2019-11-03,site_293,97.0
2019-11-03,site_294,70.0
2019-11-03,site_296,159.0
2019-11-03,site_297,462.0
2019-11-03,site_298,98.0
2019-11-03,site_301,717.0
2019-11-03,site_306,
2019-11-03,site_308,120.0
2019-11-03,site_309,117.0
2019-11-03,site_5024,680.0
2019-11-03,site_5025,737.0
2019-11-03,site_5073,116.0
2019-11-03,site_5092,
2019-11-03,site_5094,86.0
2019-11-03,site_5102,53.0
2019-11-03,site_5104,97.0
2019-11-03,site_5106,69.0
2019-11-03,site_5107,107.0
2019-11-03,site_5110,165.0
2019-11-03,site_5111,141.0
2019-11-03,site_5112,49.0
2019-11-03,site_5113,28.0
2019-11-03,site_5115,62.0
2019-11-03,site_5119,85.0
2019-11-03,site_5120,62.0
2019-11-03,site_5126,112.0
2019-11-03,site_5128,452.0
2019-11-03,site_5129,123.0
2019-11-03,site_5238,148.0
2019-11-03,site_5261,
2019-11-03,site_5262,
2019-11-03,site_5263,
2019-11-03,site_5331,
2019-11-03,site_5335,
2019-11-03,site_5336,
2019-11-03,site_5344,
2019-11-03,site_5345,
2019-11-04,site_103,483.0
2019-11-04,site_104,563.0
2019-11-04,site_105,574.0
2019-11-04,site_106,467.0
2019-11-04,site_107,464.0
2019-11-04,site_108,497.0
2019-11-04,site_109,443.0
2019-11-04,site_113,400.0
2019-11-04,site_114,559.0
2019-11-04,site_115,420.0
2019-11-04,site_116,
2019-11-04,site_117,499.0
2019-11-04,site_118,567.0
2019-11-04,site_119,495.0
2019-11-04,site_122,401.0
2019-11-04,site_124,440.0
2019-11-04,site_125,541.0
2019-11-04,site_134,264.0
2019-11-04,site_1393,126.0
2019-11-04,site_1396,172.0
2019-11-04,site_1405,
2019-11-04,site_1406,95.0
2019-11-04,site_1408,
2019-11-04,site_1410,239.0
2019-11-04,site_1420,608.0
2019-11-04,site_1421,514.0
