Datetime,CO (mg/m3),NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,2.92,158.0,17.01,101.73,243.76,178.89
2019-10-31 02:00:00,0.52,70.41,18.86,96.67,236.66,
2019-10-31 03:00:00,0.18,38.26,23.63,68.82,200.88,157.92
2019-10-31 04:00:00,0.18,43.21,25.05,45.81,168.1,162.27
2019-10-31 05:00:00,0.18,83.4,23.84,44.98,132.16,53.24
2019-10-31 06:00:00,0.18,77.69,22.97,32.65,101.09,2.1
2019-10-31 07:00:00,0.29,79.82,18.51,29.25,84.82,134.88
2019-10-31 08:00:00,0.58,78.7,21.67,31.52,84.19,123.41
2019-10-31 09:00:00,0.87,57.55,38.65,44.78,95.32,188.12
2019-10-31 10:00:00,1.02,72.78,52.22,56.3,108.29,
2019-10-31 11:00:00,1.05,63.85,64.91,44.39,118.78,172.36
2019-10-31 12:00:00,1.07,49.44,71.01,43.22,111.87,184.04
2019-10-31 13:00:00,0.85,44.14,86.02,33.56,102.5,131.38
2019-10-31 14:00:00,0.85,32.09,110.71,32.79,91.92,3.52
2019-10-31 15:00:00,0.78,25.11,115.56,39.94,83.06,140.22
2019-10-31 16:00:00,0.71,22.46,124.36,33.99,81.47,124.03
2019-10-31 17:00:00,0.84,23.86,113.37,29.57,74.68,151.53
2019-10-31 18:00:00,1.28,37.73,103.78,28.54,74.69,
2019-10-31 19:00:00,2.17,95.07,68.74,40.06,82.48,149.67
2019-10-31 20:00:00,4.13,151.24,27.8,60.53,112.42,181.97
2019-10-31 21:00:00,2.44,134.36,27.3,66.19,161.59,158.71
2019-10-31 22:00:00,3.75,161.06,26.68,87.76,210.06,35.93
2019-10-31 23:00:00,5.05,188.98,20.04,108.41,257.82,134.18
2019-11-01 00:00:00,3.73,147.28,18.87,125.9,303.25,127.82
2019-11-01 01:00:00,0.18,78.86,21.83,119.27,282.94,135.25
2019-11-01 02:00:00,0.18,50.37,23.04,84.44,213.38,177.53
2019-11-01 03:00:00,0.18,40.03,22.17,66.69,187.17,170.68
2019-11-01 04:00:00,0.18,40.88,18.69,64.62,150.78,186.19
2019-11-01 05:00:00,0.5,30.94,23.1,63.16,116.35,146.73
2019-11-01 06:00:00,0.35,30.61,25.57,58.86,109.24,67.94
2019-11-01 07:00:00,0.35,36.58,24.9,49.52,106.94,113.33
2019-11-01 08:00:00,0.52,42.23,27.11,50.92,105.91,87.67
2019-11-01 09:00:00,0.81,49.67,31.12,65.97,116.08,149.05
2019-11-01 10:00:00,1.02,55.82,39.45,71.25,122.59,152.29
2019-11-01 11:00:00,1.12,68.42,51.64,57.72,133.56,162.27
2019-11-01 12:00:00,0.99,60.83,69.97,47.25,125.17,181.75
2019-11-01 13:00:00,0.9,71.05,75.01,33.77,115.99,141.32
2019-11-01 14:00:00,0.85,83.59,79.97,41.28,110.8,117.97
2019-11-01 15:00:00,0.83,56.73,90.71,50.22,102.89,96.87
2019-11-01 16:00:00,0.87,56.92,95.98,49.64,104.55,40.13
2019-11-01 17:00:00,0.82,49.87,100.16,41.32,100.54,141.6
2019-11-01 18:00:00,1.09,42.76,98.85,41.83,104.9,149.63
2019-11-01 19:00:00,1.77,62.66,67.54,44.73,108.99,178.57
2019-11-01 20:00:00,2.67,111.47,32.68,53.5,122.29,
2019-11-01 21:00:00,1.99,97.47,30.26,65.83,168.97,170.61
2019-11-01 22:00:00,2.02,110.87,25.86,81.75,187.76,183.05
2019-11-01 23:00:00,1.91,111.71,22.41,86.54,200.15,69.83
2019-11-02 00:00:00,1.19,72.4,28.08,93.36,212.76,2.19
2019-11-02 01:00:00,0.53,53.52,39.37,91.36,200.08,130.09
2019-11-02 02:00:00,0.34,36.27,48.63,75.62,174.73,118.63
2019-11-02 03:00:00,0.39,31.4,44.39,69.74,156.99,186.47
2019-11-02 04:00:00,0.45,34.75,44.18,56.48,136.04,
2019-11-02 05:00:00,0.94,79.3,30.18,52.87,114.6,152.66
2019-11-02 06:00:00,1.0,92.63,25.08,48.66,109.3,162.64
2019-11-02 07:00:00,0.98,63.26,24.91,42.55,106.81,82.32
2019-11-02 08:00:00,1.07,61.09,24.9,50.41,112.85,2.1
2019-11-02 09:00:00,0.92,56.47,30.66,47.81,119.48,154.65
2019-11-02 10:00:00,1.3,55.17,36.0,53.44,117.06,142.44
2019-11-02 11:00:00,1.17,44.39,44.42,46.8,116.19,167.0
2019-11-02 12:00:00,1.21,43.63,45.91,29.65,101.12,
2019-11-02 13:00:00,0.7,51.59,55.9,19.36,85.56,155.39
2019-11-02 14:00:00,0.82,49.48,65.33,11.6,78.57,180.71
2019-11-02 15:00:00,0.79,42.43,64.65,12.13,86.08,156.9
2019-11-02 16:00:00,0.78,38.59,59.77,13.73,88.98,10.39
2019-11-02 17:00:00,1.04,51.46,50.74,22.46,76.64,148.87
2019-11-02 18:00:00,1.53,86.13,36.75,27.41,71.98,137.6
2019-11-02 19:00:00,1.67,72.57,36.97,21.26,83.28,156.15
2019-11-02 20:00:00,1.65,52.04,33.31,30.37,87.53,
2019-11-02 21:00:00,1.15,50.33,28.08,41.0,86.59,159.28
2019-11-02 22:00:00,1.36,53.96,25.23,29.68,81.55,168.03
2019-11-02 23:00:00,1.24,52.6,24.97,26.67,82.72,148.27
2019-11-03 00:00:00,0.98,50.06,24.87,30.59,78.79,38.0
2019-11-03 01:00:00,0.56,38.69,27.12,32.42,76.16,139.29
2019-11-03 02:00:00,0.51,40.68,26.7,29.51,78.69,126.87
2019-11-03 03:00:00,0.66,51.31,19.7,31.68,85.23,143.72
2019-11-03 04:00:00,0.65,43.47,21.69,32.86,91.68,166.08
2019-11-03 05:00:00,0.64,34.51,20.98,29.68,81.92,159.49
2019-11-03 06:00:00,0.83,27.2,20.87,28.55,65.69,169.14
2019-11-03 07:00:00,1.02,32.28,19.45,20.93,54.12,149.47
2019-11-03 08:00:00,1.07,38.06,20.45,20.97,55.42,83.64
