Datetime,NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3)
2019-10-31 01:00:00,7.7,9.4,0.47,18.22,24.75,11.25,6.03
2019-10-31 02:00:00,6.97,11.7,0.46,18.02,26.75,7.0,6.6
2019-10-31 03:00:00,6.03,10.95,0.43,18.15,24.5,10.0,6.35
2019-10-31 04:00:00,5.33,10.8,0.4,31.58,21.5,9.5,6.1
2019-10-31 05:00:00,5.15,11.18,0.45,20.95,27.25,7.75,6.2
2019-10-31 06:00:00,6.0,12.0,0.48,19.18,30.0,8.5,6.35
2019-10-31 07:00:00,9.35,10.35,0.58,16.38,27.0,12.25,6.4
2019-10-31 08:00:00,10.28,11.0,0.58,19.55,27.25,11.75,6.3
2019-10-31 09:00:00,8.68,12.98,0.55,28.15,28.25,14.25,6.67
2019-10-31 10:00:00,8.43,12.32,0.62,42.7,30.0,8.0,6.4
2019-10-31 11:00:00,8.95,12.85,0.64,46.88,31.0,13.0,6.78
2019-10-31 12:00:00,6.45,11.68,0.45,43.53,24.0,10.25,6.85
2019-10-31 13:00:00,6.78,11.65,0.53,43.25,21.25,10.5,6.45
2019-10-31 14:00:00,10.07,8.55,0.62,36.77,21.5,10.0,6.4
2019-10-31 15:00:00,11.32,10.53,0.56,34.85,20.0,13.0,7.03
2019-10-31 16:00:00,12.3,10.9,0.49,32.8,13.0,6.0,6.12
2019-10-31 17:00:00,9.93,9.35,0.55,33.55,10.5,4.5,6.08
2019-10-31 18:00:00,10.7,10.55,0.64,32.23,9.25,2.5,6.95
2019-10-31 19:00:00,28.57,10.82,1.01,19.25,18.75,2.75,6.17
2019-10-31 20:00:00,40.88,13.28,1.26,10.95,42.5,13.25,6.85
2019-10-31 21:00:00,36.17,12.85,1.31,9.8,62.0,30.75,6.22
2019-10-31 22:00:00,29.85,13.57,1.0,9.6,59.0,31.25,6.83
2019-10-31 23:00:00,21.2,12.43,0.77,9.6,45.75,17.25,5.9
2019-11-01 00:00:00,13.6,11.6,0.73,10.25,33.0,18.0,6.35
2019-11-01 01:00:00,11.27,10.62,0.63,10.45,42.0,19.0,6.18
2019-11-01 02:00:00,11.98,9.88,0.61,8.1,41.25,13.5,6.35
2019-11-01 03:00:00,14.45,10.97,0.59,7.1,39.0,15.25,6.15
2019-11-01 04:00:00,14.02,10.25,0.62,15.95,38.0,14.25,6.12
2019-11-01 05:00:00,13.85,9.7,0.62,7.28,32.5,9.5,5.95
2019-11-01 06:00:00,12.3,11.05,0.63,8.15,27.5,11.0,6.25
2019-11-01 07:00:00,14.6,12.93,0.59,8.55,34.25,11.75,6.27
2019-11-01 08:00:00,13.43,13.95,0.59,17.27,31.75,13.0,6.35
2019-11-01 09:00:00,8.45,12.85,0.51,27.88,28.75,9.0,6.53
2019-11-01 10:00:00,6.85,13.82,0.53,37.58,23.5,6.5,6.3
2019-11-01 11:00:00,10.5,14.4,0.6,56.73,27.75,8.75,6.2
2019-11-01 12:00:00,8.45,13.82,0.6,78.25,31.5,13.25,6.0
2019-11-01 13:00:00,18.77,14.8,0.6,81.62,43.5,18.0,10.8
2019-11-01 14:00:00,8.12,17.4,0.54,81.55,39.0,12.0,7.53
2019-11-01 15:00:00,9.35,14.33,0.48,64.25,35.25,14.75,6.05
2019-11-01 16:00:00,7.73,8.73,0.42,51.6,29.75,12.75,10.43
2019-11-01 17:00:00,7.67,14.68,0.55,51.6,20.0,9.0,6.38
2019-11-01 18:00:00,14.9,14.5,0.57,29.4,36.0,11.0,5.6
2019-11-01 19:00:00,12.1,12.68,0.53,27.42,34.0,10.5,5.97
