Datetime,PM2.5 (ug/m3),PM10 (ug/m3),SO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,229.09,387.67,8.37,27.74,12.76,0.76,6.31
2019-10-31 02:00:00,214.89,352.07,8.88,26.9,13.12,0.58,8.57
2019-10-31 03:00:00,189.89,298.5,9.15,27.39,12.97,0.51,5.08
2019-10-31 04:00:00,175.99,275.04,9.47,27.61,12.89,0.47,3.84
2019-10-31 05:00:00,177.41,272.49,9.44,28.11,12.68,0.45,3.38
2019-10-31 06:00:00,160.31,253.06,9.15,28.26,12.52,0.42,4.36
2019-10-31 07:00:00,182.86,228.1,9.18,27.81,12.74,0.35,4.62
2019-10-31 08:00:00,170.13,226.08,10.33,25.84,13.69,0.29,5.69
2019-10-31 09:00:00,144.76,198.56,15.36,26.77,13.23,0.25,11.32
2019-10-31 10:00:00,121.63,189.06,18.28,27.7,12.76,0.24,14.87
2019-10-31 11:00:00,104.53,178.71,14.09,26.23,13.54,0.22,19.34
2019-10-31 12:00:00,114.39,207.4,12.15,26.3,13.36,0.22,27.62
2019-10-31 13:00:00,124.07,223.18,11.31,25.3,13.92,0.15,39.35
2019-10-31 14:00:00,105.89,206.25,11.11,26.85,13.2,0.06,44.3
2019-10-31 15:00:00,74.17,154.34,11.61,26.52,13.3,0.01,42.3
2019-10-31 16:00:00,79.78,141.38,8.19,27.12,13.12,0.0,38.6
2019-10-31 17:00:00,81.69,136.75,7.78,27.07,12.99,0.01,31.8
2019-10-31 18:00:00,75.43,135.49,8.2,27.74,12.83,0.01,23.25
2019-10-31 19:00:00,93.72,157.92,7.95,27.59,12.86,0.04,16.09
2019-10-31 20:00:00,110.57,184.87,9.65,20.29,13.07,0.07,12.66
2019-10-31 21:00:00,121.97,209.41,12.52,27.3,12.98,0.16,6.87
2019-10-31 22:00:00,136.73,216.2,14.2,26.94,13.08,0.28,5.2
2019-10-31 23:00:00,143.94,231.22,14.38,26.14,13.47,0.43,4.25
2019-11-01 00:00:00,159.72,250.3,14.24,27.34,12.97,0.55,3.0
2019-11-01 01:00:00,179.51,282.73,14.91,25.94,13.54,0.8,2.92
2019-11-01 02:00:00,172.23,264.54,13.46,27.38,12.84,0.76,3.17
2019-11-01 03:00:00,155.87,234.52,12.46,29.28,12.01,0.64,5.92
2019-11-01 04:00:00,152.04,207.43,11.41,28.67,12.38,0.52,6.26
2019-11-01 05:00:00,137.63,194.99,10.97,28.33,12.5,0.45,6.5
2019-11-01 06:00:00,150.95,206.49,10.82,28.77,12.19,0.45,4.76
2019-11-01 07:00:00,165.06,225.22,11.64,27.47,12.87,0.44,3.83
2019-11-01 08:00:00,173.95,255.62,12.82,26.09,13.49,0.42,6.61
2019-11-01 09:00:00,158.05,261.16,20.84,28.45,12.66,0.4,11.06
2019-11-01 10:00:00,154.78,255.74,26.93,26.95,14.12,0.36,15.11
2019-11-01 11:00:00,150.97,259.02,44.12,27.7,12.53,0.3,21.9
2019-11-01 12:00:00,143.99,240.81,39.88,28.73,12.38,0.21,29.68
2019-11-01 13:00:00,127.77,214.54,21.28,26.26,13.19,0.18,33.85
2019-11-01 14:00:00,111.58,190.64,14.42,26.2,13.5,0.18,34.69
2019-11-01 15:00:00,95.97,169.56,16.3,28.63,12.31,0.18,43.32
2019-11-01 16:00:00,111.84,191.02,14.49,28.21,12.58,0.19,38.97
2019-11-01 17:00:00,129.58,188.57,14.35,27.71,12.98,0.16,31.26
2019-11-01 18:00:00,161.33,227.59,44.18,27.24,12.92,0.19,19.3
2019-11-01 19:00:00,171.25,249.1,27.73,29.09,12.04,0.21,18.89
2019-11-01 20:00:00,177.33,253.63,20.28,27.25,12.95,0.26,7.02
2019-11-01 21:00:00,187.97,289.95,15.85,26.14,13.38,0.31,4.79
2019-11-01 22:00:00,194.71,274.49,14.67,28.81,12.03,0.35,7.71
2019-11-01 23:00:00,183.78,259.08,14.31,26.61,13.2,0.34,8.63
2019-11-02 00:00:00,189.15,264.7,11.31,27.56,12.88,0.32,7.96
2019-11-02 01:00:00,196.67,272.12,13.36,27.72,12.8,0.79,7.67
2019-11-02 02:00:00,199.69,270.39,13.16,25.5,13.56,0.74,9.26
2019-11-02 03:00:00,171.8,236.56,12.5,27.29,12.75,0.73,7.65
2019-11-02 04:00:00,145.69,206.82,12.56,25.63,14.01,0.69,8.91
2019-11-02 05:00:00,138.48,187.3,11.9,26.26,13.09,0.69,7.4
2019-11-02 06:00:00,137.53,190.65,11.12,27.4,12.96,0.63,8.86
2019-11-02 07:00:00,132.98,185.33,9.86,26.72,13.33,0.56,9.09
2019-11-02 08:00:00,132.86,189.65,9.67,26.76,13.17,0.52,7.95
2019-11-02 09:00:00,101.62,160.52,10.84,27.67,12.61,0.47,9.11
2019-11-02 10:00:00,81.05,135.35,12.25,26.92,13.09,0.47,6.47
2019-11-02 11:00:00,63.0,115.87,11.91,29.45,11.94,0.48,9.9
2019-11-02 12:00:00,58.91,112.84,13.1,29.86,11.83,0.47,13.09
2019-11-02 13:00:00,61.54,131.95,11.13,27.4,13.09,0.44,21.95
2019-11-02 14:00:00,60.57,123.75,9.82,28.93,12.17,0.39,23.08
2019-11-02 15:00:00,54.93,120.5,9.31,27.23,13.1,0.34,23.23
2019-11-02 16:00:00,42.64,110.07,7.73,29.42,12.14,0.31,20.61
2019-11-02 17:00:00,46.22,106.68,7.34,25.85,13.93,0.33,16.39
2019-11-02 18:00:00,53.51,118.05,6.89,28.07,12.38,0.35,12.21
2019-11-02 19:00:00,75.33,144.93,6.57,24.45,14.37,0.39,8.0
2019-11-02 20:00:00,109.22,185.6,6.63,27.85,12.64,0.41,11.64
2019-11-02 21:00:00,123.38,247.56,6.92,28.86,12.33,0.49,10.68
2019-11-02 22:00:00,131.42,252.07,7.19,27.25,12.89,0.67,6.22
2019-11-02 23:00:00,154.68,297.5,8.36,23.74,14.17,0.81,4.99
2019-11-03 00:00:00,162.16,306.12,9.6,25.11,14.24,0.86,3.85
2019-11-03 01:00:00,211.95,376.2,8.36,27.37,12.89,0.8,3.63
2019-11-03 02:00:00,201.75,367.2,8.75,27.09,13.03,0.74,4.44
2019-11-03 03:00:00,197.45,353.63,8.81,25.39,13.97,0.61,9.16
2019-11-03 04:00:00,182.51,311.72,8.74,27.78,12.77,0.47,9.51
2019-11-03 05:00:00,159.65,274.61,8.84,30.29,11.88,0.41,10.35
2019-11-03 06:00:00,156.83,282.23,9.2,27.42,12.92,0.35,7.54
2019-11-03 07:00:00,164.03,275.06,9.52,25.59,13.68,0.36,5.03
2019-11-03 08:00:00,161.13,271.3,10.04,24.88,14.01,0.34,6.22
2019-11-03 09:00:00,157.97,286.93,14.23,26.79,13.39,0.33,6.68
2019-11-03 10:00:00,175.4,319.47,12.62,29.62,12.09,0.34,11.55
2019-11-03 11:00:00,177.6,391.36,16.74,27.85,12.84,0.32,15.28
2019-11-03 12:00:00,182.66,393.37,23.34,26.75,12.96,0.27,24.34
2019-11-03 13:00:00,146.25,344.83,14.44,29.8,11.96,0.26,28.84
2019-11-03 14:00:00,110.61,281.88,11.53,27.69,13.26,0.24,29.73
2019-11-03 15:00:00,108.08,291.14,9.38,28.87,12.15,0.19,32.33
2019-11-03 16:00:00,116.11,267.64,6.89,23.34,14.81,0.17,34.13
2019-11-03 17:00:00,124.45,254.44,6.29,26.47,13.19,0.15,30.41
2019-11-03 18:00:00,123.58,276.01,6.15,28.06,14.09,0.13,22.04
2019-11-03 19:00:00,142.91,281.4,6.53,29.57,11.78,0.12,12.43
2019-11-03 20:00:00,163.88,326.38,6.65,25.07,15.34,0.16,9.66
2019-11-03 21:00:00,152.75,286.04,5.98,23.09,15.36,0.15,9.52
2019-11-03 22:00:00,140.69,265.09,5.82,27.66,12.77,0.19,9.32
2019-11-03 23:00:00,119.42,245.53,5.6,27.6,12.92,0.16,12.21
2019-11-04 00:00:00,104.1,240.38,4.62,30.38,11.87,0.11,15.83
2019-11-04 01:00:00,103.62,221.19,7.05,26.99,13.11,0.79,16.03
2019-11-04 02:00:00,104.31,226.57,7.39,29.3,11.89,0.74,16.2
2019-11-04 03:00:00,104.79,207.15,13.6,28.35,12.28,0.78,10.35
2019-11-04 04:00:00,110.71,221.12,17.09,29.77,11.77,0.78,10.6
2019-11-04 05:00:00,97.6,212.43,13.55,27.65,12.57,0.75,8.75
2019-11-04 06:00:00,93.2,195.62,13.42,24.99,13.82,0.76,12.06
2019-11-04 07:00:00,94.66,209.8,12.27,30.51,11.73,0.72,12.32
2019-11-04 08:00:00,98.66,206.79,20.66,26.64,13.38,0.69,10.79
2019-11-04 09:00:00,97.17,228.52,20.1,28.23,12.49,0.71,12.07
2019-11-04 10:00:00,94.29,244.46,15.5,28.42,12.59,0.75,14.32
2019-11-04 11:00:00,102.76,255.34,14.05,31.47,11.1,0.75,21.12
2019-11-04 12:00:00,,,,,,,
2019-11-04 13:00:00,,,,,,,
2019-11-04 14:00:00,,,,,,,
2019-11-04 15:00:00,,,,,,,
2019-11-04 16:00:00,,,,0.0,,0.0,
2019-11-04 17:00:00,,1.89,8.17,0.0,,0.7,17.95
2019-11-04 18:00:00,51.28,115.78,12.87,,,0.81,17.39
2019-11-04 19:00:00,90.62,178.41,13.31,,,0.77,11.01
2019-11-04 20:00:00,114.53,221.01,14.6,,,0.8,8.42
2019-11-04 21:00:00,133.59,241.25,12.93,,,0.86,9.88
2019-11-04 22:00:00,143.06,256.72,11.92,,,0.93,7.02
2019-11-04 23:00:00,136.75,257.59,13.28,,,0.92,9.63
2019-11-05 00:00:00,141.76,279.23,16.77,,,0.94,5.05
2019-11-05 01:00:00,148.81,299.17,15.41,,,0.8,6.6
2019-11-05 02:00:00,143.25,278.64,16.16,,,0.75,10.42
2019-11-05 03:00:00,129.41,234.89,14.16,,,0.72,14.28
2019-11-05 04:00:00,115.28,200.62,12.52,,,0.64,13.54
2019-11-05 05:00:00,103.4,185.83,10.99,,,0.58,12.61
2019-11-05 06:00:00,101.17,177.69,9.86,,,0.54,13.0
2019-11-05 07:00:00,100.81,187.42,9.37,,,0.55,6.9
2019-11-05 08:00:00,113.7,210.57,9.8,,,0.55,7.62
2019-11-05 09:00:00,124.16,232.01,14.7,,,0.55,10.59
2019-11-05 10:00:00,122.55,239.89,14.49,29.1,26.52,0.56,18.38
2019-11-05 11:00:00,109.55,234.06,11.64,71.71,22.66,0.37,26.54
2019-11-05 12:00:00,71.73,162.22,8.9,49.25,28.12,0.27,32.45
2019-11-05 13:00:00,49.37,102.02,7.31,48.66,18.37,0.22,33.93
2019-11-05 14:00:00,39.45,77.87,6.27,52.89,17.68,0.25,32.63
2019-11-05 15:00:00,36.75,78.64,6.3,75.98,19.34,0.24,34.35
2019-11-05 16:00:00,41.95,95.12,6.44,50.44,19.35,0.27,36.59
2019-11-05 17:00:00,49.78,99.0,6.35,60.14,27.4,0.26,31.17
2019-11-05 18:00:00,58.97,104.71,7.17,68.71,34.27,0.35,13.39
2019-11-05 19:00:00,79.3,143.06,8.59,67.28,36.91,0.59,4.46
2019-11-05 20:00:00,103.05,202.12,10.08,53.74,43.57,0.78,6.59
2019-11-05 21:00:00,115.02,216.71,9.74,37.15,23.84,0.72,6.71
