Datetime,SO2 (ug/m3),NH3 (ug/m3),NOx (ppb),CO (ug/m3),Ozone (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3)
2019-10-31 01:00:00,3.17,12.1,17.48,0.24,28.53,15.0,21.0
2019-10-31 02:00:00,3.62,12.25,14.5,0.2,35.48,13.0,19.0
2019-10-31 03:00:00,3.25,11.57,9.68,0.16,45.94,13.0,16.0
2019-10-31 04:00:00,3.25,11.12,11.22,0.17,48.98,11.0,12.0
2019-10-31 05:00:00,3.45,11.6,9.85,0.16,45.35,16.0,17.0
2019-10-31 06:00:00,3.15,11.1,11.48,0.2,44.95,14.0,20.0
2019-10-31 07:00:00,3.12,13.25,23.0,0.42,30.25,12.0,18.0
2019-10-31 08:00:00,3.15,13.38,21.7,0.52,27.69,20.0,27.0
2019-10-31 09:00:00,3.25,12.78,23.45,0.52,30.69,23.0,31.0
2019-10-31 10:00:00,3.35,12.4,22.62,0.53,38.45,23.0,42.0
2019-10-31 11:00:00,3.35,12.03,21.53,0.51,43.93,19.0,39.0
2019-10-31 12:00:00,3.47,11.32,18.15,0.38,50.95,18.0,47.0
2019-10-31 13:00:00,3.3,12.25,16.83,0.39,67.26,16.0,38.0
2019-10-31 14:00:00,3.05,12.58,10.8,0.23,86.92,15.0,40.0
2019-10-31 15:00:00,2.95,12.8,14.18,0.26,72.66,17.0,38.0
2019-10-31 16:00:00,2.92,14.4,18.25,0.36,70.78,17.0,48.0
2019-10-31 17:00:00,2.7,15.38,14.3,0.38,66.99,15.0,50.0
2019-10-31 18:00:00,2.8,14.15,15.15,0.17,65.72,21.0,46.0
2019-10-31 19:00:00,2.9,13.88,19.3,0.25,44.6,16.0,47.0
2019-10-31 20:00:00,2.9,13.07,22.92,0.57,51.22,16.0,49.0
2019-10-31 21:00:00,3.0,12.03,18.3,0.53,67.81,18.0,55.0
2019-10-31 22:00:00,3.02,12.05,21.75,0.67,31.41,20.0,52.0
2019-10-31 23:00:00,3.17,11.88,20.38,0.56,38.94,21.0,48.0
2019-11-01 00:00:00,3.08,12.07,16.95,0.45,44.17,19.0,40.0
2019-11-01 01:00:00,2.98,10.85,11.18,0.3,72.47,19.0,40.0
2019-11-01 02:00:00,2.95,10.4,10.28,0.23,68.3,15.0,19.0
2019-11-01 03:00:00,3.08,10.18,9.57,0.26,72.75,11.0,24.0
2019-11-01 04:00:00,2.95,9.95,9.55,0.37,78.23,13.0,19.0
2019-11-01 05:00:00,3.03,9.4,22.45,0.57,26.12,23.0,35.0
2019-11-01 06:00:00,3.2,11.5,49.2,0.85,9.7,30.0,64.0
2019-11-01 07:00:00,3.18,17.45,62.25,1.38,7.24,38.0,111.0
2019-11-01 08:00:00,3.15,14.2,42.33,1.2,44.45,44.0,91.0
2019-11-01 09:00:00,3.25,11.38,22.55,0.72,72.22,48.0,84.0
2019-11-01 10:00:00,3.05,9.43,15.55,0.23,83.59,31.0,56.0
2019-11-01 11:00:00,3.08,10.05,13.57,0.25,92.18,18.0,31.0
2019-11-01 12:00:00,3.15,10.65,16.45,0.42,108.0,13.0,25.0
2019-11-01 13:00:00,3.12,11.02,15.05,0.37,128.03,14.0,39.0
2019-11-01 14:00:00,2.7,11.75,13.7,0.4,152.15,20.0,42.0
2019-11-01 15:00:00,2.75,13.4,18.9,0.53,131.22,23.0,49.0
2019-11-01 16:00:00,2.6,16.0,18.12,0.46,124.05,21.5,70.75
2019-11-01 17:00:00,2.5,15.95,20.95,0.42,108.48,23.0,70.0
2019-11-01 18:00:00,,,,,,,
2019-11-01 19:00:00,,,,,,,
2019-11-01 20:00:00,,,,,,,
2019-11-01 21:00:00,,,,,,,
2019-11-01 22:00:00,,,,,,,
2019-11-01 23:00:00,,,,,,,
2019-11-02 00:00:00,,,,,,,
2019-11-02 01:00:00,,,,,,,
2019-11-02 02:00:00,,,,,,,
2019-11-02 03:00:00,,,,,,,
2019-11-02 04:00:00,,,,,,,
2019-11-02 05:00:00,,,,,,,
2019-11-02 06:00:00,,,,,,,
2019-11-02 07:00:00,,,,,,,
2019-11-02 08:00:00,,,,,,,
2019-11-02 09:00:00,,,,,,,
2019-11-02 10:00:00,,,,,,,
2019-11-02 11:00:00,,,,,,,
2019-11-02 12:00:00,,,,,,,
2019-11-02 13:00:00,,,,,,,
2019-11-02 14:00:00,2.55,18.2,33.2,0.63,51.64,17.5,59.5
2019-11-02 15:00:00,2.6,16.73,29.35,0.55,60.65,18.0,67.0
2019-11-02 16:00:00,2.33,17.25,27.12,0.46,63.75,19.75,59.75
2019-11-02 17:00:00,1.92,19.05,22.67,0.32,71.33,16.75,50.0
2019-11-02 18:00:00,2.0,22.1,31.95,0.58,52.13,20.75,63.25
2019-11-02 19:00:00,2.0,20.57,37.33,0.85,24.38,25.5,76.5
2019-11-02 20:00:00,2.22,24.1,73.72,2.03,4.23,28.75,94.0
2019-11-02 21:00:00,2.42,24.38,63.78,1.45,4.62,42.5,137.75
2019-11-02 22:00:00,2.45,22.07,81.28,1.93,4.25,43.5,132.0
2019-11-02 23:00:00,2.6,25.6,86.55,1.96,3.28,49.75,150.25
2019-11-03 00:00:00,2.55,25.8,68.22,1.08,3.54,44.0,132.5
2019-11-03 01:00:00,2.72,21.92,38.25,0.53,14.23,35.75,97.75
2019-11-03 02:00:00,3.05,19.45,26.02,0.34,25.82,29.0,74.25
2019-11-03 03:00:00,2.92,20.05,22.38,0.17,30.49,29.25,60.5
2019-11-03 04:00:00,2.98,19.82,22.17,0.14,36.89,31.0,60.25
2019-11-03 05:00:00,2.98,21.05,24.7,0.21,23.69,35.75,58.5
