Datetime,NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3)
2019-10-31 01:00:00,10.62,5.57,0.45,14.56,20.75,39.0
2019-10-31 02:00:00,10.88,5.45,0.34,17.62,16.0,24.75
2019-10-31 03:00:00,10.68,5.53,0.27,21.52,12.25,17.5
2019-10-31 04:00:00,10.7,5.6,0.22,19.35,10.0,16.0
2019-10-31 05:00:00,10.68,5.47,0.21,22.12,,
2019-10-31 06:00:00,10.9,5.33,0.31,17.19,,
2019-10-31 07:00:00,11.25,5.2,0.54,11.89,18.0,39.0
2019-10-31 08:00:00,11.6,6.1,0.83,10.23,20.5,46.0
2019-10-31 09:00:00,11.6,5.57,1.03,12.38,28.5,63.5
2019-10-31 10:00:00,10.7,5.57,1.11,15.8,27.5,53.25
2019-10-31 11:00:00,11.55,5.55,0.88,21.9,20.75,51.5
2019-10-31 12:00:00,10.22,5.6,0.81,23.4,22.75,42.25
2019-10-31 13:00:00,9.88,5.62,0.81,24.23,21.25,44.25
2019-10-31 14:00:00,10.67,5.57,0.88,23.18,19.0,64.5
2019-10-31 15:00:00,9.48,5.67,1.13,19.18,18.75,60.75
2019-10-31 16:00:00,11.65,5.9,0.9,28.79,19.5,61.75
2019-10-31 17:00:00,10.72,5.78,0.65,23.66,22.75,55.75
2019-10-31 18:00:00,10.18,5.67,0.99,14.89,21.0,57.25
2019-10-31 19:00:00,10.32,5.25,1.43,7.33,27.0,85.5
2019-10-31 20:00:00,10.77,5.25,1.77,4.0,28.75,94.25
2019-10-31 21:00:00,10.93,5.47,1.15,8.89,33.0,87.75
2019-10-31 22:00:00,11.25,5.53,0.72,16.56,26.75,72.5
2019-10-31 23:00:00,10.27,5.45,0.38,26.69,16.25,34.25
2019-11-01 00:00:00,9.88,5.43,0.28,32.14,14.0,23.0
2019-11-01 01:00:00,9.27,5.4,0.51,31.91,9.0,16.0
2019-11-01 02:00:00,9.4,5.3,0.48,34.12,,
2019-11-01 03:00:00,9.62,4.93,0.47,33.79,,
2019-11-01 04:00:00,9.82,4.92,0.53,32.38,16.0,17.0
2019-11-01 05:00:00,10.7,5.12,0.38,14.48,15.5,20.25
2019-11-01 06:00:00,10.1,5.12,0.79,6.14,14.0,30.5
2019-11-01 07:00:00,10.4,5.1,1.11,5.53,16.75,40.25
2019-11-01 08:00:00,8.93,5.95,1.53,8.1,28.75,68.25
2019-11-01 09:00:00,10.32,5.35,0.99,34.72,38.25,71.75
2019-11-01 10:00:00,11.8,5.3,0.98,59.6,31.75,54.25
2019-11-01 11:00:00,13.45,4.78,0.92,62.55,26.75,56.75
2019-11-01 12:00:00,12.93,4.7,0.98,67.24,22.5,56.0
2019-11-01 13:00:00,14.25,5.12,0.9,67.26,22.5,62.5
2019-11-01 14:00:00,13.95,5.18,0.83,66.78,27.5,55.0
2019-11-01 15:00:00,13.3,5.28,0.84,62.6,27.0,52.0
2019-11-01 16:00:00,13.07,5.25,0.95,51.48,20.5,45.5
2019-11-01 17:00:00,12.53,5.12,0.91,51.84,19.5,53.75
2019-11-01 18:00:00,11.53,5.2,1.34,19.59,24.0,68.25
2019-11-01 19:00:00,12.57,5.18,1.59,10.19,34.0,103.75
2019-11-01 20:00:00,12.88,5.25,1.64,5.45,37.25,95.75
2019-11-01 21:00:00,12.18,5.53,1.5,9.33,36.5,80.75
2019-11-01 22:00:00,12.68,5.52,1.75,6.76,34.75,79.5
2019-11-01 23:00:00,13.43,5.1,1.32,11.22,40.5,94.5
2019-11-02 00:00:00,13.38,5.05,0.9,18.99,33.5,84.0
2019-11-02 01:00:00,14.02,5.3,0.72,12.83,33.75,65.25
2019-11-02 02:00:00,14.25,5.4,0.61,15.79,28.0,62.5
2019-11-02 03:00:00,14.15,5.4,0.58,15.64,24.25,59.75
2019-11-02 04:00:00,14.67,5.47,0.59,12.29,28.75,53.0
2019-11-02 05:00:00,14.5,5.75,0.62,15.39,22.25,42.5
2019-11-02 06:00:00,14.4,5.78,0.65,14.16,23.0,38.0
2019-11-02 07:00:00,13.72,5.5,0.72,12.05,25.0,41.75
2019-11-02 08:00:00,13.05,5.53,0.85,13.39,30.75,55.0
2019-11-02 09:00:00,13.5,5.47,0.91,19.75,30.0,60.75
2019-11-02 10:00:00,12.38,5.45,1.01,25.27,28.75,59.5
2019-11-02 11:00:00,12.57,5.4,0.8,34.21,23.75,54.75
2019-11-02 12:00:00,11.32,5.47,0.79,31.41,19.25,43.0
2019-11-02 13:00:00,11.3,5.5,0.76,31.37,19.5,38.75
2019-11-02 14:00:00,10.35,5.4,0.67,34.55,24.75,45.0
2019-11-02 15:00:00,10.8,5.53,1.22,18.31,18.75,52.5
2019-11-02 16:00:00,11.55,5.6,1.01,23.0,20.75,62.5
2019-11-02 17:00:00,12.28,5.62,1.12,19.77,19.5,52.5
2019-11-02 18:00:00,11.33,5.62,1.45,14.11,20.25,62.75
2019-11-02 19:00:00,11.93,6.05,1.92,5.56,30.75,96.0
2019-11-02 20:00:00,12.25,6.1,2.38,4.22,42.25,123.0
2019-11-02 21:00:00,13.05,6.4,3.26,3.41,51.5,160.0
2019-11-02 22:00:00,13.07,5.92,3.29,3.4,78.25,222.75
2019-11-02 23:00:00,15.98,5.82,4.36,4.52,99.5,266.25
2019-11-03 00:00:00,20.68,5.35,2.09,5.01,126.0,286.75
2019-11-03 01:00:00,23.85,5.17,0.49,11.47,44.5,103.25
2019-11-03 02:00:00,26.9,5.7,0.53,14.21,35.25,77.0
2019-11-03 03:00:00,25.53,5.97,0.31,21.09,39.5,74.25
2019-11-03 04:00:00,23.48,5.78,0.28,18.37,41.5,66.0
2019-11-03 05:00:00,21.93,5.67,0.29,22.21,41.25,65.5
2019-11-03 06:00:00,19.5,5.12,0.21,17.68,38.5,66.5
2019-11-03 07:00:00,18.35,5.1,0.51,10.49,44.75,76.25
2019-11-03 08:00:00,19.75,5.45,0.51,13.4,45.5,88.5
2019-11-03 09:00:00,18.12,5.12,0.43,25.95,56.0,99.5
2019-11-03 10:00:00,16.88,5.6,0.62,30.85,46.0,85.0
2019-11-03 11:00:00,16.33,6.03,0.51,36.33,41.25,83.75
2019-11-03 12:00:00,14.32,5.88,0.35,42.99,33.75,59.25
2019-11-03 13:00:00,14.18,5.55,0.21,49.01,24.75,47.75
2019-11-03 14:00:00,13.18,5.62,0.17,34.28,20.0,38.0
2019-11-03 15:00:00,10.75,5.15,0.09,39.35,22.5,36.25
2019-11-03 16:00:00,10.8,5.05,0.19,39.44,13.0,32.0
2019-11-03 17:00:00,11.03,5.03,0.17,27.68,18.0,37.5
2019-11-03 18:00:00,12.07,5.5,0.53,18.89,25.5,51.75
2019-11-03 19:00:00,13.18,5.85,0.85,10.39,33.25,77.25
2019-11-03 20:00:00,13.93,5.55,0.72,14.43,43.0,93.25
2019-11-03 21:00:00,12.88,5.5,0.88,12.29,45.0,94.25
