Datetime,NH3 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (ug/m3),Ozone (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3)
2019-10-31 01:00:00,20.17,7.28,9.6,0.14,37.95,,
2019-10-31 02:00:00,20.22,4.97,10.0,,40.54,12.0,15.0
2019-10-31 03:00:00,20.45,3.42,9.88,,46.11,12.25,16.0
2019-10-31 04:00:00,20.4,2.83,9.88,,45.31,13.0,19.0
2019-10-31 05:00:00,20.45,3.52,10.5,0.07,44.43,8.0,
2019-10-31 06:00:00,20.35,4.1,10.4,0.02,42.34,9.25,19.0
2019-10-31 07:00:00,20.4,5.7,10.45,0.05,37.19,13.75,22.0
2019-10-31 08:00:00,20.4,8.18,10.62,0.03,33.82,17.25,36.0
2019-10-31 09:00:00,20.12,10.22,9.25,,36.84,22.25,56.0
2019-10-31 10:00:00,19.95,11.15,8.9,,43.47,24.75,66.0
2019-10-31 11:00:00,20.05,9.9,9.4,,49.54,20.25,48.0
2019-10-31 12:00:00,19.83,9.05,9.15,,53.76,18.0,39.0
2019-10-31 13:00:00,19.62,9.22,9.72,,53.43,17.25,36.0
2019-10-31 14:00:00,19.88,9.82,9.68,,56.01,14.75,26.0
2019-10-31 15:00:00,19.95,8.62,10.0,,58.06,13.75,22.0
2019-10-31 16:00:00,20.08,8.32,9.88,,64.22,14.0,23.0
2019-10-31 17:00:00,20.27,9.6,10.12,,55.27,17.75,38.0
2019-10-31 18:00:00,19.92,12.82,8.3,,42.66,21.75,54.0
2019-10-31 19:00:00,20.07,13.35,9.15,,41.4,26.5,73.0
2019-10-31 20:00:00,20.12,13.68,9.65,,43.8,26.25,72.0
2019-10-31 21:00:00,20.23,11.55,9.4,,48.87,28.25,80.0
2019-10-31 22:00:00,20.18,9.62,9.82,,47.04,22.0,55.0
2019-10-31 23:00:00,19.68,5.93,10.12,,50.49,18.0,39.0
2019-11-01 00:00:00,19.77,4.2,10.35,,53.45,15.0,27.0
2019-11-01 01:00:00,19.73,3.17,10.73,0.06,58.13,,
2019-11-01 02:00:00,19.4,3.03,9.72,,59.7,17.0,35.0
2019-11-01 03:00:00,19.45,2.48,9.88,,55.24,16.75,34.0
2019-11-01 04:00:00,19.43,3.1,10.0,,37.84,15.25,28.0
2019-11-01 05:00:00,19.3,2.92,10.15,,34.43,13.0,19.0
2019-11-01 06:00:00,19.42,3.38,10.5,0.04,27.02,13.25,20.0
2019-11-01 07:00:00,19.6,5.65,10.57,0.04,24.55,15.0,27.0
2019-11-01 08:00:00,19.8,7.38,10.98,0.11,30.51,23.0,59.0
2019-11-01 09:00:00,20.2,10.2,10.5,0.04,63.86,34.5,105.0
2019-11-01 10:00:00,19.95,7.28,8.62,,85.23,24.0,63.0
2019-11-01 11:00:00,19.43,5.25,9.23,,95.37,23.0,59.0
2019-11-01 12:00:00,20.43,5.08,9.35,,124.66,23.75,62.0
2019-11-01 13:00:00,20.18,5.3,9.6,,114.69,32.25,96.0
2019-11-01 14:00:00,20.5,4.9,10.15,0.08,103.35,23.75,62.0
2019-11-01 15:00:00,20.47,5.1,10.75,0.09,95.38,22.0,55.0
2019-11-01 16:00:00,20.73,5.8,10.68,0.04,93.38,18.75,42.0
2019-11-01 17:00:00,20.88,5.65,10.57,0.05,72.09,18.5,41.0
2019-11-01 18:00:00,21.02,9.38,9.82,,60.4,24.25,64.0
2019-11-01 19:00:00,21.05,12.07,9.85,,45.0,37.75,118.0
2019-11-01 20:00:00,21.5,14.78,10.35,0.02,38.43,39.5,125.0
2019-11-01 21:00:00,21.0,13.95,10.32,,37.09,37.75,118.0
2019-11-01 22:00:00,21.43,13.8,10.68,0.06,39.48,35.5,109.0
2019-11-01 23:00:00,21.65,12.8,10.85,0.45,32.52,31.0,81.0
2019-11-02 00:00:00,21.88,12.0,10.32,1.11,32.39,33.0,69.25
2019-11-02 01:00:00,21.85,9.55,10.85,1.22,37.73,37.5,60.25
2019-11-02 02:00:00,21.3,6.83,10.72,1.2,39.46,33.5,48.25
2019-11-02 03:00:00,21.12,4.38,11.12,1.29,47.67,35.0,46.0
2019-11-02 04:00:00,20.77,3.67,11.18,1.29,47.45,,
2019-11-02 05:00:00,20.73,3.73,11.43,1.35,44.27,20.0,23.0
2019-11-02 06:00:00,20.73,4.33,11.3,1.32,38.42,20.5,24.75
2019-11-02 07:00:00,20.83,6.85,10.8,1.22,34.29,21.75,31.5
2019-11-02 08:00:00,21.05,7.55,10.62,1.18,40.2,22.0,37.75
2019-11-02 09:00:00,20.88,8.05,11.2,1.3,49.12,24.5,45.75
2019-11-02 10:00:00,20.5,8.25,10.68,1.19,58.49,23.5,52.25
2019-11-02 11:00:00,19.9,6.6,9.22,0.87,66.85,24.5,42.0
2019-11-02 12:00:00,19.7,4.5,9.8,0.99,68.28,21.25,26.75
2019-11-02 13:00:00,19.68,4.28,10.1,1.06,68.73,14.75,26.5
2019-11-02 14:00:00,19.77,4.55,10.7,1.19,67.65,10.75,28.0
2019-11-02 15:00:00,19.42,5.6,10.72,1.2,67.99,9.5,29.5
2019-11-02 16:00:00,19.4,5.95,10.65,1.18,67.82,8.25,33.25
2019-11-02 17:00:00,19.32,7.52,10.95,1.24,63.88,10.5,33.25
2019-11-02 18:00:00,19.45,10.0,10.48,1.15,48.73,17.0,42.25
2019-11-02 19:00:00,19.55,14.35,10.47,1.15,27.08,24.0,53.0
