Datetime,NH3 (ug/m3),NOx (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3)
2019-10-31 01:00:00,6.47,5.72,1.73,0.33,39.9,14.25,19.75
2019-10-31 02:00:00,6.65,5.45,,0.25,,12.0,16.0
2019-10-31 03:00:00,6.75,2.67,1.68,0.23,39.77,15.0,16.0
2019-10-31 04:00:00,7.42,2.1,1.4,0.23,,15.0,16.0
2019-10-31 05:00:00,7.2,2.17,1.6,0.23,39.58,11.0,16.0
2019-10-31 06:00:00,5.85,2.65,1.6,0.23,39.4,8.5,14.0
2019-10-31 07:00:00,7.15,3.4,1.6,0.28,38.55,6.0,12.0
2019-10-31 08:00:00,6.35,6.33,1.62,0.4,39.06,22.0,28.0
2019-10-31 09:00:00,6.28,8.6,1.65,0.45,39.02,21.75,26.75
2019-10-31 10:00:00,6.67,6.65,1.62,0.42,38.42,19.75,21.75
2019-10-31 11:00:00,7.97,5.7,1.6,0.39,38.0,14.75,20.75
2019-10-31 12:00:00,9.75,5.15,1.52,0.36,44.31,11.0,29.0
2019-10-31 13:00:00,13.83,6.67,1.3,0.45,47.11,11.0,22.0
2019-10-31 14:00:00,11.85,7.82,1.35,0.31,48.12,21.0,24.0
2019-10-31 15:00:00,9.62,5.22,1.45,0.19,47.66,22.0,48.0
2019-10-31 16:00:00,8.9,4.9,1.58,0.29,47.8,14.75,29.0
2019-10-31 17:00:00,8.62,5.83,1.55,0.29,47.77,11.25,35.0
2019-10-31 18:00:00,9.0,9.18,1.65,0.39,47.95,11.75,38.5
2019-10-31 19:00:00,8.32,30.52,1.7,0.83,47.75,11.0,49.0
2019-10-31 20:00:00,10.88,33.47,1.58,1.21,20.93,30.0,66.0
2019-10-31 21:00:00,8.75,33.4,1.62,1.16,21.06,24.0,83.0
2019-10-31 22:00:00,8.93,28.0,1.7,1.06,21.79,32.0,91.0
2019-10-31 23:00:00,7.9,45.55,1.7,1.13,21.15,30.0,95.0
2019-11-01 00:00:00,9.52,71.43,1.8,0.88,21.08,28.0,102.0
2019-11-01 01:00:00,8.15,48.7,1.7,0.53,20.72,23.0,63.0
2019-11-01 02:00:00,7.58,25.15,1.52,0.4,20.55,19.0,84.0
2019-11-01 03:00:00,7.35,27.33,1.48,0.35,20.51,21.0,76.0
2019-11-01 04:00:00,5.38,85.0,1.75,0.84,20.91,32.0,102.0
2019-11-01 05:00:00,8.47,123.55,1.93,1.21,21.39,44.0,146.0
2019-11-01 06:00:00,3.65,160.9,2.02,1.52,21.46,51.0,195.0
2019-11-01 07:00:00,6.47,239.18,2.5,2.54,21.82,61.0,188.0
2019-11-01 08:00:00,9.0,177.32,2.08,2.03,21.66,87.0,284.0
2019-11-01 09:00:00,7.85,43.67,1.75,0.8,20.25,44.0,139.0
2019-11-01 10:00:00,8.85,22.15,1.65,0.81,20.19,34.0,71.0
2019-11-01 11:00:00,10.4,13.95,1.55,0.64,20.13,34.0,68.0
2019-11-01 12:00:00,10.73,7.92,1.4,0.39,20.18,18.0,35.0
2019-11-01 13:00:00,9.53,6.2,1.42,0.33,20.32,26.0,40.0
2019-11-01 14:00:00,8.78,4.93,1.5,0.38,20.15,13.0,35.0
2019-11-01 15:00:00,8.6,6.25,1.58,0.43,20.12,10.0,26.0
2019-11-01 16:00:00,8.78,6.88,1.73,0.43,20.25,22.0,40.0
2019-11-01 17:00:00,8.62,10.02,1.62,0.57,20.31,21.0,52.0
2019-11-01 18:00:00,8.8,15.9,1.5,0.73,20.36,21.0,61.0
