Datetime,CO (mg/m3),PM2.5 (ug/m3),NH3 (ug/m3),NOx (ppb),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,0.83,10.45,,13.41,44.77,17.91
2019-10-31 02:00:00,0.53,11.02,,13.23,50.56,7.72
2019-10-31 03:00:00,0.8,11.76,,12.98,52.6,4.98
2019-10-31 04:00:00,0.85,11.29,,13.3,50.98,4.53
2019-10-31 05:00:00,0.85,10.32,,13.7,54.25,5.17
2019-10-31 06:00:00,0.94,9.84,,13.96,51.16,4.47
2019-10-31 07:00:00,0.85,9.6,,14.96,44.74,8.78
2019-10-31 08:00:00,0.76,9.48,,17.35,34.61,4.7
2019-10-31 09:00:00,0.92,9.81,,16.84,38.45,4.41
2019-10-31 10:00:00,0.95,13.0,,16.0,55.0,5.59
2019-10-31 11:00:00,0.96,17.17,,15.7,59.9,6.23
2019-10-31 12:00:00,0.78,14.11,,14.61,75.12,10.6
2019-10-31 13:00:00,0.58,13.11,,14.94,71.69,4.54
2019-10-31 14:00:00,0.94,12.32,,15.28,62.15,8.82
2019-10-31 15:00:00,0.83,12.59,,15.05,63.33,11.45
2019-10-31 16:00:00,0.96,12.42,,15.44,72.08,11.38
2019-10-31 17:00:00,0.83,12.04,,16.18,69.95,11.88
2019-10-31 18:00:00,0.53,12.07,,16.66,61.27,7.07
2019-10-31 19:00:00,0.46,12.98,,16.96,52.97,8.79
2019-10-31 20:00:00,0.82,17.32,,15.82,53.54,6.84
2019-10-31 21:00:00,0.97,24.35,,15.65,60.92,4.27
2019-10-31 22:00:00,0.91,22.78,,15.63,51.59,6.93
2019-10-31 23:00:00,0.87,17.28,,15.33,42.07,6.43
2019-11-01 00:00:00,0.84,15.23,,14.73,38.67,4.3
2019-11-01 01:00:00,0.74,16.83,,13.95,44.0,6.12
2019-11-01 02:00:00,0.63,13.27,,13.75,45.85,8.36
2019-11-01 03:00:00,0.66,13.2,,17.19,34.48,5.12
2019-11-01 04:00:00,0.65,17.54,,14.38,37.22,5.32
2019-11-01 05:00:00,0.56,20.55,,13.77,32.64,4.45
2019-11-01 06:00:00,0.64,16.07,,19.67,21.29,4.68
2019-11-01 07:00:00,0.92,13.49,,25.7,11.18,6.9
2019-11-01 08:00:00,0.8,20.4,,30.4,7.9,4.05
2019-11-01 09:00:00,0.76,38.45,,20.49,28.36,4.37
2019-11-01 10:00:00,0.8,34.43,,17.54,62.16,9.32
2019-11-01 11:00:00,0.79,27.23,,16.37,70.76,7.23
2019-11-01 12:00:00,0.63,21.76,,15.74,110.33,9.4
2019-11-01 13:00:00,0.85,17.84,,15.45,109.45,4.68
2019-11-01 14:00:00,1.72,13.59,,15.25,96.85,16.29
2019-11-01 15:00:00,0.74,11.47,,14.56,91.79,4.83
2019-11-01 16:00:00,0.56,12.88,,14.28,90.36,13.17
2019-11-01 17:00:00,0.67,17.36,,14.36,90.02,6.38
2019-11-01 18:00:00,0.78,15.48,,16.06,81.86,5.26
2019-11-01 19:00:00,0.65,16.0,,17.42,52.1,5.82
2019-11-01 20:00:00,0.65,19.79,,21.29,26.11,5.18
2019-11-01 21:00:00,0.7,26.9,,20.39,28.37,4.74
2019-11-01 22:00:00,0.73,35.1,,20.0,34.85,4.03
2019-11-01 23:00:00,0.84,34.7,,17.25,37.78,3.95
2019-11-02 00:00:00,0.79,28.48,,17.88,27.14,3.8
2019-11-02 01:00:00,0.68,26.32,,16.2,33.47,5.5
2019-11-02 02:00:00,0.61,18.59,,14.6,35.14,10.58
2019-11-02 03:00:00,0.76,13.97,,13.66,36.43,4.98
2019-11-02 04:00:00,0.77,11.67,,13.34,48.72,4.05
2019-11-02 05:00:00,0.74,10.52,,13.44,49.52,5.28
2019-11-02 06:00:00,0.71,16.11,,13.84,29.43,4.08
2019-11-02 07:00:00,0.86,27.36,,14.37,31.0,3.89
2019-11-02 08:00:00,0.92,22.52,,17.03,23.5,3.69
2019-11-02 09:00:00,0.83,24.41,,15.76,46.76,3.74
2019-11-02 10:00:00,0.91,22.56,,14.18,59.07,4.92
2019-11-02 11:00:00,0.73,23.86,,13.66,64.08,5.29
2019-11-02 12:00:00,0.4,18.48,,13.22,61.01,8.94
2019-11-02 13:00:00,0.56,15.2,,13.66,59.47,4.96
2019-11-02 14:00:00,0.85,13.66,,13.97,76.72,16.06
2019-11-02 15:00:00,0.75,13.88,,14.83,76.16,8.11
2019-11-02 16:00:00,0.73,15.36,,13.68,75.39,12.09
2019-11-02 17:00:00,0.71,14.52,,14.68,73.71,12.76
2019-11-02 18:00:00,0.59,12.45,,14.71,75.72,5.53
2019-11-02 19:00:00,0.95,12.11,,16.04,57.83,7.44
2019-11-02 20:00:00,0.85,10.73,,18.61,39.11,9.47
2019-11-02 21:00:00,1.07,10.04,,25.78,22.54,5.94
2019-11-02 22:00:00,1.03,18.78,,19.73,26.7,4.96
2019-11-02 23:00:00,0.78,43.77,,18.76,29.7,4.25
2019-11-03 00:00:00,0.81,46.44,,16.99,36.52,5.18
2019-11-03 01:00:00,0.9,29.37,,15.5,49.74,5.18
2019-11-03 02:00:00,0.79,20.48,,14.82,43.67,5.88
2019-11-03 03:00:00,0.81,17.11,,14.42,46.88,4.64
2019-11-03 04:00:00,0.93,18.72,,14.26,38.3,4.55
2019-11-03 05:00:00,1.35,21.37,,14.66,27.35,7.24
2019-11-03 06:00:00,1.95,26.25,,15.48,24.69,10.51
2019-11-03 07:00:00,0.74,24.33,,16.23,20.93,28.05
2019-11-03 08:00:00,0.44,27.68,,16.64,13.88,6.02
2019-11-03 09:00:00,1.15,25.91,,16.44,31.93,3.88
2019-11-03 10:00:00,1.17,35.17,,14.89,49.9,6.77
2019-11-03 11:00:00,0.63,22.65,,14.61,58.22,4.66
2019-11-03 12:00:00,0.57,16.0,,16.16,47.98,11.51
2019-11-03 13:00:00,0.7,67.84,,14.9,73.24,7.64
2019-11-03 14:00:00,0.77,250.3,,16.37,79.27,4.33
2019-11-03 15:00:00,0.78,327.08,,17.79,55.1,4.89
2019-11-03 16:00:00,0.68,171.99,,17.24,54.97,4.6
2019-11-03 17:00:00,0.84,98.99,,17.94,47.33,3.77
2019-11-03 18:00:00,1.08,62.94,,26.65,22.96,4.68
2019-11-03 19:00:00,1.16,44.45,,35.02,13.16,4.03
2019-11-03 20:00:00,1.12,29.73,,26.72,28.8,3.91
2019-11-03 21:00:00,0.84,31.77,,17.5,52.88,5.33
2019-11-03 22:00:00,0.77,46.63,,18.21,55.0,4.24
2019-11-03 23:00:00,0.72,39.47,,16.16,65.85,4.03
2019-11-04 00:00:00,0.64,29.99,,16.09,66.57,6.25
2019-11-04 01:00:00,0.73,35.69,,15.75,70.61,4.98
2019-11-04 02:00:00,0.75,35.55,,15.75,75.56,4.13
2019-11-04 03:00:00,0.68,27.51,,14.98,91.81,3.68
2019-11-04 04:00:00,0.73,34.41,,18.02,45.32,3.81
2019-11-04 05:00:00,0.83,41.75,,21.01,31.46,3.73
2019-11-04 06:00:00,0.67,42.58,,20.01,40.16,3.66
2019-11-04 07:00:00,0.92,48.4,,28.99,9.75,3.84
2019-11-04 08:00:00,1.06,49.47,,26.42,9.0,3.65
2019-11-04 09:00:00,1.1,49.25,,31.76,18.3,3.82
2019-11-04 10:00:00,1.08,63.9,,30.16,50.26,3.73
2019-11-04 11:00:00,0.97,66.56,,24.35,76.41,4.39
2019-11-04 12:00:00,0.52,50.5,,17.99,90.09,5.18
2019-11-04 13:00:00,0.47,58.7,,17.76,83.86,5.27
2019-11-04 14:00:00,0.48,64.39,,16.7,73.88,5.02
2019-11-04 15:00:00,0.42,36.83,,18.47,72.06,4.61
2019-11-04 16:00:00,0.65,23.23,,20.69,70.32,7.6
2019-11-04 17:00:00,0.82,16.25,,26.42,56.07,4.41
2019-11-04 18:00:00,1.02,12.82,,40.34,29.31,4.29
2019-11-04 19:00:00,1.27,11.09,,50.14,22.53,3.92
2019-11-04 20:00:00,0.77,26.96,,32.07,36.05,3.63
2019-11-04 21:00:00,1.38,60.54,,45.05,18.41,3.71
2019-11-04 22:00:00,1.19,42.74,,35.36,33.45,3.95
2019-11-04 23:00:00,0.98,26.05,,22.02,81.42,3.65
2019-11-05 00:00:00,0.93,35.85,,30.15,53.67,3.63
2019-11-05 01:00:00,1.2,65.52,,50.96,12.85,3.62
2019-11-05 02:00:00,1.28,62.8,,47.35,7.05,3.73
2019-11-05 03:00:00,1.16,94.02,,43.85,8.81,3.67
2019-11-05 04:00:00,0.93,95.84,,36.81,12.77,3.9
2019-11-05 05:00:00,1.09,153.88,,42.73,10.14,3.63
2019-11-05 06:00:00,1.26,118.3,,46.36,10.27,3.62
2019-11-05 07:00:00,1.56,147.74,,59.42,9.94,3.71
2019-11-05 08:00:00,1.11,79.13,,55.31,10.23,3.88
2019-11-05 09:00:00,1.16,67.65,,45.76,25.23,3.77
2019-11-05 10:00:00,1.39,124.81,,38.68,65.47,4.02
2019-11-05 11:00:00,1.3,148.59,,31.22,70.93,3.91
2019-11-05 12:00:00,0.84,94.02,,28.53,67.22,9.91
2019-11-05 13:00:00,0.46,56.53,,21.82,97.0,5.32
2019-11-05 14:00:00,0.56,33.51,,22.48,80.7,6.68
2019-11-05 15:00:00,0.61,22.73,,21.62,75.45,5.32
2019-11-05 16:00:00,0.69,16.05,,26.55,61.49,5.55
2019-11-05 17:00:00,0.85,47.02,,31.94,46.72,10.98
2019-11-05 18:00:00,1.03,132.79,,40.42,26.06,4.4
2019-11-05 19:00:00,1.6,185.57,,53.11,14.38,3.75
2019-11-05 20:00:00,2.1,226.18,,75.14,12.88,3.83
2019-11-05 21:00:00,2.5,118.6,,80.99,13.71,3.71
2019-11-05 22:00:00,1.46,63.89,,36.49,22.29,3.62
2019-11-05 23:00:00,1.51,102.23,,34.49,32.74,4.01
2019-11-06 00:00:00,1.33,212.56,,45.06,12.36,3.8
2019-11-06 01:00:00,1.15,124.08,,46.82,9.9,3.87
2019-11-06 02:00:00,1.06,66.62,,28.96,33.5,3.87
2019-11-06 03:00:00,0.84,37.99,,26.62,57.58,3.69
2019-11-06 04:00:00,0.74,44.84,,22.8,59.83,3.75
2019-11-06 05:00:00,0.79,88.69,,22.36,69.47,3.62
2019-11-06 06:00:00,1.14,73.53,,30.17,28.96,3.91
2019-11-06 07:00:00,0.47,9.36,,27.05,31.09,3.62
2019-11-06 08:00:00,0.99,9.36,,30.6,30.75,3.71
2019-11-06 09:00:00,1.08,9.36,,27.19,74.25,3.73
2019-11-06 10:00:00,1.01,82.8,,22.04,104.62,4.0
2019-11-06 11:00:00,0.71,227.93,,22.67,110.88,4.95
2019-11-06 12:00:00,0.85,140.68,,34.1,86.27,4.0
2019-11-06 13:00:00,1.3,98.03,,37.67,84.82,3.94
2019-11-06 14:00:00,0.53,131.01,,25.19,84.88,3.85
2019-11-06 15:00:00,0.77,250.43,,26.26,84.7,4.2
2019-11-06 16:00:00,0.77,129.85,,22.7,94.06,4.77
2019-11-06 17:00:00,1.01,69.62,,39.02,64.84,4.07
2019-11-06 18:00:00,1.31,39.49,,46.83,39.65,3.82
2019-11-06 19:00:00,1.27,297.11,,33.74,96.2,3.95
2019-11-06 20:00:00,1.47,955.75,,55.0,13.83,3.76
2019-11-06 21:00:00,1.61,956.99,,51.03,17.33,3.62
2019-11-06 22:00:00,0.79,705.19,,22.02,86.79,3.68
2019-11-06 23:00:00,0.66,357.27,,19.91,114.43,3.62
2019-11-07 00:00:00,0.87,266.81,,18.94,113.85,3.65
2019-11-07 01:00:00,1.08,360.35,,18.41,92.12,3.71
2019-11-07 02:00:00,0.85,248.51,,19.12,84.08,3.67
2019-11-07 03:00:00,0.78,133.0,,27.34,39.83,3.62
2019-11-07 04:00:00,0.93,85.95,,25.85,39.61,3.66
2019-11-07 05:00:00,0.76,81.67,,24.89,40.06,3.67
2019-11-07 06:00:00,0.74,95.1,,27.97,27.47,3.66
2019-11-07 07:00:00,1.21,147.02,,30.79,17.34,3.74
2019-11-07 08:00:00,1.28,365.45,,26.24,50.34,3.78
2019-11-07 09:00:00,1.04,391.84,,25.9,78.03,3.64
2019-11-07 10:00:00,1.16,337.37,,30.18,92.7,3.74
2019-11-07 11:00:00,0.84,244.87,,24.3,99.78,6.0
2019-11-07 12:00:00,0.98,148.12,,26.44,100.61,4.1
2019-11-07 13:00:00,1.25,,,24.62,71.2,3.63
2019-11-07 14:00:00,2.45,29.18,,24.48,90.81,3.69
2019-11-07 15:00:00,1.02,6.86,,26.34,87.16,4.19
2019-11-07 16:00:00,1.07,20.0,,23.51,81.49,3.7
2019-11-07 17:00:00,0.95,,,33.59,38.43,4.01
2019-11-07 18:00:00,0.7,924.67,,47.52,20.58,3.91
2019-11-07 19:00:00,1.79,506.56,,53.63,10.87,4.07
2019-11-07 20:00:00,2.54,20.38,,64.53,10.97,3.76
2019-11-07 21:00:00,2.68,365.04,,78.28,9.24,3.62
2019-11-07 22:00:00,2.32,108.79,,61.85,7.91,3.64
2019-11-07 23:00:00,1.89,135.86,,45.31,8.74,3.62
2019-11-08 00:00:00,0.94,151.12,,26.02,9.88,3.64
2019-11-08 01:00:00,0.77,141.18,,18.74,22.68,3.64
2019-11-08 02:00:00,0.58,145.14,,16.51,30.82,3.94
2019-11-08 03:00:00,0.73,186.12,,15.84,37.03,6.39
2019-11-08 04:00:00,0.28,146.94,,17.41,26.59,4.04
2019-11-08 05:00:00,0.34,312.47,,15.64,23.5,3.71
2019-11-08 06:00:00,0.52,355.88,,15.95,21.45,6.68
2019-11-08 07:00:00,0.51,184.93,,19.43,23.09,6.36
2019-11-08 08:00:00,0.74,99.7,,20.12,18.37,8.23
2019-11-08 09:00:00,0.99,84.81,,22.13,8.89,5.25
2019-11-08 10:00:00,1.35,97.52,,25.54,14.53,4.01
2019-11-08 11:00:00,1.24,94.86,,24.36,28.69,3.78
2019-11-08 12:00:00,0.81,68.61,,21.94,33.71,3.89
2019-11-08 13:00:00,0.52,34.29,,18.48,97.5,4.4
2019-11-08 14:00:00,1.49,17.15,,21.79,66.17,4.03
2019-11-08 15:00:00,0.96,8.57,,26.93,77.67,3.81
2019-11-08 16:00:00,1.08,13.41,,30.2,60.31,3.97
2019-11-08 17:00:00,1.06,28.87,,36.37,24.23,4.07
2019-11-08 18:00:00,0.99,31.66,,39.28,9.36,3.97
2019-11-08 19:00:00,1.09,40.72,,43.48,5.7,4.38
2019-11-08 20:00:00,1.59,48.12,,44.87,6.51,3.94
