Datetime,PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NOx (ppb),SO2 (ug/m3),Ozone (ug/m3)
2019-10-31 01:00:00,13.29,1.11,24.58,21.33,5.2,
2019-10-31 02:00:00,17.63,1.02,24.17,21.25,5.36,
2019-10-31 03:00:00,16.19,0.93,24.01,21.03,5.58,
2019-10-31 04:00:00,14.86,0.91,24.03,21.5,5.44,
2019-10-31 05:00:00,12.94,0.94,24.09,22.04,5.31,
2019-10-31 06:00:00,11.46,1.03,24.24,22.68,5.44,
2019-10-31 07:00:00,12.64,1.07,25.3,24.57,5.45,
2019-10-31 08:00:00,16.84,1.54,28.39,29.87,5.24,
2019-10-31 09:00:00,22.04,1.67,28.16,29.88,5.29,
2019-10-31 10:00:00,20.95,1.68,28.14,29.61,5.06,
2019-10-31 11:00:00,17.56,1.35,25.28,25.61,5.46,
2019-10-31 12:00:00,20.28,1.38,25.57,29.95,5.21,
2019-10-31 13:00:00,31.26,1.21,25.06,28.75,5.48,
2019-10-31 14:00:00,26.39,1.09,23.32,24.61,5.32,
2019-10-31 15:00:00,19.56,1.04,22.53,25.92,5.28,
2019-10-31 16:00:00,16.5,1.12,23.27,27.09,5.39,
2019-10-31 17:00:00,14.97,0.97,21.47,24.14,5.22,
2019-10-31 18:00:00,14.66,1.07,31.3,40.14,5.22,
2019-10-31 19:00:00,14.65,1.36,30.23,33.95,5.39,
2019-10-31 20:00:00,12.91,1.47,26.66,28.78,5.41,
2019-10-31 21:00:00,14.31,1.32,25.91,27.38,5.57,
2019-10-31 22:00:00,14.86,1.02,24.95,26.72,5.54,
2019-10-31 23:00:00,15.45,0.94,25.54,27.92,5.18,
2019-11-01 00:00:00,14.22,0.88,23.36,24.62,5.41,
2019-11-01 01:00:00,15.16,0.74,21.87,24.1,5.07,
2019-11-01 02:00:00,15.3,0.72,21.68,23.88,5.71,
2019-11-01 03:00:00,13.8,0.64,21.19,23.52,5.59,
2019-11-01 04:00:00,13.4,0.7,21.91,24.91,5.73,
2019-11-01 05:00:00,14.07,0.67,21.84,25.2,5.85,
2019-11-01 06:00:00,14.73,0.79,22.53,28.25,5.4,
2019-11-01 07:00:00,15.09,0.93,23.72,31.1,5.5,
2019-11-01 08:00:00,19.53,1.27,25.12,34.38,5.71,
2019-11-01 09:00:00,20.2,1.0,23.29,31.07,5.58,
2019-11-01 10:00:00,22.6,0.96,21.78,30.78,5.47,
2019-11-01 11:00:00,23.85,0.92,19.44,29.85,5.65,
2019-11-01 12:00:00,22.36,0.94,16.27,24.51,5.27,
2019-11-01 13:00:00,25.95,0.89,15.92,24.42,5.58,
2019-11-01 14:00:00,25.91,0.9,17.29,25.77,5.4,
2019-11-01 15:00:00,21.24,0.97,17.82,25.74,5.45,
2019-11-01 16:00:00,20.73,1.02,18.09,26.17,5.07,
2019-11-01 17:00:00,20.44,1.09,18.51,26.31,5.33,
2019-11-01 18:00:00,16.84,1.05,19.4,28.31,5.59,
2019-11-01 19:00:00,27.45,1.07,20.78,30.61,5.6,
2019-11-01 20:00:00,28.16,1.26,22.93,33.33,5.65,
2019-11-01 21:00:00,23.05,1.57,25.17,37.5,5.78,
2019-11-01 22:00:00,29.2,1.6,24.97,35.56,5.44,
2019-11-01 23:00:00,24.27,1.36,24.1,34.24,5.71,
2019-11-02 00:00:00,25.12,1.36,24.06,34.86,6.03,
2019-11-02 01:00:00,22.47,1.1,23.05,31.39,6.1,
2019-11-02 02:00:00,17.78,1.08,22.08,27.12,5.99,
2019-11-02 03:00:00,17.36,0.98,21.53,26.12,5.53,
2019-11-02 04:00:00,19.88,0.9,21.17,25.71,5.93,
2019-11-02 05:00:00,17.37,0.91,21.12,26.09,5.76,
2019-11-02 06:00:00,20.51,0.94,20.92,26.17,5.65,
2019-11-02 07:00:00,31.75,1.13,21.86,30.88,5.53,
2019-11-02 08:00:00,34.7,1.27,22.7,31.56,5.38,
2019-11-02 09:00:00,37.7,1.16,23.12,31.97,5.45,
