Datetime,NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),PM2.5 (ug/m3)
2019-10-31 01:00:00,26.09,6.96,0.52,5.6,16.28
2019-10-31 02:00:00,20.83,7.08,0.36,5.89,16.74
2019-10-31 03:00:00,15.16,7.0,0.65,7.84,20.78
2019-10-31 04:00:00,14.8,6.29,0.97,7.81,20.2
2019-10-31 05:00:00,13.77,6.41,0.89,10.35,16.16
2019-10-31 06:00:00,17.22,6.17,0.65,10.3,14.25
2019-10-31 07:00:00,28.0,6.26,0.78,8.89,27.42
2019-10-31 08:00:00,43.62,6.07,0.73,7.62,30.75
2019-10-31 09:00:00,43.72,6.27,0.76,7.39,23.07
2019-10-31 10:00:00,33.28,6.34,0.8,12.45,20.38
2019-10-31 11:00:00,31.68,6.56,0.69,12.94,17.83
2019-10-31 12:00:00,27.65,6.74,0.41,17.44,16.07
2019-10-31 13:00:00,27.37,6.8,0.42,20.43,16.27
2019-10-31 14:00:00,28.8,6.3,0.61,21.52,15.82
2019-10-31 15:00:00,30.86,6.25,0.57,25.68,15.86
2019-10-31 16:00:00,34.67,7.22,0.77,24.94,15.95
2019-10-31 17:00:00,43.01,6.97,0.77,20.08,18.95
2019-10-31 18:00:00,49.81,7.31,0.69,18.61,26.98
2019-10-31 19:00:00,56.32,7.42,0.98,12.19,35.86
2019-10-31 20:00:00,56.85,6.94,0.82,13.0,32.3
2019-10-31 21:00:00,58.38,7.48,0.5,11.74,40.09
2019-10-31 22:00:00,50.12,7.5,0.25,13.46,39.89
2019-10-31 23:00:00,38.43,7.29,0.54,8.57,45.74
2019-11-01 00:00:00,23.36,7.67,0.5,8.41,43.55
2019-11-01 01:00:00,24.36,6.89,0.82,8.86,27.74
2019-11-01 02:00:00,30.93,5.97,0.49,10.06,19.62
2019-11-01 03:00:00,49.38,6.53,0.33,11.02,16.33
2019-11-01 04:00:00,45.62,6.69,0.52,13.36,21.94
2019-11-01 05:00:00,57.29,7.2,0.75,16.04,25.14
2019-11-01 06:00:00,61.94,7.01,0.96,21.47,33.3
2019-11-01 07:00:00,111.41,7.49,1.3,36.59,69.37
2019-11-01 08:00:00,88.05,8.16,0.39,17.82,99.24
2019-11-01 09:00:00,58.88,12.49,0.5,12.59,80.59
2019-11-01 10:00:00,44.23,11.31,0.82,9.56,51.28
2019-11-01 11:00:00,32.89,9.96,0.6,10.91,37.77
2019-11-01 12:00:00,23.24,8.12,0.66,22.39,34.05
2019-11-01 13:00:00,19.94,7.18,0.84,31.5,27.95
2019-11-01 14:00:00,25.53,6.98,1.03,31.5,21.45
2019-11-01 15:00:00,20.93,7.44,0.41,38.45,17.47
2019-11-01 16:00:00,17.37,7.07,0.5,54.39,26.26
2019-11-01 17:00:00,38.54,6.69,0.78,44.97,34.63
2019-11-01 18:00:00,42.06,6.75,0.83,34.19,35.93
2019-11-01 19:00:00,57.57,6.77,0.74,17.3,31.8
2019-11-01 20:00:00,77.16,6.64,0.75,17.41,42.58
2019-11-01 21:00:00,86.68,6.89,0.68,16.99,60.23
2019-11-01 22:00:00,60.76,7.07,0.34,15.34,64.52
2019-11-01 23:00:00,56.06,6.76,0.7,10.79,66.6
2019-11-02 00:00:00,44.12,6.82,0.2,9.89,54.31
2019-11-02 01:00:00,36.48,6.95,0.46,8.23,48.51
2019-11-02 02:00:00,34.35,6.69,0.46,8.69,47.02
2019-11-02 03:00:00,36.05,6.7,0.4,8.3,40.99
2019-11-02 04:00:00,25.31,6.89,0.47,8.49,31.58
2019-11-02 05:00:00,28.3,6.71,0.45,7.62,22.66
2019-11-02 06:00:00,29.37,7.09,0.57,7.34,25.37
2019-11-02 07:00:00,34.8,7.25,0.67,8.06,27.33
2019-11-02 08:00:00,32.42,6.81,0.8,8.1,31.6
2019-11-02 09:00:00,37.99,7.12,0.48,7.83,28.93
2019-11-02 10:00:00,28.7,7.04,0.51,9.62,25.12
2019-11-02 11:00:00,26.28,7.24,0.53,10.24,22.16
2019-11-02 12:00:00,22.23,7.35,0.63,13.7,18.49
2019-11-02 13:00:00,22.62,7.66,0.42,17.05,17.14
2019-11-02 14:00:00,23.94,6.84,0.85,20.05,15.5
2019-11-02 15:00:00,30.25,6.97,0.81,17.49,20.5
