Datetime,CO (mg/m3),PM10 (ug/m3),NOx (ppb),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,0.88,40.64,33.12,,9.7
2019-10-31 02:00:00,1.29,26.53,26.09,,8.09
2019-10-31 03:00:00,0.85,21.88,19.4,,7.59
2019-10-31 04:00:00,1.31,22.77,27.73,,8.28
2019-10-31 05:00:00,1.5,13.57,48.95,,7.74
2019-10-31 06:00:00,1.88,21.73,81.06,,12.38
2019-10-31 07:00:00,2.13,30.97,94.34,,9.18
2019-10-31 08:00:00,2.48,31.1,94.07,,9.2
2019-10-31 09:00:00,1.98,47.76,85.79,,10.31
2019-10-31 10:00:00,2.29,59.85,81.51,,11.38
2019-10-31 11:00:00,2.66,67.93,91.22,,10.27
2019-10-31 12:00:00,1.8,72.82,93.0,,10.25
2019-10-31 13:00:00,1.96,85.16,97.37,,10.34
2019-10-31 14:00:00,1.8,102.23,95.56,,10.84
2019-10-31 15:00:00,2.41,118.06,104.82,,9.57
2019-10-31 16:00:00,1.88,122.89,90.19,,9.5
2019-10-31 17:00:00,2.07,144.26,86.17,,10.83
2019-10-31 18:00:00,2.76,153.54,110.5,,10.9
2019-10-31 19:00:00,2.02,157.9,110.28,,10.29
2019-10-31 20:00:00,2.13,169.57,115.14,,11.78
2019-10-31 21:00:00,1.84,161.25,95.13,,4.8
2019-10-31 22:00:00,1.44,155.44,85.76,,13.39
2019-10-31 23:00:00,0.89,131.9,78.62,,11.36
2019-11-01 00:00:00,1.3,101.69,70.17,,7.37
2019-11-01 01:00:00,0.89,90.76,37.42,,8.38
2019-11-01 02:00:00,0.84,74.68,29.25,,6.65
2019-11-01 03:00:00,1.17,71.94,30.46,,8.47
2019-11-01 04:00:00,0.88,71.26,21.51,,6.77
2019-11-01 05:00:00,1.17,57.56,31.25,,7.91
2019-11-01 06:00:00,1.55,48.08,42.43,,9.35
2019-11-01 07:00:00,1.69,60.52,40.85,,10.46
2019-11-01 08:00:00,1.34,81.23,51.7,,11.46
2019-11-01 09:00:00,2.12,92.05,47.01,,10.66
2019-11-01 10:00:00,1.84,85.39,35.74,,10.17
2019-11-01 11:00:00,1.76,85.4,44.97,,10.16
2019-11-01 12:00:00,2.29,108.5,65.02,,9.77
2019-11-01 13:00:00,2.27,141.81,70.88,,11.18
2019-11-01 14:00:00,1.9,190.96,75.62,,9.12
2019-11-01 15:00:00,2.21,219.88,86.34,,8.66
2019-11-01 16:00:00,1.86,220.31,61.42,,10.48
2019-11-01 17:00:00,1.6,200.95,53.31,,10.9
2019-11-01 18:00:00,1.74,185.93,81.64,,9.74
2019-11-01 19:00:00,2.39,202.61,96.25,,9.87
2019-11-01 20:00:00,2.05,203.53,94.33,,11.85
2019-11-01 21:00:00,2.56,208.36,109.91,,13.35
2019-11-01 22:00:00,1.74,223.56,100.71,,10.35
2019-11-01 23:00:00,1.71,220.81,107.12,,12.34
2019-11-02 00:00:00,1.12,201.91,57.73,,9.31
2019-11-02 01:00:00,1.39,158.85,38.2,,7.83
2019-11-02 02:00:00,1.07,131.39,22.8,,8.16
2019-11-02 03:00:00,1.63,122.19,22.79,,6.47
2019-11-02 04:00:00,1.47,101.31,27.0,,7.44
2019-11-02 05:00:00,1.78,73.58,58.64,,6.03
2019-11-02 06:00:00,2.17,72.1,91.66,,10.81
2019-11-02 07:00:00,1.88,94.84,109.92,,10.35
2019-11-02 08:00:00,2.18,135.75,108.23,,10.71
2019-11-02 09:00:00,2.23,161.44,85.69,,10.13
2019-11-02 10:00:00,2.31,165.27,65.74,,10.25
2019-11-02 11:00:00,2.4,165.67,61.02,,10.1
2019-11-02 12:00:00,1.9,164.12,58.55,,9.73
2019-11-02 13:00:00,,,,,
2019-11-02 14:00:00,,,,,
2019-11-02 15:00:00,,,,,
2019-11-02 16:00:00,,,,,
2019-11-02 17:00:00,,,,,
2019-11-02 18:00:00,,,,,
2019-11-02 19:00:00,,,,,
2019-11-02 20:00:00,,,,,
2019-11-02 21:00:00,,,,,
2019-11-02 22:00:00,,,,,
2019-11-02 23:00:00,,,,,
2019-11-03 00:00:00,,,,,
