Datetime,CO (mg/m3),PM10 (ug/m3),Ozone (ug/m3),NOx (ppb),SO2 (ug/m3)
2019-10-31 01:00:00,0.94,46.11,,23.2,5.53
2019-10-31 02:00:00,0.84,39.26,,23.05,4.22
2019-10-31 03:00:00,0.85,40.98,,22.82,2.73
2019-10-31 04:00:00,0.85,42.02,,23.13,4.08
2019-10-31 05:00:00,0.89,40.44,,21.42,4.64
2019-10-31 06:00:00,0.86,45.2,,22.68,3.47
2019-10-31 07:00:00,0.9,42.95,,23.02,3.65
2019-10-31 08:00:00,0.91,45.32,,23.12,4.77
2019-10-31 09:00:00,0.93,44.04,,22.51,3.38
2019-10-31 10:00:00,0.89,46.2,,23.54,2.53
2019-10-31 11:00:00,0.9,44.26,,23.78,4.69
2019-10-31 12:00:00,0.95,47.37,,24.11,3.52
2019-10-31 13:00:00,1.0,49.09,,23.93,3.43
2019-10-31 14:00:00,0.89,51.02,,22.55,3.18
2019-10-31 15:00:00,0.83,53.88,,23.62,2.63
2019-10-31 16:00:00,0.84,55.32,,22.96,3.42
2019-10-31 17:00:00,0.9,56.7,,22.65,4.22
2019-10-31 18:00:00,0.91,62.93,,23.76,3.28
2019-10-31 19:00:00,0.97,59.95,,23.45,4.24
2019-10-31 20:00:00,0.93,63.83,,23.9,4.71
2019-10-31 21:00:00,0.89,71.31,,23.14,5.85
2019-10-31 22:00:00,0.86,63.66,,23.68,4.14
2019-10-31 23:00:00,0.92,63.08,,22.56,4.17
2019-11-01 00:00:00,0.88,99.35,,24.32,2.73
2019-11-01 01:00:00,0.91,96.79,,21.32,2.69
2019-11-01 02:00:00,0.86,80.55,,22.98,3.52
2019-11-01 03:00:00,0.86,72.83,,21.91,4.23
2019-11-01 04:00:00,0.89,72.16,,22.72,3.09
2019-11-01 05:00:00,0.88,68.58,,22.44,2.83
2019-11-01 06:00:00,1.44,67.55,,22.64,2.86
2019-11-01 07:00:00,0.92,65.31,,21.89,3.02
2019-11-01 08:00:00,0.93,63.51,,23.6,4.05
2019-11-01 09:00:00,0.91,49.39,,23.71,3.73
2019-11-01 10:00:00,0.86,42.81,,22.77,4.74
2019-11-01 11:00:00,0.9,38.07,,22.5,5.93
2019-11-01 12:00:00,0.99,40.28,,22.85,4.6
2019-11-01 13:00:00,0.82,40.71,,17.68,4.22
2019-11-01 14:00:00,0.99,43.61,,22.31,7.22
2019-11-01 15:00:00,0.88,45.88,,22.25,10.35
2019-11-01 16:00:00,0.88,48.14,,22.76,10.07
2019-11-01 17:00:00,0.89,48.26,,22.47,10.06
2019-11-01 18:00:00,0.96,56.55,,23.71,10.01
2019-11-01 19:00:00,0.9,54.84,,23.01,10.14
2019-11-01 20:00:00,0.98,54.48,,23.82,9.74
2019-11-01 21:00:00,0.97,55.2,,23.44,10.18
2019-11-01 22:00:00,0.93,55.4,,22.58,10.1
2019-11-01 23:00:00,1.0,80.09,,24.5,8.41
2019-11-02 00:00:00,0.93,86.06,,23.12,7.14
2019-11-02 01:00:00,0.9,73.5,,22.77,7.36
2019-11-02 02:00:00,0.87,57.41,,22.53,9.7
2019-11-02 03:00:00,0.77,52.67,,23.05,10.19
2019-11-02 04:00:00,0.85,79.22,,22.31,7.35
2019-11-02 05:00:00,0.91,90.16,,24.23,5.68
2019-11-02 06:00:00,0.88,85.3,,23.3,6.47
2019-11-02 07:00:00,0.85,86.98,,22.84,6.16
2019-11-02 08:00:00,0.97,90.3,,23.48,6.79
2019-11-02 09:00:00,0.88,69.66,,21.96,7.69
