Datetime,NH3 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3)
2019-10-31 01:00:00,,,,,,,
2019-10-31 02:00:00,,,,,,,
2019-10-31 03:00:00,,,,,,,
2019-10-31 04:00:00,,,,,,,
2019-10-31 05:00:00,,,,,,,
2019-10-31 06:00:00,,,,,,,
2019-10-31 07:00:00,,,,,,,
2019-10-31 08:00:00,,,,,,,
2019-10-31 09:00:00,,,,,,,
2019-10-31 10:00:00,,,,,,,
2019-10-31 11:00:00,20.87,11.23,1.9,4.67,7.57,71.46,35.07
2019-10-31 12:00:00,66.27,13.46,2.23,4.48,9.87,79.27,61.44
2019-10-31 13:00:00,67.81,15.6,2.32,5.02,11.2,120.09,95.7
2019-10-31 14:00:00,4.25,16.7,2.0,4.65,10.06,160.45,104.66
2019-10-31 15:00:00,,12.9,2.34,5.96,10.72,171.38,107.64
2019-10-31 16:00:00,143.04,3.0,0.95,6.6,6.77,127.66,47.91
2019-10-31 17:00:00,,0.0,0.0,,,135.22,54.44
2019-10-31 18:00:00,,0.0,0.0,,,202.9,104.41
2019-10-31 19:00:00,,0.0,0.0,,,214.33,70.06
2019-10-31 20:00:00,68.46,18.84,2.34,23.93,9.49,282.06,94.0
2019-10-31 21:00:00,66.26,23.62,2.24,3.8,9.1,265.9,131.0
2019-10-31 22:00:00,62.74,32.11,2.18,3.75,8.94,286.58,138.69
2019-10-31 23:00:00,97.08,32.76,2.47,3.76,10.41,272.07,123.86
2019-11-01 00:00:00,33.33,29.75,2.43,3.83,9.26,167.38,89.33
2019-11-01 01:00:00,61.84,27.52,2.38,3.6,8.22,116.34,27.75
2019-11-01 02:00:00,70.12,24.37,2.13,3.49,8.03,113.49,35.34
2019-11-01 03:00:00,69.5,19.81,2.36,3.26,9.06,136.9,64.23
2019-11-01 04:00:00,,19.26,2.56,3.64,8.66,135.56,69.26
2019-11-01 05:00:00,67.21,17.25,2.54,3.49,9.67,155.35,97.75
2019-11-01 06:00:00,69.29,24.05,2.21,3.01,9.28,167.93,93.71
2019-11-01 07:00:00,102.5,31.55,2.65,2.66,9.89,189.66,112.53
2019-11-01 08:00:00,209.17,23.01,2.02,3.38,7.21,177.02,101.31
2019-11-01 09:00:00,101.27,25.38,2.33,3.21,8.81,131.5,58.19
2019-11-01 10:00:00,90.28,16.46,2.14,4.25,6.5,101.48,37.33
2019-11-01 11:00:00,93.62,9.6,2.08,7.25,7.96,115.79,51.03
2019-11-01 12:00:00,,9.5,2.35,6.04,10.02,139.17,63.82
2019-11-01 13:00:00,119.58,9.7,2.08,7.49,8.37,143.93,85.19
2019-11-01 14:00:00,113.84,11.7,2.2,5.03,9.36,165.64,112.78
2019-11-01 15:00:00,127.9,14.48,2.41,5.04,10.46,196.16,131.5
2019-11-01 16:00:00,101.36,15.39,2.26,5.08,10.71,180.59,138.4
2019-11-01 17:00:00,76.95,7.06,1.97,5.06,8.79,176.67,90.44
2019-11-01 18:00:00,60.88,10.4,2.25,5.0,9.11,191.47,49.72
2019-11-01 19:00:00,129.29,12.36,2.24,3.77,8.83,224.61,70.78
2019-11-01 20:00:00,129.6,15.91,2.34,3.62,9.16,272.16,96.41
2019-11-01 21:00:00,67.41,22.07,2.48,3.62,10.42,296.26,107.64
2019-11-01 22:00:00,67.12,32.52,2.45,3.88,10.76,296.88,119.36
2019-11-01 23:00:00,65.77,34.88,2.49,3.15,10.92,218.44,117.87
2019-11-02 00:00:00,136.84,23.82,2.21,3.25,8.75,208.8,120.89
2019-11-02 01:00:00,67.67,21.29,2.44,3.27,9.21,151.51,81.5
2019-11-02 02:00:00,150.52,20.67,2.38,3.23,8.1,140.26,47.46
2019-11-02 03:00:00,36.27,19.6,2.12,3.49,7.91,140.15,58.45
2019-11-02 04:00:00,68.41,17.45,2.19,3.22,7.96,131.97,60.59
2019-11-02 05:00:00,68.66,22.17,2.51,3.62,8.71,123.38,61.8
2019-11-02 06:00:00,38.59,22.86,2.35,3.43,8.65,134.9,80.14
2019-11-02 07:00:00,103.95,20.57,2.5,3.13,9.44,223.2,141.57
2019-11-02 08:00:00,34.69,22.59,2.31,4.23,8.13,155.08,105.51
2019-11-02 09:00:00,69.47,22.88,2.5,3.93,9.22,136.82,89.53
2019-11-02 10:00:00,67.62,18.1,2.42,3.96,8.87,121.71,49.47
2019-11-02 11:00:00,74.19,28.77,2.35,5.73,10.38,145.32,55.16
2019-11-02 12:00:00,27.64,6.24,2.21,11.05,12.01,141.15,90.14
2019-11-02 13:00:00,30.25,7.27,2.13,10.69,12.21,135.0,98.02
2019-11-02 14:00:00,145.5,9.16,2.1,8.35,12.13,131.61,105.2
2019-11-02 15:00:00,,,,,,,
2019-11-02 16:00:00,,,,,,,
2019-11-02 17:00:00,2.62,9.32,1.71,3.91,6.99,116.61,59.4
2019-11-02 18:00:00,20.26,37.14,2.61,3.79,10.01,200.72,54.13
2019-11-02 19:00:00,6.73,56.67,2.87,3.6,11.28,348.72,108.55
2019-11-02 20:00:00,4.53,47.35,2.99,3.77,9.82,229.42,54.58
2019-11-02 21:00:00,5.15,40.3,2.5,3.51,9.24,246.1,69.12
2019-11-02 22:00:00,6.94,35.83,2.27,3.15,9.16,147.11,49.43
2019-11-02 23:00:00,5.11,26.93,2.72,3.25,9.43,155.15,57.43
2019-11-03 00:00:00,4.26,22.92,2.67,3.72,9.65,106.47,51.27
2019-11-03 01:00:00,4.39,19.2,2.22,4.19,8.39,135.35,64.45
2019-11-03 02:00:00,5.94,19.09,2.46,3.33,9.04,97.99,50.91
2019-11-03 03:00:00,5.82,19.12,2.39,3.36,9.28,110.92,54.3
2019-11-03 04:00:00,6.06,19.46,2.43,3.86,9.15,118.32,51.47
2019-11-03 05:00:00,6.13,17.91,2.48,3.26,9.4,123.56,53.61
2019-11-03 06:00:00,5.12,22.55,2.57,3.62,9.0,144.36,52.81
2019-11-03 07:00:00,7.14,22.82,2.55,3.28,8.64,130.5,54.3
2019-11-03 08:00:00,6.11,23.04,2.56,3.56,8.88,170.65,81.02
2019-11-03 09:00:00,4.14,23.88,2.81,3.06,9.51,152.68,69.12
2019-11-03 10:00:00,,,,,,,
2019-11-03 11:00:00,,0.0,0.0,,,90.4,35.71
2019-11-03 12:00:00,,0.0,0.0,,,187.81,98.5
2019-11-03 13:00:00,5.12,3.92,1.01,12.46,10.05,201.72,100.16
2019-11-03 14:00:00,,,,,,,
2019-11-03 15:00:00,149.69,21.59,0.95,13.04,11.32,188.29,83.27
2019-11-03 16:00:00,42.71,6.18,2.36,8.66,11.79,174.28,89.11
2019-11-03 17:00:00,9.3,7.46,2.46,11.46,12.51,230.29,139.24
2019-11-03 18:00:00,8.8,9.91,2.4,8.08,11.42,273.52,152.38
2019-11-03 19:00:00,9.46,9.77,2.5,5.06,10.6,272.33,130.25
2019-11-03 20:00:00,27.45,8.0,2.45,5.0,9.66,197.29,110.34
2019-11-03 21:00:00,9.83,14.34,2.48,3.78,9.69,229.62,110.1
2019-11-03 22:00:00,9.27,18.26,2.66,4.09,9.67,299.08,108.31
2019-11-03 23:00:00,8.85,14.93,2.53,4.59,9.3,216.73,86.04
2019-11-04 00:00:00,10.97,12.66,2.35,3.83,8.75,180.45,89.77
2019-11-04 01:00:00,10.27,11.7,2.39,3.78,9.52,157.08,88.45
2019-11-04 02:00:00,9.0,15.42,2.61,3.21,10.13,175.56,92.94
2019-11-04 03:00:00,9.34,16.05,2.21,3.85,9.28,162.25,85.03
2019-11-04 04:00:00,9.19,16.97,2.74,2.96,9.32,135.43,80.82
2019-11-04 05:00:00,,,,,,,
2019-11-04 06:00:00,,,,,,,
2019-11-04 07:00:00,,,,,,,
2019-11-04 08:00:00,44.17,62.05,2.67,2.41,11.7,173.57,88.62
2019-11-04 09:00:00,46.27,17.33,1.89,2.75,10.15,262.0,179.08
