Datetime,CO (mg/m3),Ozone (ug/m3),NOx (ppb),SO2 (ug/m3),PM2.5 (ug/m3)
2019-10-31 01:00:00,0.78,12.37,71.56,5.48,46.03
2019-10-31 02:00:00,0.73,13.16,61.11,6.56,31.16
2019-10-31 03:00:00,0.6,14.29,57.95,8.03,28.39
2019-10-31 04:00:00,0.58,13.7,54.96,9.19,33.38
2019-10-31 05:00:00,0.5,11.96,49.91,10.05,25.67
2019-10-31 06:00:00,0.47,12.3,43.85,5.42,23.29
2019-10-31 07:00:00,0.56,11.05,98.95,5.89,23.56
2019-10-31 08:00:00,0.7,9.9,68.52,6.02,30.8
2019-10-31 09:00:00,0.85,14.49,41.17,2.54,29.93
2019-10-31 10:00:00,0.83,23.4,32.14,0.02,33.64
2019-10-31 11:00:00,0.68,23.8,26.47,,26.31
2019-10-31 12:00:00,0.7,26.24,30.26,2.45,22.68
2019-10-31 13:00:00,0.74,35.6,29.39,1.27,25.56
2019-10-31 14:00:00,0.5,29.96,42.74,3.54,10.04
2019-10-31 15:00:00,0.52,28.01,26.38,4.33,8.56
2019-10-31 16:00:00,0.49,25.98,23.75,4.71,8.24
2019-10-31 17:00:00,0.48,24.44,27.15,4.25,11.46
2019-10-31 18:00:00,0.55,15.69,28.33,4.41,9.46
2019-10-31 19:00:00,0.55,16.99,34.7,3.62,13.08
2019-10-31 20:00:00,0.91,11.4,52.82,3.26,34.66
2019-10-31 21:00:00,0.97,15.05,59.26,3.5,34.78
2019-10-31 22:00:00,0.79,14.7,65.65,4.72,43.34
2019-10-31 23:00:00,0.85,11.97,75.7,11.2,23.2
2019-11-01 00:00:00,0.87,11.43,67.36,5.98,20.96
2019-11-01 01:00:00,0.81,9.07,56.89,7.13,34.13
2019-11-01 02:00:00,0.79,8.29,55.02,8.21,56.74
2019-11-01 03:00:00,0.68,8.32,41.36,9.35,54.43
2019-11-01 04:00:00,0.72,8.04,41.41,10.89,29.15
2019-11-01 05:00:00,0.57,8.9,43.08,12.02,23.28
