Datetime,CO (mg/m3),NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,1.16,36.53,11.01,28.21,7.26
2019-10-31 02:00:00,1.09,34.86,21.37,14.91,7.15
2019-10-31 03:00:00,1.01,35.43,6.11,29.4,7.25
2019-10-31 04:00:00,1.02,33.42,4.02,22.58,7.29
2019-10-31 05:00:00,0.99,33.77,4.19,31.23,7.12
2019-10-31 06:00:00,1.09,40.27,4.45,31.44,7.16
2019-10-31 07:00:00,1.26,52.04,3.5,38.73,7.29
2019-10-31 08:00:00,1.24,40.35,8.12,38.03,6.97
2019-10-31 09:00:00,1.11,31.21,8.7,33.65,7.36
2019-10-31 10:00:00,1.17,29.8,13.04,24.54,7.32
2019-10-31 11:00:00,1.28,30.39,9.54,12.91,7.09
2019-10-31 12:00:00,1.21,30.91,9.17,25.99,6.07
2019-10-31 13:00:00,1.15,31.13,13.19,18.97,3.64
2019-10-31 14:00:00,1.12,30.69,20.55,20.61,4.5
2019-10-31 15:00:00,1.05,31.12,14.36,26.27,6.61
2019-10-31 16:00:00,1.18,30.08,13.5,19.39,4.44
2019-10-31 17:00:00,1.18,30.71,10.57,11.29,4.53
2019-10-31 18:00:00,1.24,30.88,9.92,40.65,4.94
2019-10-31 19:00:00,1.45,32.51,6.95,127.74,7.84
2019-10-31 20:00:00,1.75,39.69,4.21,86.78,11.9
2019-10-31 21:00:00,1.62,37.46,5.74,47.5,11.91
2019-10-31 22:00:00,1.61,38.21,10.86,72.12,11.58
2019-10-31 23:00:00,1.57,41.77,5.39,56.26,12.13
2019-11-01 00:00:00,1.35,41.52,4.05,57.65,11.78
2019-11-01 01:00:00,1.14,39.14,4.16,48.55,11.99
2019-11-01 02:00:00,0.94,35.33,6.4,43.52,11.76
2019-11-01 03:00:00,0.88,32.83,15.48,34.42,12.0
2019-11-01 04:00:00,0.89,33.81,23.58,20.14,11.84
2019-11-01 05:00:00,0.88,34.21,21.02,35.17,11.95
2019-11-01 06:00:00,0.92,37.73,13.66,43.22,12.27
2019-11-01 07:00:00,1.01,41.7,15.32,35.8,11.89
2019-11-01 08:00:00,1.3,37.51,6.04,48.65,12.18
2019-11-01 09:00:00,1.29,35.73,6.24,55.82,12.12
2019-11-01 10:00:00,1.16,31.47,11.1,51.54,11.75
2019-11-01 11:00:00,1.03,31.93,17.92,41.72,9.29
2019-11-01 12:00:00,1.2,31.9,20.99,37.11,3.36
2019-11-01 13:00:00,1.31,30.21,18.74,12.73,2.39
2019-11-01 14:00:00,1.23,30.81,18.98,19.16,2.04
2019-11-01 15:00:00,1.28,30.99,16.38,10.05,2.04
2019-11-01 16:00:00,0.79,31.12,14.58,21.67,6.01
2019-11-01 17:00:00,0.9,30.2,13.53,21.28,7.8
2019-11-01 18:00:00,0.79,29.88,9.23,10.75,5.99
2019-11-01 19:00:00,0.78,30.21,11.55,13.14,6.0
2019-11-01 20:00:00,1.27,32.01,6.27,27.52,6.0
2019-11-01 21:00:00,1.68,31.57,5.79,42.77,6.0
2019-11-01 22:00:00,1.58,32.42,3.98,26.49,6.0
2019-11-01 23:00:00,1.56,35.17,4.13,32.86,5.96
2019-11-02 00:00:00,1.53,40.33,11.6,44.98,5.74
2019-11-02 01:00:00,1.67,46.94,4.75,66.54,5.83
2019-11-02 02:00:00,1.55,48.42,4.99,69.91,5.93
2019-11-02 03:00:00,1.62,41.1,4.58,55.69,5.82
2019-11-02 04:00:00,1.75,41.08,4.57,67.28,5.88
2019-11-02 05:00:00,1.61,37.14,4.15,67.16,5.94
2019-11-02 06:00:00,1.57,37.85,4.03,59.5,5.94
2019-11-02 07:00:00,1.59,40.17,4.43,55.43,6.0
2019-11-02 08:00:00,1.24,35.46,15.67,60.77,5.84
2019-11-02 09:00:00,1.18,30.24,14.55,43.56,5.87
2019-11-02 10:00:00,1.08,27.29,14.78,27.35,5.97
2019-11-02 11:00:00,1.11,26.7,21.14,28.63,5.99
2019-11-02 12:00:00,1.01,26.75,17.52,31.84,4.83
2019-11-02 13:00:00,0.91,25.68,25.16,8.09,4.41
2019-11-02 14:00:00,0.71,24.8,51.05,2.02,12.32
2019-11-02 15:00:00,0.84,27.86,46.54,7.3,11.84
2019-11-02 16:00:00,1.11,26.11,51.12,11.76,11.93
2019-11-02 17:00:00,1.05,26.73,28.07,20.65,11.68
2019-11-02 18:00:00,1.11,27.41,14.64,26.57,12.08
2019-11-02 19:00:00,1.25,28.22,10.22,28.73,7.0
2019-11-02 20:00:00,1.43,31.05,9.92,47.45,7.0
2019-11-02 21:00:00,1.34,30.95,7.5,50.51,7.0
2019-11-02 22:00:00,1.43,35.03,5.74,58.33,6.99
2019-11-02 23:00:00,1.55,41.36,3.87,72.43,6.99
2019-11-03 00:00:00,1.28,42.05,4.22,106.03,6.99
2019-11-03 01:00:00,1.14,38.82,4.41,87.77,7.0
2019-11-03 02:00:00,1.05,35.89,4.65,80.84,7.0
2019-11-03 03:00:00,0.98,34.67,5.67,77.16,6.99
2019-11-03 04:00:00,1.0,32.97,6.25,58.66,7.0
2019-11-03 05:00:00,0.98,34.23,4.75,55.15,7.05
2019-11-03 06:00:00,1.05,36.53,5.08,45.5,7.0
2019-11-03 07:00:00,1.19,41.42,4.51,56.97,7.02
2019-11-03 08:00:00,1.24,36.56,5.25,58.35,7.01
2019-11-03 09:00:00,1.18,32.7,6.17,70.83,7.0
2019-11-03 10:00:00,1.1,30.61,9.77,51.66,7.0
2019-11-03 11:00:00,1.06,30.43,18.88,67.09,7.02
2019-11-03 12:00:00,0.79,33.79,20.02,52.28,12.96
