Datetime,PM2.5 (ug/m3),PM10 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,28.99,44.14,17.96,15.84,8.05,0.83,66.87
2019-10-31 02:00:00,35.21,77.47,18.17,15.32,8.17,0.84,69.47
2019-10-31 03:00:00,31.72,79.53,17.09,15.46,7.8,0.84,71.03
2019-10-31 04:00:00,20.44,55.02,16.66,16.15,7.85,0.83,71.81
2019-10-31 05:00:00,20.16,62.35,17.76,15.74,7.75,0.83,73.28
2019-10-31 06:00:00,19.08,59.93,18.57,15.85,7.73,0.82,73.84
2019-10-31 07:00:00,20.7,65.81,20.26,15.58,7.87,0.83,75.16
2019-10-31 08:00:00,31.22,100.17,23.52,16.44,8.05,0.86,76.86
2019-10-31 09:00:00,37.89,118.73,26.35,16.47,8.04,0.9,80.47
2019-10-31 10:00:00,,,25.22,15.65,8.0,0.92,82.34
2019-10-31 11:00:00,12.75,19.95,21.02,14.95,8.14,0.94,72.0
2019-10-31 12:00:00,2.99,41.62,16.27,19.16,7.88,0.9,61.67
2019-10-31 13:00:00,,,18.02,25.56,7.79,0.86,62.58
2019-10-31 14:00:00,18.62,30.11,17.38,18.35,8.16,0.92,63.53
2019-10-31 15:00:00,12.89,49.38,14.65,20.57,8.27,0.95,52.91
2019-10-31 16:00:00,9.27,33.06,13.22,21.66,8.06,0.85,45.58
2019-10-31 17:00:00,6.22,15.37,12.92,26.56,7.97,0.74,41.01
2019-10-31 18:00:00,7.38,36.23,12.29,17.98,7.95,0.77,45.2
2019-10-31 19:00:00,9.48,55.37,12.15,15.36,7.99,0.84,53.45
2019-10-31 20:00:00,9.05,20.51,14.36,16.07,8.61,0.94,58.99
2019-10-31 21:00:00,23.58,73.23,18.08,15.52,8.89,1.05,65.85
2019-10-31 22:00:00,31.91,87.56,18.18,15.92,8.62,1.16,71.14
2019-10-31 23:00:00,32.81,81.38,22.0,15.87,9.35,1.32,75.44
2019-11-01 00:00:00,38.26,97.14,27.26,15.66,9.49,1.5,78.39
2019-11-01 01:00:00,41.14,113.69,31.98,15.3,8.8,1.65,79.56
2019-11-01 02:00:00,51.64,79.28,28.28,15.06,8.1,1.73,79.45
2019-11-01 03:00:00,22.42,63.43,28.96,15.84,8.14,1.77,79.01
2019-11-01 04:00:00,25.66,84.9,27.4,16.19,7.97,1.74,78.85
2019-11-01 05:00:00,20.78,111.53,28.03,16.14,7.94,1.68,77.76
2019-11-01 06:00:00,20.66,68.97,26.56,15.79,7.96,1.59,76.26
2019-11-01 07:00:00,19.95,72.85,26.94,16.46,8.26,1.53,75.43
2019-11-01 08:00:00,30.7,71.85,25.31,16.31,8.25,1.46,75.08
2019-11-01 09:00:00,27.47,57.52,23.01,16.24,7.98,1.37,72.93
2019-11-01 10:00:00,16.41,29.98,19.38,19.51,9.32,1.24,63.45
2019-11-01 11:00:00,30.81,48.63,16.71,24.3,11.74,1.08,56.77
2019-11-01 12:00:00,18.09,40.44,15.19,19.78,10.82,1.0,50.52
2019-11-01 13:00:00,15.45,31.0,13.02,18.13,12.62,0.91,46.92
2019-11-01 14:00:00,27.59,61.89,11.53,16.72,16.62,0.85,45.67
2019-11-01 15:00:00,4.3,15.14,11.23,19.78,13.13,0.8,44.6
2019-11-01 16:00:00,11.42,46.28,10.16,20.17,11.16,0.77,45.57
2019-11-01 17:00:00,17.45,47.38,9.99,20.77,10.41,0.73,44.49
2019-11-01 18:00:00,14.78,40.42,9.83,19.46,9.91,0.72,42.81
2019-11-01 19:00:00,8.01,25.13,9.17,17.51,8.97,0.73,41.58
2019-11-01 20:00:00,12.56,32.48,9.56,15.35,8.77,0.75,41.98
2019-11-01 21:00:00,12.25,31.59,10.42,14.69,8.39,0.76,45.09
2019-11-01 22:00:00,9.02,41.44,11.15,15.54,8.5,0.79,49.86
2019-11-01 23:00:00,8.72,36.9,11.18,17.18,8.41,0.81,54.71
2019-11-02 00:00:00,10.16,38.22,11.18,17.12,8.32,0.82,58.82
2019-11-02 01:00:00,16.47,72.02,15.12,17.38,8.31,0.85,63.19
2019-11-02 02:00:00,23.65,97.84,20.6,17.2,8.2,0.87,66.19
2019-11-02 03:00:00,29.53,82.33,18.61,17.12,8.06,0.89,67.36
