Datetime,PM2.5 (ug/m3),PM10 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,,9.9,18.13,6.09,9.82,1.8,13.09
2019-10-31 02:00:00,,,14.04,7.0,9.92,1.79,14.12
2019-10-31 03:00:00,9.35,10.0,9.44,7.93,9.86,1.7,17.84
2019-10-31 04:00:00,7.56,9.46,8.08,7.96,9.21,1.69,20.68
2019-10-31 05:00:00,9.08,11.95,12.7,7.02,9.34,1.69,14.41
2019-10-31 06:00:00,10.71,15.66,10.49,7.47,9.69,1.71,17.95
2019-10-31 07:00:00,12.66,15.49,17.31,6.72,9.86,1.83,13.58
2019-10-31 08:00:00,14.65,16.14,23.35,6.73,10.69,1.91,13.77
2019-10-31 09:00:00,,,36.23,11.37,10.73,1.93,14.44
2019-10-31 10:00:00,20.43,22.1,55.24,10.24,10.9,1.85,13.32
2019-10-31 11:00:00,12.14,27.7,61.22,10.69,11.49,1.85,20.95
2019-10-31 12:00:00,1.17,34.48,20.21,6.98,10.95,1.68,43.76
2019-10-31 13:00:00,5.19,33.41,6.03,8.21,10.29,1.68,52.83
2019-10-31 14:00:00,6.15,27.0,5.72,8.37,10.33,1.69,52.58
2019-10-31 15:00:00,7.24,24.06,4.98,8.45,10.88,0.87,48.11
2019-10-31 16:00:00,9.88,23.12,9.3,7.8,11.4,0.38,41.61
2019-10-31 17:00:00,9.71,21.13,6.38,8.01,10.02,0.37,40.23
2019-10-31 18:00:00,11.18,19.84,9.51,7.54,11.16,0.38,34.92
2019-10-31 19:00:00,12.63,18.65,6.5,7.78,10.89,0.34,42.05
2019-10-31 20:00:00,12.21,16.55,10.17,6.67,9.51,0.36,34.09
2019-10-31 21:00:00,10.95,13.61,12.99,5.91,9.18,0.38,30.12
2019-10-31 22:00:00,11.38,13.57,31.13,4.33,9.45,0.46,16.86
2019-10-31 23:00:00,36.83,37.04,35.69,2.98,9.75,0.49,12.25
2019-11-01 00:00:00,38.6,40.73,44.32,4.16,10.04,0.46,7.4
2019-11-01 01:00:00,33.59,37.48,19.68,5.46,9.59,0.45,12.41
2019-11-01 02:00:00,26.24,31.21,21.94,5.19,10.45,0.55,6.74
2019-11-01 03:00:00,27.1,30.93,27.29,4.28,10.59,0.53,3.77
2019-11-01 04:00:00,25.74,31.26,22.44,5.13,10.45,0.54,7.28
2019-11-01 05:00:00,20.53,29.26,23.06,5.66,10.66,0.55,5.47
2019-11-01 06:00:00,19.04,28.36,33.6,6.12,12.64,0.62,1.82
2019-11-01 07:00:00,20.49,30.12,41.31,9.31,11.54,0.8,3.16
2019-11-01 08:00:00,22.24,31.54,34.7,9.12,11.15,0.73,14.01
2019-11-01 09:00:00,24.75,34.36,39.33,6.41,14.21,0.82,27.03
2019-11-01 10:00:00,26.76,37.52,28.29,5.45,12.12,0.79,39.37
2019-11-01 11:00:00,23.05,36.13,28.41,3.94,11.57,0.7,52.99
2019-11-01 12:00:00,20.31,32.3,50.64,2.37,12.39,0.58,45.52
2019-11-01 13:00:00,21.19,31.29,29.25,4.14,12.55,0.47,49.17
2019-11-01 14:00:00,11.75,30.3,15.35,6.07,11.84,0.43,58.18
2019-11-01 15:00:00,5.97,29.51,11.43,7.11,11.16,0.42,47.67
2019-11-01 16:00:00,9.94,25.07,12.73,7.55,10.46,0.38,35.14
2019-11-01 17:00:00,11.25,24.25,12.04,7.27,9.89,0.39,36.6
2019-11-01 18:00:00,11.95,26.81,21.9,4.99,10.22,0.46,33.51
2019-11-01 19:00:00,14.07,27.22,16.58,4.93,10.05,0.48,30.21
2019-11-01 20:00:00,19.3,28.06,21.99,4.17,10.36,0.64,23.63
2019-11-01 21:00:00,25.61,32.95,23.55,3.27,10.21,0.6,19.94
