Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),NH3 (ug/m3)
2019-10-31 01:00:00,590.18,338.56,,5.95,11.44,
2019-10-31 02:00:00,503.57,306.49,,6.46,12.6,
2019-10-31 03:00:00,441.85,296.81,,7.2,12.83,
2019-10-31 04:00:00,448.78,310.77,,5.67,10.63,
2019-10-31 05:00:00,378.63,270.3,452.85,4.87,9.52,
2019-10-31 06:00:00,339.71,246.07,348.11,4.24,8.61,
2019-10-31 07:00:00,313.76,220.68,263.22,3.26,8.72,
2019-10-31 08:00:00,284.46,190.89,237.15,3.07,7.92,
2019-10-31 09:00:00,315.3,186.34,245.07,4.35,8.49,
2019-10-31 10:00:00,414.96,202.7,233.16,4.18,10.1,
2019-10-31 11:00:00,435.67,271.06,113.83,3.14,12.34,
2019-10-31 12:00:00,559.43,335.5,78.29,2.73,9.88,
2019-10-31 13:00:00,686.06,431.53,102.38,2.41,21.65,
2019-10-31 14:00:00,779.87,585.74,104.3,1.41,28.88,
2019-10-31 15:00:00,774.38,562.85,81.31,1.57,30.22,
2019-10-31 16:00:00,658.04,475.2,116.35,1.71,21.57,
2019-10-31 17:00:00,597.24,444.47,41.18,1.41,9.52,
2019-10-31 18:00:00,593.93,399.28,128.05,2.28,7.21,
2019-10-31 19:00:00,572.84,380.21,270.2,3.04,8.47,
2019-10-31 20:00:00,569.06,394.37,227.22,3.06,10.78,
2019-10-31 21:00:00,597.87,389.67,207.36,3.21,8.82,
2019-10-31 22:00:00,601.61,418.93,222.17,3.53,10.19,
2019-10-31 23:00:00,584.43,392.41,209.87,2.94,9.08,
2019-11-01 00:00:00,538.55,372.13,181.87,2.74,9.31,
2019-11-01 01:00:00,533.01,354.47,152.54,2.66,7.9,
2019-11-01 02:00:00,486.69,337.59,144.5,2.49,7.25,
2019-11-01 03:00:00,559.54,403.45,139.14,2.42,9.68,
2019-11-01 04:00:00,664.94,473.81,105.77,1.82,8.67,
2019-11-01 05:00:00,679.44,498.6,73.59,1.6,7.28,
2019-11-01 06:00:00,653.27,509.63,55.62,1.59,7.1,
2019-11-01 07:00:00,612.63,451.81,53.37,1.72,7.72,
2019-11-01 08:00:00,597.57,453.52,87.72,1.65,8.93,
2019-11-01 09:00:00,624.73,461.29,109.26,1.88,8.7,
2019-11-01 10:00:00,751.37,499.69,111.96,2.14,9.22,
2019-11-01 11:00:00,772.97,518.17,100.24,1.83,13.42,
2019-11-01 12:00:00,633.38,,50.66,1.73,16.19,
2019-11-01 13:00:00,560.28,506.41,50.43,1.37,40.32,
2019-11-01 14:00:00,555.04,325.62,42.8,1.3,61.78,
2019-11-01 15:00:00,567.73,301.89,46.81,1.39,67.45,
2019-11-01 16:00:00,573.65,299.26,41.1,1.85,46.33,
2019-11-01 17:00:00,605.1,295.12,44.16,1.36,21.57,
2019-11-01 18:00:00,668.41,321.33,68.09,1.81,8.09,
2019-11-01 19:00:00,448.61,262.67,57.3,1.59,8.67,
2019-11-01 20:00:00,445.84,276.41,67.0,1.87,8.79,
2019-11-01 21:00:00,475.58,285.68,79.34,1.88,6.48,
2019-11-01 22:00:00,377.01,223.54,65.89,1.77,7.34,
2019-11-01 23:00:00,355.33,195.91,76.59,1.59,8.07,
2019-11-02 00:00:00,342.25,199.32,84.7,1.41,7.27,
2019-11-02 01:00:00,338.06,194.79,65.37,1.23,8.21,
2019-11-02 02:00:00,332.69,207.44,48.08,1.13,9.34,
2019-11-02 03:00:00,307.9,206.18,38.81,0.94,8.99,
2019-11-02 04:00:00,336.07,233.27,33.0,0.86,8.91,
2019-11-02 05:00:00,409.06,276.7,33.67,0.6,8.65,
2019-11-02 06:00:00,389.36,306.13,34.43,0.73,7.74,
2019-11-02 07:00:00,388.12,267.41,38.31,0.96,8.54,
2019-11-02 08:00:00,343.17,218.23,58.18,0.97,7.11,
2019-11-02 09:00:00,347.42,212.57,56.38,1.01,9.47,
2019-11-02 10:00:00,556.98,340.77,47.77,1.5,12.41,
2019-11-02 11:00:00,728.18,511.32,33.18,1.8,15.56,
2019-11-02 12:00:00,817.83,557.86,36.6,1.65,14.38,
2019-11-02 13:00:00,669.61,433.57,47.53,1.41,27.79,
2019-11-02 14:00:00,523.42,332.13,43.26,1.41,29.37,
2019-11-02 15:00:00,462.85,315.75,33.22,1.13,28.66,
2019-11-02 16:00:00,510.88,298.11,30.67,0.82,25.89,
2019-11-02 17:00:00,754.19,363.86,28.42,0.95,22.32,
2019-11-02 18:00:00,721.38,499.57,26.05,1.12,18.99,
2019-11-02 19:00:00,665.32,504.18,26.22,1.13,19.94,
2019-11-02 20:00:00,582.77,465.41,24.39,0.92,11.15,
2019-11-02 21:00:00,624.46,433.75,31.32,0.74,11.35,
2019-11-02 22:00:00,546.7,450.51,62.07,1.18,7.45,
2019-11-02 23:00:00,597.08,450.3,58.27,1.18,10.06,
2019-11-03 00:00:00,598.48,451.13,63.78,1.25,6.98,
2019-11-03 01:00:00,615.06,467.76,60.66,1.3,8.07,
2019-11-03 02:00:00,638.76,489.33,54.88,1.56,11.22,
2019-11-03 03:00:00,832.01,644.45,44.05,1.35,13.91,
2019-11-03 04:00:00,959.87,782.16,33.59,1.12,13.54,
2019-11-03 05:00:00,,822.4,27.6,1.13,14.1,
2019-11-03 06:00:00,,904.71,30.24,1.12,15.4,
2019-11-03 07:00:00,,912.69,28.71,1.05,15.26,
2019-11-03 08:00:00,,831.7,29.85,0.88,10.49,
2019-11-03 09:00:00,,827.02,32.29,1.03,23.07,
2019-11-03 10:00:00,,,28.54,1.3,35.35,
2019-11-03 11:00:00,,,26.33,1.5,33.82,
2019-11-03 12:00:00,,,25.73,1.49,23.42,
2019-11-03 13:00:00,,,24.58,1.35,14.57,
2019-11-03 14:00:00,,947.34,25.15,0.91,14.98,
2019-11-03 15:00:00,994.39,829.57,27.39,0.79,21.31,
2019-11-03 16:00:00,860.01,724.58,27.81,0.54,15.52,
2019-11-03 17:00:00,704.53,527.24,28.03,0.45,10.83,
2019-11-03 18:00:00,632.2,484.36,27.62,0.64,7.32,
2019-11-03 19:00:00,400.8,272.81,25.64,0.44,7.7,
2019-11-03 20:00:00,379.0,250.03,28.96,0.23,7.93,
2019-11-03 21:00:00,397.76,283.0,32.0,0.23,8.66,
2019-11-03 22:00:00,375.38,255.58,27.75,0.18,4.97,
2019-11-03 23:00:00,293.0,196.04,36.95,0.23,4.72,
2019-11-04 00:00:00,276.3,158.93,43.9,0.23,6.15,
2019-11-04 01:00:00,260.87,156.92,46.25,0.4,9.65,
2019-11-04 02:00:00,446.95,309.72,48.04,0.41,13.76,
2019-11-04 03:00:00,754.87,610.17,36.3,0.28,20.0,
2019-11-04 04:00:00,903.96,738.05,26.86,0.41,20.38,
