Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,420.65,203.74,224.95,3.49,8.06
2019-10-31 02:00:00,501.13,254.35,259.91,3.93,8.97
2019-10-31 03:00:00,528.52,310.27,210.12,3.78,8.23
2019-10-31 04:00:00,510.92,304.77,182.52,3.63,7.77
2019-10-31 05:00:00,444.97,263.3,152.09,3.45,7.1
2019-10-31 06:00:00,462.24,306.76,148.91,3.49,7.66
2019-10-31 07:00:00,474.68,284.57,186.3,3.67,8.07
2019-10-31 08:00:00,420.83,230.16,163.83,3.46,8.04
2019-10-31 09:00:00,342.62,189.87,133.29,3.26,7.27
2019-10-31 10:00:00,328.43,170.57,91.05,2.95,8.09
2019-10-31 11:00:00,328.19,173.6,59.41,2.74,12.0
2019-10-31 12:00:00,324.55,185.3,40.95,2.6,24.07
2019-10-31 13:00:00,282.93,150.88,36.25,2.36,31.67
2019-10-31 14:00:00,322.93,189.89,28.15,2.17,40.78
2019-10-31 15:00:00,421.94,258.65,24.2,2.05,48.18
2019-10-31 16:00:00,481.92,318.57,20.04,2.04,45.01
2019-10-31 17:00:00,530.48,385.41,72.65,2.28,18.63
2019-10-31 18:00:00,700.09,460.02,113.61,2.98,9.63
2019-10-31 19:00:00,762.69,510.51,95.22,3.22,9.71
2019-10-31 20:00:00,698.64,461.22,68.25,3.25,9.45
2019-10-31 21:00:00,769.75,460.08,103.49,3.73,9.36
2019-10-31 22:00:00,833.77,472.57,148.23,4.17,9.53
2019-10-31 23:00:00,784.72,436.52,178.38,4.43,8.67
2019-11-01 00:00:00,725.18,442.37,186.05,4.54,8.39
2019-11-01 01:00:00,778.42,449.32,180.5,4.66,9.65
2019-11-01 02:00:00,793.44,539.85,150.64,4.89,10.08
2019-11-01 03:00:00,819.33,522.72,128.43,4.66,8.37
2019-11-01 04:00:00,755.62,511.78,117.26,4.47,8.1
2019-11-01 05:00:00,712.4,495.25,110.88,4.38,8.0
2019-11-01 06:00:00,735.26,467.98,124.89,4.49,7.98
2019-11-01 07:00:00,715.79,489.94,123.46,4.35,7.51
2019-11-01 08:00:00,677.5,433.7,142.16,4.44,8.43
2019-11-01 09:00:00,680.62,484.59,121.04,4.3,9.58
2019-11-01 10:00:00,715.61,446.73,102.08,4.24,8.64
2019-11-01 11:00:00,721.21,361.1,80.62,4.02,11.18
2019-11-01 12:00:00,683.61,354.48,71.21,3.87,14.07
