Datetime,NOx (ppb),CO (mg/m3),PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3),SO2 (ug/m3),Ozone (ug/m3)
2019-10-31 01:00:00,258.92,,,229.92,437.88,21.23,
2019-10-31 02:00:00,280.56,4.93,,251.2,494.11,23.37,
2019-10-31 03:00:00,259.63,4.18,,242.5,473.44,25.62,
2019-10-31 04:00:00,206.31,2.73,,269.88,381.0,24.86,
2019-10-31 05:00:00,162.45,1.85,,242.07,288.91,23.21,
2019-10-31 06:00:00,128.27,1.91,,241.1,228.63,21.72,
2019-10-31 07:00:00,103.66,1.46,,194.62,182.76,20.76,
2019-10-31 08:00:00,90.74,1.26,,187.35,155.88,19.8,
2019-10-31 09:00:00,122.39,1.25,,200.28,173.19,21.02,
2019-10-31 10:00:00,72.83,1.64,,197.02,132.73,25.73,
2019-10-31 11:00:00,47.98,1.64,,236.5,82.61,30.76,
2019-10-31 12:00:00,42.22,1.63,,288.95,73.59,29.73,
2019-10-31 13:00:00,42.5,1.59,,275.3,78.07,28.11,
2019-10-31 14:00:00,30.21,,,345.6,66.54,27.95,
2019-10-31 15:00:00,30.62,1.4,,383.1,66.01,21.41,
2019-10-31 16:00:00,29.27,1.25,,361.67,63.32,17.32,
2019-10-31 17:00:00,34.72,1.2,,341.55,68.52,13.57,
2019-10-31 18:00:00,43.62,1.77,,338.25,74.18,8.97,
2019-10-31 19:00:00,47.3,1.91,,348.7,78.13,8.08,
2019-10-31 20:00:00,,,,,,,
2019-10-31 21:00:00,66.68,2.48,,312.6,102.02,9.23,
2019-10-31 22:00:00,91.03,3.05,,318.2,134.31,9.5,
2019-10-31 23:00:00,,,,,,,
2019-11-01 00:00:00,114.06,3.27,,313.7,187.59,19.89,
2019-11-01 01:00:00,106.44,2.64,,308.1,177.36,13.86,
2019-11-01 02:00:00,70.38,2.0,,289.8,126.8,13.88,
2019-11-01 03:00:00,96.89,1.77,,282.7,119.43,19.79,
2019-11-01 04:00:00,130.48,1.96,,308.3,181.88,18.42,
