Datetime,PM10 (ug/m3),NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,,109.22,8.87,233.07,2.09,,44.57
2019-10-31 02:00:00,,76.61,8.96,226.43,1.18,,40.22
2019-10-31 03:00:00,,53.1,8.42,213.66,0.97,,36.02
2019-10-31 04:00:00,,40.88,9.27,211.69,0.8,,31.48
2019-10-31 05:00:00,,47.37,7.98,177.69,0.91,,28.92
2019-10-31 06:00:00,,44.14,8.66,161.34,0.87,,26.52
2019-10-31 07:00:00,,53.7,8.25,162.38,0.9,,25.04
2019-10-31 08:00:00,,61.92,8.29,164.54,0.85,,24.97
2019-10-31 09:00:00,,73.25,9.29,163.88,1.06,,24.97
2019-10-31 10:00:00,,53.44,11.49,158.56,1.05,,24.27
2019-10-31 11:00:00,,39.78,17.17,195.95,0.83,,23.98
2019-10-31 12:00:00,,25.7,30.37,184.99,0.4,,23.57
2019-10-31 13:00:00,,23.55,55.56,161.89,0.16,,22.86
2019-10-31 14:00:00,,20.68,67.73,164.02,0.75,,21.6
2019-10-31 15:00:00,,23.19,77.3,177.2,0.37,,24.05
2019-10-31 16:00:00,,27.56,64.85,213.43,0.68,,16.18
2019-10-31 17:00:00,,33.74,33.27,221.31,1.37,,12.82
2019-10-31 18:00:00,,43.02,9.66,302.1,1.51,,17.02
2019-10-31 19:00:00,,34.56,11.03,335.62,1.48,,20.64
2019-10-31 20:00:00,,34.2,10.91,337.68,0.49,,27.86
2019-10-31 21:00:00,,36.94,5.54,363.17,0.1,,30.54
2019-10-31 22:00:00,,92.78,4.18,354.2,0.1,,31.43
2019-10-31 23:00:00,,127.37,4.15,341.17,2.75,,33.84
2019-11-01 00:00:00,,142.0,4.24,369.2,4.15,,41.71
2019-11-01 01:00:00,,100.34,4.9,372.25,2.74,,51.05
2019-11-01 02:00:00,,56.64,4.52,366.39,1.36,,50.7
2019-11-01 03:00:00,,39.7,4.0,377.38,1.19,,45.9
2019-11-01 04:00:00,,44.26,3.37,354.22,1.23,,41.91
2019-11-01 05:00:00,,41.76,3.67,332.67,0.86,,39.24
2019-11-01 06:00:00,,40.55,3.36,295.6,0.72,,37.76
2019-11-01 07:00:00,,61.69,3.34,278.12,0.65,,37.73
2019-11-01 08:00:00,,97.04,4.26,269.72,1.92,,35.18
2019-11-01 09:00:00,,88.87,4.87,252.17,6.1,,23.07
2019-11-01 10:00:00,,59.91,15.78,242.13,6.14,,20.27
2019-11-01 11:00:00,,50.95,53.27,266.97,1.46,,20.99
2019-11-01 12:00:00,,43.28,83.46,295.44,1.21,,21.55
2019-11-01 13:00:00,,47.35,130.86,318.09,1.27,,22.23
2019-11-01 14:00:00,,35.68,165.08,332.18,1.36,,21.89
2019-11-01 15:00:00,,27.25,185.04,355.5,1.15,,25.17
2019-11-01 16:00:00,,23.2,152.91,361.45,0.79,,28.63
2019-11-01 17:00:00,,20.57,100.62,329.46,0.91,,28.77
2019-11-01 18:00:00,,23.88,64.88,322.74,0.76,,29.21
2019-11-01 19:00:00,,28.09,48.72,265.34,0.75,,29.55
2019-11-01 20:00:00,,23.04,43.97,258.18,0.25,,29.97
2019-11-01 21:00:00,,29.61,18.52,204.56,0.1,,30.3
2019-11-01 22:00:00,,41.49,3.12,176.58,0.1,,32.19
2019-11-01 23:00:00,,30.37,6.66,157.65,0.66,,34.3
2019-11-02 00:00:00,,33.48,3.0,152.41,0.63,,34.55
2019-11-02 01:00:00,,48.59,2.35,136.84,0.57,,36.11
2019-11-02 02:00:00,,37.26,2.5,146.8,0.76,,37.52
2019-11-02 03:00:00,,25.67,3.26,164.25,0.6,,38.11
2019-11-02 04:00:00,,23.46,3.64,119.83,0.48,,38.16
2019-11-02 05:00:00,,21.47,2.39,99.15,0.7,,37.64
2019-11-02 06:00:00,,24.02,2.19,119.28,0.75,,38.16
2019-11-02 07:00:00,,24.76,2.9,99.14,0.79,,37.47
2019-11-02 08:00:00,,27.68,2.91,117.12,1.07,,36.39
2019-11-02 09:00:00,,29.37,3.1,104.88,3.95,,22.79
2019-11-02 10:00:00,,34.78,5.08,149.39,6.48,,17.29
2019-11-02 11:00:00,,30.73,13.78,195.51,1.13,,18.9
2019-11-02 12:00:00,,31.37,31.82,,1.22,,20.66
2019-11-02 13:00:00,,33.15,39.78,355.54,1.0,,21.27
2019-11-02 14:00:00,,26.3,51.05,362.31,1.15,,10.88
2019-11-02 15:00:00,,23.04,44.46,299.79,0.68,,11.18
2019-11-02 16:00:00,,23.04,31.22,281.01,1.16,,11.07
2019-11-02 17:00:00,,24.23,23.32,296.31,1.19,,12.83
2019-11-02 18:00:00,,23.43,16.16,362.35,1.4,,14.12
2019-11-02 19:00:00,,24.91,16.93,448.72,1.3,,15.74
2019-11-02 20:00:00,,31.34,9.33,471.36,1.41,,17.04
2019-11-02 21:00:00,,33.97,6.93,445.93,1.4,,17.46
2019-11-02 22:00:00,,38.69,7.91,438.76,1.5,,18.46
2019-11-02 23:00:00,,46.25,3.27,408.84,1.72,,19.27
2019-11-03 00:00:00,,33.92,3.16,434.87,1.64,,19.82
2019-11-03 01:00:00,,24.12,4.91,447.92,1.59,,18.71
2019-11-03 02:00:00,,20.49,4.0,465.56,1.28,,18.38
2019-11-03 03:00:00,,21.8,4.13,435.55,1.23,,17.74
2019-11-03 04:00:00,,22.61,3.77,439.08,1.29,,18.12
2019-11-03 05:00:00,,23.02,4.58,449.54,1.34,,18.11
2019-11-03 06:00:00,,23.04,4.5,465.79,1.38,,18.47
2019-11-03 07:00:00,,22.77,2.13,501.92,1.45,,19.44
2019-11-03 08:00:00,,31.73,2.77,510.4,1.55,,20.68
2019-11-03 09:00:00,,27.64,4.62,507.74,1.64,,22.04
2019-11-03 10:00:00,,28.46,6.15,536.07,1.66,,22.38
2019-11-03 11:00:00,,25.4,9.49,548.55,1.14,,23.62
2019-11-03 12:00:00,,22.85,15.46,547.99,1.23,,22.55
2019-11-03 13:00:00,,27.41,18.79,551.0,1.31,,22.92
2019-11-03 14:00:00,,22.38,28.96,554.53,1.39,,22.88
2019-11-03 15:00:00,,20.49,38.2,523.78,0.92,,22.2
2019-11-03 16:00:00,,16.83,42.11,414.16,0.43,,19.7
2019-11-03 17:00:00,,18.74,36.22,284.37,0.82,,18.36
2019-11-03 18:00:00,,29.53,11.64,249.28,1.02,,18.31
2019-11-03 19:00:00,,38.07,2.47,257.44,1.35,,18.47
2019-11-03 20:00:00,,44.99,3.72,234.78,1.5,,19.43
2019-11-03 21:00:00,,34.02,3.09,236.42,1.35,,20.29
2019-11-03 22:00:00,,40.73,1.22,204.03,1.36,,20.52
2019-11-03 23:00:00,,46.84,1.59,170.12,1.1,,20.18
2019-11-04 00:00:00,,50.66,1.43,161.15,1.1,,20.63
2019-11-04 01:00:00,,41.84,2.77,136.5,1.01,,20.37
2019-11-04 02:00:00,,28.64,2.2,106.23,0.97,,20.34
2019-11-04 03:00:00,,26.43,2.47,119.71,0.99,,18.8
2019-11-04 04:00:00,,25.31,3.25,123.84,0.95,,18.15
2019-11-04 05:00:00,,25.59,4.3,162.12,1.1,,18.52
2019-11-04 06:00:00,,29.97,3.21,235.59,1.05,,18.82
2019-11-04 07:00:00,,34.1,5.03,237.72,1.16,,19.87
2019-11-04 08:00:00,,38.47,6.87,296.01,0.95,,20.68
2019-11-04 09:00:00,,30.16,6.19,349.27,1.06,,21.82
2019-11-04 10:00:00,,30.19,6.9,387.08,0.99,,21.33
2019-11-04 11:00:00,,25.21,26.02,383.65,0.75,,26.1
2019-11-04 12:00:00,,20.88,46.72,355.96,0.32,,36.98
2019-11-04 13:00:00,,18.34,49.18,286.83,0.11,,36.19
2019-11-04 14:00:00,,16.95,72.98,239.85,0.33,,34.23
2019-11-04 15:00:00,,16.34,85.91,192.31,0.4,,33.5
2019-11-04 16:00:00,,15.69,80.14,173.17,0.45,,33.06
2019-11-04 17:00:00,,17.7,69.84,141.37,0.3,,32.26
2019-11-04 18:00:00,,25.13,35.22,121.38,0.45,,32.59
2019-11-04 19:00:00,,36.45,7.08,101.41,0.1,,41.18
2019-11-04 20:00:00,,40.64,1.76,113.4,1.99,,36.23
2019-11-04 21:00:00,,52.95,3.08,135.67,4.45,,36.0
2019-11-04 22:00:00,,48.86,4.62,157.41,5.01,,37.53
2019-11-04 23:00:00,,27.95,15.01,142.89,0.53,,38.17
2019-11-05 00:00:00,,21.71,19.53,152.26,0.43,,36.47
2019-11-05 01:00:00,,20.79,16.59,154.77,0.48,,35.88
2019-11-05 02:00:00,,19.4,15.71,147.02,0.6,,35.52
2019-11-05 03:00:00,,18.51,14.92,144.38,0.64,,35.64
2019-11-05 04:00:00,,19.02,11.67,163.0,0.65,,35.69
2019-11-05 05:00:00,,20.02,8.98,193.96,0.72,,36.33
2019-11-05 06:00:00,,22.16,4.79,202.25,0.7,,36.76
2019-11-05 07:00:00,,28.54,4.34,201.7,0.75,,37.48
2019-11-05 08:00:00,,31.36,4.82,197.79,0.67,,37.05
2019-11-05 09:00:00,,28.66,9.57,184.3,1.01,,36.21
2019-11-05 10:00:00,,24.43,30.42,196.38,0.37,,40.21
2019-11-05 11:00:00,,20.82,36.1,189.4,0.53,,39.06
2019-11-05 12:00:00,,17.21,56.11,184.71,0.5,,36.76
2019-11-05 13:00:00,,15.32,69.78,105.31,0.47,,31.67
2019-11-05 14:00:00,,14.4,76.81,93.81,0.48,,29.33
2019-11-05 15:00:00,,14.53,79.16,78.1,0.99,,26.66
2019-11-05 16:00:00,,14.7,78.78,49.84,1.61,,25.11
2019-11-05 17:00:00,,17.45,60.67,64.91,0.66,,24.43
2019-11-05 18:00:00,,26.32,35.8,69.44,0.35,,26.56
2019-11-05 19:00:00,,45.78,3.41,89.18,0.1,,40.51
2019-11-05 20:00:00,,105.91,2.87,101.02,3.01,,38.25
2019-11-05 21:00:00,,151.19,4.04,132.36,5.83,,37.88
2019-11-05 22:00:00,,99.54,2.98,126.05,6.42,,42.69
2019-11-05 23:00:00,,87.96,3.56,137.07,0.95,,47.58
2019-11-06 00:00:00,,58.62,1.54,141.41,0.32,,46.41
2019-11-06 01:00:00,,59.43,1.94,99.0,0.27,,44.08
2019-11-06 02:00:00,,40.39,1.85,100.9,0.71,,43.19
2019-11-06 03:00:00,,35.24,1.44,117.91,0.6,,44.06
2019-11-06 04:00:00,,29.7,1.56,109.59,0.65,,41.44
2019-11-06 05:00:00,,28.43,1.42,93.9,0.64,,40.77
2019-11-06 06:00:00,,27.79,2.14,105.47,0.61,,39.74
2019-11-06 07:00:00,,45.8,2.4,83.93,0.71,,39.34
2019-11-06 08:00:00,,68.61,3.13,98.92,0.81,,40.05
2019-11-06 09:00:00,,77.08,3.22,85.17,3.0,,27.21
2019-11-06 10:00:00,,41.58,15.22,98.31,2.82,,29.28
2019-11-06 11:00:00,,25.25,50.56,108.4,0.82,,30.77
2019-11-06 12:00:00,,24.74,68.82,96.92,0.81,,27.86
2019-11-06 13:00:00,,16.58,84.85,80.41,0.59,,24.27
2019-11-06 14:00:00,,13.74,85.07,76.87,0.7,,22.74
2019-11-06 15:00:00,,11.93,95.38,63.45,0.86,,22.79
2019-11-06 16:00:00,,12.79,94.29,50.27,0.8,,21.43
2019-11-06 17:00:00,,16.01,71.45,36.62,0.79,,21.52
2019-11-06 18:00:00,,27.02,30.86,62.84,0.9,,22.63
2019-11-06 19:00:00,,34.3,21.77,65.21,0.69,,25.2
2019-11-06 20:00:00,,35.18,22.69,65.05,1.0,,26.35
2019-11-06 21:00:00,,43.14,9.78,101.45,0.83,,27.75
2019-11-06 22:00:00,,49.47,4.12,108.46,1.02,,28.54
2019-11-06 23:00:00,,46.49,5.04,133.4,0.64,,30.97
2019-11-07 00:00:00,,40.38,4.46,119.45,0.42,,32.53
2019-11-07 01:00:00,,31.59,8.79,114.66,0.3,,32.3
2019-11-07 02:00:00,,27.17,12.05,101.7,0.88,,31.29
2019-11-07 03:00:00,,31.56,6.15,89.93,0.99,,30.46
2019-11-07 04:00:00,,26.4,6.49,86.27,1.1,,30.95
2019-11-07 05:00:00,,27.3,2.66,86.31,0.56,,31.76
2019-11-07 06:00:00,,42.19,2.74,94.37,0.77,,33.39
2019-11-07 07:00:00,,41.72,3.96,105.91,0.88,,36.0
2019-11-07 08:00:00,,45.72,4.61,129.74,1.08,,36.75
2019-11-07 09:00:00,,58.2,5.68,137.76,2.9,,27.34
2019-11-07 10:00:00,,36.4,9.26,161.25,3.04,,31.51
2019-11-07 11:00:00,,30.32,7.83,180.24,1.11,,19.28
2019-11-07 12:00:00,,25.41,5.53,200.44,0.29,,3.76
2019-11-07 13:00:00,,28.56,9.09,221.84,0.13,,4.92
2019-11-07 14:00:00,,40.02,10.71,199.49,1.28,,6.54
2019-11-07 15:00:00,,42.53,19.37,183.87,1.57,,5.71
