Datetime,PM10 (ug/m3),NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),CO (mg/m3),SO2 (ug/m3)
2019-10-31 01:00:00,,,28.37,,,8.53
2019-10-31 02:00:00,,,27.6,,,11.76
2019-10-31 03:00:00,,,29.57,,,8.77
2019-10-31 04:00:00,,,24.01,,,10.08
2019-10-31 05:00:00,,,20.6,,,7.62
2019-10-31 06:00:00,,,19.77,,,7.18
2019-10-31 07:00:00,,,12.52,,,9.32
2019-10-31 08:00:00,,,5.92,,,14.43
2019-10-31 09:00:00,,,8.72,,,16.33
2019-10-31 10:00:00,,,24.87,,,17.74
2019-10-31 11:00:00,,,39.2,,,18.38
2019-10-31 12:00:00,,,39.22,,,21.22
2019-10-31 13:00:00,,,64.23,,,21.59
2019-10-31 14:00:00,,,75.56,,,18.69
2019-10-31 15:00:00,,,67.2,,,13.55
2019-10-31 16:00:00,,,43.69,,,10.45
2019-10-31 17:00:00,,,25.75,,,9.29
2019-10-31 18:00:00,,,17.97,,,7.75
2019-10-31 19:00:00,,,22.23,,,9.69
2019-10-31 20:00:00,,,24.13,,,13.51
2019-10-31 21:00:00,,,27.78,,,10.33
2019-10-31 22:00:00,,,21.97,,,8.57
2019-10-31 23:00:00,,,16.58,,,10.35
2019-11-01 00:00:00,,,15.23,,,16.85
2019-11-01 01:00:00,,,22.83,,,13.48
2019-11-01 02:00:00,,,23.64,,,11.21
2019-11-01 03:00:00,,,21.15,,,14.64
2019-11-01 04:00:00,,,24.24,,,9.02
2019-11-01 05:00:00,,,24.36,,,8.47
2019-11-01 06:00:00,,,22.92,,,5.86
2019-11-01 07:00:00,,,17.86,,,3.97
2019-11-01 08:00:00,,,3.52,,,25.43
2019-11-01 09:00:00,,,12.56,,,13.7
2019-11-01 10:00:00,,,55.21,,,18.38
2019-11-01 11:00:00,,,79.19,,,20.91
2019-11-01 12:00:00,,,111.47,,,24.67
2019-11-01 13:00:00,,,131.75,,,23.91
2019-11-01 14:00:00,,,117.45,,,27.79
2019-11-01 15:00:00,,,92.34,,,18.12
2019-11-01 16:00:00,,,78.31,,,16.25
2019-11-01 17:00:00,,,53.48,,,11.8
2019-11-01 18:00:00,,,38.44,,,10.43
2019-11-01 19:00:00,,,35.03,,,8.99
2019-11-01 20:00:00,,,23.53,,,7.79
2019-11-01 21:00:00,,,19.1,,,5.27
2019-11-01 22:00:00,,,17.23,,,4.95
2019-11-01 23:00:00,,,15.03,,,6.75
2019-11-02 00:00:00,,,18.87,,,8.64
2019-11-02 01:00:00,,,14.79,,,9.85
2019-11-02 02:00:00,,,21.45,,,14.27
2019-11-02 03:00:00,,,21.27,,,15.05
2019-11-02 04:00:00,,,22.33,,,8.32
2019-11-02 05:00:00,,,22.56,,,9.39
2019-11-02 06:00:00,,,23.24,,,12.93
2019-11-02 07:00:00,,,22.25,,,11.44
2019-11-02 08:00:00,,,13.84,,,8.2
2019-11-02 09:00:00,,,15.05,,,18.41
2019-11-02 10:00:00,,,23.48,,,18.39
2019-11-02 11:00:00,,,35.41,,,21.19
2019-11-02 12:00:00,,,56.97,,,22.67
2019-11-02 13:00:00,,,58.49,,,13.96
2019-11-02 14:00:00,,,63.38,,,11.09
2019-11-02 15:00:00,,,55.73,,,6.39
2019-11-02 16:00:00,,,35.98,,,3.67
2019-11-02 17:00:00,,,30.7,,,3.65
2019-11-02 18:00:00,,,32.04,,,2.46
2019-11-02 19:00:00,,,37.13,,,3.84
2019-11-02 20:00:00,,,26.08,,,3.68
2019-11-02 21:00:00,,,22.13,,,4.17
2019-11-02 22:00:00,,,22.74,,,3.54
2019-11-02 23:00:00,,,20.62,,,3.95
2019-11-03 00:00:00,,,20.09,,,1.2
2019-11-03 01:00:00,,,22.89,,,1.73
2019-11-03 02:00:00,,,25.41,,,3.22
2019-11-03 03:00:00,,,29.19,,,6.59
2019-11-03 04:00:00,,,32.24,,,5.47
2019-11-03 05:00:00,,,31.94,,,1.5
2019-11-03 06:00:00,,,30.1,,,1.01
2019-11-03 07:00:00,,,37.99,,,0.97
2019-11-03 08:00:00,,,40.56,,,0.87
2019-11-03 09:00:00,,,65.25,,,2.54
2019-11-03 10:00:00,,,63.6,,,2.12
