Datetime,NOx (ppb),Ozone (ug/m3),CO (mg/m3),NH3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,48.47,6.47,1.61,26.96,298.75,249.25,7.15
2019-10-31 02:00:00,49.84,6.68,1.51,27.23,301.0,257.0,7.93
2019-10-31 03:00:00,52.31,6.61,1.36,27.25,308.75,256.75,7.27
2019-10-31 04:00:00,51.04,6.96,1.18,26.74,288.0,231.25,5.21
2019-10-31 05:00:00,51.43,7.07,1.02,27.38,276.5,216.5,5.44
2019-10-31 06:00:00,51.76,7.12,1.01,27.38,264.75,206.0,5.93
2019-10-31 07:00:00,50.45,7.12,0.92,26.65,268.25,204.25,5.48
2019-10-31 08:00:00,56.78,7.58,1.04,29.12,263.5,204.75,4.54
2019-10-31 09:00:00,53.11,7.76,1.43,28.57,300.25,219.25,7.03
2019-10-31 10:00:00,51.86,8.74,1.33,28.45,360.5,241.0,10.03
2019-10-31 11:00:00,47.8,14.19,0.62,27.34,339.0,237.5,14.11
2019-10-31 12:00:00,,29.38,0.61,,249.5,176.0,16.27
2019-10-31 13:00:00,,48.35,0.66,,269.0,193.0,12.2
2019-10-31 14:00:00,,89.2,0.83,,530.0,432.5,18.89
2019-10-31 15:00:00,,100.02,0.77,,549.25,456.5,18.56
2019-10-31 16:00:00,,75.14,0.83,,582.75,496.0,13.71
2019-10-31 17:00:00,,39.05,0.92,,597.5,503.0,10.77
2019-10-31 18:00:00,,9.39,1.15,,578.5,479.25,8.49
2019-10-31 19:00:00,,6.64,1.36,,543.25,444.75,7.44
2019-10-31 20:00:00,,6.53,1.73,,528.75,429.75,7.55
2019-10-31 21:00:00,,6.67,2.41,,522.0,424.75,8.69
2019-10-31 22:00:00,,6.57,2.69,,510.25,413.5,9.16
2019-10-31 23:00:00,,6.4,2.16,,493.5,391.25,8.45
2019-11-01 00:00:00,,6.64,1.88,,415.75,342.5,8.27
2019-11-01 01:00:00,,6.45,1.85,,411.25,337.5,7.3
2019-11-01 02:00:00,,6.75,1.71,,436.5,357.25,7.17
2019-11-01 03:00:00,,7.21,1.43,,493.5,412.75,5.56
2019-11-01 04:00:00,,7.01,1.22,,540.25,448.75,4.08
2019-11-01 05:00:00,,7.0,1.05,,536.5,448.5,4.79
2019-11-01 06:00:00,,6.73,1.21,,514.75,439.75,5.08
2019-11-01 07:00:00,,6.81,1.33,,507.5,426.75,4.79
2019-11-01 08:00:00,,7.48,1.52,,525.25,430.25,7.54
2019-11-01 09:00:00,,8.63,1.37,,597.5,464.0,7.09
2019-11-01 10:00:00,,8.18,1.2,,628.0,483.5,7.29
2019-11-01 11:00:00,,9.66,1.11,,595.5,468.75,10.74
2019-11-01 12:00:00,,27.04,0.87,,534.75,432.0,12.6
2019-11-01 13:00:00,,80.7,0.76,,509.25,419.75,10.46
2019-11-01 14:00:00,,149.35,0.85,,,,10.86
2019-11-01 15:00:00,,164.85,0.85,,267.0,201.0,6.24
2019-11-01 16:00:00,,120.62,0.84,,531.5,419.5,4.98
2019-11-01 17:00:00,,56.58,0.8,,484.25,386.0,5.08
2019-11-01 18:00:00,,12.81,0.87,,444.5,347.75,9.78
2019-11-01 19:00:00,,6.49,1.04,,430.5,326.75,8.41
2019-11-01 20:00:00,,7.03,1.12,,456.0,357.25,8.54
2019-11-01 21:00:00,,6.27,0.84,,433.75,326.0,9.68
2019-11-01 22:00:00,,5.8,0.96,,363.75,254.5,7.0
2019-11-01 23:00:00,,5.74,0.91,,338.25,235.0,6.93
2019-11-02 00:00:00,,6.36,0.68,,307.25,219.25,6.11
2019-11-02 01:00:00,,5.85,0.78,,294.0,210.0,4.89
2019-11-02 02:00:00,,,,,,,
2019-11-02 03:00:00,,,,,,,
2019-11-02 04:00:00,,,,,,,
2019-11-02 05:00:00,,,,,,,
2019-11-02 06:00:00,,,,,,,
2019-11-02 07:00:00,,,,,,,
2019-11-02 08:00:00,,,,,,,
2019-11-02 09:00:00,,6.41,0.57,,218.0,158.0,4.26
2019-11-02 10:00:00,,7.34,0.74,,293.75,211.5,3.42
2019-11-02 11:00:00,,13.09,0.86,,477.5,363.25,5.68
2019-11-02 12:00:00,,39.96,0.91,,570.25,444.25,4.89
2019-11-02 13:00:00,,91.22,0.87,,596.75,465.75,5.79
2019-11-02 14:00:00,,123.8,0.67,,582.75,456.5,6.88
2019-11-02 15:00:00,,99.13,0.55,,474.5,370.75,6.75
2019-11-02 16:00:00,,68.72,0.64,,385.0,305.5,4.13
2019-11-02 17:00:00,,36.97,0.74,,487.75,398.0,4.08
2019-11-02 18:00:00,,37.39,0.79,,592.25,494.25,4.53
2019-11-02 19:00:00,,45.52,0.73,,656.75,562.5,6.99
2019-11-02 20:00:00,,11.17,0.82,,558.0,492.25,6.53
2019-11-02 21:00:00,,6.88,0.86,,520.25,466.75,6.15
