Datetime,NOx (ppb),Ozone (ug/m3),CO (mg/m3),PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,119.2,21.05,5.93,478.25,332.81,,9.23
2019-10-31 02:00:00,114.92,20.32,5.18,491.75,342.15,3.3,8.53
2019-10-31 03:00:00,93.93,19.75,3.89,485.0,346.75,12.8,7.5
2019-10-31 04:00:00,88.78,19.35,2.87,463.25,330.39,15.2,7.25
2019-10-31 05:00:00,73.33,19.65,2.33,367.0,260.86,24.65,6.7
2019-10-31 06:00:00,69.07,19.52,2.16,328.5,247.19,22.0,6.38
2019-10-31 07:00:00,70.6,19.75,2.39,332.0,241.88,15.85,6.17
2019-10-31 08:00:00,60.83,19.62,2.29,378.5,280.43,22.6,5.58
2019-10-31 09:00:00,63.95,20.05,2.8,426.5,281.99,16.73,6.1
2019-10-31 10:00:00,50.25,21.68,2.28,420.0,287.12,29.23,11.97
2019-10-31 11:00:00,40.53,28.35,2.81,562.75,316.95,37.85,20.17
2019-10-31 12:00:00,33.5,47.77,3.1,706.75,501.42,42.35,18.15
2019-10-31 13:00:00,32.95,59.67,2.73,774.25,,40.25,20.6
2019-10-31 14:00:00,29.28,84.6,2.44,680.75,,42.78,21.83
2019-10-31 15:00:00,28.07,91.53,2.34,633.25,,44.95,19.28
2019-10-31 16:00:00,29.9,83.67,2.15,586.5,,44.17,17.8
2019-10-31 17:00:00,38.8,40.42,2.4,551.25,,37.0,14.75
2019-10-31 18:00:00,48.07,33.35,2.59,554.0,,29.4,11.68
2019-10-31 19:00:00,66.12,20.75,3.35,558.75,,14.12,9.68
2019-10-31 20:00:00,58.55,20.0,3.93,685.75,435.7,21.5,8.53
2019-10-31 21:00:00,61.58,19.48,4.33,645.25,442.37,18.25,7.75
2019-10-31 22:00:00,48.17,22.35,3.55,647.75,474.48,30.03,7.18
2019-10-31 23:00:00,48.2,20.52,3.68,565.75,423.52,27.83,6.97
2019-11-01 00:00:00,43.85,24.32,3.08,593.75,441.22,31.1,6.7
2019-11-01 01:00:00,40.62,23.67,2.87,537.5,407.64,33.48,6.9
2019-11-01 02:00:00,44.62,19.7,3.23,530.0,414.14,26.77,6.43
2019-11-01 03:00:00,48.75,19.75,3.6,579.5,477.57,21.88,6.07
2019-11-01 04:00:00,43.8,19.83,3.46,654.25,526.55,26.4,5.6
2019-11-01 05:00:00,40.75,19.82,3.1,668.75,547.9,27.95,5.82
2019-11-01 06:00:00,37.95,19.7,2.9,615.5,488.33,29.73,5.28
2019-11-01 07:00:00,34.7,19.5,2.91,580.25,478.09,32.55,4.97
2019-11-01 08:00:00,40.53,19.95,3.29,560.0,466.4,27.23,5.1
2019-11-01 09:00:00,68.62,20.35,3.68,607.5,487.38,4.88,5.72
2019-11-01 10:00:00,44.65,22.07,3.0,712.0,542.48,25.77,7.6
2019-11-01 11:00:00,35.05,46.45,2.78,699.0,493.98,34.12,13.15
2019-11-01 12:00:00,40.5,76.47,3.12,665.25,467.66,27.75,18.9
2019-11-01 13:00:00,34.68,153.95,2.65,670.0,449.8,34.6,22.78
2019-11-01 14:00:00,28.65,167.8,2.12,637.25,399.75,42.08,25.45
2019-11-01 15:00:00,30.42,168.65,2.07,541.75,372.99,42.7,23.62
2019-11-01 16:00:00,30.48,107.53,1.78,540.0,341.99,43.62,23.55
2019-11-01 17:00:00,32.15,57.0,1.63,455.75,295.99,42.58,16.25
2019-11-01 18:00:00,36.23,45.62,1.96,383.5,238.09,38.93,12.05
2019-11-01 19:00:00,52.48,26.0,2.4,394.75,241.7,24.2,14.02
2019-11-01 20:00:00,49.17,43.62,2.19,516.75,339.26,28.9,11.12
2019-11-01 21:00:00,39.05,36.4,1.88,502.0,262.14,38.45,10.28
2019-11-01 22:00:00,39.88,23.1,2.12,381.0,210.54,34.5,8.28
2019-11-01 23:00:00,36.77,26.85,2.05,337.25,193.84,35.2,8.07
2019-11-02 00:00:00,32.83,26.1,1.53,357.75,197.36,36.25,7.5
2019-11-02 01:00:00,33.88,22.75,1.45,295.5,180.99,34.35,7.3
2019-11-02 02:00:00,32.78,20.85,1.53,295.0,186.29,34.82,6.92
2019-11-02 03:00:00,30.48,20.18,1.51,319.75,224.27,36.6,6.22
2019-11-02 04:00:00,29.77,20.85,1.57,326.0,235.84,37.95,6.12
2019-11-02 05:00:00,32.62,20.2,1.7,366.75,285.17,33.0,6.12
2019-11-02 06:00:00,34.8,20.07,1.48,379.75,295.01,29.45,6.12
2019-11-02 07:00:00,42.08,19.8,1.71,299.5,229.62,22.05,6.12
2019-11-02 08:00:00,45.82,19.95,1.84,333.75,246.81,20.0,6.33
2019-11-02 09:00:00,46.55,20.4,2.37,362.75,266.14,21.38,7.25
2019-11-02 10:00:00,44.05,20.45,2.36,508.75,362.72,24.4,11.32
2019-11-02 11:00:00,43.48,23.88,2.78,528.0,367.16,27.62,14.53
2019-11-02 12:00:00,33.65,46.65,2.3,667.75,470.7,35.92,20.77
2019-11-02 13:00:00,27.73,79.45,1.9,550.0,381.48,39.7,21.48
2019-11-02 14:00:00,24.1,104.62,1.66,444.0,314.64,42.88,17.25
2019-11-02 15:00:00,24.55,102.05,1.85,402.25,280.24,43.22,14.25
