Datetime,PM10 (ug/m3),NOx (ppb),Ozone (ug/m3),CO (mg/m3),PM2.5 (),NH3 (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,414.5,319.89,17.2,7.56,273.75,106.91,10.7
2019-10-31 02:00:00,419.75,293.31,15.7,7.05,267.25,98.78,9.9
2019-10-31 03:00:00,345.5,219.96,14.77,6.49,254.75,77.76,7.8
2019-10-31 04:00:00,367.5,160.34,15.25,5.81,220.25,60.04,6.35
2019-10-31 05:00:00,288.75,128.03,15.35,5.13,206.75,50.57,5.62
2019-10-31 06:00:00,352.75,113.35,15.7,4.54,221.75,46.17,5.4
2019-10-31 07:00:00,316.0,112.29,16.1,4.0,225.0,45.59,5.47
2019-10-31 08:00:00,354.0,143.87,17.8,3.48,227.75,54.9,6.68
2019-10-31 09:00:00,674.75,143.04,17.8,3.17,252.25,54.84,6.72
2019-10-31 10:00:00,983.0,107.28,17.95,2.69,327.5,44.4,5.58
2019-10-31 11:00:00,543.5,80.29,18.82,2.25,211.75,36.68,5.1
2019-10-31 12:00:00,513.25,57.39,29.15,1.88,196.5,29.77,4.67
2019-10-31 13:00:00,395.0,32.78,65.28,1.54,181.0,22.4,4.25
2019-10-31 14:00:00,383.5,30.37,81.93,1.43,183.0,21.61,4.0
2019-10-31 15:00:00,461.25,38.57,92.5,1.33,255.25,23.92,3.68
2019-10-31 16:00:00,641.25,50.0,73.7,1.47,329.25,27.76,3.77
2019-10-31 17:00:00,729.0,85.7,22.67,1.75,348.0,37.02,4.5
2019-10-31 18:00:00,695.0,165.85,14.43,2.48,350.0,60.27,6.4
2019-10-31 19:00:00,976.25,265.04,16.38,4.03,382.75,89.6,9.2
2019-10-31 20:00:00,999.0,357.44,16.8,6.04,412.0,116.72,11.6
2019-10-31 21:00:00,,358.0,17.12,7.15,451.25,117.42,11.8
2019-10-31 22:00:00,,387.5,16.92,8.31,459.75,126.52,12.5
2019-10-31 23:00:00,821.0,334.71,16.92,8.56,433.0,111.27,11.25
2019-11-01 00:00:00,735.0,249.5,16.15,7.98,422.5,86.48,9.1
2019-11-01 01:00:00,644.75,213.86,14.97,6.67,411.75,75.15,7.73
2019-11-01 02:00:00,525.25,209.75,14.98,5.8,385.0,74.45,7.55
2019-11-01 03:00:00,631.25,146.03,15.42,5.0,409.0,55.95,6.12
2019-11-01 04:00:00,529.75,114.16,15.1,4.4,405.5,46.01,5.55
2019-11-01 05:00:00,540.25,98.63,15.73,3.91,419.25,41.58,5.22
2019-11-01 06:00:00,522.75,98.83,18.3,3.56,412.5,41.69,5.88
2019-11-01 07:00:00,503.0,97.91,18.2,3.32,410.25,41.17,6.05
2019-11-01 08:00:00,594.5,130.9,17.65,3.44,419.5,50.98,6.85
2019-11-01 09:00:00,723.25,153.37,16.98,3.82,431.25,57.84,7.2
2019-11-01 10:00:00,706.25,133.46,16.55,3.73,439.25,51.52,6.1
2019-11-01 11:00:00,,89.85,21.93,3.44,512.0,39.6,4.67
2019-11-01 12:00:00,738.0,65.75,47.72,2.88,468.5,32.52,3.8
2019-11-01 13:00:00,723.25,57.37,82.4,2.55,477.25,29.3,3.55
2019-11-01 14:00:00,760.5,56.36,91.78,2.42,481.75,29.16,3.62
2019-11-01 15:00:00,684.0,60.89,85.12,2.33,456.75,30.32,3.6
2019-11-01 16:00:00,698.0,77.78,52.5,2.43,457.75,34.99,3.9
2019-11-01 17:00:00,667.0,82.9,26.12,2.54,456.25,36.22,4.55
2019-11-01 18:00:00,683.0,170.44,15.92,2.94,419.5,61.48,6.8
2019-11-01 19:00:00,913.0,150.18,16.25,3.51,430.0,56.13,6.35
2019-11-01 20:00:00,627.0,163.47,16.88,4.0,339.5,60.08,6.8
2019-11-01 21:00:00,861.25,70.56,17.6,3.66,348.0,33.75,5.03
2019-11-01 22:00:00,690.0,79.33,14.97,2.49,248.0,42.82,5.45
2019-11-01 23:00:00,667.75,123.56,14.18,3.21,228.75,48.9,5.6
2019-11-02 00:00:00,540.0,138.97,13.95,3.15,215.5,53.28,6.05
2019-11-02 01:00:00,451.25,126.38,14.23,3.0,207.0,48.92,5.72
2019-11-02 02:00:00,300.0,112.25,14.73,2.7,174.25,45.72,5.35
2019-11-02 03:00:00,296.5,84.37,15.85,2.44,180.5,37.51,4.85
2019-11-02 04:00:00,283.5,71.47,18.23,2.24,168.75,33.79,5.12
2019-11-02 05:00:00,247.5,68.04,18.05,2.02,153.0,32.97,5.17
2019-11-02 06:00:00,330.0,53.88,17.62,1.79,165.25,28.71,4.93
2019-11-02 07:00:00,202.75,51.86,17.17,1.61,142.75,27.95,4.95
2019-11-02 08:00:00,236.25,51.14,16.92,1.34,144.75,27.84,4.9
2019-11-02 09:00:00,322.25,57.51,14.1,1.1,169.25,29.32,4.53
2019-11-02 10:00:00,481.5,58.89,13.85,1.2,230.75,29.96,4.08
2019-11-02 11:00:00,463.5,57.6,14.95,1.36,276.0,29.33,4.03
2019-11-02 12:00:00,593.0,47.28,20.15,1.35,313.5,26.34,3.67
2019-11-02 13:00:00,550.0,47.19,37.48,1.68,335.5,26.45,3.55
2019-11-02 14:00:00,600.0,46.11,56.8,1.89,368.5,26.04,3.45
2019-11-02 15:00:00,692.25,30.95,57.65,1.89,434.75,21.87,4.05
2019-11-02 16:00:00,536.75,28.09,45.33,1.65,340.75,21.13,3.98
2019-11-02 17:00:00,520.75,27.57,32.35,1.67,340.5,20.53,4.03
2019-11-02 18:00:00,614.25,21.67,31.35,1.74,426.0,19.06,3.95
2019-11-02 19:00:00,761.5,29.32,21.5,1.87,566.5,21.18,4.25
2019-11-02 20:00:00,813.5,48.84,16.25,2.05,659.0,26.69,4.28
2019-11-02 21:00:00,753.75,75.89,15.38,2.24,569.75,34.34,4.6
2019-11-02 22:00:00,757.75,106.98,14.72,2.92,507.75,43.73,5.17
2019-11-02 23:00:00,830.5,125.8,14.62,3.43,505.75,49.17,5.45
2019-11-03 00:00:00,669.0,97.5,14.9,3.42,529.0,41.24,4.8
2019-11-03 01:00:00,609.75,74.52,16.45,3.27,532.0,34.45,4.55
2019-11-03 02:00:00,643.25,57.74,18.02,3.17,561.0,29.44,4.73
2019-11-03 03:00:00,706.25,39.98,17.75,3.03,612.5,24.36,4.53
2019-11-03 04:00:00,761.0,32.45,17.7,2.86,653.5,22.32,4.35
2019-11-03 05:00:00,720.0,30.02,17.4,2.68,621.5,21.38,4.22
2019-11-03 06:00:00,657.0,21.7,17.25,2.53,580.75,19.32,4.0
2019-11-03 07:00:00,822.5,18.44,16.45,2.48,714.5,18.16,3.67
2019-11-03 08:00:00,961.25,27.25,14.55,2.55,819.25,20.48,3.6
2019-11-03 09:00:00,865.25,33.17,16.97,2.59,772.0,22.53,3.7
2019-11-03 10:00:00,917.5,30.44,22.55,2.73,817.5,21.44,3.67
2019-11-03 11:00:00,,29.5,28.27,2.86,942.0,21.18,3.53
2019-11-03 12:00:00,,27.44,37.73,2.99,,20.55,3.8
2019-11-03 13:00:00,,27.28,39.4,2.92,968.75,20.87,4.4
2019-11-03 14:00:00,981.0,23.53,49.75,2.7,864.75,19.57,4.45
2019-11-03 15:00:00,892.25,20.04,49.83,2.4,762.75,18.61,4.45
2019-11-03 16:00:00,582.5,21.66,46.7,2.14,403.0,18.79,4.35
2019-11-03 17:00:00,563.5,30.56,35.08,1.99,324.0,21.59,4.4
2019-11-03 18:00:00,726.75,57.94,15.32,1.99,449.0,29.39,4.4
2019-11-03 19:00:00,707.5,84.8,13.67,2.17,444.75,37.08,5.2
2019-11-03 20:00:00,763.0,81.72,13.6,2.25,414.25,36.32,4.72
2019-11-03 21:00:00,392.25,69.42,13.57,2.19,290.0,32.88,4.45
2019-11-03 22:00:00,287.5,73.82,13.55,2.05,189.5,34.3,4.6
2019-11-03 23:00:00,224.5,66.12,15.93,2.05,142.0,31.88,4.93
2019-11-04 00:00:00,249.0,60.55,17.45,2.06,134.0,30.09,5.1
2019-11-04 01:00:00,203.25,51.93,17.3,1.9,126.5,28.07,4.88
2019-11-04 02:00:00,193.5,39.32,17.48,1.75,129.75,24.1,4.65
2019-11-04 03:00:00,224.25,34.61,17.43,1.62,157.25,22.74,4.53
2019-11-04 04:00:00,301.5,31.31,16.77,1.55,238.25,21.89,4.3
2019-11-04 05:00:00,400.25,33.91,14.75,1.5,331.75,22.59,4.0
2019-11-04 06:00:00,422.5,32.09,14.75,1.47,364.0,21.86,3.65
2019-11-04 07:00:00,450.0,33.82,14.95,1.47,395.0,22.76,3.8
2019-11-04 08:00:00,526.5,38.53,15.18,1.51,427.75,23.98,3.9
2019-11-04 09:00:00,669.25,44.0,15.68,1.6,446.75,25.53,3.88
2019-11-04 10:00:00,590.0,39.32,21.93,1.87,504.75,24.25,4.2
2019-11-04 11:00:00,587.0,28.56,41.33,1.67,426.0,20.97,4.32
2019-11-04 12:00:00,462.75,21.68,65.88,1.38,311.75,19.12,4.35
2019-11-04 13:00:00,371.0,18.77,77.45,1.17,250.75,17.98,4.43
2019-11-04 14:00:00,366.75,15.12,94.22,0.98,257.5,17.12,4.38
2019-11-04 15:00:00,307.0,17.64,94.92,0.8,191.5,17.8,4.2
2019-11-04 16:00:00,253.25,19.67,95.03,0.71,148.75,18.07,3.7
2019-11-04 17:00:00,222.0,24.94,74.3,0.64,115.25,20.12,3.58
2019-11-04 18:00:00,224.0,58.35,24.17,0.7,89.75,29.37,3.9
2019-11-04 19:00:00,405.5,97.05,16.35,0.9,117.0,40.93,4.78
2019-11-04 20:00:00,472.25,124.69,16.3,1.34,121.75,48.44,5.72
2019-11-04 21:00:00,534.0,90.06,18.27,1.65,139.75,38.9,5.3
2019-11-04 22:00:00,345.5,77.44,19.05,1.88,117.5,35.7,5.4
2019-11-04 23:00:00,399.5,57.27,18.75,1.89,124.5,29.56,4.88
2019-11-05 00:00:00,302.0,46.59,18.7,1.86,141.5,26.29,4.6
2019-11-05 01:00:00,301.0,35.57,18.9,1.71,187.75,22.94,4.53
2019-11-05 02:00:00,370.75,35.66,18.25,1.61,259.0,23.05,4.4
2019-11-05 03:00:00,352.5,31.12,17.55,1.5,289.0,21.8,3.83
2019-11-05 04:00:00,360.0,28.7,17.7,1.46,295.75,21.01,3.78
2019-11-05 05:00:00,362.0,25.27,17.93,1.32,310.25,20.05,3.6
2019-11-05 06:00:00,358.0,28.98,17.45,1.25,297.0,21.33,3.62
2019-11-05 07:00:00,338.25,33.28,17.52,1.19,282.0,22.66,3.75
2019-11-05 08:00:00,340.75,28.57,19.48,1.1,268.0,21.23,4.07
2019-11-05 09:00:00,338.25,31.86,23.68,0.97,248.25,21.87,4.47
2019-11-05 10:00:00,401.75,24.98,44.9,0.97,239.5,19.87,4.3
2019-11-05 11:00:00,490.25,23.06,71.98,0.89,230.5,19.66,4.18
2019-11-05 12:00:00,320.75,17.09,99.82,0.76,166.5,17.73,4.25
2019-11-05 13:00:00,263.25,14.22,98.65,0.59,130.25,16.86,4.05
