Datetime,PM10 (ug/m3),NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),CO (mg/m3),SO2 (ug/m3),NH3 (ug/m3)
2019-10-31 01:00:00,260.25,162.48,1.15,234.5,2.6,3.55,21.18
2019-10-31 02:00:00,275.5,180.65,,251.0,2.88,2.7,21.77
2019-10-31 03:00:00,276.25,233.9,0.5,249.25,3.1,4.2,23.8
2019-10-31 04:00:00,250.0,193.52,1.2,236.75,2.22,2.95,33.1
2019-10-31 05:00:00,228.0,141.38,1.23,213.5,1.4,1.3,34.03
2019-10-31 06:00:00,214.0,124.18,1.47,207.25,1.05,1.7,32.82
2019-10-31 07:00:00,208.0,101.95,2.05,202.0,0.68,3.4,29.2
2019-10-31 08:00:00,226.0,95.42,0.9,188.0,0.6,3.5,20.1
2019-10-31 09:00:00,249.0,210.23,1.1,192.0,1.32,5.5,18.73
2019-10-31 10:00:00,338.0,250.85,0.75,212.75,1.77,7.6,20.33
2019-10-31 11:00:00,405.75,129.5,0.45,232.0,1.07,5.25,24.08
2019-10-31 12:00:00,391.25,117.67,5.35,208.5,,,38.33
2019-10-31 13:00:00,305.5,48.25,14.78,239.75,1.08,19.98,36.67
2019-10-31 14:00:00,405.0,38.42,37.28,370.25,0.75,6.17,43.42
2019-10-31 15:00:00,524.25,38.25,26.85,413.0,1.05,5.17,41.8
2019-10-31 16:00:00,732.0,34.5,25.62,516.0,1.02,5.62,34.75
2019-10-31 17:00:00,730.25,43.62,13.53,514.0,1.15,4.55,32.67
2019-10-31 18:00:00,669.75,50.75,5.05,489.0,1.3,3.9,30.68
2019-10-31 19:00:00,589.75,77.2,2.25,428.5,1.73,3.47,30.55
2019-10-31 20:00:00,590.0,100.67,1.0,421.0,2.18,3.25,41.83
2019-10-31 21:00:00,543.0,128.35,2.58,419.5,2.55,3.8,39.95
2019-10-31 22:00:00,538.75,145.18,3.1,393.25,2.8,3.8,40.92
2019-10-31 23:00:00,569.75,162.93,4.2,407.5,3.55,4.33,39.55
2019-11-01 00:00:00,569.75,203.88,2.92,401.25,4.25,5.5,27.9
2019-11-01 01:00:00,566.25,182.62,2.9,390.25,3.42,1.73,27.2
2019-11-01 02:00:00,530.25,200.2,2.9,385.75,3.88,0.53,30.48
2019-11-01 03:00:00,562.5,183.85,2.75,433.5,3.0,1.0,39.2
2019-11-01 04:00:00,594.75,157.3,2.9,468.5,2.7,0.55,45.35
2019-11-01 05:00:00,618.0,,7.1,488.25,2.17,0.3,
2019-11-01 06:00:00,577.75,,6.68,487.25,1.58,,
2019-11-01 07:00:00,503.5,,3.38,473.75,1.25,1.4,
2019-11-01 08:00:00,482.25,,2.47,448.25,1.02,2.45,
2019-11-01 09:00:00,546.0,,2.9,454.25,1.55,2.67,
2019-11-01 10:00:00,691.0,,3.0,479.0,2.12,3.27,
2019-11-01 11:00:00,576.75,,2.4,472.25,2.02,2.42,
2019-11-01 12:00:00,546.5,,4.95,451.0,1.73,1.23,
2019-11-01 13:00:00,548.75,,6.12,449.75,1.73,2.67,
2019-11-01 14:00:00,553.75,,21.35,445.25,1.42,3.52,
2019-11-01 15:00:00,531.0,,34.77,431.75,1.12,4.05,
2019-11-01 16:00:00,668.75,,31.03,474.25,0.85,5.08,
2019-11-01 17:00:00,604.0,,19.4,440.25,0.88,4.2,
2019-11-01 18:00:00,495.75,,9.88,363.75,0.9,3.65,
2019-11-01 19:00:00,403.0,,3.25,303.0,0.85,3.8,
2019-11-01 20:00:00,333.75,81.9,4.08,279.5,1.07,3.2,37.15
2019-11-01 21:00:00,312.5,73.75,2.23,277.75,0.9,3.15,40.9
2019-11-01 22:00:00,317.0,68.15,2.4,233.5,0.65,3.2,37.75
2019-11-01 23:00:00,264.75,76.5,2.43,209.25,0.72,3.12,35.1
2019-11-02 00:00:00,250.75,82.3,2.95,201.0,0.8,4.03,23.55
2019-11-02 01:00:00,261.25,73.65,2.62,189.5,1.65,1.62,20.93
2019-11-02 02:00:00,221.75,74.03,2.7,182.0,1.48,0.35,21.93
2019-11-02 03:00:00,212.5,83.2,2.05,183.75,1.4,1.6,30.05
2019-11-02 04:00:00,196.0,77.58,2.25,189.0,1.4,0.78,37.58
2019-11-02 05:00:00,186.0,69.42,2.75,178.0,1.12,1.62,38.6
2019-11-02 06:00:00,180.25,62.5,3.58,171.25,0.93,0.72,34.45
2019-11-02 07:00:00,158.5,64.12,2.75,147.0,0.8,2.48,29.6
2019-11-02 08:00:00,143.75,51.88,3.2,132.25,0.55,3.08,18.77
2019-11-02 09:00:00,151.0,74.65,2.7,130.5,0.98,2.67,19.28
2019-11-02 10:00:00,238.75,78.97,3.08,204.75,1.73,2.9,30.77
2019-11-02 11:00:00,412.25,68.92,3.47,380.25,2.2,2.55,41.83
2019-11-02 12:00:00,452.0,71.97,5.6,415.25,2.65,2.88,55.62
2019-11-02 13:00:00,500.75,73.85,11.55,435.5,2.77,1.8,61.48
2019-11-02 14:00:00,500.25,42.05,19.17,450.0,2.0,0.55,50.8
2019-11-02 15:00:00,383.25,34.1,19.65,346.5,1.8,0.85,47.02
2019-11-02 16:00:00,401.25,28.77,16.8,362.0,1.85,0.78,37.48
2019-11-02 17:00:00,462.5,27.85,13.95,409.75,2.02,0.55,39.23
2019-11-02 18:00:00,487.75,29.4,9.6,476.5,2.3,0.45,44.2
2019-11-02 19:00:00,559.0,32.35,7.4,544.0,2.25,4.03,48.65
2019-11-02 20:00:00,,49.25,2.73,,2.2,4.28,57.58
2019-11-02 21:00:00,,55.3,1.95,,2.4,4.4,56.38
2019-11-02 22:00:00,,68.05,2.18,,2.7,4.5,53.35
2019-11-02 23:00:00,,93.08,3.25,,2.77,5.55,50.52
2019-11-03 00:00:00,,84.15,3.05,,2.8,5.85,40.1
2019-11-03 01:00:00,,70.62,3.1,,2.42,2.5,43.42
2019-11-03 02:00:00,,64.72,3.7,,2.42,1.62,46.23
2019-11-03 03:00:00,,59.5,2.53,,2.4,2.6,63.05
2019-11-03 04:00:00,,50.2,3.2,,2.35,1.73,75.35
2019-11-03 05:00:00,,40.38,2.82,,2.35,0.9,76.9
2019-11-03 06:00:00,,37.65,3.95,,2.68,1.15,81.7
