Datetime,CO (mg/m3),NH3 (ug/m3),NOx (ppb),Ozone (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,1.65,,,24.72,399.5,192.0,16.0
2019-10-31 02:00:00,0.38,,,21.75,337.5,169.25,7.0
2019-10-31 03:00:00,,,177.6,19.33,282.75,142.0,1.6
2019-10-31 04:00:00,,,161.18,19.35,305.25,139.75,
2019-10-31 05:00:00,,,144.8,18.43,363.75,167.25,6.1
2019-10-31 06:00:00,,,126.62,19.25,349.5,159.5,7.8
2019-10-31 07:00:00,1.25,19.25,99.45,19.48,335.0,154.0,6.65
2019-10-31 08:00:00,1.85,19.52,130.6,21.0,372.25,163.0,9.1
2019-10-31 09:00:00,1.55,19.3,155.07,18.62,407.0,168.5,10.17
2019-10-31 10:00:00,1.05,19.4,129.4,18.15,382.75,153.25,6.0
2019-10-31 11:00:00,0.5,21.2,56.28,17.57,349.5,139.25,3.4
2019-10-31 12:00:00,0.15,17.77,35.02,23.07,323.5,135.75,8.43
2019-10-31 13:00:00,0.45,17.65,23.6,32.72,295.0,123.0,8.65
2019-10-31 14:00:00,0.65,19.18,21.18,44.65,298.0,127.0,9.52
2019-10-31 15:00:00,0.95,21.58,21.05,53.2,376.0,175.0,9.55
2019-10-31 16:00:00,1.0,22.55,22.75,51.48,448.0,208.0,8.62
2019-10-31 17:00:00,1.43,22.62,30.35,29.65,460.0,235.0,9.18
2019-10-31 18:00:00,3.3,22.5,51.05,18.08,537.0,250.0,11.68
2019-10-31 19:00:00,3.5,24.78,143.43,19.45,589.0,266.0,19.12
2019-10-31 20:00:00,6.1,29.27,233.47,20.75,716.0,338.0,27.93
2019-10-31 21:00:00,6.68,31.85,256.9,23.3,967.0,460.0,21.05
2019-10-31 22:00:00,7.4,29.8,279.58,23.73,823.0,393.0,17.1
2019-10-31 23:00:00,5.57,28.07,298.62,21.0,692.0,357.0,19.12
2019-11-01 00:00:00,2.67,26.45,253.25,19.43,578.0,332.0,15.35
2019-11-01 01:00:00,0.68,25.2,171.2,17.4,484.0,284.0,9.02
2019-11-01 02:00:00,0.3,27.07,144.65,20.15,467.0,268.0,5.33
2019-11-01 03:00:00,0.2,28.35,110.65,19.4,497.0,288.0,3.15
2019-11-01 04:00:00,0.1,27.1,91.35,19.92,497.0,294.0,0.33
2019-11-01 05:00:00,0.1,26.57,76.95,21.15,506.0,302.0,6.33
2019-11-01 06:00:00,0.15,26.82,72.15,21.23,492.0,295.0,10.6
2019-11-01 07:00:00,1.52,26.6,100.42,20.83,509.0,322.0,12.62
2019-11-01 08:00:00,2.28,27.5,122.97,21.0,604.0,339.0,13.38
2019-11-01 09:00:00,2.25,30.12,183.55,20.83,686.0,371.0,14.52
2019-11-01 10:00:00,1.93,30.85,148.67,19.2,625.0,374.0,11.4
2019-11-01 11:00:00,1.5,30.7,116.72,19.3,616.0,404.0,9.12
2019-11-01 12:00:00,0.97,30.75,66.22,24.65,603.0,371.0,4.7
2019-11-01 13:00:00,0.95,30.05,41.27,46.7,552.0,359.0,6.05
2019-11-01 14:00:00,1.15,29.85,37.77,54.38,554.0,393.0,9.0
2019-11-01 15:00:00,1.3,29.57,44.9,53.6,582.0,393.0,8.72
2019-11-01 16:00:00,1.3,29.15,50.1,56.17,593.0,385.0,7.7
2019-11-01 17:00:00,1.4,27.35,55.8,33.12,591.0,379.0,8.75
2019-11-01 18:00:00,1.72,26.1,60.92,19.62,583.0,359.0,12.65
2019-11-01 19:00:00,1.38,24.33,69.2,18.18,624.0,350.0,14.8
2019-11-01 20:00:00,1.65,23.1,108.0,18.35,505.0,295.0,18.6
2019-11-01 21:00:00,,20.1,61.77,17.98,544.0,317.0,13.4
2019-11-01 22:00:00,0.25,18.27,57.12,18.08,316.0,152.0,7.1
2019-11-01 23:00:00,0.42,17.65,94.3,17.62,324.0,163.0,9.0
2019-11-02 00:00:00,0.4,17.85,110.72,18.73,346.0,174.0,10.05
2019-11-02 01:00:00,1.1,18.45,120.35,19.23,318.0,156.0,10.17
2019-11-02 02:00:00,0.35,19.27,98.47,19.4,276.0,147.0,8.38
2019-11-02 03:00:00,0.9,19.15,66.25,20.57,267.0,144.0,7.5
2019-11-02 04:00:00,0.6,17.35,56.3,17.08,235.0,135.0,4.0
2019-11-02 05:00:00,,16.93,37.12,17.98,205.0,125.0,7.7
2019-11-02 06:00:00,,16.48,39.48,17.07,183.0,106.0,11.22
2019-11-02 07:00:00,0.35,16.58,44.55,16.73,177.0,100.0,10.68
2019-11-02 08:00:00,0.45,17.42,43.0,17.57,191.0,110.0,9.75
2019-11-02 09:00:00,0.6,18.4,55.4,16.38,244.0,140.0,10.53
