Datetime,CO (mg/m3),NH3 (ug/m3),NOx (ppb),Ozone (ug/m3),SO2 (ug/m3),PM2.5 (ug/m3)
2019-10-31 01:00:00,7.22,36.98,341.83,9.62,35.15,378.75
2019-10-31 02:00:00,5.47,39.28,238.28,8.6,30.93,373.25
2019-10-31 03:00:00,1.05,28.75,95.6,8.93,16.75,362.25
2019-10-31 04:00:00,0.22,32.15,71.23,9.0,16.93,304.0
2019-10-31 05:00:00,,31.38,47.77,8.18,12.95,253.0
2019-10-31 06:00:00,,30.65,40.95,7.6,12.6,221.5
2019-10-31 07:00:00,,30.95,44.02,7.35,10.82,206.5
2019-10-31 08:00:00,,30.73,49.28,7.73,13.45,204.0
2019-10-31 09:00:00,0.0,31.57,83.38,6.72,18.25,214.75
2019-10-31 10:00:00,0.08,33.5,125.48,6.67,20.1,231.0
2019-10-31 11:00:00,2.0,29.4,54.4,8.95,23.98,233.0
2019-10-31 12:00:00,1.73,28.62,34.85,20.6,18.92,222.75
2019-10-31 13:00:00,1.75,31.55,31.03,28.6,16.5,250.0
2019-10-31 14:00:00,2.0,36.1,30.65,35.1,23.35,340.0
2019-10-31 15:00:00,2.17,36.98,29.6,31.05,26.15,426.25
2019-10-31 16:00:00,2.47,38.1,39.7,23.7,24.47,476.75
2019-10-31 17:00:00,2.67,37.8,54.88,10.82,25.62,495.0
2019-10-31 18:00:00,3.25,36.83,97.35,6.4,25.52,470.75
2019-10-31 19:00:00,4.03,36.7,128.38,6.57,27.93,440.5
2019-10-31 20:00:00,4.85,37.9,152.72,6.7,28.65,438.0
2019-10-31 21:00:00,6.05,40.1,178.73,6.67,33.23,458.75
2019-10-31 22:00:00,7.35,40.65,233.45,6.83,34.98,477.5
2019-10-31 23:00:00,7.58,42.1,222.88,6.33,35.15,479.75
2019-11-01 00:00:00,7.03,40.7,202.6,6.72,35.62,465.25
2019-11-01 01:00:00,4.2,42.95,126.18,6.83,23.85,453.75
2019-11-01 02:00:00,2.52,46.28,71.78,6.8,23.15,505.75
2019-11-01 03:00:00,1.5,40.45,43.5,6.72,14.4,559.75
2019-11-01 04:00:00,1.42,40.7,39.85,6.78,16.33,553.25
2019-11-01 05:00:00,1.1,41.7,34.42,6.57,15.7,497.5
2019-11-01 06:00:00,0.88,41.85,35.08,6.65,17.3,485.5
2019-11-01 07:00:00,0.9,41.02,46.9,6.55,16.95,468.5
2019-11-01 08:00:00,1.52,41.15,112.97,6.88,20.2,451.5
2019-11-01 09:00:00,1.87,43.72,141.88,6.3,23.8,440.75
2019-11-01 10:00:00,1.57,41.08,106.83,7.0,22.73,458.0
2019-11-01 11:00:00,1.3,41.23,74.92,8.9,23.9,432.25
2019-11-01 12:00:00,1.1,40.9,59.27,21.85,25.93,435.25
2019-11-01 13:00:00,0.95,39.92,53.7,44.3,24.92,434.5
2019-11-01 14:00:00,1.15,40.1,53.78,65.55,29.65,445.75
2019-11-01 15:00:00,0.97,38.25,49.52,62.97,26.18,459.25
2019-11-01 16:00:00,0.67,35.25,49.8,42.43,22.43,420.25
2019-11-01 17:00:00,0.6,31.6,52.9,21.4,22.8,351.0
2019-11-01 18:00:00,1.15,30.5,82.45,6.8,22.27,308.0
2019-11-01 19:00:00,1.7,29.62,103.15,6.5,25.5,291.5
2019-11-01 20:00:00,1.05,29.9,83.1,8.12,21.12,270.0
2019-11-01 21:00:00,0.25,26.25,41.48,10.68,17.62,242.0
2019-11-01 22:00:00,0.85,26.5,91.65,6.22,21.52,186.5
2019-11-01 23:00:00,0.77,27.0,87.53,6.17,22.65,194.25
2019-11-02 00:00:00,0.15,27.07,56.35,6.12,20.23,176.25
2019-11-02 01:00:00,1.48,26.98,45.67,6.2,13.2,175.5
2019-11-02 02:00:00,1.38,28.95,39.95,8.1,14.47,187.0
2019-11-02 03:00:00,1.35,26.7,28.1,6.42,16.95,225.0
2019-11-02 04:00:00,1.52,27.77,27.23,6.7,18.77,277.5
2019-11-02 05:00:00,1.45,28.82,25.23,6.2,14.6,274.0
2019-11-02 06:00:00,1.15,27.32,25.5,6.57,12.5,231.75
2019-11-02 07:00:00,1.05,27.92,25.27,6.38,14.78,179.0
2019-11-02 08:00:00,1.32,29.3,29.5,6.55,16.55,199.5
2019-11-02 09:00:00,1.62,31.05,36.3,6.5,16.27,250.5
2019-11-02 10:00:00,2.3,34.55,56.27,6.55,23.03,290.5
2019-11-02 11:00:00,2.65,36.9,49.67,8.35,23.1,352.0
2019-11-02 12:00:00,2.95,39.67,48.28,13.2,26.55,401.5
2019-11-02 13:00:00,2.35,38.55,40.38,20.95,26.7,454.0
2019-11-02 14:00:00,1.75,34.47,30.52,24.65,26.15,387.75
2019-11-02 15:00:00,1.83,33.95,26.98,23.23,24.68,328.5
2019-11-02 16:00:00,1.95,33.88,26.23,18.77,23.5,347.75
2019-11-02 17:00:00,2.15,35.78,25.33,15.18,25.1,389.0
2019-11-02 18:00:00,2.38,39.08,26.35,11.95,27.7,479.0
2019-11-02 19:00:00,2.38,39.5,28.95,10.6,24.25,532.75
2019-11-02 20:00:00,2.55,37.6,46.58,6.6,26.88,525.25
2019-11-02 21:00:00,3.0,36.55,61.7,5.95,25.72,494.0
2019-11-02 22:00:00,3.2,38.88,76.2,6.22,27.45,474.25
2019-11-02 23:00:00,2.92,39.77,65.47,6.35,28.5,517.5
2019-11-03 00:00:00,2.95,39.88,47.05,6.05,26.88,530.5
2019-11-03 01:00:00,2.77,40.83,36.3,6.5,24.95,573.5
2019-11-03 02:00:00,2.82,45.15,39.03,7.25,24.93,637.0
2019-11-03 03:00:00,2.35,41.8,27.1,6.9,20.95,719.5
2019-11-03 04:00:00,2.62,42.42,27.25,6.4,22.9,780.25
2019-11-03 05:00:00,2.88,45.27,29.27,6.35,21.27,786.25
2019-11-03 06:00:00,2.77,45.98,24.5,6.97,22.23,854.0
2019-11-03 07:00:00,2.75,45.02,23.23,6.55,23.85,823.75
2019-11-03 08:00:00,2.75,43.95,34.42,6.47,24.07,818.75
2019-11-03 09:00:00,2.92,45.2,36.7,6.88,24.75,794.5
2019-11-03 10:00:00,3.82,51.7,33.42,8.2,27.15,841.0
2019-11-03 11:00:00,3.55,52.67,27.83,9.78,27.85,
2019-11-03 12:00:00,3.1,47.9,25.07,12.12,25.55,950.0
2019-11-03 13:00:00,2.8,45.62,22.7,13.88,26.8,941.0
2019-11-03 14:00:00,2.55,44.05,23.95,17.67,25.8,886.25
2019-11-03 15:00:00,2.22,42.35,24.05,18.75,27.57,782.0
2019-11-03 16:00:00,1.35,35.65,21.27,23.0,23.38,643.5
2019-11-03 17:00:00,0.7,29.38,19.35,21.32,21.23,374.0
2019-11-03 18:00:00,0.82,26.58,24.25,11.72,15.85,235.25
2019-11-03 19:00:00,1.47,27.8,33.05,6.67,,221.5
2019-11-03 20:00:00,1.6,28.77,35.5,7.05,,273.5
2019-11-03 21:00:00,1.55,28.55,35.4,6.65,,280.25
2019-11-03 22:00:00,1.27,27.17,33.62,6.28,,233.25
2019-11-03 23:00:00,1.1,26.35,33.95,6.03,,178.0
2019-11-04 00:00:00,1.15,26.67,33.0,5.7,,171.25
2019-11-04 01:00:00,1.83,27.25,36.05,6.32,9.38,176.5
2019-11-04 02:00:00,2.05,33.12,28.93,8.5,12.62,256.5
2019-11-04 03:00:00,1.75,31.25,21.2,6.93,13.35,443.25
2019-11-04 04:00:00,2.2,34.1,23.38,7.03,13.9,507.25
2019-11-04 05:00:00,2.67,40.23,28.65,6.78,17.62,611.0
2019-11-04 06:00:00,2.8,42.05,26.67,6.03,17.65,736.5
2019-11-04 07:00:00,2.47,39.55,26.92,6.15,14.88,712.75
2019-11-04 08:00:00,2.38,38.8,28.95,6.15,16.2,588.25
2019-11-04 09:00:00,2.52,37.42,41.2,6.55,16.8,571.75
2019-11-04 10:00:00,2.08,34.3,35.33,8.2,15.75,517.75
2019-11-04 11:00:00,1.65,30.02,26.47,12.72,14.35,376.0
2019-11-04 12:00:00,1.33,27.77,23.98,18.57,16.4,285.5
2019-11-04 13:00:00,1.0,27.58,20.98,25.27,14.45,235.75
2019-11-04 14:00:00,0.78,26.35,16.67,35.75,14.7,163.75
2019-11-04 15:00:00,0.65,23.77,14.82,48.4,15.3,133.5
