Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3),NOx (ug/m3),SO2 (ug/m3),Ozone (ug/m3),CO (mg/m3)
2019-10-31 01:00:00,456.0,271.75,,195.3,18.02,3.6,5.65
2019-10-31 02:00:00,465.0,283.75,,168.0,18.93,3.48,4.65
2019-10-31 03:00:00,487.5,309.5,2.1,70.55,6.72,1.9,1.55
2019-10-31 04:00:00,364.75,243.0,1.75,45.25,6.88,1.77,1.07
2019-10-31 05:00:00,359.75,234.25,1.55,37.48,2.1,2.1,1.0
2019-10-31 06:00:00,352.75,226.25,1.82,47.48,,2.03,2.2
2019-10-31 07:00:00,354.0,227.0,0.98,66.75,11.03,2.48,2.6
2019-10-31 08:00:00,442.25,230.5,1.95,137.38,10.88,3.0,4.3
2019-10-31 09:00:00,594.5,241.5,2.8,101.6,8.55,2.27,3.45
2019-10-31 10:00:00,553.5,236.75,0.95,58.28,1.75,2.45,2.4
2019-10-31 11:00:00,512.75,209.75,1.9,32.08,,4.03,1.97
2019-10-31 12:00:00,384.5,178.25,3.45,21.1,4.0,13.8,1.4
2019-10-31 13:00:00,359.5,160.25,4.5,18.45,12.47,27.6,1.43
2019-10-31 14:00:00,389.75,182.5,5.75,15.15,12.03,51.48,1.5
2019-10-31 15:00:00,444.25,249.75,6.85,15.03,9.25,62.83,1.65
2019-10-31 16:00:00,537.0,324.5,10.68,19.17,11.32,58.5,2.12
2019-10-31 17:00:00,697.75,375.25,10.7,51.03,14.55,16.62,3.98
2019-10-31 18:00:00,946.0,440.0,8.62,110.4,19.8,2.08,6.08
2019-10-31 19:00:00,,529.75,6.5,175.62,23.9,2.7,9.48
2019-10-31 20:00:00,,559.75,1.85,164.95,22.6,3.05,6.18
2019-10-31 21:00:00,,524.5,2.55,151.5,28.55,3.15,8.3
2019-10-31 22:00:00,965.0,546.0,2.7,160.43,34.35,3.58,8.18
2019-10-31 23:00:00,926.0,538.75,1.1,171.3,42.77,3.45,7.95
2019-11-01 00:00:00,812.5,536.25,3.4,184.82,48.58,2.75,7.05
2019-11-01 01:00:00,822.0,579.5,6.25,103.75,13.15,2.75,4.35
2019-11-01 02:00:00,800.0,609.75,5.1,62.72,5.65,4.2,3.4
2019-11-01 03:00:00,751.5,597.0,23.0,47.2,,3.2,3.1
2019-11-01 04:00:00,781.5,620.75,9.4,49.05,,2.65,2.9
2019-11-01 05:00:00,780.5,596.75,2.97,45.88,,2.53,2.52
