Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,417.0,273.75,42.38,459.05,14.78,,12.47
2019-10-31 02:00:00,396.0,271.25,47.15,355.5,13.28,5.28,11.25
2019-10-31 03:00:00,376.5,248.75,42.25,238.25,7.55,4.2,18.05
2019-10-31 04:00:00,345.75,222.75,43.17,159.9,7.52,3.3,6.82
2019-10-31 05:00:00,350.75,218.75,41.28,137.1,6.47,3.0,7.22
2019-10-31 06:00:00,354.75,216.0,39.5,186.28,8.82,2.85,7.4
2019-10-31 07:00:00,354.5,210.25,41.35,263.5,11.43,3.02,7.7
2019-10-31 08:00:00,389.5,207.25,41.55,218.03,12.43,2.75,5.43
2019-10-31 09:00:00,389.5,199.75,43.05,183.53,12.55,2.8,5.9
2019-10-31 10:00:00,417.25,212.0,40.12,220.43,14.4,3.1,5.88
2019-10-31 11:00:00,431.25,208.5,44.38,155.12,16.7,2.65,5.35
2019-10-31 12:00:00,426.0,187.5,42.12,97.4,16.95,2.23,6.45
2019-10-31 13:00:00,437.25,198.5,45.35,55.7,17.62,2.12,9.45
2019-10-31 14:00:00,494.25,257.75,49.33,51.25,18.35,2.32,13.18
2019-10-31 15:00:00,578.5,304.0,50.65,48.48,17.27,2.55,17.55
2019-10-31 16:00:00,632.5,337.25,52.73,57.4,17.73,2.73,14.97
2019-10-31 17:00:00,659.5,361.5,55.88,102.03,15.6,3.12,16.7
2019-10-31 18:00:00,657.25,363.25,53.33,224.9,15.5,4.25,15.97
2019-10-31 19:00:00,702.0,404.25,56.53,423.15,18.32,5.1,20.0
2019-10-31 20:00:00,726.5,419.75,59.02,493.1,17.9,,20.45
2019-10-31 21:00:00,687.25,426.0,60.73,,18.48,,21.83
2019-10-31 22:00:00,642.75,420.25,58.05,,19.18,,21.55
2019-10-31 23:00:00,623.25,419.25,59.1,483.23,17.8,,20.85
2019-11-01 00:00:00,590.5,411.75,51.58,401.85,13.85,,19.9
2019-11-01 01:00:00,572.5,399.25,55.65,340.7,11.6,,20.65
2019-11-01 02:00:00,552.5,386.0,55.55,249.47,10.25,5.5,19.45
2019-11-01 03:00:00,567.25,402.25,61.35,213.5,6.55,5.2,25.72
2019-11-01 04:00:00,589.5,416.5,62.4,209.35,7.2,4.9,11.4
2019-11-01 05:00:00,589.75,422.25,61.73,195.9,6.72,4.45,9.57
2019-11-01 06:00:00,589.0,427.75,61.6,200.7,8.88,4.32,10.28
2019-11-01 07:00:00,608.75,439.5,63.95,197.75,10.2,4.12,11.38
2019-11-01 08:00:00,639.5,454.75,59.25,232.07,11.68,4.25,11.85
2019-11-01 09:00:00,649.25,446.0,61.1,304.4,13.28,4.55,12.88
2019-11-01 10:00:00,698.0,458.25,65.2,263.75,16.2,4.4,10.05
2019-11-01 11:00:00,692.0,443.0,65.57,125.45,19.5,3.1,5.22
2019-11-01 12:00:00,605.25,388.0,68.97,79.0,18.52,2.7,9.68
2019-11-01 13:00:00,564.75,371.25,64.7,53.25,20.48,2.65,14.4
2019-11-01 14:00:00,582.75,386.75,65.78,66.1,20.05,2.95,21.2
2019-11-01 15:00:00,618.25,388.75,67.52,62.38,21.92,3.35,34.4
2019-11-01 16:00:00,647.25,358.25,58.55,63.28,21.3,2.97,28.55
2019-11-01 17:00:00,581.0,317.5,52.65,55.8,18.12,2.6,22.15
2019-11-01 18:00:00,535.25,301.0,49.7,71.9,14.77,2.98,15.88
2019-11-01 19:00:00,531.75,293.0,48.1,97.25,14.0,3.2,12.57
2019-11-01 20:00:00,502.25,275.75,52.27,179.72,14.4,4.03,14.72
2019-11-01 21:00:00,502.5,284.0,46.7,123.25,15.2,3.18,13.82
2019-11-01 22:00:00,467.0,236.5,41.72,154.6,12.75,3.1,12.8
2019-11-01 23:00:00,386.5,200.0,41.23,165.88,11.98,3.23,14.12
2019-11-02 00:00:00,363.5,194.0,40.33,188.25,13.05,3.3,14.7
2019-11-02 01:00:00,341.25,194.25,37.33,185.72,13.68,3.3,13.2
2019-11-02 02:00:00,327.0,187.75,39.05,122.53,13.25,2.6,11.75
2019-11-02 03:00:00,307.75,168.25,41.9,98.55,11.75,2.4,18.4
2019-11-02 04:00:00,302.5,176.0,41.92,83.75,12.0,2.05,8.9
2019-11-02 05:00:00,287.25,173.0,40.92,62.02,10.35,1.65,8.07
2019-11-02 06:00:00,239.5,147.0,39.33,52.78,9.98,1.42,7.68
2019-11-02 07:00:00,190.5,122.0,39.83,71.9,10.18,1.4,8.12
2019-11-02 08:00:00,191.5,123.25,38.77,87.1,11.75,1.6,11.33
2019-11-02 09:00:00,222.5,136.0,39.2,75.6,12.57,1.55,10.47
2019-11-02 10:00:00,268.0,152.0,43.12,91.7,13.78,2.0,13.25
2019-11-02 11:00:00,384.5,221.0,54.55,81.35,15.3,2.32,14.25
2019-11-02 12:00:00,502.0,306.25,62.92,75.2,17.6,2.65,14.55
2019-11-02 13:00:00,605.0,380.0,70.88,74.38,19.15,2.9,20.4
2019-11-02 14:00:00,636.75,391.0,66.25,51.97,23.4,2.45,22.3
2019-11-02 15:00:00,559.25,346.25,58.4,41.55,18.98,2.0,17.25
2019-11-02 16:00:00,481.75,305.5,56.38,42.07,15.55,2.18,18.02
2019-11-02 17:00:00,526.75,333.25,56.78,42.4,13.47,2.3,15.27
2019-11-02 18:00:00,622.25,415.25,64.17,40.6,13.0,2.67,15.65
2019-11-02 19:00:00,729.0,502.75,66.8,36.8,13.38,2.58,13.6
2019-11-02 20:00:00,666.25,478.25,62.38,61.18,13.05,2.5,11.4
2019-11-02 21:00:00,582.75,428.0,62.25,117.4,11.93,3.08,13.35
