Datetime,PM2.5 (ug/m3),PM10 (ug/m3),NH3 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,292.0,494.5,42.62,61.23,2.25,4.7,10.85
2019-10-31 02:00:00,289.5,487.5,52.03,37.8,2.0,11.9,13.33
2019-10-31 03:00:00,302.0,475.5,50.95,35.3,2.0,5.17,11.7
2019-10-31 04:00:00,312.0,478.5,48.6,37.47,1.95,6.88,14.5
2019-10-31 05:00:00,304.5,466.5,45.35,67.93,2.08,4.75,19.65
2019-10-31 06:00:00,304.5,461.0,45.47,79.4,2.25,3.32,15.25
2019-10-31 07:00:00,299.5,446.0,43.12,83.83,2.12,3.73,13.57
2019-10-31 08:00:00,293.0,452.5,47.25,125.17,2.2,4.05,20.73
2019-10-31 09:00:00,304.0,484.5,47.23,76.85,2.42,4.9,19.88
2019-10-31 10:00:00,346.5,609.5,55.92,53.1,2.85,16.02,23.62
2019-10-31 11:00:00,463.5,853.0,69.38,39.02,2.92,48.75,21.18
2019-10-31 12:00:00,520.5,896.0,62.03,26.2,2.55,82.6,17.4
2019-10-31 13:00:00,483.0,757.0,58.7,19.07,2.38,101.9,14.18
2019-10-31 14:00:00,425.0,643.0,49.27,16.9,2.05,117.47,12.18
2019-10-31 15:00:00,362.0,572.5,43.88,17.4,2.05,128.5,12.38
2019-10-31 16:00:00,340.0,537.5,41.25,18.75,1.97,117.47,11.85
2019-10-31 17:00:00,319.0,520.5,35.55,39.52,2.28,56.6,12.65
2019-10-31 18:00:00,301.0,526.0,39.23,77.25,2.78,7.9,11.82
2019-10-31 19:00:00,361.0,620.25,47.38,67.62,2.88,7.33,10.4
2019-10-31 20:00:00,390.0,659.25,50.4,55.12,2.83,14.2,12.6
2019-10-31 21:00:00,406.25,635.75,47.9,111.47,2.98,4.45,16.0
2019-10-31 22:00:00,410.0,647.75,59.65,58.17,2.58,22.08,18.12
2019-10-31 23:00:00,416.0,640.5,62.35,38.32,2.42,30.0,24.68
2019-11-01 00:00:00,429.75,661.25,63.85,28.23,2.23,45.12,30.35
2019-11-01 01:00:00,427.25,663.5,64.83,34.7,2.3,24.12,26.02
2019-11-01 02:00:00,461.25,713.0,73.85,31.68,2.3,15.55,21.35
2019-11-01 03:00:00,478.0,718.0,65.95,45.05,2.4,7.05,11.05
2019-11-01 04:00:00,504.0,748.5,64.32,51.7,2.67,4.17,9.95
2019-11-01 05:00:00,518.0,795.0,64.62,51.45,2.75,4.68,8.12
2019-11-01 06:00:00,508.75,783.5,58.0,236.85,3.65,7.03,8.9
2019-11-01 07:00:00,487.0,761.25,63.67,234.95,3.73,13.62,8.95
2019-11-01 08:00:00,485.75,799.0,60.45,179.2,3.77,23.78,9.53
2019-11-01 09:00:00,511.5,809.5,66.35,100.58,3.23,43.85,13.5
2019-11-01 10:00:00,511.25,821.5,66.83,32.27,2.58,51.48,18.85
2019-11-01 11:00:00,469.5,757.25,60.67,19.5,2.17,106.42,18.48
2019-11-01 12:00:00,400.5,645.5,53.83,20.48,2.05,157.4,17.75
2019-11-01 13:00:00,349.5,602.0,50.27,22.75,1.92,185.65,19.88
2019-11-01 14:00:00,327.5,613.75,52.92,26.48,2.2,,26.95
2019-11-01 15:00:00,348.0,650.5,45.17,20.1,1.73,171.83,19.9
2019-11-01 16:00:00,295.5,530.0,36.17,21.42,1.48,138.03,14.93
2019-11-01 17:00:00,219.5,439.5,43.62,39.92,1.82,89.42,21.62
2019-11-01 18:00:00,249.5,566.5,40.08,67.15,2.02,43.03,18.55
2019-11-01 19:00:00,263.25,584.0,41.92,84.38,2.55,10.2,15.8
2019-11-01 20:00:00,276.25,576.75,39.25,26.8,1.55,52.95,10.78
