Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3),NOx (ppb),CO (ng/m3),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,396.5,244.75,62.22,239.7,5.2,5.6,4.72
2019-10-31 02:00:00,373.0,232.25,71.97,199.0,4.55,8.55,4.0
2019-10-31 03:00:00,355.25,227.5,53.2,175.0,4.1,4.42,
2019-10-31 04:00:00,333.0,208.5,54.05,156.75,3.95,4.1,2.83
2019-10-31 05:00:00,317.25,200.0,52.8,143.43,3.5,4.38,2.68
2019-10-31 06:00:00,311.25,194.25,56.15,113.07,3.02,3.85,1.98
2019-10-31 07:00:00,299.75,186.5,55.8,104.85,3.05,3.58,1.9
2019-10-31 08:00:00,306.5,189.25,58.65,118.1,3.05,4.07,2.05
2019-10-31 09:00:00,344.25,199.0,57.3,142.3,3.4,5.03,2.75
2019-10-31 10:00:00,384.25,211.0,66.35,82.17,2.83,5.55,4.25
2019-10-31 11:00:00,369.25,192.0,64.65,71.8,2.77,8.28,5.08
2019-10-31 12:00:00,378.0,193.5,59.22,75.25,3.05,10.22,5.05
2019-10-31 13:00:00,414.0,234.0,62.42,46.97,2.88,35.7,6.0
2019-10-31 14:00:00,548.5,349.5,68.67,38.97,3.17,,7.17
2019-10-31 15:00:00,687.0,455.0,72.45,34.5,3.33,,6.93
2019-10-31 16:00:00,696.5,460.25,74.0,34.7,3.38,,6.07
2019-10-31 17:00:00,655.0,441.5,76.3,32.77,3.32,35.7,5.12
2019-10-31 18:00:00,578.0,387.0,76.9,49.15,3.7,10.47,4.42
2019-10-31 19:00:00,581.25,375.25,76.22,134.72,5.15,6.47,4.65
2019-10-31 20:00:00,613.25,389.75,73.8,164.9,5.78,7.28,5.28
2019-10-31 21:00:00,623.25,401.25,62.95,200.52,6.72,7.3,5.78
2019-10-31 22:00:00,619.25,393.5,67.12,246.1,7.7,7.42,6.08
2019-10-31 23:00:00,606.0,382.0,67.22,177.27,7.1,6.85,5.23
2019-11-01 00:00:00,526.25,344.75,62.73,208.23,6.83,6.95,4.65
2019-11-01 01:00:00,518.75,347.25,63.42,248.65,6.53,7.7,5.03
2019-11-01 02:00:00,512.75,342.75,71.23,247.93,6.05,10.65,4.88
2019-11-01 03:00:00,527.75,365.5,63.4,193.5,5.4,6.65,
2019-11-01 04:00:00,558.0,396.0,59.27,168.0,4.98,5.8,3.3
2019-11-01 05:00:00,540.0,387.75,61.78,133.78,4.42,5.43,2.9
2019-11-01 06:00:00,557.5,402.0,61.57,121.45,4.25,5.45,2.77
2019-11-01 07:00:00,566.5,413.75,65.67,147.45,4.4,5.3,3.08
