Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3),NOx (ppb),CO (ug/m3),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,793.75,427.75,75.88,293.38,7.3,9.25,33.48
2019-10-31 02:00:00,701.25,433.75,77.28,309.2,5.9,8.12,31.32
2019-10-31 03:00:00,619.0,417.25,75.2,240.62,3.68,7.0,26.17
2019-10-31 04:00:00,518.0,370.0,78.32,184.52,2.33,5.92,23.35
2019-10-31 05:00:00,422.25,306.5,71.78,166.7,1.9,5.78,19.73
2019-10-31 06:00:00,402.0,269.75,68.47,142.72,1.62,5.33,18.83
2019-10-31 07:00:00,357.0,249.25,61.4,170.7,2.12,5.35,17.9
2019-10-31 08:00:00,423.5,264.5,62.37,162.85,2.5,5.45,20.18
2019-10-31 09:00:00,479.75,267.5,61.17,130.02,2.38,5.03,19.78
2019-10-31 10:00:00,511.75,251.25,63.7,105.2,2.12,5.35,21.45
2019-10-31 11:00:00,462.75,258.75,72.22,89.1,2.25,7.47,22.23
2019-10-31 12:00:00,549.0,333.5,82.2,68.05,2.2,13.88,19.52
2019-10-31 13:00:00,614.75,430.25,82.1,52.25,2.4,22.8,19.58
2019-10-31 14:00:00,680.5,487.5,80.2,35.88,2.45,28.5,19.12
2019-10-31 15:00:00,689.5,530.25,73.25,29.52,2.65,30.12,19.52
2019-10-31 16:00:00,686.5,521.25,67.92,35.45,2.7,15.07,20.38
2019-10-31 17:00:00,680.25,487.5,65.42,43.35,3.05,8.23,28.35
2019-10-31 18:00:00,654.75,448.75,68.23,64.38,3.67,5.3,27.12
2019-10-31 19:00:00,697.5,462.0,71.93,91.82,4.58,5.9,22.6
2019-10-31 20:00:00,761.75,501.5,76.97,116.75,4.95,5.45,22.82
2019-10-31 21:00:00,751.0,511.5,72.65,134.95,5.5,5.65,21.5
2019-10-31 22:00:00,728.75,479.5,68.75,142.03,4.65,5.75,20.45
2019-10-31 23:00:00,647.5,418.5,63.67,145.93,3.67,5.5,19.93
2019-11-01 00:00:00,573.5,407.5,63.08,180.6,3.23,5.2,18.98
2019-11-01 01:00:00,581.25,426.25,71.25,179.4,3.22,5.6,20.57
2019-11-01 02:00:00,675.75,509.5,88.43,145.27,3.55,4.9,24.9
2019-11-01 03:00:00,812.5,635.75,80.9,181.3,3.9,5.9,24.3
2019-11-01 04:00:00,848.25,668.0,82.95,211.65,3.1,5.65,25.38
2019-11-01 05:00:00,777.5,641.0,76.2,177.45,2.6,6.07,24.15
2019-11-01 06:00:00,707.25,584.5,77.3,147.6,2.65,5.07,20.05
2019-11-01 07:00:00,698.0,570.0,73.83,184.57,3.0,5.38,19.33
2019-11-01 08:00:00,776.0,587.0,72.93,177.73,3.9,6.25,20.52
2019-11-01 09:00:00,857.5,590.25,75.12,143.62,3.58,6.7,22.23
2019-11-01 10:00:00,843.25,578.25,77.4,131.1,3.47,6.62,26.62
2019-11-01 11:00:00,790.75,567.0,87.22,115.75,3.17,10.0,25.6
2019-11-01 12:00:00,760.25,543.5,89.38,83.25,2.55,29.57,24.38
2019-11-01 13:00:00,711.0,477.0,91.1,64.65,2.72,45.45,23.77
2019-11-01 14:00:00,688.5,479.0,80.78,41.17,2.33,61.02,22.52
2019-11-01 15:00:00,634.75,427.75,67.4,31.3,2.2,43.42,
2019-11-01 16:00:00,549.25,366.5,59.33,39.35,2.15,42.6,21.3
2019-11-01 17:00:00,563.75,364.25,50.7,58.28,2.6,17.0,19.25
2019-11-01 18:00:00,549.5,327.75,52.85,89.78,3.3,10.33,18.62
2019-11-01 19:00:00,598.75,310.25,59.12,103.38,3.85,11.27,22.77
2019-11-01 20:00:00,597.5,319.5,60.2,90.25,2.62,10.78,21.3
2019-11-01 21:00:00,563.75,291.0,55.07,75.83,2.15,9.25,19.48
2019-11-01 22:00:00,451.75,230.25,55.57,83.95,2.45,7.88,15.75
2019-11-01 23:00:00,396.0,206.75,49.58,74.5,2.12,7.92,13.4
2019-11-02 00:00:00,371.75,202.5,43.8,110.4,1.92,8.15,13.77
2019-11-02 01:00:00,383.75,219.5,46.75,114.7,1.73,7.85,15.22
2019-11-02 02:00:00,365.25,224.5,50.92,93.28,1.6,7.8,14.7
2019-11-02 03:00:00,379.5,255.75,64.1,97.95,1.5,9.47,18.1
2019-11-02 04:00:00,463.25,344.0,62.65,93.2,1.62,10.53,18.98
2019-11-02 05:00:00,499.0,408.25,63.52,87.15,1.68,10.15,17.75
2019-11-02 06:00:00,420.5,328.0,58.95,92.55,1.52,9.5,15.6
2019-11-02 07:00:00,380.0,269.0,54.6,120.75,1.77,9.83,17.18
2019-11-02 08:00:00,390.0,263.0,52.45,114.58,1.77,9.43,15.35
2019-11-02 09:00:00,420.0,280.5,57.6,95.1,2.23,10.25,14.65
2019-11-02 10:00:00,594.0,432.5,76.98,87.85,2.65,13.2,16.62
2019-11-02 11:00:00,770.5,592.5,81.97,83.75,2.88,15.05,21.1
2019-11-02 12:00:00,757.0,573.0,84.65,64.2,2.62,18.82,20.48
2019-11-02 13:00:00,666.0,481.5,79.65,47.85,2.05,19.32,20.5
2019-11-02 14:00:00,552.5,388.0,72.6,34.6,1.9,22.65,15.93
2019-11-02 15:00:00,464.5,322.5,61.73,28.42,2.1,19.65,13.9
2019-11-02 16:00:00,491.5,338.5,60.88,30.2,2.45,15.88,13.93
2019-11-02 17:00:00,587.5,425.5,63.9,29.62,2.6,14.48,13.7
2019-11-02 18:00:00,677.5,514.5,68.7,29.35,2.62,14.18,13.0
2019-11-02 19:00:00,673.0,546.5,68.65,36.83,2.42,12.38,13.32
2019-11-02 20:00:00,611.5,525.0,75.47,49.7,2.75,11.35,13.82
2019-11-02 21:00:00,607.0,521.5,75.85,50.65,2.85,11.4,13.35
2019-11-02 22:00:00,634.5,551.0,73.35,48.9,3.0,11.77,13.77
2019-11-02 23:00:00,661.0,573.5,66.75,135.55,2.85,11.47,14.15
2019-11-03 00:00:00,709.0,581.5,68.72,125.95,3.2,11.12,18.73
2019-11-03 01:00:00,773.5,637.0,69.05,98.62,3.05,12.25,16.4
2019-11-03 02:00:00,808.0,695.5,76.62,70.4,3.2,9.8,14.05
2019-11-03 03:00:00,898.0,808.0,84.05,66.9,3.25,12.9,13.4
2019-11-03 04:00:00,970.0,935.0,86.73,59.95,3.3,12.82,12.5
2019-11-03 05:00:00,,968.0,85.6,53.25,3.35,12.52,12.42
2019-11-03 06:00:00,,,88.27,51.55,3.25,11.8,12.35
2019-11-03 07:00:00,995.0,929.0,83.38,41.2,3.3,11.62,11.47
2019-11-03 08:00:00,965.0,902.0,81.5,44.2,3.27,12.38,12.35
2019-11-03 09:00:00,935.0,875.0,95.47,40.55,4.07,13.7,13.2
2019-11-03 10:00:00,,,105.67,42.3,4.5,15.43,15.47
2019-11-03 11:00:00,,,110.0,42.67,4.3,14.7,16.55
