Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,578.5,378.5,59.8,67.88,5.01,35.78,29.68
2019-10-31 02:00:00,541.0,365.0,57.48,67.47,4.56,31.5,26.6
2019-10-31 03:00:00,492.5,341.5,54.12,61.12,8.28,29.12,24.67
2019-10-31 04:00:00,467.5,320.5,58.38,52.98,6.82,26.35,23.12
2019-10-31 05:00:00,436.5,306.0,50.2,41.73,5.6,24.38,20.38
2019-10-31 06:00:00,392.5,285.5,51.9,35.45,4.8,23.62,20.17
2019-10-31 07:00:00,376.5,274.0,52.25,32.9,4.17,33.27,19.5
2019-10-31 08:00:00,380.5,274.5,52.78,32.85,3.95,45.48,19.68
2019-10-31 09:00:00,407.0,265.0,57.5,27.45,3.58,38.2,22.3
2019-10-31 10:00:00,476.0,257.0,58.23,21.1,3.2,33.8,25.85
2019-10-31 11:00:00,568.5,305.0,62.08,16.12,3.02,35.3,31.48
2019-10-31 12:00:00,585.0,357.5,60.8,14.02,2.9,39.15,26.8
2019-10-31 13:00:00,613.0,422.0,64.38,12.65,3.0,49.4,25.12
2019-10-31 14:00:00,641.5,477.5,65.8,10.55,2.85,68.67,20.95
2019-10-31 15:00:00,686.0,513.0,84.3,10.1,3.05,83.97,19.57
2019-10-31 16:00:00,685.5,496.5,74.35,9.93,2.88,67.17,18.25
2019-10-31 17:00:00,609.5,433.0,72.03,9.8,3.0,49.2,16.35
2019-10-31 18:00:00,,,,,,,
2019-10-31 19:00:00,,,,,,,
2019-10-31 20:00:00,603.0,421.0,70.8,23.1,2.9,33.23,31.85
2019-10-31 21:00:00,705.0,447.0,63.95,31.45,7.12,47.47,39.15
2019-10-31 22:00:00,670.5,446.0,66.75,32.92,7.27,45.08,41.38
2019-10-31 23:00:00,638.5,451.5,72.08,33.45,7.43,42.42,42.05
2019-11-01 00:00:00,608.5,437.5,69.62,30.0,5.97,38.85,41.22
2019-11-01 01:00:00,558.5,402.5,70.7,24.95,4.65,36.85,37.62
2019-11-01 02:00:00,540.0,399.0,70.58,19.3,3.8,35.95,37.17
