Datetime,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NOx (ppb),Ozone (ug/m3),SO2 ()
2019-10-31 01:00:00,522.5,354.25,0.75,54.2,156.27,5.78,10.18
2019-10-31 02:00:00,456.25,330.0,0.57,58.85,81.95,,11.75
2019-10-31 03:00:00,439.5,325.75,,51.7,85.5,11.5,11.1
2019-10-31 04:00:00,438.5,320.75,0.67,46.42,108.25,7.0,12.03
2019-10-31 05:00:00,451.75,317.75,0.53,40.7,90.25,6.0,11.47
2019-10-31 06:00:00,440.25,322.75,0.5,37.98,104.62,5.73,10.45
2019-10-31 07:00:00,468.5,337.5,0.65,41.38,117.4,5.95,9.45
2019-10-31 08:00:00,483.75,354.25,0.83,45.0,132.6,6.05,10.12
2019-10-31 09:00:00,499.0,353.75,1.02,47.5,149.65,7.4,13.82
2019-10-31 10:00:00,618.25,393.5,0.93,51.12,72.9,18.05,17.65
2019-10-31 11:00:00,732.25,458.25,1.15,50.65,66.72,30.23,17.65
2019-10-31 12:00:00,739.25,514.0,0.9,50.33,42.15,57.0,16.62
2019-10-31 13:00:00,699.0,552.25,1.0,53.55,42.02,87.3,15.88
2019-10-31 14:00:00,718.5,561.5,0.68,50.38,38.15,126.27,16.23
2019-10-31 15:00:00,665.5,513.75,0.6,52.15,35.23,131.95,15.43
2019-10-31 16:00:00,668.5,494.25,,54.55,37.48,120.8,16.35
2019-10-31 17:00:00,623.5,445.25,0.12,53.95,54.9,72.5,14.32
2019-10-31 18:00:00,626.25,443.75,0.6,55.85,91.0,28.93,12.9
2019-10-31 19:00:00,694.75,465.75,1.2,52.2,150.7,8.45,13.43
2019-10-31 20:00:00,754.0,505.0,1.25,51.43,142.93,7.35,14.62
2019-10-31 21:00:00,752.25,527.25,1.38,55.2,124.45,12.8,16.38
2019-10-31 22:00:00,739.75,530.25,0.75,52.5,82.6,19.83,18.23
2019-10-31 23:00:00,714.25,533.0,0.95,55.38,86.97,16.1,21.05
2019-11-01 00:00:00,702.75,548.5,0.7,59.65,77.42,19.15,19.85
