Datetime,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NOx (ppb),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,641.0,387.0,2.8,46.52,155.45,,10.9
2019-10-31 02:00:00,394.0,268.0,3.05,44.38,144.22,,9.47
2019-10-31 03:00:00,369.0,262.5,2.45,46.72,112.67,,15.4
2019-10-31 04:00:00,373.5,250.0,2.67,48.6,117.27,,16.2
2019-10-31 05:00:00,387.5,254.5,2.85,49.62,112.52,,15.7
2019-10-31 06:00:00,371.5,243.5,2.97,46.12,113.72,,15.35
2019-10-31 07:00:00,373.0,238.0,3.23,49.07,133.35,,14.62
2019-10-31 08:00:00,395.5,254.5,3.55,47.88,119.38,,13.48
2019-10-31 09:00:00,546.0,282.5,3.9,53.33,114.67,,6.6
2019-10-31 10:00:00,600.0,299.5,3.35,49.58,84.17,,8.03
2019-10-31 11:00:00,506.0,293.5,3.2,52.92,67.95,,11.75
2019-10-31 12:00:00,467.5,291.0,3.0,53.67,49.33,,12.07
2019-10-31 13:00:00,437.5,290.5,3.15,52.6,35.83,,12.22
2019-10-31 14:00:00,517.5,335.5,3.42,53.27,26.98,,13.43
2019-10-31 15:00:00,669.0,427.0,3.85,54.27,21.12,,12.42
2019-10-31 16:00:00,847.0,505.0,4.05,60.88,17.6,9.05,13.05
2019-10-31 17:00:00,892.0,506.0,4.03,62.62,17.62,8.53,11.8
2019-10-31 18:00:00,767.0,485.0,3.18,84.88,23.15,8.77,10.32
2019-10-31 19:00:00,700.5,490.5,2.3,83.75,25.48,7.22,10.05
2019-10-31 20:00:00,709.0,497.5,4.32,59.65,141.6,9.78,11.12
2019-10-31 21:00:00,,539.0,4.15,70.7,122.57,14.97,11.85
2019-10-31 22:00:00,858.0,576.0,4.08,66.97,138.27,9.98,11.25
2019-10-31 23:00:00,858.0,605.5,4.58,59.5,195.43,11.88,13.0
2019-11-01 00:00:00,887.0,629.0,3.75,65.55,139.45,8.52,11.0
2019-11-01 01:00:00,836.0,625.5,3.42,64.12,122.12,8.75,11.35
2019-11-01 02:00:00,766.5,629.5,3.45,60.6,116.08,11.05,8.78
2019-11-01 03:00:00,768.0,657.5,3.02,56.08,97.43,8.33,10.8
2019-11-01 04:00:00,741.0,634.0,2.92,58.35,91.8,7.95,10.32
2019-11-01 05:00:00,671.5,558.0,2.73,53.12,79.98,7.88,10.73
2019-11-01 06:00:00,634.0,505.0,2.62,53.67,83.9,8.67,10.75
2019-11-01 07:00:00,619.5,482.0,2.85,47.3,87.25,8.35,10.4
2019-11-01 08:00:00,622.5,477.0,3.02,45.72,94.25,9.38,10.7
2019-11-01 09:00:00,648.0,454.5,3.02,50.12,95.53,8.5,10.82
2019-11-01 10:00:00,,,,,,,
2019-11-01 11:00:00,671.0,437.0,2.65,60.7,37.2,9.6,16.65
2019-11-01 12:00:00,679.0,459.0,2.65,60.58,30.85,9.98,15.0
2019-11-01 13:00:00,749.0,461.5,2.7,56.45,28.12,11.35,18.1
2019-11-01 14:00:00,828.5,488.0,2.72,62.12,29.23,11.15,19.65
2019-11-01 15:00:00,776.5,490.5,2.32,61.45,23.22,10.6,19.2
2019-11-01 16:00:00,663.0,450.5,2.25,60.05,20.28,19.77,14.4
2019-11-01 17:00:00,561.5,380.5,2.22,53.7,20.57,25.6,8.2
2019-11-01 18:00:00,590.5,330.5,2.08,59.15,28.12,14.58,16.68
2019-11-01 19:00:00,700.0,318.5,1.92,61.15,26.02,10.18,14.35
2019-11-01 20:00:00,601.5,270.0,1.5,45.9,19.35,23.5,19.05
2019-11-01 21:00:00,397.5,193.0,1.78,40.65,30.62,10.78,18.67
2019-11-01 22:00:00,326.0,148.5,1.85,42.52,25.65,9.88,19.85
2019-11-01 23:00:00,303.5,151.5,1.9,44.27,26.88,7.73,19.05
2019-11-02 00:00:00,264.5,165.0,2.05,46.2,23.77,7.12,18.8
2019-11-02 01:00:00,277.5,192.5,2.25,42.38,33.83,6.3,18.85
