Datetime,PM10 (),PM2.5 (),CO (mg/m3),NH3 (ug/m3),NOx (ppb),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,344.75,246.25,3.15,51.88,131.22,2.08,12.18
2019-10-31 02:00:00,330.5,237.0,3.17,62.38,132.78,1.4,12.2
2019-10-31 03:00:00,319.5,237.75,3.4,41.65,197.15,2.05,12.25
2019-10-31 04:00:00,299.75,220.5,3.35,46.0,191.25,2.48,12.02
2019-10-31 05:00:00,296.0,216.0,3.25,43.82,206.5,2.18,11.93
2019-10-31 06:00:00,287.5,217.5,2.98,39.75,197.25,2.2,11.3
2019-10-31 07:00:00,288.5,220.75,2.42,39.07,169.3,2.3,12.15
2019-10-31 08:00:00,282.25,212.5,2.2,37.03,122.03,2.55,10.73
2019-10-31 09:00:00,285.75,203.75,2.5,43.85,139.8,2.55,10.9
2019-10-31 10:00:00,364.75,225.75,4.68,58.6,359.62,4.45,21.05
2019-10-31 11:00:00,432.5,244.0,3.3,47.6,226.52,8.28,22.48
2019-10-31 12:00:00,401.0,229.0,3.15,44.23,215.12,11.75,23.95
2019-10-31 13:00:00,402.0,242.25,2.9,52.27,165.85,19.4,22.57
2019-10-31 14:00:00,445.5,298.0,2.85,50.33,125.78,39.92,21.3
2019-10-31 15:00:00,508.25,368.75,3.88,43.45,190.85,22.6,21.6
2019-10-31 16:00:00,600.0,447.25,5.32,52.08,330.62,4.7,25.73
2019-10-31 17:00:00,712.0,490.25,6.07,62.75,389.82,4.58,23.12
2019-10-31 18:00:00,830.75,530.75,4.83,66.58,220.9,3.05,18.08
2019-10-31 19:00:00,803.75,527.25,3.6,68.53,104.7,2.68,9.97
2019-10-31 20:00:00,645.75,477.25,3.97,71.9,137.27,3.17,10.43
2019-10-31 21:00:00,614.75,454.0,4.33,68.62,159.8,2.92,11.75
2019-10-31 22:00:00,578.75,433.25,4.83,62.5,189.62,3.12,13.62
2019-10-31 23:00:00,557.0,425.25,4.9,52.83,195.4,3.47,15.32
2019-11-01 00:00:00,561.75,426.5,4.75,55.88,164.35,3.05,13.95
2019-11-01 01:00:00,546.5,425.5,4.75,54.75,165.25,3.05,13.0
2019-11-01 02:00:00,530.25,416.0,4.72,59.47,172.2,3.0,13.0
2019-11-01 03:00:00,509.75,412.0,4.8,53.2,187.45,3.55,10.25
2019-11-01 04:00:00,529.75,422.75,4.45,55.58,162.4,3.28,10.93
2019-11-01 05:00:00,549.75,443.25,4.12,51.48,151.0,3.48,9.93
2019-11-01 06:00:00,583.0,461.75,4.03,44.72,183.15,2.92,11.17
2019-11-01 07:00:00,573.5,461.25,3.6,45.45,145.18,2.97,12.23
2019-11-01 08:00:00,564.0,458.5,3.42,44.35,136.22,3.3,11.53
2019-11-01 09:00:00,600.0,450.5,3.73,51.9,180.23,4.08,11.45
2019-11-01 10:00:00,702.75,461.5,4.6,70.53,230.03,7.0,17.12
2019-11-01 11:00:00,689.0,464.75,2.97,65.42,109.7,35.75,20.5
2019-11-01 12:00:00,596.5,437.5,2.85,60.55,91.1,80.47,22.6
2019-11-01 13:00:00,560.75,430.75,3.43,65.97,128.75,111.7,22.18
2019-11-01 14:00:00,630.25,469.25,3.62,60.02,133.93,115.7,26.3
2019-11-01 15:00:00,679.5,486.5,2.85,44.62,67.9,161.0,27.15
2019-11-01 16:00:00,627.25,437.5,2.4,40.08,75.95,100.33,26.23
2019-11-01 17:00:00,528.25,372.5,3.92,34.48,286.95,21.1,24.57
2019-11-01 18:00:00,486.5,329.5,5.53,34.58,353.9,4.55,23.2
2019-11-01 19:00:00,530.0,313.0,5.72,47.7,324.75,5.25,15.35
2019-11-01 20:00:00,556.5,310.0,3.98,43.5,246.67,4.03,16.65
2019-11-01 21:00:00,470.0,258.0,3.25,46.65,133.8,3.02,10.85
2019-11-01 22:00:00,390.5,206.5,3.48,43.12,178.95,3.02,11.22
2019-11-01 23:00:00,358.0,201.0,2.95,36.17,137.75,2.6,9.5
2019-11-02 00:00:00,334.5,200.5,3.15,40.5,156.6,2.27,11.88
2019-11-02 01:00:00,327.5,200.0,2.67,45.55,98.5,2.43,11.6
2019-11-02 02:00:00,299.5,189.0,2.42,45.97,95.75,2.5,12.27
2019-11-02 03:00:00,292.0,195.5,2.4,36.4,91.3,2.48,10.45
2019-11-02 04:00:00,333.5,252.5,2.33,42.5,93.42,3.2,10.28
2019-11-02 05:00:00,331.5,252.5,1.9,39.5,84.3,2.32,10.7
2019-11-02 06:00:00,247.5,185.0,1.48,34.42,62.92,2.18,10.15
2019-11-02 07:00:00,198.0,155.0,1.35,35.2,62.2,2.22,11.88
2019-11-02 08:00:00,185.5,134.0,1.25,30.65,61.58,2.38,12.6
2019-11-02 09:00:00,208.5,131.5,2.58,35.17,129.38,2.72,12.6
2019-11-02 10:00:00,412.5,280.5,4.03,61.3,219.9,6.2,17.62
2019-11-02 11:00:00,627.0,429.5,4.92,62.88,285.02,6.25,20.25
2019-11-02 12:00:00,691.0,454.5,4.45,70.15,205.22,10.45,22.48
2019-11-02 13:00:00,687.5,459.5,3.77,68.85,170.55,13.25,24.0
2019-11-02 14:00:00,576.0,395.5,3.05,58.28,131.53,14.97,20.7
2019-11-02 15:00:00,484.5,341.0,3.35,42.58,150.72,14.5,18.15
2019-11-02 16:00:00,515.5,368.0,3.23,54.85,151.98,11.35,17.05
2019-11-02 17:00:00,613.0,453.5,3.2,66.03,104.42,13.07,14.68
2019-11-02 18:00:00,704.5,552.5,3.3,62.93,100.35,9.25,11.2
2019-11-02 19:00:00,722.5,587.0,3.68,58.82,144.8,8.38,9.6
2019-11-02 20:00:00,713.0,580.5,4.4,49.05,228.4,4.7,11.38
2019-11-02 21:00:00,662.5,540.0,3.25,47.85,94.28,4.22,8.02
2019-11-02 22:00:00,599.0,498.0,3.6,44.95,152.9,4.0,8.97
2019-11-02 23:00:00,603.5,504.5,3.92,49.9,157.07,4.33,12.32
2019-11-03 00:00:00,595.5,511.0,3.25,52.2,86.55,4.07,10.1
2019-11-03 01:00:00,595.0,511.0,3.38,53.85,88.72,4.35,10.7
2019-11-03 02:00:00,683.0,574.0,3.33,64.78,81.62,6.3,10.57
2019-11-03 03:00:00,826.5,708.0,2.9,47.05,55.4,5.23,6.65
2019-11-03 04:00:00,859.0,742.5,3.0,46.85,51.2,4.67,6.97
2019-11-03 05:00:00,817.0,795.5,3.45,51.55,45.85,5.3,7.17
2019-11-03 06:00:00,,893.0,3.42,52.77,55.07,6.05,8.62
2019-11-03 07:00:00,,899.0,3.62,59.02,137.05,4.55,11.5
2019-11-03 08:00:00,965.0,869.5,3.9,57.52,168.3,5.07,12.65
2019-11-03 09:00:00,965.0,906.5,4.5,61.52,173.38,8.1,12.6
2019-11-03 10:00:00,,972.0,4.95,67.2,123.43,10.0,11.3
2019-11-03 11:00:00,,,4.77,64.5,133.2,9.97,9.1
2019-11-03 12:00:00,,978.0,4.6,63.1,123.63,9.8,8.2
2019-11-03 13:00:00,,954.5,4.27,65.0,98.82,14.5,6.95
2019-11-03 14:00:00,945.0,868.5,3.48,62.92,85.9,22.33,6.7
2019-11-03 15:00:00,833.0,694.0,2.65,42.25,89.92,22.98,10.07
2019-11-03 16:00:00,556.5,435.0,2.2,38.45,140.18,16.88,11.62
2019-11-03 17:00:00,372.5,254.5,3.22,32.45,290.12,4.75,14.98
2019-11-03 18:00:00,406.5,245.0,4.05,33.35,274.3,2.65,16.38
2019-11-03 19:00:00,393.5,249.5,1.92,26.55,56.65,3.27,6.6
2019-11-03 20:00:00,338.5,240.0,2.4,29.53,82.68,2.23,6.85
2019-11-03 21:00:00,338.0,227.5,3.9,35.38,250.6,2.6,11.18
2019-11-03 22:00:00,293.5,181.0,3.02,33.15,137.8,2.15,9.18
2019-11-03 23:00:00,258.0,168.0,2.23,31.48,62.1,2.45,8.43
2019-11-04 00:00:00,227.0,162.0,1.88,35.5,62.05,2.38,9.42
2019-11-04 01:00:00,188.5,135.0,1.9,34.05,76.28,2.65,9.65
2019-11-04 02:00:00,176.5,124.5,1.9,30.9,84.95,3.35,9.45
2019-11-04 03:00:00,279.5,217.5,1.9,30.95,60.2,3.72,8.25
2019-11-04 04:00:00,499.0,424.0,2.4,36.65,54.6,6.18,7.15
2019-11-04 05:00:00,692.5,607.0,2.83,45.15,71.0,5.8,8.47
2019-11-04 06:00:00,782.0,677.0,2.92,52.35,128.8,5.72,9.0
2019-11-04 07:00:00,794.5,673.5,3.15,56.88,235.57,5.65,12.6
2019-11-04 08:00:00,789.0,647.0,3.45,57.02,290.85,5.38,15.7
2019-11-04 09:00:00,754.0,599.5,3.62,44.32,241.68,5.6,15.55
2019-11-04 10:00:00,663.0,509.0,3.85,44.95,210.27,7.05,16.0
2019-11-04 11:00:00,516.5,379.0,2.6,41.88,156.07,11.78,12.68
2019-11-04 12:00:00,406.0,295.5,2.25,38.22,122.2,18.38,11.45
2019-11-04 13:00:00,329.5,236.5,1.75,39.08,93.88,28.77,10.47
2019-11-04 14:00:00,252.0,174.0,1.57,33.17,122.95,28.08,9.88
2019-11-04 15:00:00,206.0,129.5,1.45,17.5,92.28,36.72,14.53
2019-11-04 16:00:00,174.5,102.0,1.55,21.35,132.7,27.6,21.6
2019-11-04 17:00:00,171.5,95.5,2.25,16.5,197.3,10.4,18.55
2019-11-04 18:00:00,210.5,100.5,3.52,14.7,328.75,3.08,20.15
2019-11-04 19:00:00,262.0,115.0,3.67,18.07,238.73,3.03,13.98
2019-11-04 20:00:00,241.0,108.0,1.75,16.23,60.07,2.55,6.3
2019-11-04 21:00:00,206.5,97.5,2.38,18.17,93.72,2.72,7.9
2019-11-04 22:00:00,247.5,133.0,2.62,15.67,193.75,5.05,12.45
2019-11-04 23:00:00,273.5,174.0,1.7,22.8,86.55,11.1,14.52
2019-11-05 00:00:00,335.5,254.5,1.67,24.95,61.2,11.85,14.27
2019-11-05 01:00:00,442.5,359.5,1.6,26.95,37.3,12.0,14.32
2019-11-05 02:00:00,493.0,409.0,1.7,30.32,35.55,12.75,15.43
2019-11-05 03:00:00,502.0,424.5,1.8,23.6,28.3,11.43,11.1
2019-11-05 04:00:00,490.5,414.5,1.8,24.65,38.88,7.8,11.7
2019-11-05 05:00:00,469.5,392.0,1.75,23.78,41.43,8.05,12.8
2019-11-05 06:00:00,456.0,374.5,2.02,16.48,137.35,5.28,14.18
2019-11-05 07:00:00,449.5,353.5,2.5,23.58,324.18,4.1,17.95
2019-11-05 08:00:00,427.0,314.5,2.25,20.95,210.65,5.1,18.9
2019-11-05 09:00:00,391.0,272.0,2.02,21.65,143.27,11.15,19.45
2019-11-05 10:00:00,353.0,235.0,2.1,25.75,110.0,24.35,19.48
2019-11-05 11:00:00,314.5,206.5,1.88,26.95,95.97,36.67,18.95
2019-11-05 12:00:00,261.0,167.5,1.55,27.62,94.25,38.55,17.62
2019-11-05 13:00:00,199.0,110.5,1.15,25.53,82.03,47.5,12.65
2019-11-05 14:00:00,154.0,72.0,1.05,17.23,60.6,47.48,6.17
2019-11-05 15:00:00,135.0,58.0,1.25,4.1,86.8,44.05,14.9
2019-11-05 16:00:00,132.0,58.0,1.38,5.9,108.95,39.5,19.1
2019-11-05 17:00:00,131.0,55.5,2.1,11.05,205.5,17.62,18.43
2019-11-05 18:00:00,177.0,63.5,3.77,7.17,329.68,3.1,21.33
2019-11-05 19:00:00,205.5,69.0,1.32,8.9,53.08,2.6,11.38
2019-11-05 20:00:00,174.5,61.5,1.82,9.72,94.65,2.25,11.97
2019-11-05 21:00:00,185.5,67.0,2.92,11.5,177.23,2.67,12.4
2019-11-05 22:00:00,194.5,73.5,2.93,8.93,154.3,2.65,11.88
2019-11-05 23:00:00,172.5,80.0,2.75,9.85,141.38,2.6,11.85
2019-11-06 00:00:00,157.0,84.5,2.38,9.57,133.25,2.15,11.68
2019-11-06 01:00:00,150.0,85.0,2.23,11.45,137.48,2.27,12.62
2019-11-06 02:00:00,152.0,85.0,2.15,11.75,144.2,2.3,13.9
2019-11-06 03:00:00,150.0,88.0,1.8,11.5,142.9,2.55,11.85
2019-11-06 04:00:00,153.0,96.5,1.8,11.75,142.62,2.7,12.55
2019-11-06 05:00:00,152.0,100.0,1.8,12.6,145.25,2.6,12.25
2019-11-06 06:00:00,152.0,97.5,1.85,8.0,155.88,2.52,12.68
2019-11-06 07:00:00,146.0,96.5,1.65,10.55,126.05,2.25,11.55
2019-11-06 08:00:00,140.0,95.5,1.58,12.65,113.07,2.62,12.02
2019-11-06 09:00:00,159.5,98.5,2.05,20.35,157.2,3.15,13.22
2019-11-06 10:00:00,275.0,123.0,4.7,21.85,390.68,3.62,23.68
2019-11-06 11:00:00,305.5,127.5,2.7,26.93,244.32,6.15,24.65
2019-11-06 12:00:00,204.0,101.0,1.93,25.7,181.93,15.53,19.48
2019-11-06 13:00:00,155.5,77.0,1.65,24.12,151.07,13.42,13.4
2019-11-06 14:00:00,122.5,54.0,1.12,19.48,97.2,7.62,8.3
2019-11-06 15:00:00,92.5,38.5,1.45,14.5,108.85,13.68,2.55
2019-11-06 16:00:00,87.0,36.0,0.97,7.32,61.6,21.1,8.15
2019-11-06 17:00:00,92.0,39.0,0.95,6.38,59.03,25.98,10.85
2019-11-06 18:00:00,107.5,58.0,1.6,7.65,114.92,18.05,12.6
2019-11-06 19:00:00,159.0,65.0,2.92,12.5,226.7,2.33,16.1
2019-11-06 20:00:00,214.5,91.5,2.23,10.35,134.07,2.62,13.73
2019-11-06 21:00:00,250.0,128.0,2.23,11.12,112.62,3.07,13.95
2019-11-06 22:00:00,253.5,148.5,1.7,2.48,84.25,2.65,12.48
2019-11-06 23:00:00,235.5,149.0,1.47,,70.15,2.62,16.23
2019-11-07 00:00:00,225.0,144.5,1.3,2.88,65.6,2.4,17.52
2019-11-07 01:00:00,208.5,136.5,1.12,4.83,55.92,2.5,15.9
2019-11-07 02:00:00,186.0,128.5,0.83,18.27,35.77,4.15,4.1
2019-11-07 03:00:00,183.5,128.0,1.2,17.95,65.7,3.7,8.9
2019-11-07 04:00:00,199.5,134.0,1.15,25.12,55.12,2.52,7.53
2019-11-07 05:00:00,207.5,136.0,1.05,23.88,43.4,2.8,6.4
2019-11-07 06:00:00,238.0,141.5,1.52,14.48,107.95,3.8,7.53
2019-11-07 07:00:00,275.0,166.5,1.52,8.82,52.2,3.7,15.25
2019-11-07 08:00:00,282.5,188.0,1.57,10.75,51.8,3.9,17.8
2019-11-07 09:00:00,311.0,200.5,2.12,20.32,85.33,5.15,19.83
2019-11-07 10:00:00,370.0,221.5,3.03,42.78,210.62,4.17,19.18
2019-11-07 11:00:00,423.5,252.0,3.05,42.03,197.18,3.8,15.5
2019-11-07 12:00:00,407.5,260.5,1.88,42.1,70.0,4.32,11.1
2019-11-07 13:00:00,373.0,253.0,2.22,38.9,84.8,6.03,8.93
2019-11-07 14:00:00,426.0,256.5,2.12,45.15,67.3,13.1,9.57
2019-11-07 15:00:00,340.0,221.0,1.95,47.42,47.55,20.43,8.5
2019-11-07 16:00:00,238.5,170.5,1.55,32.02,39.53,29.67,11.5
2019-11-07 17:00:00,212.5,152.5,1.35,28.95,27.15,26.05,11.42
2019-11-07 18:00:00,229.0,164.5,1.65,33.72,35.08,13.9,10.2
2019-11-07 19:00:00,255.0,182.5,1.77,32.25,39.58,9.48,9.38
2019-11-07 20:00:00,257.0,186.5,1.7,29.25,40.3,9.12,10.35
2019-11-07 21:00:00,254.0,183.5,2.05,30.02,80.43,7.22,10.02
2019-11-07 22:00:00,307.0,184.0,4.85,17.68,321.3,10.62,12.28
2019-11-07 23:00:00,401.5,210.0,4.65,27.48,289.7,9.65,14.88
2019-11-08 00:00:00,346.5,202.0,2.5,25.0,132.3,6.8,10.77
2019-11-08 01:00:00,257.5,175.0,2.55,27.15,123.75,7.0,10.53
2019-11-08 02:00:00,284.0,188.5,2.85,37.92,145.0,9.05,13.1
2019-11-08 03:00:00,280.5,192.0,2.3,27.5,117.75,8.45,13.4
2019-11-08 04:00:00,258.5,186.5,1.8,32.23,92.38,8.9,11.7
2019-11-08 05:00:00,271.5,189.5,1.23,35.7,64.38,4.72,11.43
2019-11-08 06:00:00,273.0,185.5,1.58,32.9,150.5,3.88,12.73
2019-11-08 07:00:00,242.5,170.5,1.15,33.7,74.53,3.48,12.67
2019-11-08 08:00:00,198.5,144.0,1.28,29.83,87.6,3.2,10.95
2019-11-08 09:00:00,194.0,130.0,2.95,36.23,208.15,4.25,15.75
2019-11-08 10:00:00,260.0,149.5,3.12,35.3,263.62,5.68,26.9
2019-11-08 11:00:00,245.0,141.0,1.52,39.15,103.45,13.35,23.75
2019-11-08 12:00:00,199.5,119.0,2.08,31.62,150.75,25.55,23.35
2019-11-08 13:00:00,243.0,132.0,2.45,29.93,158.12,41.0,24.23
2019-11-08 14:00:00,268.5,148.0,2.48,25.65,151.83,46.25,26.68
2019-11-08 15:00:00,256.5,147.5,2.23,21.1,155.07,35.48,22.45
2019-11-08 16:00:00,232.5,128.5,2.25,23.85,195.35,22.7,21.6
2019-11-08 17:00:00,224.0,112.5,2.52,19.67,221.05,8.22,21.08
2019-11-08 18:00:00,268.5,114.5,4.67,25.52,413.35,2.8,25.3
2019-11-08 19:00:00,286.5,114.0,3.15,28.1,226.82,2.05,16.85
2019-11-08 20:00:00,308.5,127.0,4.08,29.33,300.6,2.88,21.0
2019-11-08 21:00:00,334.0,150.5,4.3,43.08,277.38,2.65,19.25
2019-11-08 22:00:00,300.5,148.5,3.27,29.15,194.65,2.08,14.88
2019-11-08 23:00:00,281.0,147.5,3.17,33.12,203.7,1.75,15.3
2019-11-09 00:00:00,263.5,146.5,2.65,33.1,162.78,1.73,13.53
2019-11-09 01:00:00,249.0,143.0,2.75,41.9,174.1,2.25,13.97
2019-11-09 02:00:00,279.0,168.5,1.83,40.5,125.3,3.4,14.93
2019-11-09 03:00:00,293.0,194.5,1.2,29.4,41.35,3.95,12.1
2019-11-09 04:00:00,290.5,219.0,1.2,35.9,47.0,3.45,14.25
2019-11-09 05:00:00,304.5,235.0,1.3,39.0,60.0,3.2,14.57
2019-11-09 06:00:00,303.0,232.0,1.48,40.65,118.17,2.8,14.43
2019-11-09 07:00:00,328.0,248.0,1.95,37.9,195.22,3.2,17.23
2019-11-09 08:00:00,358.0,264.0,2.1,29.7,194.7,3.5,19.3
2019-11-09 09:00:00,335.5,241.0,1.57,23.77,107.47,6.6,19.23
2019-11-09 10:00:00,280.0,191.0,1.85,27.62,148.32,9.68,23.4
2019-11-09 11:00:00,215.5,133.0,1.35,30.32,110.08,16.15,22.75
2019-11-09 12:00:00,155.5,82.0,1.1,23.55,90.28,24.8,19.93
2019-11-09 13:00:00,131.5,64.0,1.05,20.12,101.55,30.65,19.65
2019-11-09 14:00:00,127.25,56.25,1.05,14.48,87.8,29.1,14.75
2019-11-09 15:00:00,123.0,42.5,1.08,11.82,93.65,33.9,14.25
2019-11-09 16:00:00,109.0,43.25,1.2,8.55,116.28,22.0,14.02
2019-11-09 17:00:00,117.75,44.5,1.48,12.53,154.47,16.6,14.75
2019-11-09 18:00:00,159.75,62.5,3.5,5.82,352.33,3.2,22.12
2019-11-09 19:00:00,252.75,97.5,4.62,13.43,382.32,3.65,23.58
2019-11-09 20:00:00,319.25,144.5,4.47,12.38,355.55,4.2,23.35
2019-11-09 21:00:00,357.0,179.5,3.65,19.98,307.27,3.12,20.6
2019-11-09 22:00:00,366.75,198.0,3.17,16.1,220.57,2.83,17.9
2019-11-09 23:00:00,326.25,195.0,2.9,17.6,167.25,1.73,13.88
2019-11-10 00:00:00,302.0,178.75,2.05,18.98,135.5,2.67,14.12
2019-11-10 01:00:00,290.0,204.5,1.42,19.83,60.25,5.25,17.48
2019-11-10 02:00:00,354.0,257.75,1.42,24.3,73.2,5.15,16.65
2019-11-10 03:00:00,390.5,301.0,1.6,19.4,61.35,5.0,16.05
2019-11-10 04:00:00,423.5,340.25,1.45,23.58,48.12,4.5,16.8
2019-11-10 05:00:00,414.5,331.75,1.4,21.82,53.67,3.75,15.2
2019-11-10 06:00:00,397.0,325.0,1.5,20.55,146.15,3.15,14.15
2019-11-10 07:00:00,392.0,310.25,1.85,27.55,249.95,3.9,17.67
2019-11-10 08:00:00,416.5,314.5,2.25,25.6,271.5,4.2,24.12
2019-11-10 09:00:00,416.0,296.75,2.02,23.92,192.4,5.65,32.17
2019-11-10 10:00:00,384.0,284.5,1.85,21.12,141.28,15.18,39.2
2019-11-10 11:00:00,356.5,255.0,1.95,23.57,127.48,32.18,41.18
2019-11-10 12:00:00,338.0,241.75,1.65,23.23,110.67,47.15,35.92
2019-11-10 13:00:00,286.0,218.0,1.27,17.7,78.08,64.7,29.6
2019-11-10 14:00:00,207.0,147.0,1.1,11.25,75.97,68.62,26.57
