Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,626.75,374.75,241.8,51.35,18.43,4.05,
2019-10-31 02:00:00,573.0,342.5,206.5,56.88,16.17,3.75,
2019-10-31 03:00:00,541.5,322.5,122.0,52.6,13.05,2.55,0.2
2019-10-31 04:00:00,458.0,279.75,88.03,48.48,13.38,2.3,0.75
2019-10-31 05:00:00,432.0,289.0,87.75,44.28,13.65,2.23,1.2
2019-10-31 06:00:00,419.5,282.0,128.7,49.05,15.55,2.42,0.7
2019-10-31 07:00:00,427.0,277.75,134.73,47.2,16.02,2.52,
2019-10-31 08:00:00,422.5,273.5,127.58,46.07,15.78,2.52,
2019-10-31 09:00:00,423.0,286.0,158.55,55.65,22.42,2.7,
2019-10-31 10:00:00,509.5,316.25,125.58,62.85,55.55,2.73,
2019-10-31 11:00:00,663.75,395.5,64.1,69.18,49.38,2.73,
2019-10-31 12:00:00,744.25,443.75,45.8,76.5,39.8,2.77,
2019-10-31 13:00:00,757.25,462.5,39.2,65.88,28.03,2.17,
2019-10-31 14:00:00,597.25,409.75,36.65,58.77,23.62,2.0,
2019-10-31 15:00:00,493.0,355.0,31.75,52.3,21.08,1.92,
2019-10-31 16:00:00,467.0,332.0,,,,,
2019-10-31 17:00:00,467.0,332.0,28.23,44.47,23.75,1.9,46.0
2019-10-31 18:00:00,481.0,287.0,61.7,52.73,21.8,2.3,29.57
2019-10-31 19:00:00,559.5,325.5,106.28,60.35,20.7,3.12,2.1
2019-10-31 20:00:00,625.5,379.0,98.55,61.8,20.18,2.92,1.8
2019-10-31 21:00:00,618.5,402.0,123.88,64.62,18.88,3.38,1.38
2019-10-31 22:00:00,667.0,422.0,147.4,67.62,19.6,3.58,0.35
2019-10-31 23:00:00,693.5,431.5,147.55,66.67,19.23,3.45,0.83
2019-11-01 00:00:00,668.5,426.0,117.53,68.35,16.35,2.95,2.17
2019-11-01 01:00:00,613.5,409.5,95.65,65.58,15.55,3.08,1.55
2019-11-01 02:00:00,615.5,419.5,134.2,68.97,14.0,3.92,1.25
2019-11-01 03:00:00,684.5,460.0,97.75,68.6,12.75,3.55,1.3
2019-11-01 04:00:00,719.0,504.0,71.9,69.2,12.0,3.5,
2019-11-01 05:00:00,693.0,507.0,58.52,63.83,12.78,3.23,
2019-11-01 06:00:00,645.0,483.5,55.7,64.65,15.33,3.12,1.3
2019-11-01 07:00:00,635.0,482.0,52.73,65.22,14.82,2.92,1.23
2019-11-01 08:00:00,629.5,478.5,69.15,67.25,14.97,3.12,1.57
2019-11-01 09:00:00,683.5,504.0,96.88,67.83,19.05,3.47,1.95
