Datetime,SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),PM2.5 (ug/m3),NOx (ppb)
2019-10-31 01:00:00,14.62,3.56,7.99,195.93,246.57
2019-10-31 02:00:00,13.48,1.9,7.21,195.38,129.43
2019-10-31 03:00:00,12.51,1.58,6.42,185.35,114.55
2019-10-31 04:00:00,13.61,1.59,6.63,185.32,158.47
2019-10-31 05:00:00,15.5,1.55,7.84,177.82,148.73
2019-10-31 06:00:00,18.5,1.54,7.87,161.95,170.73
2019-10-31 07:00:00,20.85,1.66,8.18,166.2,175.82
2019-10-31 08:00:00,23.29,2.41,8.09,171.55,256.84
2019-10-31 09:00:00,24.54,2.99,8.72,188.32,227.82
2019-10-31 10:00:00,23.61,2.19,8.29,208.82,112.47
2019-10-31 11:00:00,23.79,0.89,27.92,192.32,45.95
2019-10-31 12:00:00,22.98,0.42,55.26,161.75,48.7
2019-10-31 13:00:00,22.1,0.88,101.52,141.25,36.59
2019-10-31 14:00:00,21.22,0.78,121.11,125.35,28.41
2019-10-31 15:00:00,21.36,0.92,131.92,111.45,27.32
2019-10-31 16:00:00,22.2,1.05,130.26,112.45,27.99
2019-10-31 17:00:00,24.45,1.15,114.05,121.75,25.57
2019-10-31 18:00:00,27.58,1.88,40.79,143.9,53.76
2019-10-31 19:00:00,29.2,2.71,10.27,192.72,75.81
2019-10-31 20:00:00,28.96,3.27,7.73,260.75,96.61
2019-10-31 21:00:00,28.79,3.83,7.64,330.85,103.93
2019-10-31 22:00:00,28.22,4.39,7.92,370.15,119.06
2019-10-31 23:00:00,27.97,4.75,8.13,369.55,186.74
2019-11-01 00:00:00,25.66,3.72,7.55,369.1,155.34
2019-11-01 01:00:00,24.87,2.62,6.91,365.25,133.74
2019-11-01 02:00:00,23.44,2.04,7.41,354.52,101.65
2019-11-01 03:00:00,23.12,1.74,6.56,360.2,72.35
2019-11-01 04:00:00,21.86,1.66,6.6,369.0,57.34
2019-11-01 05:00:00,23.02,1.68,6.58,353.52,56.94
2019-11-01 06:00:00,25.4,1.66,5.96,335.1,81.17
2019-11-01 07:00:00,27.16,2.13,8.3,330.92,124.4
2019-11-01 08:00:00,29.56,2.81,7.56,331.02,151.25
2019-11-01 09:00:00,31.15,3.34,9.48,340.43,141.0
2019-11-01 10:00:00,32.6,3.26,7.99,362.85,142.72
2019-11-01 11:00:00,33.42,2.27,22.24,365.2,85.97
