Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NOx (ppb),CO (mg/m3),Ozone ()
2019-10-31 01:00:00,350.74,264.58,28.61,1.32,7.72
2019-10-31 02:00:00,317.35,216.64,32.11,1.17,6.5
2019-10-31 03:00:00,289.36,207.49,39.43,0.96,10.75
2019-10-31 04:00:00,288.13,229.36,20.43,0.91,10.7
2019-10-31 05:00:00,310.36,216.36,18.51,0.96,9.32
2019-10-31 06:00:00,296.41,202.73,21.93,1.1,7.07
2019-10-31 07:00:00,310.23,215.76,21.64,1.11,6.13
2019-10-31 08:00:00,295.17,220.03,21.97,1.07,6.76
2019-10-31 09:00:00,306.23,209.89,23.52,1.15,7.42
2019-10-31 10:00:00,353.15,236.15,45.22,1.34,14.94
2019-10-31 11:00:00,359.61,233.92,41.5,1.1,41.31
2019-10-31 12:00:00,285.51,166.05,30.61,0.78,61.57
2019-10-31 13:00:00,287.82,158.98,21.81,0.62,76.84
2019-10-31 14:00:00,237.46,132.46,25.26,0.53,82.4
2019-10-31 15:00:00,244.86,128.97,15.53,0.54,104.98
2019-10-31 16:00:00,245.31,151.33,13.19,0.54,107.2
2019-10-31 17:00:00,282.35,193.48,15.78,0.72,94.99
2019-10-31 18:00:00,386.95,278.48,19.57,1.1,82.14
2019-10-31 19:00:00,502.74,387.49,25.38,1.51,54.59
2019-10-31 20:00:00,614.27,503.73,33.12,1.97,24.69
2019-10-31 21:00:00,647.52,521.57,38.87,2.41,10.19
2019-10-31 22:00:00,647.86,554.41,37.96,2.44,7.51
2019-10-31 23:00:00,613.09,502.21,37.71,2.72,6.6
2019-11-01 00:00:00,627.97,497.59,34.9,2.5,6.26
2019-11-01 01:00:00,574.18,467.85,41.91,2.28,6.78
2019-11-01 02:00:00,631.49,495.91,37.94,2.15,9.21
2019-11-01 03:00:00,615.34,487.04,28.69,2.04,11.74
2019-11-01 04:00:00,611.01,501.02,29.28,1.88,11.14
2019-11-01 05:00:00,587.52,456.76,22.02,1.56,17.03
2019-11-01 06:00:00,568.37,460.21,22.26,1.58,10.81
2019-11-01 07:00:00,540.46,429.06,20.55,1.56,7.99
2019-11-01 08:00:00,507.2,420.61,17.58,1.53,8.75
2019-11-01 09:00:00,480.08,418.06,21.28,1.58,9.41
2019-11-01 10:00:00,565.32,477.78,22.78,1.78,21.93
2019-11-01 11:00:00,668.98,580.3,19.58,1.9,54.13
2019-11-01 12:00:00,720.75,602.65,19.8,1.77,70.44
2019-11-01 13:00:00,753.03,591.42,17.02,1.73,82.86
2019-11-01 14:00:00,638.54,534.76,13.0,0.99,87.75
2019-11-01 15:00:00,420.52,323.23,15.14,0.96,98.41
2019-11-01 16:00:00,531.87,402.14,33.67,1.89,122.83
2019-11-01 17:00:00,722.38,555.25,52.19,2.63,110.74
2019-11-01 18:00:00,715.22,569.37,52.51,2.89,77.94
2019-11-01 19:00:00,764.69,552.77,51.2,3.26,40.09
2019-11-01 20:00:00,685.03,493.23,46.72,2.29,26.28
2019-11-01 21:00:00,442.52,300.5,25.62,1.07,41.01
2019-11-01 22:00:00,285.09,196.51,21.49,0.84,31.6
2019-11-01 23:00:00,297.09,192.38,27.83,0.96,9.85
2019-11-02 00:00:00,301.56,189.13,25.77,1.01,9.68
2019-11-02 01:00:00,310.84,192.28,25.72,1.0,7.83
2019-11-02 02:00:00,293.97,192.18,29.23,1.09,6.27
2019-11-02 03:00:00,272.73,176.91,30.32,1.05,5.37
2019-11-02 04:00:00,273.43,177.79,36.47,0.93,5.77
2019-11-02 05:00:00,211.54,137.45,29.75,0.74,6.32
2019-11-02 06:00:00,178.86,109.26,24.32,0.68,6.08
2019-11-02 07:00:00,194.66,129.09,34.3,0.7,6.13
2019-11-02 08:00:00,212.19,137.08,25.5,0.7,6.48
2019-11-02 09:00:00,203.13,156.25,29.47,0.92,9.38
2019-11-02 10:00:00,288.92,229.46,33.98,1.2,14.84
2019-11-02 11:00:00,474.03,313.31,33.74,1.51,27.87
2019-11-02 12:00:00,537.23,413.37,27.51,1.58,52.51
