Datetime,PM2.5 (ug/m3),PM10 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,61.67,112.16,50.85,4.41,10.15,1.66,17.99
2019-10-31 02:00:00,44.08,65.23,51.44,4.75,10.14,1.51,17.57
2019-10-31 03:00:00,42.77,54.32,40.75,4.04,9.8,1.32,17.48
2019-10-31 04:00:00,37.39,47.77,43.86,3.9,9.7,1.14,17.69
2019-10-31 05:00:00,30.63,39.0,49.32,3.58,9.68,0.99,17.68
2019-10-31 06:00:00,34.64,52.02,50.83,3.43,9.72,0.89,17.52
2019-10-31 07:00:00,45.87,70.92,41.13,3.01,9.73,0.83,17.49
2019-10-31 08:00:00,43.84,68.25,39.89,3.41,9.67,0.76,17.55
2019-10-31 09:00:00,42.08,63.0,36.75,3.12,9.82,0.7,17.74
2019-10-31 10:00:00,44.38,61.62,27.93,3.63,9.6,0.66,17.58
2019-10-31 11:00:00,36.54,57.92,27.21,3.58,9.56,0.58,18.15
2019-10-31 12:00:00,30.26,44.36,19.15,6.33,9.45,0.56,18.45
2019-10-31 13:00:00,28.9,47.67,20.96,4.26,9.57,0.44,21.78
2019-10-31 14:00:00,27.17,47.58,20.02,4.76,9.37,0.44,20.17
2019-10-31 15:00:00,20.34,42.91,19.98,3.97,9.02,0.45,18.26
2019-10-31 16:00:00,24.42,41.79,22.86,3.34,8.96,0.48,18.38
2019-10-31 17:00:00,24.12,51.34,37.17,2.68,9.01,0.49,17.47
2019-10-31 18:00:00,35.48,68.25,74.13,4.29,9.2,0.56,17.87
2019-10-31 19:00:00,89.06,205.75,125.45,4.31,9.72,0.76,18.01
2019-10-31 20:00:00,145.69,862.44,81.17,5.35,10.01,0.98,18.12
2019-10-31 21:00:00,108.89,453.18,116.37,9.23,10.02,1.15,18.16
2019-10-31 22:00:00,127.33,560.79,126.03,7.8,10.23,1.35,18.09
2019-10-31 23:00:00,62.38,218.08,53.92,6.48,10.09,1.46,17.88
2019-11-01 00:00:00,31.0,116.0,43.67,4.72,9.94,1.41,17.53
2019-11-01 01:00:00,25.95,63.68,50.49,3.89,9.69,1.26,17.39
2019-11-01 02:00:00,32.94,201.84,41.19,3.8,9.66,1.1,17.8
2019-11-01 03:00:00,26.42,61.31,45.07,3.16,9.8,0.95,17.78
2019-11-01 04:00:00,25.84,136.0,61.45,3.65,9.99,0.82,17.85
