Datetime,CO (mg/m3),Ozone (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3)
2019-10-31 01:00:00,0.42,23.23,9.18,14.05,2.25,9.0,45.5
2019-10-31 02:00:00,0.33,22.25,8.07,12.88,2.58,7.5,37.25
2019-10-31 03:00:00,0.3,19.3,7.1,14.93,2.35,11.75,29.25
2019-10-31 04:00:00,0.29,31.72,6.38,17.3,2.2,11.0,30.25
2019-10-31 05:00:00,0.29,20.55,6.47,13.78,1.95,10.5,29.25
2019-10-31 06:00:00,0.35,18.38,8.1,16.82,1.82,9.0,27.75
2019-10-31 07:00:00,0.4,17.05,11.88,14.88,1.75,9.75,42.0
2019-10-31 08:00:00,0.45,20.42,11.47,14.5,2.05,12.5,47.75
2019-10-31 09:00:00,0.56,21.23,18.58,15.82,2.45,15.25,45.5
2019-10-31 10:00:00,0.57,25.88,12.03,15.8,1.88,18.0,70.0
2019-10-31 11:00:00,0.58,31.48,10.82,18.75,2.45,17.25,67.75
2019-10-31 12:00:00,0.37,33.3,17.2,21.45,2.1,18.0,55.0
2019-10-31 13:00:00,0.11,33.85,9.22,15.43,3.0,15.5,55.5
2019-10-31 14:00:00,0.29,35.77,7.68,15.4,3.52,9.25,61.5
2019-10-31 15:00:00,0.39,29.42,20.88,14.22,3.0,11.75,59.5
2019-10-31 16:00:00,0.29,30.2,17.52,13.97,2.95,9.5,64.0
2019-10-31 17:00:00,0.31,34.38,10.4,13.67,2.92,13.25,60.0
2019-10-31 18:00:00,0.53,29.88,14.35,14.38,3.1,13.25,79.0
2019-10-31 19:00:00,0.59,22.05,21.15,15.4,2.95,23.5,91.25
2019-10-31 20:00:00,0.63,20.7,19.75,17.9,3.65,34.25,96.5
2019-10-31 21:00:00,0.6,21.15,16.9,17.5,4.6,34.75,106.0
2019-10-31 22:00:00,0.57,24.07,10.85,18.57,3.2,31.75,87.0
2019-10-31 23:00:00,0.5,21.68,8.92,18.02,1.52,23.5,61.5
2019-11-01 00:00:00,0.4,19.77,9.67,16.65,1.2,19.0,48.0
2019-11-01 01:00:00,0.34,19.4,9.05,17.45,3.72,18.5,57.0
2019-11-01 02:00:00,0.28,19.6,7.95,16.55,3.55,9.25,51.0
2019-11-01 03:00:00,0.14,20.7,4.88,14.62,2.15,11.75,41.75
2019-11-01 04:00:00,0.18,30.45,4.53,17.23,1.45,6.75,16.75
