Datetime,PM2.5 (ug/m3),PM10 (ug/m3),SO2 (ug/m3),Ozone (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3)
2019-10-31 01:00:00,15.75,30.5,1.07,17.5,6.83,4.88,0.4
2019-10-31 02:00:00,14.0,22.5,1.6,17.38,5.52,4.85,0.36
2019-10-31 03:00:00,12.0,25.75,1.77,16.55,7.73,4.95,0.37
2019-10-31 04:00:00,14.5,37.0,1.9,21.93,8.57,5.45,0.34
2019-10-31 05:00:00,13.0,28.25,1.38,14.85,6.75,4.7,0.3
2019-10-31 06:00:00,13.5,30.0,1.62,12.35,7.1,4.85,0.29
2019-10-31 07:00:00,15.75,36.0,1.6,10.82,8.8,5.12,0.36
2019-10-31 08:00:00,19.0,50.75,1.5,12.4,9.88,5.6,0.48
2019-10-31 09:00:00,21.0,62.5,1.57,18.07,9.18,5.35,0.5
2019-10-31 10:00:00,18.75,48.5,1.6,22.05,7.83,5.3,0.48
2019-10-31 11:00:00,20.0,53.25,1.4,25.23,7.75,6.23,0.26
2019-10-31 12:00:00,16.0,45.5,1.7,31.52,6.75,6.25,0.46
2019-10-31 13:00:00,14.25,47.75,1.62,33.53,3.6,5.1,0.39
2019-10-31 14:00:00,17.75,49.25,1.38,33.83,6.83,5.35,0.32
2019-10-31 15:00:00,15.75,45.0,1.98,35.33,6.12,5.6,0.24
2019-10-31 16:00:00,12.75,40.0,1.38,34.58,5.47,5.55,0.19
2019-10-31 17:00:00,17.25,45.25,1.33,33.2,7.48,5.45,0.23
2019-10-31 18:00:00,25.0,57.0,1.6,28.02,10.08,5.68,0.29
2019-10-31 19:00:00,29.0,76.0,1.07,19.55,14.57,5.8,0.52
2019-10-31 20:00:00,32.5,82.5,1.23,22.75,13.6,5.95,0.6
2019-10-31 21:00:00,33.75,66.75,1.55,23.1,12.1,6.0,0.6
2019-10-31 22:00:00,31.5,66.25,1.45,19.1,11.85,5.93,0.58
2019-10-31 23:00:00,25.5,55.25,1.23,17.23,11.85,5.7,0.51
2019-11-01 00:00:00,21.0,47.0,1.27,15.4,10.93,5.53,0.41
2019-11-01 01:00:00,24.75,53.0,1.77,16.1,9.2,5.68,0.38
