Datetime,PM2.5 (ug/m3),PM10 (ug/m3),CO (mg/m3),Ozone (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,8.75,26.25,0.33,16.3,15.97,6.6,2.17
2019-10-31 02:00:00,6.25,31.25,0.35,11.8,18.35,6.55,2.6
2019-10-31 03:00:00,9.5,34.75,0.53,8.7,20.67,6.88,1.48
2019-10-31 04:00:00,8.5,35.0,0.46,11.28,19.98,7.42,1.9
2019-10-31 05:00:00,10.0,37.5,0.51,9.62,16.57,6.7,2.82
2019-10-31 06:00:00,9.25,33.75,0.54,7.7,16.1,6.88,1.77
2019-10-31 07:00:00,8.5,28.5,0.61,6.55,18.2,7.18,2.85
2019-10-31 08:00:00,12.75,35.0,0.68,9.8,20.07,7.45,1.15
2019-10-31 09:00:00,12.0,43.0,0.35,15.6,17.02,7.5,1.52
2019-10-31 10:00:00,12.25,47.0,0.41,18.35,15.72,7.67,1.65
2019-10-31 11:00:00,12.5,40.25,0.3,20.85,15.3,8.05,1.6
2019-10-31 12:00:00,10.25,36.0,0.25,23.3,14.25,8.5,2.53
2019-10-31 13:00:00,7.75,32.25,0.16,23.95,16.55,6.65,
2019-10-31 14:00:00,7.0,39.25,0.19,26.58,18.38,6.85,
2019-10-31 15:00:00,9.5,37.0,0.14,25.32,17.32,7.25,
2019-10-31 16:00:00,16.0,30.75,0.1,25.35,16.3,7.33,
2019-10-31 17:00:00,13.25,40.0,0.16,25.42,18.8,7.33,1.38
2019-10-31 18:00:00,13.75,45.5,0.27,21.32,21.15,7.75,1.62
2019-10-31 19:00:00,15.75,55.25,0.45,15.85,22.75,8.0,2.92
2019-10-31 20:00:00,24.0,59.5,0.56,16.18,22.83,8.82,1.68
2019-10-31 21:00:00,22.75,52.75,0.64,14.8,22.75,8.93,0.97
2019-10-31 22:00:00,17.75,52.0,0.56,15.55,18.27,8.75,0.58
2019-10-31 23:00:00,13.0,41.0,0.55,14.6,17.38,8.8,0.52
2019-11-01 00:00:00,10.0,35.0,0.51,13.75,16.3,8.42,1.08
2019-11-01 01:00:00,15.0,37.0,0.47,12.78,16.77,8.25,1.85
2019-11-01 02:00:00,11.5,33.0,0.42,13.97,14.22,8.12,1.15
2019-11-01 03:00:00,10.25,27.0,0.23,12.8,14.07,7.7,0.73
2019-11-01 04:00:00,11.5,20.5,0.14,10.85,15.1,8.47,1.12
2019-11-01 05:00:00,12.25,24.5,0.19,9.9,14.62,7.58,1.0
2019-11-01 06:00:00,12.0,17.25,0.21,9.0,15.0,7.62,0.95
2019-11-01 07:00:00,16.5,27.25,0.28,9.1,16.55,7.55,0.95
2019-11-01 08:00:00,11.5,28.5,0.34,9.05,17.48,7.65,0.75
2019-11-01 09:00:00,11.5,35.0,0.31,12.77,18.48,7.9,0.25
2019-11-01 10:00:00,16.0,49.25,0.27,21.18,17.25,8.65,0.43
2019-11-01 11:00:00,16.75,48.5,0.09,26.12,17.57,8.45,0.3
2019-11-01 12:00:00,19.75,57.0,0.17,32.0,20.9,8.7,1.27
2019-11-01 13:00:00,20.75,65.5,0.02,33.28,18.82,7.5,0.97
2019-11-01 14:00:00,17.5,55.75,0.0,32.58,19.35,7.28,1.27
2019-11-01 15:00:00,17.0,54.5,0.09,26.92,17.6,7.38,1.1
2019-11-01 16:00:00,10.25,43.25,0.08,25.73,17.9,6.67,1.05
2019-11-01 17:00:00,9.0,42.0,0.12,21.5,17.73,6.92,0.1
2019-11-01 18:00:00,13.0,47.0,0.29,14.55,21.5,6.4,
2019-11-01 19:00:00,15.0,55.5,0.51,6.85,27.93,6.45,
2019-11-01 20:00:00,13.5,62.5,0.63,4.05,30.27,7.2,
2019-11-01 21:00:00,18.75,60.0,0.65,4.25,30.85,7.2,3.23
2019-11-01 22:00:00,20.5,55.75,0.73,5.3,29.1,7.8,3.33
2019-11-01 23:00:00,19.0,52.25,0.74,4.6,29.6,8.45,3.67
2019-11-02 00:00:00,18.75,53.0,0.61,5.0,28.25,8.32,3.73
2019-11-02 01:00:00,17.75,52.5,0.48,6.33,25.32,8.43,1.13
2019-11-02 02:00:00,17.0,54.0,0.5,3.97,25.88,8.5,
2019-11-02 03:00:00,16.75,61.0,0.79,3.05,22.75,8.35,0.6
2019-11-02 04:00:00,15.25,50.0,0.62,10.65,16.68,8.9,0.3
2019-11-02 05:00:00,12.5,33.25,0.61,4.95,12.85,8.15,0.85
2019-11-02 06:00:00,10.75,28.0,0.67,5.85,14.22,7.82,1.17
2019-11-02 07:00:00,11.5,32.25,0.85,3.5,19.15,7.75,0.68
2019-11-02 08:00:00,16.0,46.75,0.97,7.05,23.35,8.03,1.07
2019-11-02 09:00:00,17.25,51.25,0.91,18.7,17.45,9.03,1.52
2019-11-02 10:00:00,20.5,51.75,0.67,27.55,15.6,8.52,1.5
2019-11-02 11:00:00,19.0,58.0,0.33,34.05,15.32,8.77,1.55
2019-11-02 12:00:00,17.75,50.75,0.28,32.83,16.15,8.6,2.52
2019-11-02 13:00:00,13.25,46.75,0.26,35.05,15.97,6.88,0.6
2019-11-02 14:00:00,11.75,47.25,0.33,35.78,17.43,6.9,1.1
2019-11-02 15:00:00,14.0,49.75,0.57,35.83,18.3,6.9,0.15
2019-11-02 16:00:00,13.75,46.0,0.65,35.15,18.7,6.9,1.0
2019-11-02 17:00:00,13.25,46.75,0.77,29.55,20.3,6.45,3.5
2019-11-02 18:00:00,15.0,49.0,0.94,20.23,23.48,6.33,4.08
2019-11-02 19:00:00,18.25,53.5,1.14,10.65,27.48,6.58,4.25
2019-11-02 20:00:00,20.5,69.5,1.39,3.35,36.1,7.45,4.55
