Datetime,CO (mg/m3),Ozone (ug/m3),NOx (ppb),SO2 (ug/m3),PM2.5 (ug/m3)
2019-10-31 01:00:00,0.34,20.1,9.92,3.75,12.5
2019-10-31 02:00:00,0.32,59.72,10.65,4.47,22.5
2019-10-31 03:00:00,0.29,16.0,10.12,4.12,30.0
2019-10-31 04:00:00,0.3,18.07,9.38,4.47,30.0
2019-10-31 05:00:00,0.29,17.17,9.07,3.85,27.5
2019-10-31 06:00:00,0.34,14.15,11.42,3.85,25.0
2019-10-31 07:00:00,0.36,14.3,10.82,4.0,37.5
2019-10-31 08:00:00,0.53,14.2,15.65,4.33,35.0
2019-10-31 09:00:00,0.72,17.57,17.9,4.35,42.5
2019-10-31 10:00:00,0.93,17.0,23.23,3.6,27.5
2019-10-31 11:00:00,2.02,22.05,21.18,4.2,47.5
2019-10-31 12:00:00,0.7,24.32,14.85,4.2,35.0
2019-10-31 13:00:00,0.54,22.4,29.95,1.95,22.5
2019-10-31 14:00:00,0.61,24.9,17.8,1.98,30.0
2019-10-31 15:00:00,0.6,25.2,15.72,3.58,30.0
2019-10-31 16:00:00,0.56,25.77,16.45,5.2,25.0
2019-10-31 17:00:00,0.72,21.2,22.82,3.55,15.0
2019-10-31 18:00:00,0.65,20.6,20.12,3.05,30.0
2019-10-31 19:00:00,0.77,22.18,17.85,4.4,35.0
2019-10-31 20:00:00,0.83,19.9,18.2,4.55,45.0
2019-10-31 21:00:00,0.92,17.27,16.38,5.5,32.5
2019-10-31 22:00:00,1.11,15.0,14.25,10.62,37.5
2019-10-31 23:00:00,0.61,13.38,15.68,12.6,30.0
2019-11-01 00:00:00,0.42,15.1,11.32,13.1,30.0
2019-11-01 01:00:00,0.28,19.05,9.0,7.72,30.0
2019-11-01 02:00:00,0.3,21.85,9.25,6.75,30.0
2019-11-01 03:00:00,0.35,16.2,8.22,7.02,27.5
2019-11-01 04:00:00,0.47,14.9,10.05,7.12,20.0
2019-11-01 05:00:00,0.32,13.7,9.42,4.65,17.5
2019-11-01 06:00:00,0.33,15.5,9.18,7.07,17.5
2019-11-01 07:00:00,0.42,15.05,12.23,6.3,30.0
2019-11-01 08:00:00,0.51,14.15,13.82,7.32,5.0
2019-11-01 09:00:00,0.62,19.85,15.78,3.73,25.0
2019-11-01 10:00:00,0.53,28.62,18.27,1.2,37.5
2019-11-01 11:00:00,1.65,34.9,19.25,,27.5
2019-11-01 12:00:00,0.54,35.08,16.95,,22.5
2019-11-01 13:00:00,0.57,35.02,29.05,2.75,30.0
2019-11-01 14:00:00,0.43,34.08,13.05,3.85,32.5
2019-11-01 15:00:00,0.51,26.48,16.95,6.17,40.0
2019-11-01 16:00:00,0.45,24.4,17.93,7.12,37.5
2019-11-01 17:00:00,0.54,20.53,19.27,9.93,25.0
2019-11-01 18:00:00,0.67,17.62,22.85,8.38,15.0
2019-11-01 19:00:00,1.1,8.7,33.92,8.22,35.0
2019-11-01 20:00:00,1.05,6.8,28.45,8.02,45.0
2019-11-01 21:00:00,0.91,8.28,28.17,6.1,35.0
2019-11-01 22:00:00,0.89,7.12,30.15,5.3,45.0
2019-11-01 23:00:00,0.74,7.28,26.8,5.22,37.5
2019-11-02 00:00:00,0.72,7.75,25.57,5.03,55.0
2019-11-02 01:00:00,0.34,11.82,17.07,5.15,40.0
2019-11-02 02:00:00,0.19,56.58,14.7,4.15,37.5
2019-11-02 03:00:00,0.08,14.3,11.58,3.4,30.0
2019-11-02 04:00:00,0.1,12.75,12.7,3.48,30.0
2019-11-02 05:00:00,0.21,8.8,16.88,4.2,30.0
2019-11-02 06:00:00,0.29,8.2,20.7,4.97,30.0
2019-11-02 07:00:00,0.41,6.38,26.75,4.95,35.0
2019-11-02 08:00:00,0.41,10.38,21.4,4.72,47.5
2019-11-02 09:00:00,0.39,21.18,15.52,3.08,42.5
2019-11-02 10:00:00,0.56,28.08,17.35,1.68,47.5
2019-11-02 11:00:00,1.52,35.0,14.1,1.3,37.5
2019-11-02 12:00:00,0.28,34.77,15.9,2.1,30.0
2019-11-02 13:00:00,0.37,28.1,63.35,3.85,37.5
2019-11-02 14:00:00,0.44,34.83,32.45,2.58,52.5
2019-11-02 15:00:00,0.38,32.85,32.88,1.98,27.5
2019-11-02 16:00:00,0.43,31.42,22.3,1.98,22.5
2019-11-02 17:00:00,0.49,23.9,31.5,2.55,27.5
2019-11-02 18:00:00,0.63,18.55,28.7,2.6,25.0
2019-11-02 19:00:00,1.18,10.65,41.9,4.28,42.5
2019-11-02 20:00:00,1.05,12.12,31.12,4.65,50.0
2019-11-02 21:00:00,0.72,16.52,21.1,4.25,52.5
2019-11-02 22:00:00,0.45,14.97,16.18,2.7,55.0
2019-11-02 23:00:00,0.44,14.95,15.62,4.6,37.5
2019-11-03 00:00:00,0.4,19.3,12.82,4.3,32.5
2019-11-03 01:00:00,0.24,19.02,14.12,4.78,37.5
2019-11-03 02:00:00,0.17,63.2,11.95,5.38,27.5
2019-11-03 03:00:00,0.04,19.1,11.7,4.4,20.0
2019-11-03 04:00:00,0.2,9.0,33.6,5.47,22.5
2019-11-03 05:00:00,0.28,8.28,26.27,3.3,35.0
2019-11-03 06:00:00,0.37,8.12,25.77,2.55,50.0
2019-11-03 07:00:00,0.6,7.35,35.67,3.5,65.0
2019-11-03 08:00:00,0.54,14.5,26.8,4.12,97.5
2019-11-03 09:00:00,0.48,30.02,18.18,4.65,55.0
2019-11-03 10:00:00,0.48,40.5,15.45,4.25,42.5
2019-11-03 11:00:00,1.5,48.55,11.2,3.4,50.0
2019-11-03 12:00:00,0.28,50.5,13.15,4.58,47.5
2019-11-03 13:00:00,0.42,52.72,22.9,4.12,37.5
2019-11-03 14:00:00,0.25,58.1,8.45,3.28,32.5
2019-11-03 15:00:00,0.28,55.7,8.25,11.25,40.0
