Datetime,PM2.5 (ug/m3),PM10 (ug/m3),CO (mg/m3),NH3 (ug/m3),NOx (ppb),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,28.75,59.5,0.5,6.25,30.2,19.45,2.12
2019-10-31 02:00:00,29.25,53.0,0.34,6.75,22.85,20.78,1.4
2019-10-31 03:00:00,35.5,55.75,0.3,6.55,20.85,18.75,1.15
2019-10-31 04:00:00,38.25,52.75,0.29,6.72,23.32,12.8,1.25
2019-10-31 05:00:00,24.75,46.0,0.26,6.82,19.05,17.92,0.88
2019-10-31 06:00:00,26.5,47.25,0.29,6.38,24.88,17.53,1.25
2019-10-31 07:00:00,27.25,52.5,0.31,6.75,25.65,17.9,1.92
2019-10-31 08:00:00,35.5,62.75,0.43,6.95,29.2,17.9,1.78
2019-10-31 09:00:00,41.5,78.5,0.45,7.47,26.98,19.6,1.78
2019-10-31 10:00:00,42.5,71.0,0.48,7.53,24.12,19.9,2.5
2019-10-31 11:00:00,32.75,61.5,0.45,7.55,23.18,22.4,2.15
2019-10-31 12:00:00,33.5,61.5,0.45,7.55,23.05,22.15,12.95
2019-10-31 13:00:00,28.5,64.5,0.45,7.4,23.93,23.02,2.4
2019-10-31 14:00:00,27.5,58.75,0.42,7.83,22.22,23.68,1.98
2019-10-31 15:00:00,27.25,54.5,0.39,7.92,20.95,24.58,1.98
2019-10-31 16:00:00,24.0,54.75,0.43,7.85,22.1,23.62,2.1
2019-10-31 17:00:00,32.25,63.0,0.52,7.82,25.82,23.85,2.85
2019-10-31 18:00:00,41.0,75.0,0.6,8.0,29.62,20.6,3.45
2019-10-31 19:00:00,46.75,86.5,0.74,8.45,34.3,21.43,3.88
2019-10-31 20:00:00,47.5,93.75,0.79,9.15,32.7,21.1,3.58
2019-10-31 21:00:00,49.0,90.5,0.72,9.0,29.93,19.52,3.05
2019-10-31 22:00:00,40.0,81.0,0.73,8.45,31.6,20.15,3.1
2019-10-31 23:00:00,42.25,70.75,0.68,8.38,31.95,18.7,2.85
2019-11-01 00:00:00,49.0,58.0,0.59,8.07,31.85,18.85,2.62
2019-11-01 01:00:00,41.25,61.0,0.48,8.73,31.35,18.6,2.15
2019-11-01 02:00:00,32.75,52.25,0.33,8.65,21.95,19.0,1.33
2019-11-01 03:00:00,22.5,41.0,0.25,8.12,19.58,18.6,1.15
2019-11-01 04:00:00,20.5,32.5,0.23,7.75,20.73,10.6,1.27
2019-11-01 05:00:00,19.5,35.25,0.22,8.0,20.77,16.27,1.45
2019-11-01 06:00:00,21.25,40.5,0.23,8.23,22.08,16.2,1.85
2019-11-01 07:00:00,22.75,46.0,0.26,8.43,20.98,16.82,2.0
2019-11-01 08:00:00,25.75,51.0,0.34,8.6,23.52,17.18,2.4
2019-11-01 09:00:00,27.75,62.0,0.43,8.72,24.4,19.3,2.75
2019-11-01 10:00:00,27.5,76.0,0.51,8.7,23.52,21.55,2.88
2019-11-01 11:00:00,32.0,74.0,0.46,8.98,22.73,23.73,2.95
2019-11-01 12:00:00,39.0,78.25,0.48,9.1,22.7,25.4,13.15
2019-11-01 13:00:00,33.0,80.0,0.47,9.02,23.15,26.75,2.45
2019-11-01 14:00:00,33.5,69.25,0.43,8.97,22.07,24.9,2.0
2019-11-01 15:00:00,32.25,55.75,0.41,8.93,20.77,25.68,1.95
2019-11-01 16:00:00,25.0,58.75,0.45,8.85,21.42,24.15,2.25
2019-11-01 17:00:00,29.0,62.75,0.48,8.62,23.73,23.33,2.75
2019-11-01 18:00:00,32.0,69.75,0.53,8.65,24.68,19.62,3.22
2019-11-01 19:00:00,34.0,77.25,0.66,8.32,29.08,17.93,3.45
2019-11-01 20:00:00,42.75,85.75,0.77,8.68,31.1,18.7,3.45
2019-11-01 21:00:00,48.5,89.0,0.82,8.45,34.62,18.58,3.33
2019-11-01 22:00:00,40.75,84.5,0.78,8.18,37.08,18.45,2.95
2019-11-01 23:00:00,43.0,92.75,0.86,8.25,44.55,18.48,3.33
2019-11-02 00:00:00,49.75,103.0,0.86,8.38,48.58,16.3,3.3
2019-11-02 01:00:00,39.25,91.75,0.68,8.23,40.53,16.7,2.38
2019-11-02 02:00:00,28.25,67.25,0.47,8.3,28.7,17.8,1.45
2019-11-02 03:00:00,27.0,66.25,0.36,7.83,26.77,17.7,1.18
2019-11-02 04:00:00,21.75,57.25,0.31,8.53,25.05,10.9,1.0
2019-11-02 05:00:00,23.5,46.25,0.29,8.55,21.33,15.55,1.33
2019-11-02 06:00:00,23.25,49.5,0.29,8.0,23.98,14.75,1.65
2019-11-02 07:00:00,29.75,58.0,0.39,7.88,29.1,15.8,2.08
2019-11-02 08:00:00,38.5,68.5,0.51,8.82,35.0,17.45,2.83
2019-11-02 09:00:00,38.0,93.75,0.51,8.3,26.78,20.4,2.1
2019-11-02 10:00:00,35.0,95.25,0.52,8.12,23.9,22.32,1.75
2019-11-02 11:00:00,43.75,77.0,0.49,8.1,23.98,23.95,1.65
2019-11-02 12:00:00,43.0,83.0,0.5,8.25,25.1,25.4,11.95
2019-11-02 13:00:00,28.25,69.5,1.76,8.6,22.83,22.8,1.95
2019-11-02 14:00:00,32.5,65.0,5.24,8.1,24.0,23.27,2.45
2019-11-02 15:00:00,33.5,70.5,0.06,8.12,44.0,21.43,2.33
2019-11-02 16:00:00,32.25,61.5,0.39,6.57,185.95,21.35,2.62
2019-11-02 17:00:00,37.5,71.0,0.41,8.3,28.05,22.2,3.15
2019-11-02 18:00:00,52.0,90.5,0.53,8.02,31.02,21.48,3.62
2019-11-02 19:00:00,54.5,104.5,0.77,8.22,35.0,19.45,3.77
2019-11-02 20:00:00,56.25,110.0,0.83,8.6,35.5,19.15,4.15
2019-11-02 21:00:00,65.0,120.25,0.88,8.8,37.85,19.6,3.48
2019-11-02 22:00:00,62.0,115.75,0.84,8.75,40.62,17.3,3.3
2019-11-02 23:00:00,61.5,119.25,0.9,8.55,44.08,17.88,3.6
2019-11-03 00:00:00,55.75,120.25,0.89,8.75,48.88,18.0,3.33
2019-11-03 01:00:00,42.25,102.5,0.72,9.0,38.47,18.65,2.17
2019-11-03 02:00:00,37.5,72.0,0.68,8.7,31.82,16.82,1.73
2019-11-03 03:00:00,32.25,60.25,0.59,7.92,20.73,15.0,1.18
2019-11-03 04:00:00,41.5,49.0,0.68,9.32,16.98,16.82,0.93
2019-11-03 05:00:00,49.0,68.25,0.69,8.5,17.27,15.85,1.28
2019-11-03 06:00:00,46.75,72.25,0.69,7.82,18.23,15.25,1.12
2019-11-03 07:00:00,40.0,71.5,0.44,7.47,20.83,15.9,1.15
2019-11-03 08:00:00,39.5,71.0,0.52,7.77,22.5,17.38,1.3
2019-11-03 09:00:00,39.75,86.25,0.57,7.5,22.7,21.8,2.08
2019-11-03 10:00:00,44.5,91.75,0.54,8.32,19.15,27.6,2.32
2019-11-03 11:00:00,45.25,81.5,3.98,9.62,18.1,36.85,2.35
2019-11-03 12:00:00,48.0,86.25,0.71,10.2,18.35,36.65,81.98
2019-11-03 13:00:00,35.75,74.25,0.4,8.65,19.05,34.55,2.23
2019-11-03 14:00:00,37.0,62.25,0.42,8.1,19.25,34.75,2.3
2019-11-03 15:00:00,42.0,63.0,0.45,8.2,19.05,36.33,2.25
2019-11-03 16:00:00,41.0,71.75,0.5,8.43,21.62,32.45,2.25
2019-11-03 17:00:00,49.0,73.0,0.59,8.9,23.9,26.45,2.6
2019-11-03 18:00:00,52.5,87.0,0.79,9.1,29.2,23.9,3.02
2019-11-03 19:00:00,45.25,111.0,0.85,9.7,32.47,21.25,3.45
