Datetime,NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),PM10 (ug/m3),PM2.5 (ug/m3),Ozone (ug/m3)
2019-10-31 01:00:00,63.25,23.77,8.83,0.79,147.0,84.5,15.22
2019-10-31 02:00:00,54.11,20.67,8.39,0.61,171.1,84.8,19.37
2019-10-31 03:00:00,46.98,20.99,11.26,0.71,155.7,70.4,13.21
2019-10-31 04:00:00,62.83,25.77,10.09,0.7,166.5,92.4,9.73
2019-10-31 05:00:00,115.99,40.78,9.95,0.98,132.4,97.6,8.83
2019-10-31 06:00:00,152.08,45.96,9.29,1.54,201.6,113.9,9.36
2019-10-31 07:00:00,171.42,44.89,9.61,1.72,196.9,129.2,9.55
2019-10-31 08:00:00,131.08,30.7,8.47,1.71,266.0,146.3,9.66
2019-10-31 09:00:00,80.83,16.17,10.77,0.75,254.4,155.9,21.26
2019-10-31 10:00:00,55.11,13.48,9.07,0.47,281.6,131.6,54.97
2019-10-31 11:00:00,40.38,13.18,7.98,0.42,184.7,114.5,81.45
2019-10-31 12:00:00,23.68,16.72,4.0,0.02,183.1,101.8,83.59
2019-10-31 13:00:00,21.4,19.01,11.66,0.43,112.8,74.2,83.82
2019-10-31 14:00:00,18.88,19.81,11.68,0.44,119.3,64.3,83.44
2019-10-31 15:00:00,20.53,19.7,12.52,0.15,79.0,53.0,76.8
2019-10-31 16:00:00,24.7,20.59,15.09,0.23,104.1,42.8,67.08
2019-10-31 17:00:00,28.44,21.37,13.45,0.75,68.2,36.8,57.58
2019-10-31 18:00:00,40.24,24.25,13.42,1.15,82.7,40.8,43.0
2019-10-31 19:00:00,56.78,26.83,11.11,1.54,62.7,49.1,26.84
2019-10-31 20:00:00,126.38,44.59,13.95,3.33,97.5,49.4,8.86
2019-10-31 21:00:00,142.86,45.05,10.03,2.92,147.7,67.1,9.69
2019-10-31 22:00:00,118.53,35.69,11.13,2.52,186.7,87.2,10.69
2019-10-31 23:00:00,65.24,20.65,10.31,0.7,146.0,65.5,10.58
2019-11-01 00:00:00,80.16,26.9,8.21,0.65,152.3,76.1,10.27
2019-11-01 01:00:00,71.03,24.36,9.93,0.66,139.3,71.5,14.0
2019-11-01 02:00:00,63.56,23.26,9.2,0.42,145.4,71.3,10.98
2019-11-01 03:00:00,53.25,20.44,10.27,0.53,137.3,72.1,10.62
2019-11-01 04:00:00,52.84,21.97,9.46,0.35,128.6,74.6,10.77
2019-11-01 05:00:00,48.16,20.54,10.8,0.46,87.6,61.7,13.51
2019-11-01 06:00:00,55.19,24.04,9.54,0.46,106.4,64.2,11.39
2019-11-01 07:00:00,60.23,25.27,9.61,0.69,125.4,79.7,13.68
2019-11-01 08:00:00,64.38,26.36,8.57,0.74,146.7,88.9,14.82
2019-11-01 09:00:00,44.26,20.65,9.43,0.6,160.1,75.6,39.51
2019-11-01 10:00:00,24.47,16.94,9.16,0.12,184.6,84.8,65.21
2019-11-01 11:00:00,21.4,18.81,23.46,0.68,235.7,73.3,77.73
2019-11-01 12:00:00,22.88,19.18,55.73,0.96,175.4,48.0,96.14
2019-11-01 13:00:00,19.88,19.62,14.01,0.39,140.5,59.1,99.44
2019-11-01 14:00:00,17.38,19.36,5.75,0.03,111.3,51.7,79.98
