Datetime,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NOx (ppb),Ozone (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,140.5,41.36,0.56,43.86,33.58,72.82,14.41
2019-10-31 02:00:00,134.01,38.62,0.52,45.67,36.32,64.26,15.79
2019-10-31 03:00:00,113.77,44.18,0.33,30.59,19.65,67.06,17.99
2019-10-31 04:00:00,114.47,42.4,0.69,60.44,51.21,42.47,11.44
2019-10-31 05:00:00,121.26,43.05,0.83,70.14,61.38,30.31,10.82
2019-10-31 06:00:00,120.22,51.28,0.76,56.0,45.7,37.83,11.95
2019-10-31 07:00:00,117.66,30.84,0.83,104.9,97.52,19.08,13.79
2019-10-31 08:00:00,136.89,48.47,1.42,119.97,111.2,18.14,11.89
2019-10-31 09:00:00,171.39,61.81,1.32,67.75,55.55,48.15,10.08
2019-10-31 10:00:00,176.75,47.31,0.79,55.69,43.58,85.92,14.7
2019-10-31 11:00:00,142.19,48.87,0.52,47.86,36.2,116.52,19.81
2019-10-31 12:00:00,129.71,40.82,0.31,39.75,28.57,119.01,20.76
2019-10-31 13:00:00,111.12,25.11,0.48,32.69,22.45,127.3,12.75
2019-10-31 14:00:00,104.52,23.75,0.53,34.62,23.74,120.25,11.78
2019-10-31 15:00:00,84.19,22.48,0.31,42.05,31.65,108.74,15.58
2019-10-31 16:00:00,83.92,23.22,0.5,39.75,29.59,110.24,14.75
2019-10-31 17:00:00,83.37,26.05,0.75,40.0,29.53,94.07,9.59
2019-10-31 18:00:00,67.16,30.02,1.24,53.4,42.35,81.34,8.28
2019-10-31 19:00:00,106.96,32.95,1.51,118.88,110.32,28.9,16.18
2019-10-31 20:00:00,155.77,55.87,1.95,146.1,138.18,17.06,17.94
2019-10-31 21:00:00,184.64,43.64,2.27,134.67,126.16,16.33,14.62
2019-10-31 22:00:00,181.87,62.09,0.48,45.11,36.45,70.12,13.54
2019-10-31 23:00:00,130.97,44.44,0.4,38.12,31.13,73.75,15.59
2019-11-01 00:00:00,107.16,41.77,0.07,39.64,31.85,82.91,18.34
2019-11-01 01:00:00,85.1,38.91,0.51,50.08,42.07,74.89,12.69
2019-11-01 02:00:00,94.43,38.83,0.78,77.45,70.81,36.18,10.17
2019-11-01 03:00:00,87.41,35.24,0.69,59.92,51.8,42.36,10.65
2019-11-01 04:00:00,84.3,29.45,0.48,113.97,109.27,16.93,14.88
2019-11-01 05:00:00,82.56,21.75,0.45,131.99,128.66,12.15,13.68
2019-11-01 06:00:00,102.43,35.2,0.54,67.25,59.87,32.26,10.63
2019-11-01 07:00:00,99.52,22.98,0.71,84.84,77.24,21.79,12.63
2019-11-01 08:00:00,100.11,36.01,0.88,85.84,79.97,32.5,14.85
2019-11-01 09:00:00,130.07,49.39,0.93,65.44,57.3,37.9,16.16
2019-11-01 10:00:00,133.25,49.61,0.38,25.61,19.37,79.2,14.7
2019-11-01 11:00:00,110.99,35.14,0.38,23.93,17.17,88.74,14.27
2019-11-01 12:00:00,97.69,31.15,0.33,33.94,27.16,109.22,18.36
2019-11-01 13:00:00,110.29,29.32,0.57,31.97,25.19,115.95,16.29
2019-11-01 14:00:00,88.15,38.59,0.71,35.46,29.72,104.1,10.85
2019-11-01 15:00:00,88.51,32.39,0.77,25.87,19.59,103.64,7.64
2019-11-01 16:00:00,79.66,21.54,0.57,31.25,25.62,97.48,15.68
2019-11-01 17:00:00,54.47,27.12,0.46,49.54,45.14,79.86,19.34
2019-11-01 18:00:00,71.5,32.02,1.31,87.43,83.38,38.87,16.47
2019-11-01 19:00:00,110.32,39.87,2.11,145.0,142.55,14.03,13.34
2019-11-01 20:00:00,173.37,50.41,1.11,55.67,47.43,46.85,13.57
2019-11-01 21:00:00,150.97,54.94,0.85,51.3,42.39,52.67,17.53
2019-11-01 22:00:00,135.09,45.76,1.02,51.41,42.57,48.21,14.88
2019-11-01 23:00:00,130.64,37.16,0.88,50.32,41.32,41.27,17.23
2019-11-02 00:00:00,119.35,37.3,0.73,56.91,49.59,41.58,15.37
2019-11-02 01:00:00,124.52,31.73,0.83,38.42,30.14,49.57,14.21
2019-11-02 02:00:00,126.4,47.27,0.89,41.26,32.81,46.73,13.39
2019-11-02 03:00:00,121.52,41.14,0.52,33.77,25.09,54.71,17.59
2019-11-02 04:00:00,113.34,27.07,1.09,57.46,49.53,37.43,12.24
2019-11-02 05:00:00,121.39,41.33,1.36,61.63,54.23,49.76,13.52
2019-11-02 06:00:00,159.06,56.55,1.34,65.8,58.96,46.92,13.4
2019-11-02 07:00:00,157.14,59.06,1.18,64.69,57.71,52.16,17.3
2019-11-02 08:00:00,158.59,41.15,1.52,69.72,61.48,52.63,15.52
2019-11-02 09:00:00,195.46,57.53,1.89,49.52,40.0,96.18,11.91
2019-11-02 10:00:00,226.89,69.52,1.64,35.51,24.73,117.42,15.12
2019-11-02 11:00:00,248.36,79.0,1.43,35.95,25.51,113.59,15.63
2019-11-02 12:00:00,235.16,62.59,1.45,28.38,19.33,110.1,10.74
2019-11-02 13:00:00,202.39,52.98,0.99,36.63,29.07,106.95,14.81
2019-11-02 14:00:00,181.44,59.62,1.16,48.26,38.21,113.89,16.83
2019-11-02 15:00:00,226.38,72.21,1.28,50.85,41.67,116.84,16.27
2019-11-02 16:00:00,238.96,71.76,1.83,57.0,47.63,103.1,9.92
2019-11-02 17:00:00,279.77,80.46,1.86,58.56,49.27,89.14,9.88
2019-11-02 18:00:00,284.26,79.25,1.1,51.26,43.72,63.59,13.99
2019-11-02 19:00:00,212.56,72.69,1.04,55.87,48.58,40.02,10.78
2019-11-02 20:00:00,153.77,45.34,1.21,56.41,48.86,38.54,5.13
2019-11-02 21:00:00,153.36,35.39,0.81,52.65,45.45,32.93,8.95
2019-11-02 22:00:00,99.66,31.8,0.89,43.13,35.73,39.76,9.89
2019-11-02 23:00:00,96.66,36.31,0.85,26.96,18.67,52.38,7.62
2019-11-03 00:00:00,88.3,38.31,0.75,28.95,20.84,50.64,9.55
2019-11-03 01:00:00,94.8,32.46,1.05,22.95,14.5,58.08,9.32
2019-11-03 02:00:00,110.12,38.38,1.05,26.27,18.28,54.82,9.12
2019-11-03 03:00:00,112.86,44.48,1.11,30.12,22.72,46.42,9.13
2019-11-03 04:00:00,110.7,52.48,0.92,42.34,35.36,30.38,11.79
2019-11-03 05:00:00,102.06,35.01,0.9,56.52,50.14,21.64,11.01
2019-11-03 06:00:00,120.07,48.72,1.06,69.62,63.93,14.2,9.8
2019-11-03 07:00:00,150.06,46.74,1.52,84.72,79.33,7.08,10.32
2019-11-03 08:00:00,156.4,68.34,1.53,75.54,69.36,7.65,10.46
2019-11-03 09:00:00,154.0,55.92,1.37,56.01,48.27,21.13,13.34
2019-11-03 10:00:00,164.86,51.89,1.69,50.81,41.7,42.62,12.1
2019-11-03 11:00:00,230.33,85.02,2.03,54.16,43.9,73.7,12.58
2019-11-03 12:00:00,282.51,96.67,1.68,50.2,40.25,90.42,12.27
2019-11-03 13:00:00,252.78,86.27,1.27,43.99,34.19,84.64,9.9
2019-11-03 14:00:00,212.56,57.08,1.29,43.06,33.55,92.58,7.91
2019-11-03 15:00:00,203.33,55.58,1.21,37.26,27.63,99.22,8.32
2019-11-03 16:00:00,176.62,64.58,0.9,39.63,30.45,90.31,11.29
2019-11-03 17:00:00,159.53,55.64,0.97,52.48,44.41,75.63,12.04
2019-11-03 18:00:00,136.28,45.44,1.34,75.4,67.92,50.2,10.32
2019-11-03 19:00:00,142.16,37.73,1.67,95.28,88.39,23.32,12.01
2019-11-03 20:00:00,151.97,59.78,1.36,74.71,66.97,37.78,11.82
2019-11-03 21:00:00,159.81,62.38,1.0,55.37,46.84,45.24,13.01
2019-11-03 22:00:00,140.8,38.35,1.3,51.02,41.86,47.02,11.14
2019-11-03 23:00:00,147.32,55.74,1.14,37.37,27.63,52.8,10.54
2019-11-04 00:00:00,139.11,49.8,1.41,72.45,64.63,21.06,11.1
2019-11-04 01:00:00,141.06,47.58,1.39,85.47,78.67,8.97,10.3
2019-11-04 02:00:00,145.75,38.09,0.92,51.41,42.46,36.97,12.05
2019-11-04 03:00:00,117.6,33.62,0.91,44.22,35.43,43.36,8.53
2019-11-04 04:00:00,117.64,44.34,1.06,44.99,36.17,39.95,10.96
2019-11-04 05:00:00,119.59,39.01,1.08,45.7,37.02,35.25,10.02
2019-11-04 06:00:00,99.38,36.43,0.93,65.73,58.83,25.54,13.51
2019-11-04 07:00:00,100.5,25.86,1.33,73.17,65.91,21.55,8.35
2019-11-04 08:00:00,103.82,41.6,1.77,88.53,88.06,16.57,8.66
2019-11-04 09:00:00,133.52,46.41,1.82,42.81,63.82,41.03,8.48
2019-11-04 10:00:00,143.28,55.72,1.11,29.93,41.83,59.34,11.04
2019-11-04 11:00:00,128.82,40.17,1.0,21.2,26.35,71.17,8.5
2019-11-04 12:00:00,,,,,,,
2019-11-04 13:00:00,40.45,15.52,,,,,
2019-11-04 14:00:00,56.97,31.1,,,,,
2019-11-04 15:00:00,93.59,25.63,,,,,
2019-11-04 16:00:00,92.89,30.56,0.63,27.62,35.83,77.49,13.93
2019-11-04 17:00:00,90.34,28.27,0.76,30.0,41.81,71.19,16.1
2019-11-04 18:00:00,81.79,24.05,0.96,38.71,57.74,56.35,15.28
2019-11-04 19:00:00,92.39,37.19,1.52,48.18,74.22,34.31,13.18
2019-11-04 20:00:00,98.53,36.23,1.62,51.42,80.02,27.78,13.9
2019-11-04 21:00:00,94.54,37.45,1.72,63.4,101.77,15.0,18.8
2019-11-04 22:00:00,98.24,42.41,1.95,63.97,101.59,3.64,14.96
2019-11-04 23:00:00,94.52,33.68,2.41,81.39,131.57,7.37,9.16
2019-11-05 00:00:00,134.69,50.95,2.64,89.93,146.3,9.68,11.24
2019-11-05 01:00:00,128.87,45.13,0.94,44.88,68.08,22.73,13.88
2019-11-05 02:00:00,108.16,46.81,1.12,81.98,134.19,10.24,14.15
2019-11-05 03:00:00,99.21,37.77,0.77,50.85,79.12,16.25,12.49
2019-11-05 04:00:00,88.17,32.79,0.78,42.37,63.98,19.73,10.43
2019-11-05 05:00:00,103.99,36.87,0.98,75.91,124.27,11.98,10.5
2019-11-05 06:00:00,122.03,46.11,0.96,82.25,136.44,9.68,10.62
2019-11-05 07:00:00,121.37,45.17,1.27,93.13,155.65,9.7,10.38
2019-11-05 08:00:00,132.4,45.51,2.12,94.25,147.77,10.68,5.93
2019-11-05 09:00:00,168.34,64.59,2.37,75.66,121.19,16.73,5.75
2019-11-05 10:00:00,206.81,75.44,1.06,43.11,65.48,56.78,13.14
2019-11-05 11:00:00,178.14,60.98,0.89,29.99,42.8,96.41,14.03
2019-11-05 12:00:00,154.27,47.26,1.0,24.96,34.08,106.08,10.92
2019-11-05 13:00:00,139.65,39.78,0.62,19.21,24.92,107.03,11.73
2019-11-05 14:00:00,108.07,37.45,0.18,19.46,25.35,91.36,14.7
2019-11-05 15:00:00,75.85,30.88,0.05,,,91.38,16.04
2019-11-05 16:00:00,59.02,21.23,0.94,,,83.94,10.77
2019-11-05 17:00:00,66.02,17.53,1.24,,,75.31,9.86
2019-11-05 18:00:00,57.26,28.74,1.51,51.9,75.04,45.71,11.32
2019-11-05 19:00:00,68.15,20.85,2.37,63.68,127.69,12.25,13.05
2019-11-05 20:00:00,99.21,44.52,4.32,106.62,219.64,13.12,11.58
2019-11-05 21:00:00,162.35,57.93,6.08,157.11,327.19,11.82,11.93
2019-11-05 22:00:00,231.37,79.04,4.22,121.77,251.46,10.69,13.74
2019-11-05 23:00:00,224.59,78.05,2.25,101.14,207.94,9.22,15.86
2019-11-06 00:00:00,195.31,65.07,1.37,95.2,196.53,8.46,13.77
2019-11-06 01:00:00,141.07,52.0,1.4,68.04,137.23,8.95,11.0
2019-11-06 02:00:00,137.99,45.95,0.71,42.19,82.86,18.91,10.53
2019-11-06 03:00:00,91.95,39.36,0.38,31.79,61.34,28.67,11.81
2019-11-06 04:00:00,85.03,35.94,0.45,15.53,26.7,56.37,11.05
2019-11-06 05:00:00,60.5,30.73,0.7,27.65,52.67,44.72,8.32
2019-11-06 06:00:00,62.37,27.84,0.75,21.87,40.43,44.82,7.84
2019-11-06 07:00:00,47.87,21.28,0.62,18.15,32.94,53.5,12.15
2019-11-06 08:00:00,45.16,27.32,1.13,48.26,96.59,42.23,12.21
2019-11-06 09:00:00,77.26,38.86,0.94,15.52,26.45,64.21,9.09
2019-11-06 10:00:00,86.03,28.67,0.79,14.34,23.44,76.55,11.75
2019-11-06 11:00:00,80.05,30.49,0.94,23.01,40.64,83.78,13.33
2019-11-06 12:00:00,85.64,35.8,0.64,20.1,32.91,100.74,16.67
2019-11-06 13:00:00,103.46,42.04,1.0,19.76,32.77,98.06,9.78
2019-11-06 14:00:00,106.24,27.89,1.11,20.07,34.2,89.25,8.28
2019-11-06 15:00:00,77.94,37.09,1.0,15.74,25.16,95.47,9.42
2019-11-06 16:00:00,80.91,38.08,0.79,21.46,37.45,77.68,13.12
2019-11-06 17:00:00,76.45,27.49,0.91,19.37,33.04,74.99,10.63
2019-11-06 18:00:00,90.22,36.19,1.45,31.44,57.31,47.28,6.62
2019-11-06 19:00:00,100.59,42.34,1.18,26.09,43.47,56.71,11.44
2019-11-06 20:00:00,100.62,42.44,0.79,18.73,29.34,72.4,15.11
2019-11-06 21:00:00,92.23,28.24,0.73,17.98,28.35,74.04,15.62
2019-11-06 22:00:00,103.42,38.91,0.81,14.08,20.56,84.3,12.59
2019-11-06 23:00:00,88.28,35.7,0.65,12.73,17.85,86.12,15.12
2019-11-07 00:00:00,77.48,30.68,0.56,13.62,20.19,80.69,16.41
2019-11-07 01:00:00,69.46,36.21,0.8,11.21,15.76,84.79,14.59
2019-11-07 02:00:00,60.88,26.67,0.76,10.48,14.96,83.8,13.25
2019-11-07 03:00:00,49.88,20.89,0.75,7.98,9.86,88.83,12.43
2019-11-07 04:00:00,46.06,21.69,0.83,9.5,12.3,90.75,13.84
2019-11-07 05:00:00,43.76,28.81,0.85,10.18,12.95,89.63,13.48
2019-11-07 06:00:00,57.84,21.69,0.86,10.78,14.91,91.46,12.52
2019-11-07 07:00:00,51.02,22.77,1.01,12.62,18.3,86.79,11.88
2019-11-07 08:00:00,70.59,26.62,1.19,20.3,32.22,54.04,11.95
2019-11-07 09:00:00,87.03,28.21,1.18,20.87,32.11,51.32,11.52
2019-11-07 10:00:00,70.8,20.26,1.01,19.67,30.78,56.91,11.71
2019-11-07 11:00:00,58.66,34.43,1.23,19.72,30.55,63.3,7.38
2019-11-07 12:00:00,56.69,28.19,1.33,19.19,30.5,68.75,6.35
2019-11-07 13:00:00,50.08,21.02,0.6,14.07,20.21,80.54,11.41
2019-11-07 14:00:00,44.69,20.38,0.69,14.14,20.29,82.21,10.54
2019-11-07 15:00:00,48.12,23.48,0.94,12.23,16.26,88.08,6.86
2019-11-07 16:00:00,44.77,17.82,0.59,11.88,15.1,87.52,11.19
2019-11-07 17:00:00,54.33,26.76,0.42,11.59,14.32,89.58,13.99
2019-11-07 18:00:00,45.94,20.88,0.37,14.24,20.71,86.83,16.02
2019-11-07 19:00:00,65.19,21.75,0.81,15.56,22.71,80.69,10.45
2019-11-07 20:00:00,65.41,32.95,0.86,15.78,23.54,84.35,11.22
2019-11-07 21:00:00,68.76,28.95,0.63,15.73,23.34,86.53,15.16
2019-11-07 22:00:00,82.47,38.74,0.93,17.61,27.49,86.55,11.05
2019-11-07 23:00:00,91.89,33.98,0.96,15.31,22.41,96.83,10.55
2019-11-08 00:00:00,106.19,37.56,1.11,24.31,40.65,77.77,10.46
2019-11-08 01:00:00,124.25,43.99,1.13,18.41,28.56,92.74,11.84
2019-11-08 02:00:00,137.62,46.3,1.16,15.48,21.87,98.32,11.47
2019-11-08 03:00:00,150.45,68.87,1.14,15.61,22.34,96.41,10.79
2019-11-08 04:00:00,151.47,51.39,1.38,22.22,36.45,80.33,12.38
2019-11-08 05:00:00,158.21,50.46,1.32,25.95,44.47,67.9,12.42
2019-11-08 06:00:00,159.17,51.41,1.27,28.31,49.42,56.11,12.54
2019-11-08 07:00:00,157.61,59.87,1.4,30.67,54.0,40.44,10.05
2019-11-08 08:00:00,152.5,54.98,1.85,34.73,61.88,40.12,5.26
2019-11-08 09:00:00,161.84,47.68,1.79,22.14,35.84,68.93,4.49
2019-11-08 10:00:00,152.28,45.95,0.89,17.43,26.34,80.95,13.91
2019-11-08 11:00:00,139.41,59.78,0.82,17.5,26.41,91.38,15.34
2019-11-08 12:00:00,136.1,49.38,0.97,14.59,21.38,101.41,11.52
2019-11-08 13:00:00,120.67,44.78,0.81,15.29,23.24,100.98,11.64
2019-11-08 14:00:00,97.87,40.82,0.64,13.36,18.37,108.85,13.54
2019-11-08 15:00:00,93.48,40.81,0.46,13.35,18.42,110.45,16.4
2019-11-08 16:00:00,97.72,30.88,0.97,12.89,17.48,113.61,10.12
2019-11-08 17:00:00,88.79,36.79,1.29,16.35,23.91,112.59,8.14
2019-11-08 18:00:00,123.59,39.68,1.39,25.77,43.68,104.46,9.65
2019-11-08 19:00:00,119.38,51.67,1.49,37.3,66.92,106.79,12.07
2019-11-08 20:00:00,139.31,51.56,1.4,33.2,58.86,106.29,10.58
2019-11-08 21:00:00,164.05,49.54,1.39,32.07,56.89,93.8,10.75
