Datetime,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),Ozone (ug/m3),NH3 (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,95.33,61.22,,75.02,6.18,5.18
2019-10-31 02:00:00,84.98,62.25,,33.04,5.96,5.62
2019-10-31 03:00:00,102.98,82.93,,39.75,6.35,4.32
2019-10-31 04:00:00,95.83,74.35,,45.73,6.25,3.44
2019-10-31 05:00:00,93.05,66.15,,54.75,6.31,4.18
2019-10-31 06:00:00,94.1,56.17,,51.66,6.04,4.0
2019-10-31 07:00:00,97.75,52.52,,78.92,6.19,3.54
2019-10-31 08:00:00,134.33,63.8,,68.16,6.32,4.77
2019-10-31 09:00:00,133.35,77.7,,51.75,6.24,6.84
2019-10-31 10:00:00,110.33,66.82,,87.5,6.25,5.56
2019-10-31 11:00:00,107.18,62.47,,89.64,6.26,3.77
2019-10-31 12:00:00,103.42,60.77,,70.44,6.55,5.14
2019-10-31 13:00:00,105.75,60.25,,69.85,6.41,6.55
2019-10-31 14:00:00,111.82,71.53,,64.61,6.4,6.39
2019-10-31 15:00:00,119.7,84.45,,60.32,6.29,4.08
2019-10-31 16:00:00,104.12,73.88,,57.77,6.29,5.99
2019-10-31 17:00:00,100.83,66.47,,43.15,6.21,3.01
2019-10-31 18:00:00,97.68,65.57,,15.64,6.13,0.64
2019-10-31 19:00:00,96.85,75.65,,12.95,6.46,5.57
2019-10-31 20:00:00,92.8,83.22,,12.23,6.1,5.84
2019-10-31 21:00:00,101.53,84.0,,12.5,6.33,5.69
2019-10-31 22:00:00,106.77,80.28,,12.79,6.47,6.03
2019-10-31 23:00:00,100.75,80.12,,15.35,6.29,5.18
2019-11-01 00:00:00,91.2,76.95,,14.37,6.52,6.66
2019-11-01 01:00:00,89.65,69.88,,12.54,6.49,5.79
2019-11-01 02:00:00,89.28,71.5,,12.55,6.1,4.86
2019-11-01 03:00:00,95.45,75.15,,12.88,6.24,4.59
2019-11-01 04:00:00,86.4,71.78,,12.8,6.42,4.46
2019-11-01 05:00:00,87.05,65.83,,14.47,6.21,4.34
2019-11-01 06:00:00,100.72,58.0,,16.16,6.47,3.81
2019-11-01 07:00:00,88.3,52.38,,15.64,6.11,3.93
2019-11-01 08:00:00,100.85,50.6,,16.5,6.33,4.24
2019-11-01 09:00:00,109.17,55.83,,20.23,6.43,4.44
2019-11-01 10:00:00,120.72,64.03,,30.54,6.19,6.07
2019-11-01 11:00:00,116.58,67.15,,39.57,5.93,7.84
2019-11-01 12:00:00,122.78,76.95,,49.12,6.52,8.4
2019-11-01 13:00:00,120.47,80.25,,56.29,6.47,4.34
2019-11-01 14:00:00,117.3,81.78,,56.52,6.21,3.87
2019-11-01 15:00:00,102.33,85.92,,57.86,6.59,5.61
2019-11-01 16:00:00,104.15,80.98,,52.58,6.36,3.31
2019-11-01 17:00:00,96.92,71.58,,38.6,6.27,4.42
2019-11-01 18:00:00,98.53,64.97,,18.05,6.35,6.38
2019-11-01 19:00:00,93.45,68.15,,22.46,6.3,3.69
2019-11-01 20:00:00,93.0,65.75,,16.96,6.25,2.96
2019-11-01 21:00:00,102.62,67.53,,14.96,6.23,4.73
2019-11-01 22:00:00,93.92,69.83,,14.88,6.41,4.91
2019-11-01 23:00:00,112.85,78.45,,15.6,6.32,4.79
2019-11-02 00:00:00,110.6,74.8,,13.7,6.46,6.01
2019-11-02 01:00:00,105.92,73.9,,12.94,6.48,4.18
2019-11-02 02:00:00,99.4,69.53,,12.83,6.11,3.15
2019-11-02 03:00:00,94.35,69.82,,13.94,6.29,4.39
2019-11-02 04:00:00,94.77,67.15,,14.0,6.26,4.85
2019-11-02 05:00:00,88.82,59.8,,12.68,6.09,4.12
2019-11-02 06:00:00,84.67,54.67,,12.8,6.49,4.29
2019-11-02 07:00:00,95.38,57.75,,13.42,6.47,3.67
2019-11-02 08:00:00,115.1,72.68,,14.0,6.22,3.45
2019-11-02 09:00:00,114.95,66.25,,17.57,6.49,5.46
2019-11-02 10:00:00,108.12,59.92,,23.15,6.41,6.22
2019-11-02 11:00:00,95.22,58.67,,34.35,6.27,5.43
2019-11-02 12:00:00,98.5,56.85,,46.92,6.16,3.88
2019-11-02 13:00:00,95.5,58.62,,43.97,6.24,7.21
2019-11-02 14:00:00,97.88,61.05,,47.64,6.36,10.6
2019-11-02 15:00:00,86.4,66.22,,49.46,6.23,3.66
2019-11-02 16:00:00,97.98,60.67,,50.38,6.39,2.93
2019-11-02 17:00:00,90.98,59.55,,39.79,6.69,6.11
2019-11-02 18:00:00,92.22,60.05,,20.55,6.42,3.39
2019-11-02 19:00:00,94.12,61.22,,22.38,6.42,5.44
2019-11-02 20:00:00,89.48,65.22,,27.11,6.42,7.44
2019-11-02 21:00:00,91.15,68.2,,26.28,5.94,6.54
2019-11-02 22:00:00,97.7,69.15,,25.01,6.45,5.91
2019-11-02 23:00:00,103.6,68.72,,18.09,6.25,6.55
2019-11-03 00:00:00,89.9,68.1,,20.0,6.17,6.2
2019-11-03 01:00:00,138.18,72.85,,16.04,6.33,4.68
2019-11-03 02:00:00,117.78,88.88,,15.74,6.33,4.68
2019-11-03 03:00:00,94.57,86.25,,17.07,6.21,4.33
2019-11-03 04:00:00,90.9,81.38,,15.89,6.43,3.95
2019-11-03 05:00:00,91.1,73.38,,15.8,6.04,4.02
2019-11-03 06:00:00,94.97,65.42,,14.71,6.29,3.99
2019-11-03 07:00:00,101.82,62.38,,14.16,6.23,3.55
2019-11-03 08:00:00,110.33,70.6,,15.62,6.38,3.63
2019-11-03 09:00:00,107.4,72.72,,19.52,6.54,4.54
2019-11-03 10:00:00,109.05,72.33,,26.03,6.33,4.0
2019-11-03 11:00:00,110.42,75.45,,37.56,6.29,5.07
2019-11-03 12:00:00,118.88,84.97,,47.82,6.25,8.11
2019-11-03 13:00:00,143.0,101.65,,44.83,6.41,4.52
2019-11-03 14:00:00,126.5,94.53,,44.44,6.16,2.04
2019-11-03 15:00:00,108.33,93.93,,48.36,6.47,6.42
2019-11-03 16:00:00,114.22,90.7,,53.0,6.29,9.65
2019-11-03 17:00:00,124.83,90.92,,42.12,6.07,3.12
2019-11-03 18:00:00,123.85,89.75,,25.03,6.18,0.71
2019-11-03 19:00:00,126.45,98.25,,16.44,6.76,4.66
2019-11-03 20:00:00,130.38,109.32,,20.79,6.45,3.43
2019-11-03 21:00:00,127.62,102.07,,23.35,6.5,6.09
2019-11-03 22:00:00,113.8,92.47,,18.05,6.5,6.11
2019-11-03 23:00:00,102.8,88.15,,14.75,6.27,4.64
2019-11-04 00:00:00,116.2,96.3,,14.72,6.5,4.29
