Datetime,CO (mg/m3),NOx (ppb),NH3 (ug/m3),Ozone (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,3.99,267.9,15.77,2.74,258.35,155.68,
2019-10-31 02:00:00,3.57,210.55,14.5,2.48,272.5,167.4,
2019-10-31 03:00:00,2.3,117.12,14.16,2.21,269.43,161.25,
2019-10-31 04:00:00,1.97,93.92,14.05,2.41,235.57,158.95,
2019-10-31 05:00:00,1.69,79.8,13.79,2.33,221.15,147.8,
2019-10-31 06:00:00,1.82,122.08,14.05,2.53,211.32,135.3,
2019-10-31 07:00:00,1.96,153.75,15.69,3.94,202.88,136.57,
2019-10-31 08:00:00,1.71,91.72,15.55,12.04,220.28,147.8,
2019-10-31 09:00:00,1.57,70.42,17.77,32.13,214.8,141.55,
2019-10-31 10:00:00,1.29,34.1,16.81,67.79,195.18,123.85,
2019-10-31 11:00:00,1.06,30.98,15.06,85.63,196.23,115.7,
2019-10-31 12:00:00,1.0,29.8,14.3,107.7,183.35,95.72,5.91
2019-10-31 13:00:00,0.65,33.52,26.03,98.03,163.18,95.97,2.69
2019-10-31 14:00:00,0.61,26.35,17.7,106.06,162.4,88.4,2.2
2019-10-31 15:00:00,0.89,28.82,15.64,99.96,157.77,79.9,3.39
2019-10-31 16:00:00,1.21,34.35,15.63,95.58,138.65,76.38,3.82
2019-10-31 17:00:00,1.39,66.2,16.15,46.55,133.93,72.7,3.0
2019-10-31 18:00:00,1.87,167.15,16.62,8.31,141.8,64.03,2.87
2019-10-31 19:00:00,2.38,216.28,16.84,3.42,155.55,65.65,3.0
2019-10-31 20:00:00,2.84,250.38,17.77,2.84,174.75,73.8,3.53
2019-10-31 21:00:00,2.54,212.75,16.22,3.01,178.4,96.72,3.64
2019-10-31 22:00:00,2.75,210.1,16.44,3.05,199.1,95.55,3.97
2019-10-31 23:00:00,3.52,298.43,18.56,2.47,214.2,100.38,4.28
2019-11-01 00:00:00,4.06,351.52,21.13,2.85,224.27,106.62,4.89
2019-11-01 01:00:00,4.03,338.52,20.7,2.5,244.8,115.07,5.04
2019-11-01 02:00:00,3.56,331.9,20.24,2.62,253.92,125.93,5.01
2019-11-01 03:00:00,3.13,277.9,18.93,2.16,281.35,133.7,3.82
2019-11-01 04:00:00,2.81,241.95,18.14,2.25,262.18,132.72,3.15
2019-11-01 05:00:00,2.13,155.6,16.19,2.45,238.2,135.52,2.5
2019-11-01 06:00:00,1.89,140.9,16.47,2.28,211.1,121.47,2.28
2019-11-01 07:00:00,1.73,142.57,16.09,3.07,212.62,115.62,3.02
2019-11-01 08:00:00,2.01,161.2,17.14,5.65,214.15,107.4,3.1
2019-11-01 09:00:00,1.77,125.68,17.9,13.42,220.88,116.75,9.93
2019-11-01 10:00:00,1.32,69.58,16.12,53.69,232.4,114.75,19.59
2019-11-01 11:00:00,1.15,46.9,15.69,88.22,239.38,110.3,14.82
2019-11-01 12:00:00,1.17,29.43,15.34,106.2,216.97,95.88,7.43
2019-11-01 13:00:00,1.17,24.6,15.61,120.66,187.6,92.48,5.02
2019-11-01 14:00:00,1.09,26.1,15.83,120.49,159.25,81.95,4.91
2019-11-01 15:00:00,1.16,32.02,16.29,108.57,154.25,76.92,5.01
2019-11-01 16:00:00,1.26,39.0,15.75,88.06,142.78,71.33,4.22
2019-11-01 17:00:00,1.24,51.55,15.49,72.55,106.32,68.38,3.17
2019-11-01 18:00:00,1.5,69.1,15.58,59.95,79.2,67.82,3.61
2019-11-01 19:00:00,2.12,123.58,15.62,13.83,,,3.22
2019-11-01 20:00:00,2.48,168.35,16.79,3.3,,,3.18
2019-11-01 21:00:00,2.32,152.97,16.03,3.05,,,3.05
2019-11-01 22:00:00,2.17,122.93,15.72,3.01,,,2.69
2019-11-01 23:00:00,2.51,225.55,17.24,2.83,,,3.11
2019-11-02 00:00:00,3.42,390.38,22.81,2.45,,92.4,4.09
2019-11-02 01:00:00,2.91,361.0,22.43,2.73,,,4.08
2019-11-02 02:00:00,2.13,196.82,17.09,2.34,,,3.19
2019-11-02 03:00:00,1.56,111.55,15.44,1.97,,,2.6
2019-11-02 04:00:00,1.27,78.93,15.04,2.47,,,2.22
2019-11-02 05:00:00,1.28,62.95,14.94,3.06,,,2.2
2019-11-02 06:00:00,1.27,51.48,14.51,3.33,,,2.33
2019-11-02 07:00:00,1.36,65.5,14.78,5.83,,,2.62
