Datetime,PM2.5 (ug/m3),PM10 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),Ozone (ug/m3)
2019-10-31 01:00:00,8.41,246.58,73.42,8.68,1.44,2.8,5.31
2019-10-31 02:00:00,11.0,277.82,59.45,11.02,1.29,2.89,5.33
2019-10-31 03:00:00,10.13,251.0,54.05,10.15,1.19,2.73,3.86
2019-10-31 04:00:00,7.61,243.94,66.87,8.78,1.14,2.73,2.42
2019-10-31 05:00:00,5.33,222.85,70.31,8.07,1.09,2.79,3.45
2019-10-31 06:00:00,6.87,247.48,68.58,9.15,1.06,3.02,4.71
2019-10-31 07:00:00,6.7,247.77,73.52,9.52,0.97,2.75,2.74
2019-10-31 08:00:00,6.41,232.27,66.87,8.91,0.83,3.49,19.5
2019-10-31 09:00:00,4.48,224.41,41.38,8.58,0.8,5.95,48.66
2019-10-31 10:00:00,6.59,226.38,26.33,9.07,0.72,6.99,55.42
2019-10-31 11:00:00,11.22,225.07,27.68,9.8,0.62,8.51,63.85
2019-10-31 12:00:00,,211.72,22.65,9.32,0.48,10.88,106.69
2019-10-31 13:00:00,,,,,0.58,6.54,99.03
2019-10-31 14:00:00,106.11,190.72,20.38,11.33,,6.08,100.17
2019-10-31 15:00:00,100.46,168.55,19.66,10.82,0.51,5.41,95.77
2019-10-31 16:00:00,71.08,154.25,19.02,10.17,0.53,4.89,91.12
2019-10-31 17:00:00,66.28,147.58,29.55,28.47,0.63,4.1,57.65
2019-10-31 18:00:00,81.12,153.02,26.5,8.59,0.68,3.18,33.33
2019-10-31 19:00:00,77.63,155.81,45.23,9.08,0.83,3.05,21.1
2019-10-31 20:00:00,80.31,169.67,68.29,10.24,1.05,3.17,15.62
2019-10-31 21:00:00,93.31,189.96,71.6,9.95,1.21,3.25,15.79
2019-10-31 22:00:00,122.44,220.0,117.43,9.43,1.7,3.63,15.15
2019-10-31 23:00:00,126.75,257.71,126.1,12.2,1.89,3.81,17.5
2019-11-01 00:00:00,139.2,271.71,144.67,12.97,2.09,3.79,14.16
2019-11-01 01:00:00,139.33,299.62,125.02,12.12,1.81,3.04,15.79
2019-11-01 02:00:00,153.9,328.0,158.02,10.46,1.94,3.26,13.59
2019-11-01 03:00:00,158.26,327.23,158.7,11.57,1.77,3.12,14.82
2019-11-01 04:00:00,151.64,292.88,115.43,13.59,1.5,2.71,15.59
2019-11-01 05:00:00,140.84,249.66,125.97,11.97,1.44,2.81,13.97
2019-11-01 06:00:00,144.86,249.17,154.47,9.97,1.35,2.94,14.29
2019-11-01 07:00:00,138.83,241.43,136.92,10.0,1.17,2.96,12.55
2019-11-01 08:00:00,128.5,221.35,117.87,12.52,1.08,5.19,13.72
2019-11-01 09:00:00,126.05,239.27,98.23,12.53,1.11,16.64,24.49
2019-11-01 10:00:00,143.39,285.35,65.09,11.06,0.94,20.7,47.74
2019-11-01 11:00:00,131.38,288.53,43.09,9.87,0.77,15.84,70.76
2019-11-01 12:00:00,127.01,259.34,25.42,10.97,0.58,9.95,104.61
2019-11-01 13:00:00,105.85,224.94,20.82,10.85,0.65,7.93,110.1
2019-11-01 14:00:00,108.91,215.28,20.76,9.84,0.67,7.53,113.0
2019-11-01 15:00:00,101.79,199.69,23.85,8.63,0.75,7.96,102.56
2019-11-01 16:00:00,96.77,183.83,27.81,8.44,0.71,7.4,94.27
2019-11-01 17:00:00,91.46,171.64,23.47,9.09,0.6,5.7,88.21
2019-11-01 18:00:00,84.31,176.69,38.18,9.28,0.76,6.81,75.25
2019-11-01 19:00:00,85.96,177.97,39.91,8.55,0.87,4.91,55.55
2019-11-01 20:00:00,86.7,179.54,46.74,8.49,1.01,4.18,33.99
2019-11-01 21:00:00,91.98,180.82,52.44,9.87,1.07,3.8,22.64
2019-11-01 22:00:00,110.67,193.37,108.87,10.14,1.45,3.67,16.69
2019-11-01 23:00:00,113.86,218.39,198.1,9.48,2.07,3.61,13.37
2019-11-02 00:00:00,116.1,221.57,172.19,9.12,1.76,3.41,14.68
2019-11-02 01:00:00,117.56,228.24,134.25,10.6,1.35,3.02,14.88
2019-11-02 02:00:00,126.16,242.48,92.95,11.54,1.06,2.76,14.99
2019-11-02 03:00:00,123.76,240.19,57.43,10.39,0.72,2.73,19.11
2019-11-02 04:00:00,110.44,213.14,42.27,9.47,0.66,2.77,20.36
2019-11-02 05:00:00,102.09,198.5,61.39,9.62,0.82,2.85,18.08
2019-11-02 06:00:00,110.6,206.86,109.83,10.08,0.88,2.72,17.39
2019-11-02 07:00:00,103.05,201.07,132.09,9.76,0.98,3.13,15.47
2019-11-02 08:00:00,102.38,205.68,77.68,10.14,0.94,8.49,31.86
2019-11-02 09:00:00,107.09,212.19,66.93,9.56,0.73,25.69,49.36
2019-11-02 10:00:00,111.16,220.03,36.64,10.48,0.63,17.95,80.98
2019-11-02 11:00:00,104.58,222.62,24.75,10.37,0.48,10.52,83.06
2019-11-02 12:00:00,94.07,184.54,17.33,9.27,0.42,7.06,85.93
