Datetime,PM2.5 (ug/m3),PM10 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,218.18,279.98,104.53,5.15,8.88,1.75,3.48
2019-10-31 02:00:00,232.12,283.32,79.45,6.55,11.57,1.48,3.71
2019-10-31 03:00:00,229.15,289.75,58.45,8.7,7.67,1.29,5.77
2019-10-31 04:00:00,194.22,227.62,53.4,8.5,5.57,1.03,4.04
2019-10-31 05:00:00,167.27,186.9,47.2,8.42,5.2,0.9,4.28
2019-10-31 06:00:00,144.0,175.3,46.02,7.7,6.8,1.01,6.17
2019-10-31 07:00:00,132.97,185.72,48.27,8.03,7.78,1.1,4.61
2019-10-31 08:00:00,137.0,192.8,47.15,8.77,9.25,1.04,7.73
2019-10-31 09:00:00,135.43,190.22,44.88,9.42,7.95,0.94,13.35
2019-10-31 10:00:00,123.15,176.95,34.48,10.75,7.8,0.86,19.74
2019-10-31 11:00:00,114.72,181.03,25.68,11.77,8.12,0.8,21.68
2019-10-31 12:00:00,101.45,169.7,22.08,12.07,9.05,0.71,29.87
2019-10-31 13:00:00,93.3,159.12,18.6,13.28,7.6,0.67,18.47
2019-10-31 14:00:00,83.47,137.55,18.12,13.1,6.47,0.6,34.08
2019-10-31 15:00:00,79.42,130.57,18.55,12.25,6.7,0.54,47.02
2019-10-31 16:00:00,73.5,124.85,22.75,11.88,6.85,0.58,51.43
2019-10-31 17:00:00,60.08,123.38,37.65,10.4,8.35,0.58,74.25
2019-10-31 18:00:00,63.38,125.83,55.2,9.1,6.08,0.76,26.21
2019-10-31 19:00:00,64.7,137.25,64.08,8.98,4.72,1.01,4.08
2019-10-31 20:00:00,73.65,154.8,160.27,7.82,5.08,1.75,3.46
2019-10-31 21:00:00,88.3,166.4,121.3,5.9,5.57,1.74,3.37
2019-10-31 22:00:00,99.97,187.05,212.15,3.75,6.32,2.18,3.23
2019-10-31 23:00:00,116.35,219.1,298.82,1.0,7.35,3.29,3.3
2019-11-01 00:00:00,133.95,236.3,325.98,,7.47,3.92,3.65
2019-11-01 01:00:00,155.1,257.05,278.27,,7.15,3.48,3.35
2019-11-01 02:00:00,154.83,251.5,269.7,,7.0,2.93,3.26
2019-11-01 03:00:00,166.75,264.82,256.93,0.1,6.83,2.78,3.19
2019-11-01 04:00:00,168.68,263.0,224.95,,6.1,2.3,3.35
2019-11-01 05:00:00,153.45,247.2,206.48,,5.53,1.97,3.21
2019-11-01 06:00:00,143.45,233.75,200.85,0.47,5.97,2.02,3.33
2019-11-01 07:00:00,141.3,231.02,187.8,2.88,6.47,2.06,4.08
2019-11-01 08:00:00,140.28,228.0,158.3,6.15,8.72,1.68,3.73
2019-11-01 09:00:00,129.72,224.32,126.58,9.15,13.03,1.32,7.42
2019-11-01 10:00:00,128.9,227.43,93.93,11.62,13.22,1.17,18.1
2019-11-01 11:00:00,123.75,230.28,64.53,13.07,11.07,1.0,27.39
2019-11-01 12:00:00,105.28,203.85,48.23,14.68,8.73,0.95,25.02
2019-11-01 13:00:00,91.62,191.3,31.88,17.18,7.92,0.73,31.4
2019-11-01 14:00:00,88.83,182.62,22.73,18.15,7.6,0.76,45.83
2019-11-01 15:00:00,91.3,185.1,19.3,17.8,8.0,0.73,54.02
2019-11-01 16:00:00,,,,,,,
2019-11-01 17:00:00,,,,,,,
2019-11-01 18:00:00,,,,,,,
2019-11-01 19:00:00,,,,,,,
2019-11-01 20:00:00,,,,,,,
2019-11-01 21:00:00,,,,,,,
2019-11-01 22:00:00,,,,,,,
2019-11-01 23:00:00,,,,,,,
2019-11-02 00:00:00,,,,,,,
2019-11-02 01:00:00,,,,,,,
2019-11-02 02:00:00,,,,,,,
2019-11-02 03:00:00,,,,,,,
2019-11-02 04:00:00,,,,,,,
