Datetime,CO (mg/m3),NOx (ppb),NH3 (ug/m3),Ozone (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),SO2 (ug/m3)
2019-10-31 01:00:00,0.0,129.98,,15.52,215.55,,3.87
2019-10-31 02:00:00,0.0,88.54,,18.78,209.3,,3.49
2019-10-31 03:00:00,0.29,65.73,,26.54,193.8,,1.7
2019-10-31 04:00:00,0.01,55.81,,26.23,173.06,,1.21
2019-10-31 05:00:00,0.0,48.7,,20.96,166.53,,1.08
2019-10-31 06:00:00,0.0,47.93,,31.85,165.12,,0.23
2019-10-31 07:00:00,0.73,54.18,,38.51,165.04,,0.02
2019-10-31 08:00:00,0.86,58.92,,20.79,158.43,,
2019-10-31 09:00:00,0.99,59.7,,24.14,136.6,,
2019-10-31 10:00:00,0.91,61.86,,29.52,138.48,,
2019-10-31 11:00:00,0.52,59.69,,26.66,158.52,,2.2
2019-10-31 12:00:00,0.61,51.12,,34.4,173.43,,8.1
2019-10-31 13:00:00,0.5,48.65,,31.27,187.49,,4.49
2019-10-31 14:00:00,0.36,46.12,,28.28,194.31,,4.12
2019-10-31 15:00:00,0.63,43.52,,35.47,210.3,,4.0
2019-10-31 16:00:00,0.82,43.23,,37.25,232.64,,4.13
2019-10-31 17:00:00,1.03,47.03,,23.7,246.05,,4.63
2019-10-31 18:00:00,1.75,68.67,,27.85,273.01,,10.08
2019-10-31 19:00:00,2.07,193.9,,27.63,294.99,,13.93
2019-10-31 20:00:00,5.34,397.94,,13.68,316.12,,20.91
2019-10-31 21:00:00,6.55,458.0,,13.79,330.9,,25.15
2019-10-31 22:00:00,6.47,422.21,,13.47,318.25,,24.98
2019-10-31 23:00:00,0.07,312.0,,14.13,285.79,,24.18
2019-11-01 00:00:00,0.0,210.1,,14.78,338.81,,22.01
2019-11-01 01:00:00,0.0,123.76,,16.66,346.44,,20.25
2019-11-01 02:00:00,0.0,85.09,,17.41,271.51,,18.25
2019-11-01 03:00:00,1.38,72.66,,17.62,224.89,,17.23
2019-11-01 04:00:00,0.0,68.91,,20.27,166.68,,17.38
2019-11-01 05:00:00,0.0,63.06,,18.33,139.93,,16.17
2019-11-01 06:00:00,0.0,66.14,,13.98,143.58,,15.36
2019-11-01 07:00:00,0.44,97.03,,11.75,172.75,,14.15
2019-11-01 08:00:00,0.78,131.81,,12.8,189.05,,12.91
2019-11-01 09:00:00,0.99,101.36,,15.31,183.86,,12.47
2019-11-01 10:00:00,0.96,85.03,,17.71,191.49,,13.14
2019-11-01 11:00:00,0.65,76.66,,18.68,216.54,,12.16
2019-11-01 12:00:00,0.4,66.28,,24.31,235.94,,5.55
2019-11-01 13:00:00,0.24,57.25,,34.8,253.8,,4.02
2019-11-01 14:00:00,3.55,47.31,,51.46,241.67,,4.0
2019-11-01 15:00:00,0.29,42.81,,50.91,208.22,,4.0
2019-11-01 16:00:00,0.37,42.38,,51.45,187.69,,4.0
2019-11-01 17:00:00,0.67,49.2,,46.87,195.88,,4.0
2019-11-01 18:00:00,1.78,93.33,,28.74,223.27,,4.0
2019-11-01 19:00:00,1.07,152.77,,17.49,265.64,,4.44
2019-11-01 20:00:00,2.26,188.2,,14.69,296.7,,4.88
2019-11-01 21:00:00,5.01,268.01,,17.48,321.35,,9.12
2019-11-01 22:00:00,8.43,417.9,,11.39,340.86,,17.15
2019-11-01 23:00:00,1.33,,,10.73,338.35,,23.74
2019-11-02 00:00:00,2.5,,,11.1,333.27,,26.6
2019-11-02 01:00:00,2.17,,,11.31,338.06,,27.99
2019-11-02 02:00:00,0.61,,,12.28,332.85,,28.35
2019-11-02 03:00:00,0.26,,,12.55,315.8,,26.51
2019-11-02 04:00:00,0.0,467.97,,11.26,298.61,,25.68
2019-11-02 05:00:00,0.0,361.47,,12.18,276.93,,23.66
2019-11-02 06:00:00,0.0,305.29,,10.63,252.82,,21.09
2019-11-02 07:00:00,0.61,250.73,,8.73,256.91,,18.67
2019-11-02 08:00:00,0.0,216.5,,8.59,258.14,,15.05
2019-11-02 09:00:00,0.0,175.43,,13.59,233.55,,13.7
2019-11-02 10:00:00,0.0,126.73,,17.73,213.47,,11.8
2019-11-02 11:00:00,0.37,94.18,,21.91,210.14,,9.66
2019-11-02 12:00:00,0.03,78.95,,25.69,199.31,,8.48
2019-11-02 13:00:00,0.0,66.38,,35.49,192.11,,5.55
2019-11-02 14:00:00,0.0,56.73,,40.27,212.52,,4.06
2019-11-02 15:00:00,0.76,50.38,,54.2,224.69,,15.69
2019-11-02 16:00:00,0.63,52.06,,44.34,214.84,,3.1
2019-11-02 17:00:00,0.96,69.83,,32.26,229.75,,3.29
2019-11-02 18:00:00,1.83,107.09,,26.2,236.36,,5.92
2019-11-02 19:00:00,0.64,139.61,,13.62,279.5,,8.81
2019-11-02 20:00:00,1.71,173.59,,12.61,311.17,,8.87
2019-11-02 21:00:00,4.15,278.23,,12.38,309.56,,12.18
2019-11-02 22:00:00,5.94,361.41,,11.41,321.22,,13.97
2019-11-02 23:00:00,0.54,371.11,,9.43,335.48,,14.32
2019-11-03 00:00:00,0.1,301.01,,8.98,314.24,,12.34
2019-11-03 01:00:00,0.0,181.46,,12.0,288.71,,11.08
2019-11-03 02:00:00,0.0,123.83,,14.1,252.63,,7.47
2019-11-03 03:00:00,0.13,97.91,,16.24,210.19,,6.93
2019-11-03 04:00:00,0.0,82.33,,14.46,195.04,,4.92
2019-11-03 05:00:00,0.0,72.11,,16.0,183.08,,3.64
2019-11-03 06:00:00,0.0,67.81,,18.38,172.33,,2.69
2019-11-03 07:00:00,0.36,64.25,,17.38,181.6,,1.62
2019-11-03 08:00:00,0.4,62.79,,18.68,183.79,,0.74
2019-11-03 09:00:00,0.31,62.51,,17.12,185.36,,0.98
2019-11-03 10:00:00,0.29,61.15,,21.27,181.78,,0.39
