Datetime,NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),CO (mg/m3),PM10 (ug/m3),NH3 (ug/m3)
2019-10-31 01:00:00,44.62,21.27,229.12,5.57,2.63,,
2019-10-31 02:00:00,45.6,22.43,211.21,5.85,3.0,,
2019-10-31 03:00:00,42.17,22.23,203.01,7.89,2.79,,
2019-10-31 04:00:00,36.27,19.94,194.12,7.36,1.94,,
2019-10-31 05:00:00,33.03,22.52,175.57,8.27,1.39,,
2019-10-31 06:00:00,31.13,22.09,175.91,7.97,1.5,,
2019-10-31 07:00:00,29.44,21.39,153.26,2.34,1.21,,
2019-10-31 08:00:00,32.32,16.58,134.1,0.47,2.18,,
2019-10-31 09:00:00,36.92,15.51,135.29,0.14,0.96,,
2019-10-31 10:00:00,40.23,16.66,135.27,5.29,1.12,,
2019-10-31 11:00:00,35.47,19.06,129.11,5.46,1.36,,
2019-10-31 12:00:00,32.11,20.17,147.5,3.47,1.49,,
2019-10-31 13:00:00,30.72,19.72,164.41,5.29,0.46,,
2019-10-31 14:00:00,29.92,26.33,165.75,3.85,0.3,,
2019-10-31 15:00:00,29.84,25.02,176.48,2.66,2.1,,
2019-10-31 16:00:00,35.08,21.09,216.43,4.5,2.72,,
2019-10-31 17:00:00,38.22,19.78,213.38,7.14,3.12,,
2019-10-31 18:00:00,38.53,20.87,232.92,7.52,2.95,,
2019-10-31 19:00:00,52.27,19.21,249.93,7.22,3.34,,
2019-10-31 20:00:00,73.69,24.22,279.19,11.98,4.19,,
2019-10-31 21:00:00,58.83,17.6,268.5,14.04,3.39,,
2019-10-31 22:00:00,46.64,17.94,247.71,7.59,2.46,,
2019-10-31 23:00:00,45.14,16.36,221.98,8.09,2.39,,
2019-11-01 00:00:00,34.53,18.8,201.74,8.38,1.35,,
2019-11-01 01:00:00,29.16,15.9,177.68,5.7,1.74,,
2019-11-01 02:00:00,27.8,14.65,155.25,4.34,0.93,,
2019-11-01 03:00:00,28.8,17.52,139.15,4.2,1.32,,
2019-11-01 04:00:00,28.73,14.38,126.3,1.66,1.76,,
2019-11-01 05:00:00,25.3,12.21,139.5,1.64,1.84,,
2019-11-01 06:00:00,23.72,10.25,131.88,0.79,1.93,,
2019-11-01 07:00:00,24.47,10.77,140.63,5.65,1.38,,
2019-11-01 08:00:00,30.04,10.81,152.66,7.49,2.84,,
2019-11-01 09:00:00,26.35,14.51,178.63,7.44,1.48,,
2019-11-01 10:00:00,22.76,15.03,287.19,1.71,1.15,,
2019-11-01 11:00:00,21.5,19.69,346.02,2.12,1.99,,
2019-11-01 12:00:00,20.71,25.14,353.62,0.78,2.12,,
2019-11-01 13:00:00,18.37,31.73,340.08,1.1,1.34,,
2019-11-01 14:00:00,17.77,31.63,299.64,,1.44,,
2019-11-01 15:00:00,17.63,19.97,284.2,2.19,2.29,,
2019-11-01 16:00:00,13.93,20.6,164.34,2.78,3.09,,
2019-11-01 17:00:00,14.03,30.69,105.85,3.04,2.57,,
2019-11-01 18:00:00,15.95,16.33,418.13,2.91,3.88,,
2019-11-01 19:00:00,23.02,18.06,429.52,9.87,5.89,,
2019-11-01 20:00:00,24.52,15.53,438.37,25.04,5.92,,
2019-11-01 21:00:00,23.97,18.21,412.81,29.96,7.15,,
2019-11-01 22:00:00,22.43,17.37,386.75,13.94,5.95,,
2019-11-01 23:00:00,21.07,18.89,413.12,20.48,4.94,,
2019-11-02 00:00:00,27.2,23.3,465.35,19.55,3.44,,
2019-11-02 01:00:00,81.93,18.12,468.87,11.05,3.03,,
2019-11-02 02:00:00,49.99,24.0,433.49,15.2,1.81,,
2019-11-02 03:00:00,27.38,16.82,365.61,17.66,1.57,,
2019-11-02 04:00:00,22.46,20.64,313.85,6.89,0.57,,
2019-11-02 05:00:00,21.22,21.09,289.14,4.71,1.57,,
2019-11-02 06:00:00,18.22,20.25,304.55,3.22,1.88,,
2019-11-02 07:00:00,16.6,19.69,305.09,2.11,1.31,,
2019-11-02 08:00:00,16.42,19.77,287.99,0.87,1.57,,
2019-11-02 09:00:00,16.8,21.84,270.76,0.36,1.71,,
2019-11-02 10:00:00,16.5,26.75,259.78,3.25,1.75,,
2019-11-02 11:00:00,15.33,27.74,267.12,4.06,1.04,,
2019-11-02 12:00:00,13.99,37.48,270.71,0.57,1.21,,
2019-11-02 13:00:00,14.02,42.86,260.57,3.01,1.17,,
2019-11-02 14:00:00,13.35,35.7,265.7,3.21,2.43,,
2019-11-02 15:00:00,13.27,53.06,273.82,0.79,0.47,,
2019-11-02 16:00:00,13.7,50.12,275.29,0.59,0.68,,
2019-11-02 17:00:00,14.03,36.96,265.38,4.54,2.36,,
2019-11-02 18:00:00,33.87,26.52,261.21,5.98,2.96,,
2019-11-02 19:00:00,28.55,16.88,256.41,9.38,4.83,,
2019-11-02 20:00:00,24.46,18.39,256.05,16.94,4.66,,
2019-11-02 21:00:00,24.26,28.22,281.85,29.5,7.13,,
2019-11-02 22:00:00,21.53,30.04,323.08,8.95,6.42,,
2019-11-02 23:00:00,21.65,28.87,353.77,19.88,4.1,,
2019-11-03 00:00:00,20.12,28.07,364.88,24.6,3.69,,
2019-11-03 01:00:00,,,,,,,
2019-11-03 02:00:00,,,,,,,
2019-11-03 03:00:00,,,,,,,
2019-11-03 04:00:00,,,,,,,
2019-11-03 05:00:00,,,,,,,
2019-11-03 06:00:00,,,,,,,
2019-11-03 07:00:00,,,,,,,
2019-11-03 08:00:00,,,,,,,
2019-11-03 09:00:00,,,,,,,
2019-11-03 10:00:00,,,,,,,
2019-11-03 11:00:00,,,,,,,
2019-11-03 12:00:00,,,,,,,
2019-11-03 13:00:00,,,,,,,
2019-11-03 14:00:00,28.19,25.16,,7.61,0.07,,
2019-11-03 15:00:00,33.26,33.38,19.25,3.41,2.13,,
2019-11-03 16:00:00,29.89,27.99,184.79,12.52,1.51,,
2019-11-03 17:00:00,26.32,29.46,210.55,16.83,3.19,,
2019-11-03 18:00:00,23.56,25.99,255.56,1.65,2.5,,
2019-11-03 19:00:00,23.04,23.07,278.91,3.25,4.17,,
2019-11-03 20:00:00,23.7,22.09,268.37,1.36,3.78,,
2019-11-03 21:00:00,40.46,23.62,271.01,0.19,1.65,,
2019-11-03 22:00:00,25.02,23.56,275.58,0.03,0.47,,
2019-11-03 23:00:00,20.53,22.86,290.23,,1.16,,
2019-11-04 00:00:00,18.63,23.17,333.96,1.18,1.12,,
2019-11-04 01:00:00,18.44,21.37,377.78,,1.08,,
2019-11-04 02:00:00,18.42,23.11,370.96,,1.14,,
2019-11-04 03:00:00,18.18,22.77,391.18,3.46,1.57,,
2019-11-04 04:00:00,18.2,22.92,430.19,1.13,2.16,,
2019-11-04 05:00:00,18.27,22.49,463.71,0.2,0.41,,
2019-11-04 06:00:00,18.17,20.87,511.08,1.39,0.53,,
2019-11-04 07:00:00,18.31,17.03,508.22,0.99,0.96,,
2019-11-04 08:00:00,18.57,13.91,488.64,1.11,0.81,,
2019-11-04 09:00:00,18.31,14.85,464.62,2.48,1.19,,
2019-11-04 10:00:00,18.13,20.75,488.15,0.7,0.94,,
2019-11-04 11:00:00,19.66,25.41,485.69,1.19,1.59,,
2019-11-04 12:00:00,20.28,29.11,,1.81,1.87,,
2019-11-04 13:00:00,20.48,41.6,464.74,2.06,3.12,,
2019-11-04 14:00:00,21.17,47.99,480.41,1.18,4.83,,
2019-11-04 15:00:00,21.46,25.11,491.87,3.77,3.31,,
2019-11-04 16:00:00,21.56,38.49,474.24,3.4,2.73,,
2019-11-04 17:00:00,21.98,33.35,436.58,4.14,2.42,,
2019-11-04 18:00:00,34.62,23.67,412.27,7.67,3.02,,
2019-11-04 19:00:00,36.03,19.7,462.07,13.81,5.39,,
2019-11-04 20:00:00,24.72,38.2,440.09,14.28,4.7,,
2019-11-04 21:00:00,20.68,34.56,394.18,10.56,2.59,,
2019-11-04 22:00:00,20.54,32.7,365.03,11.34,1.66,,
2019-11-04 23:00:00,20.58,37.23,328.19,10.39,1.76,,
2019-11-05 00:00:00,20.65,40.92,288.81,7.29,1.19,,
2019-11-05 01:00:00,20.46,39.43,374.0,6.37,0.71,,
2019-11-05 02:00:00,20.48,43.64,360.75,5.91,0.39,,
2019-11-05 03:00:00,20.39,40.19,341.47,1.73,0.43,,
2019-11-05 04:00:00,20.3,37.75,274.75,0.11,0.41,,
2019-11-05 05:00:00,20.42,36.08,244.58,,0.85,,
2019-11-05 06:00:00,20.37,38.06,224.08,1.92,0.97,,
2019-11-05 07:00:00,20.45,30.13,262.81,1.34,1.63,,
2019-11-05 08:00:00,20.34,28.12,301.06,0.21,2.33,,
2019-11-05 09:00:00,20.34,30.72,302.44,3.98,1.51,,
2019-11-05 10:00:00,20.27,35.42,306.59,6.52,1.41,,
2019-11-05 11:00:00,20.09,46.56,276.12,5.62,1.25,,
2019-11-05 12:00:00,20.17,51.7,212.23,7.22,1.01,,
2019-11-05 13:00:00,20.37,54.47,198.59,7.97,1.54,,
2019-11-05 14:00:00,19.97,53.54,159.81,6.02,2.53,,
2019-11-05 15:00:00,19.88,55.65,150.34,5.23,2.96,,
2019-11-05 16:00:00,20.14,76.01,124.84,5.1,4.14,,
2019-11-05 17:00:00,19.94,52.58,116.66,4.6,2.72,,
2019-11-05 18:00:00,20.21,13.7,110.1,7.68,2.62,,
2019-11-05 19:00:00,20.59,39.03,151.75,15.58,1.09,,
2019-11-05 20:00:00,20.5,30.75,215.34,15.99,0.77,,
2019-11-05 21:00:00,20.66,32.03,209.01,10.19,1.05,,
2019-11-05 22:00:00,20.72,31.75,208.71,11.68,0.65,,
2019-11-05 23:00:00,20.35,36.09,201.13,11.2,0.88,,
2019-11-06 00:00:00,20.39,32.49,200.18,9.8,0.67,,
