Datetime,PM2.5 (ug/m3),PM10 (ug/m3),CO (mg/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),Ozone (ug/m3)
2019-10-31 01:00:00,245.6,,0.48,25.92,33.25,2.98,
2019-10-31 02:00:00,,,,,,,
2019-10-31 03:00:00,,,,,,,
2019-10-31 04:00:00,,,,,,,
2019-10-31 05:00:00,,,,,,,
2019-10-31 06:00:00,,,,,,,
2019-10-31 07:00:00,,,,,,,
2019-10-31 08:00:00,,,,,,,
2019-10-31 09:00:00,1.8,,0.38,22.47,43.65,3.33,
2019-10-31 10:00:00,9.65,,0.37,12.4,15.75,5.0,
2019-10-31 11:00:00,137.12,,0.53,18.5,27.6,4.69,
2019-10-31 12:00:00,235.15,,0.52,19.83,29.88,2.57,
2019-10-31 13:00:00,291.28,,0.48,21.05,30.02,2.57,
2019-10-31 14:00:00,63.27,,0.43,26.45,20.2,2.08,
2019-10-31 15:00:00,310.8,,0.89,29.89,10.05,2.44,
2019-10-31 16:00:00,420.42,,0.43,25.13,7.5,0.44,
2019-10-31 17:00:00,451.75,,0.3,27.95,8.88,0.84,
2019-10-31 18:00:00,426.1,,0.73,39.9,9.7,2.89,
2019-10-31 19:00:00,394.67,,1.29,39.88,9.38,3.17,
2019-10-31 20:00:00,385.92,,0.39,43.07,10.45,3.69,
2019-10-31 21:00:00,387.85,,0.14,42.82,10.28,3.48,
2019-10-31 22:00:00,355.25,,0.34,44.2,10.32,3.82,
2019-10-31 23:00:00,306.73,,0.23,45.5,10.75,3.82,
2019-11-01 00:00:00,261.3,,0.51,45.05,10.55,4.04,
2019-11-01 01:00:00,235.48,,0.41,45.0,10.75,3.57,
2019-11-01 02:00:00,213.1,,0.46,44.47,10.22,3.25,
2019-11-01 03:00:00,177.5,,0.59,45.8,10.93,3.37,
2019-11-01 04:00:00,181.55,,0.52,44.03,10.1,3.16,
2019-11-01 05:00:00,176.97,,0.54,44.22,10.1,3.17,
2019-11-01 06:00:00,178.82,,0.49,45.12,10.57,3.1,
2019-11-01 07:00:00,168.23,,0.47,45.27,10.68,3.31,
2019-11-01 08:00:00,179.17,,0.6,44.22,10.12,3.4,
2019-11-01 09:00:00,183.28,,0.54,46.05,10.55,3.42,
2019-11-01 10:00:00,192.35,,0.46,46.5,10.3,3.21,
2019-11-01 11:00:00,220.8,,0.38,46.07,10.07,3.48,
2019-11-01 12:00:00,214.2,,0.81,36.17,10.4,3.24,
2019-11-01 13:00:00,180.47,,0.81,32.75,10.45,2.96,
2019-11-01 14:00:00,163.5,,0.87,32.52,10.3,2.57,
2019-11-01 15:00:00,289.27,,0.92,30.67,9.3,2.45,
2019-11-01 16:00:00,359.62,,0.79,32.12,10.1,2.09,
2019-11-01 17:00:00,367.98,,0.86,32.21,10.15,1.94,
2019-11-01 18:00:00,351.3,,0.88,32.74,10.42,2.38,
2019-11-01 19:00:00,387.52,,1.64,33.51,10.78,4.18,
2019-11-01 20:00:00,425.85,,1.09,32.38,10.3,5.73,
2019-11-01 21:00:00,563.77,,1.34,33.22,10.7,7.03,
2019-11-01 22:00:00,585.97,,0.9,33.39,10.82,7.66,
2019-11-01 23:00:00,542.15,,0.81,33.75,10.93,8.79,
2019-11-02 00:00:00,484.18,,0.59,33.44,10.8,9.59,
2019-11-02 01:00:00,398.88,,1.59,33.13,10.68,10.0,
2019-11-02 02:00:00,332.77,,0.64,32.83,10.47,10.02,
2019-11-02 03:00:00,377.43,,0.4,32.7,10.43,9.89,
2019-11-02 04:00:00,393.6,,0.78,32.87,10.5,9.86,
2019-11-02 05:00:00,360.9,,0.72,32.66,10.38,9.96,
2019-11-02 06:00:00,314.23,,0.87,34.06,11.2,10.11,
2019-11-02 07:00:00,252.03,,1.13,33.14,10.65,10.31,
2019-11-02 08:00:00,221.95,,0.76,33.11,10.6,10.51,
2019-11-02 09:00:00,280.2,,0.82,26.98,7.45,9.91,
2019-11-02 10:00:00,327.92,,0.64,31.36,9.72,9.14,
2019-11-02 11:00:00,328.5,,0.49,32.17,10.1,9.2,
2019-11-02 12:00:00,298.75,,0.49,31.88,9.97,8.72,
2019-11-02 13:00:00,273.45,,0.55,32.08,10.05,8.14,
2019-11-02 14:00:00,256.32,,1.08,32.32,10.18,7.56,
2019-11-02 15:00:00,326.9,,0.95,32.0,10.0,6.8,
2019-11-02 16:00:00,343.55,,0.84,32.26,10.15,6.19,
