Datetime,PM2.5 (ug/m3),PM10 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,281.0,,89.95,29.8,0.56,3.9
2019-10-31 02:00:00,278.25,,69.33,28.7,0.56,4.12
2019-10-31 03:00:00,258.25,,45.88,20.27,0.56,4.7
2019-10-31 04:00:00,246.25,,32.45,14.85,0.56,6.22
2019-10-31 05:00:00,230.25,,30.65,14.8,0.56,6.33
2019-10-31 06:00:00,216.25,,23.9,11.22,0.56,8.95
2019-10-31 07:00:00,211.75,,22.7,13.17,0.56,15.6
2019-10-31 08:00:00,192.75,,29.07,13.0,0.56,13.9
2019-10-31 09:00:00,187.75,,32.4,15.15,0.56,16.53
2019-10-31 10:00:00,205.5,,23.35,16.25,0.56,39.2
2019-10-31 11:00:00,274.0,,24.33,13.65,0.56,61.58
2019-10-31 12:00:00,411.75,,21.0,9.05,0.56,75.85
2019-10-31 13:00:00,107.5,,19.7,10.55,0.56,77.38
2019-10-31 14:00:00,90.5,,40.62,11.3,0.56,54.35
2019-10-31 15:00:00,100.0,,22.77,14.12,0.56,81.88
2019-10-31 16:00:00,204.5,,62.95,15.78,0.56,37.5
2019-10-31 17:00:00,283.25,,50.5,14.8,0.56,57.5
2019-10-31 18:00:00,273.25,,43.9,16.27,0.56,38.6
2019-10-31 19:00:00,307.75,,51.95,20.62,0.56,22.55
2019-10-31 20:00:00,319.0,,50.42,28.2,0.56,17.23
2019-10-31 21:00:00,329.25,,53.5,23.3,0.56,11.75
2019-10-31 22:00:00,326.5,,73.12,27.18,0.56,7.7
2019-10-31 23:00:00,216.5,,60.35,26.52,0.56,36.55
2019-11-01 00:00:00,194.0,,54.05,25.25,0.56,37.8
2019-11-01 01:00:00,174.25,,51.85,22.62,0.56,39.57
2019-11-01 02:00:00,162.75,,40.82,19.82,0.56,43.75
2019-11-01 03:00:00,155.75,,36.55,22.42,0.56,43.45
2019-11-01 04:00:00,163.0,,50.53,21.77,0.56,42.58
2019-11-01 05:00:00,157.5,,35.03,17.88,0.56,46.0
2019-11-01 06:00:00,150.75,,30.5,17.85,0.56,52.17
2019-11-01 07:00:00,154.0,,45.48,20.25,0.56,42.47
2019-11-01 08:00:00,161.0,,61.95,30.5,0.56,44.75
2019-11-01 09:00:00,173.25,,50.72,22.07,0.56,53.92
2019-11-01 10:00:00,180.25,,43.4,18.3,0.56,88.95
2019-11-01 11:00:00,206.5,,37.83,18.67,0.56,126.4
2019-11-01 12:00:00,215.75,,30.57,7.03,0.56,125.05
2019-11-01 13:00:00,172.75,,25.62,13.8,0.56,124.97
2019-11-01 14:00:00,159.0,,27.75,18.48,0.56,140.65
2019-11-01 15:00:00,147.75,,27.58,18.23,0.56,150.15
2019-11-01 16:00:00,144.5,,36.75,14.1,0.56,115.4
2019-11-01 17:00:00,128.0,,70.2,17.42,0.56,50.62
2019-11-01 18:00:00,185.0,,51.6,21.2,0.56,70.3
2019-11-01 19:00:00,187.75,,72.95,21.73,0.56,58.35
2019-11-01 20:00:00,198.5,,148.05,32.83,0.56,43.6
2019-11-01 21:00:00,221.0,,211.15,41.25,0.56,60.8
2019-11-01 22:00:00,263.75,,170.78,64.5,0.56,64.17
2019-11-01 23:00:00,244.75,,92.67,41.38,0.56,58.72
2019-11-02 00:00:00,208.25,,70.85,22.67,0.56,57.98
2019-11-02 01:00:00,208.75,,79.23,19.98,0.56,57.55
2019-11-02 02:00:00,206.0,,50.98,10.9,0.56,65.72
2019-11-02 03:00:00,197.25,,47.55,15.0,0.56,65.2
2019-11-02 04:00:00,289.5,,30.17,13.1,0.56,82.5
2019-11-02 05:00:00,591.0,,34.65,14.45,0.56,79.25
2019-11-02 06:00:00,482.25,,45.75,15.72,0.56,64.33
2019-11-02 07:00:00,158.25,,45.65,18.85,0.56,64.08
2019-11-02 08:00:00,271.5,,57.83,26.12,0.56,67.25
2019-11-02 09:00:00,487.25,,65.15,23.85,0.56,73.33
2019-11-02 10:00:00,172.5,,36.5,24.0,0.56,108.28
2019-11-02 11:00:00,158.25,,33.2,21.45,0.56,123.5
2019-11-02 12:00:00,144.75,,24.0,16.98,0.56,151.85
2019-11-02 13:00:00,138.25,,20.12,15.22,0.56,167.48
2019-11-02 14:00:00,141.0,,23.83,10.15,0.56,173.1
2019-11-02 15:00:00,152.0,,28.27,14.65,0.56,166.18
2019-11-02 16:00:00,168.5,,25.73,14.45,0.56,164.8
2019-11-02 17:00:00,173.25,,30.23,16.5,0.56,144.75
