Datetime,PM2.5 (ug/m3),PM10 (ug/m3),SO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,27.93,96.2,8.14,77.93,3.61,11.77
2019-10-31 02:00:00,,,8.53,82.28,3.72,13.19
2019-10-31 03:00:00,,,7.68,84.15,3.67,13.8
2019-10-31 04:00:00,,,8.34,82.29,3.59,13.88
2019-10-31 05:00:00,,,8.09,80.38,3.4,12.59
2019-10-31 06:00:00,,,8.0,81.13,3.2,10.06
2019-10-31 07:00:00,,,7.84,82.47,3.11,10.41
2019-10-31 08:00:00,,,8.09,92.62,3.08,10.17
2019-10-31 09:00:00,,,7.73,98.46,3.15,10.45
2019-10-31 10:00:00,,,7.24,92.95,3.36,12.5
2019-10-31 11:00:00,,,7.15,85.98,3.41,13.28
2019-10-31 12:00:00,,,7.21,68.99,3.4,12.52
2019-10-31 13:00:00,,,8.29,69.07,3.33,13.21
2019-10-31 14:00:00,,,9.21,54.66,3.19,8.97
2019-10-31 15:00:00,44.28,92.33,8.3,48.73,3.11,10.43
2019-10-31 16:00:00,49.61,89.77,9.3,53.24,3.05,8.89
2019-10-31 17:00:00,71.16,99.8,9.48,67.89,3.17,8.97
2019-10-31 18:00:00,70.96,85.1,8.85,72.08,3.54,12.06
2019-10-31 19:00:00,39.19,76.72,8.57,81.19,3.64,13.64
2019-10-31 20:00:00,23.87,87.2,8.92,84.72,3.72,13.89
2019-10-31 21:00:00,24.87,93.41,8.58,99.4,3.84,13.66
2019-10-31 22:00:00,27.05,109.88,8.26,96.97,3.87,12.29
2019-10-31 23:00:00,59.15,81.97,9.1,127.63,4.07,10.33
2019-11-01 00:00:00,59.9,81.18,10.11,163.13,4.44,11.51
2019-11-01 01:00:00,,,10.7,177.66,4.6,10.02
2019-11-01 02:00:00,78.4,96.71,12.0,157.34,4.41,8.71
2019-11-01 03:00:00,,,12.26,146.51,3.98,7.69
2019-11-01 04:00:00,,,12.7,140.42,3.59,7.05
2019-11-01 05:00:00,,,13.27,147.19,3.19,6.55
2019-11-01 06:00:00,,,14.84,148.52,3.0,6.0
2019-11-01 07:00:00,,,13.95,151.62,2.77,5.8
2019-11-01 08:00:00,,,,,,
2019-11-01 09:00:00,,,,,,
2019-11-01 10:00:00,,,12.54,,2.91,61.46
2019-11-01 11:00:00,,,10.62,140.56,2.68,3.29
2019-11-01 12:00:00,,,10.14,122.89,2.33,3.14
2019-11-01 13:00:00,,,9.68,175.75,2.35,4.02
2019-11-01 14:00:00,,,10.16,124.59,2.4,5.63
2019-11-01 15:00:00,,,10.53,108.92,2.43,5.19
