Datetime,NOx (ppb),NH3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,29.74,5.62,61.0,25.0,10.36,0.5,5.34
2019-10-31 02:00:00,24.2,4.87,60.0,24.5,9.76,0.34,5.49
2019-10-31 03:00:00,11.53,4.97,36.53,14.81,9.45,0.26,5.3
2019-10-31 04:00:00,11.36,5.49,25.0,10.9,10.18,0.22,5.57
2019-10-31 05:00:00,13.53,6.76,23.39,9.4,11.03,0.28,5.42
2019-10-31 06:00:00,26.32,5.51,33.54,16.95,10.77,0.34,5.57
2019-10-31 07:00:00,43.18,6.61,47.17,16.85,11.65,0.54,5.31
2019-10-31 08:00:00,83.96,2.5,77.94,34.05,13.3,0.96,5.27
2019-10-31 09:00:00,52.53,4.34,124.92,53.3,12.37,0.73,5.38
2019-10-31 10:00:00,17.61,5.6,98.29,38.85,11.04,0.42,5.37
2019-10-31 11:00:00,18.84,6.3,55.6,17.05,10.95,0.42,5.4
2019-10-31 12:00:00,8.74,6.28,46.42,17.5,9.82,0.29,5.4
2019-10-31 13:00:00,9.46,6.14,32.96,8.35,10.09,0.32,5.44
2019-10-31 14:00:00,10.71,6.44,31.71,14.37,10.38,0.32,5.3
2019-10-31 15:00:00,13.4,6.79,25.0,2.95,10.08,0.38,5.39
2019-10-31 16:00:00,15.65,6.62,25.04,1.9,10.07,0.35,5.35
2019-10-31 17:00:00,17.99,15.85,26.08,,15.37,0.5,4.87
2019-10-31 18:00:00,30.14,14.2,29.21,0.85,10.94,0.82,5.72
2019-10-31 19:00:00,49.4,6.63,59.25,17.7,12.02,1.04,5.26
2019-10-31 20:00:00,32.83,5.95,112.28,31.1,10.16,1.17,5.45
2019-10-31 21:00:00,28.62,4.95,79.77,33.2,9.74,1.12,5.36
2019-10-31 22:00:00,41.95,4.44,77.62,38.8,11.13,1.49,5.26
2019-10-31 23:00:00,59.63,2.87,159.08,71.5,11.56,1.47,5.18
2019-11-01 00:00:00,57.12,2.6,114.81,43.1,12.43,1.11,5.45
2019-11-01 01:00:00,36.97,3.09,107.79,43.75,10.55,0.63,5.36
2019-11-01 02:00:00,28.88,2.48,56.34,19.72,9.95,0.4,5.53
2019-11-01 03:00:00,22.94,2.65,39.88,13.95,9.77,0.36,5.33
2019-11-01 04:00:00,20.48,2.61,37.04,12.95,9.67,0.31,5.41
2019-11-01 05:00:00,18.14,2.63,37.96,12.05,9.87,0.28,5.54
2019-11-01 06:00:00,15.65,3.11,36.8,12.95,9.93,0.29,5.58
2019-11-01 07:00:00,15.56,3.38,31.88,12.15,9.97,0.35,5.42
2019-11-01 08:00:00,27.54,3.9,29.4,14.75,11.17,0.43,5.53
2019-11-01 09:00:00,16.54,4.29,40.08,9.85,12.4,0.36,5.57
2019-11-01 10:00:00,10.99,5.61,41.84,6.9,11.77,0.3,5.57
2019-11-01 11:00:00,14.63,5.92,38.0,5.0,10.44,0.39,5.39
2019-11-01 12:00:00,12.29,6.01,38.0,5.15,9.98,0.35,5.51
2019-11-01 13:00:00,10.26,6.6,28.0,7.79,9.92,0.32,5.44
2019-11-01 14:00:00,11.61,7.18,27.92,3.79,10.44,0.35,5.72
2019-11-01 15:00:00,12.29,7.33,26.27,0.2,10.21,0.36,5.49
2019-11-01 16:00:00,10.53,7.72,32.96,4.05,11.65,0.3,5.32
2019-11-01 17:00:00,7.57,12.59,31.62,5.05,11.32,0.31,5.53
2019-11-01 18:00:00,6.48,11.66,23.38,6.4,10.48,0.34,5.34
2019-11-01 19:00:00,9.13,9.79,31.8,13.9,9.61,0.35,5.53
2019-11-01 20:00:00,20.31,7.86,26.77,11.8,9.9,0.6,5.2
2019-11-01 21:00:00,12.14,7.78,20.8,8.1,9.39,0.46,5.53
2019-11-01 22:00:00,16.3,7.55,15.92,9.8,9.65,0.55,5.4
2019-11-01 23:00:00,15.98,6.95,14.0,5.9,9.72,0.59,5.48
2019-11-02 00:00:00,10.51,6.21,14.08,4.0,9.46,0.4,5.42
2019-11-02 01:00:00,6.59,5.98,15.88,3.95,9.44,0.25,5.43
2019-11-02 02:00:00,10.97,5.96,12.77,3.0,9.35,0.25,5.61
2019-11-02 03:00:00,11.92,5.88,7.04,3.0,9.48,0.23,5.51
2019-11-02 04:00:00,16.15,5.46,8.31,3.05,9.41,0.22,5.46
2019-11-02 05:00:00,19.06,5.15,15.92,4.0,9.44,0.26,5.51
2019-11-02 06:00:00,23.91,4.84,14.0,4.05,9.7,0.32,5.56
2019-11-02 07:00:00,30.82,4.31,14.39,5.3,9.82,0.32,5.56
2019-11-02 08:00:00,24.58,4.34,24.08,11.05,9.96,0.39,5.31
2019-11-02 09:00:00,17.95,4.86,26.0,11.8,10.13,0.36,5.61
2019-11-02 10:00:00,14.51,4.66,25.74,7.95,9.89,0.32,5.31
2019-11-02 11:00:00,11.16,4.96,19.08,6.9,10.15,0.31,5.52
2019-11-02 12:00:00,9.08,5.53,20.88,4.95,9.94,0.3,5.59
2019-11-02 13:00:00,11.04,5.77,18.93,4.35,11.04,0.35,5.57
2019-11-02 14:00:00,13.16,7.29,41.57,10.9,14.14,0.31,5.42
2019-11-02 15:00:00,8.16,9.1,30.84,9.3,11.38,0.27,5.58
2019-11-02 16:00:00,8.23,6.77,27.04,14.75,10.6,0.35,5.36
2019-11-02 17:00:00,8.22,6.03,28.04,10.05,10.6,0.37,5.42
2019-11-02 18:00:00,7.77,5.59,28.96,10.95,10.15,0.51,5.55
2019-11-02 19:00:00,10.65,4.34,27.96,10.0,9.67,0.43,5.39
2019-11-02 20:00:00,13.41,3.49,27.12,9.8,9.57,0.48,5.62
2019-11-02 21:00:00,17.89,3.22,30.23,6.19,9.88,0.72,5.08
2019-11-02 22:00:00,38.56,1.84,37.36,10.47,11.02,1.08,5.64
2019-11-02 23:00:00,55.0,0.72,70.83,19.85,11.63,1.0,5.28
2019-11-03 00:00:00,53.68,0.58,67.16,17.09,11.2,0.65,5.38
2019-11-03 01:00:00,41.52,1.23,70.61,18.8,11.1,0.58,5.37
2019-11-03 02:00:00,41.55,1.66,60.72,14.95,11.03,0.56,5.54
2019-11-03 03:00:00,48.4,1.15,54.93,14.23,11.38,0.53,5.51
2019-11-03 04:00:00,53.98,1.16,78.67,19.33,13.0,0.6,5.52
2019-11-03 05:00:00,51.04,1.15,94.08,26.2,14.27,0.65,5.56
2019-11-03 06:00:00,52.03,0.76,95.17,29.85,13.57,0.61,5.54
2019-11-03 07:00:00,63.11,0.34,76.25,27.66,13.42,0.62,5.44
2019-11-03 08:00:00,69.67,0.51,82.79,40.5,13.06,0.73,5.36
2019-11-03 09:00:00,40.06,1.53,77.18,30.65,12.76,0.53,5.47
2019-11-03 10:00:00,20.35,2.32,56.26,23.25,12.37,0.35,5.61
2019-11-03 11:00:00,10.98,3.11,37.53,8.85,12.26,0.29,5.43
2019-11-03 12:00:00,10.87,5.33,26.0,6.15,15.05,0.33,5.32
2019-11-03 13:00:00,17.59,7.94,35.55,9.45,17.14,0.38,5.39
2019-11-03 14:00:00,13.97,9.8,48.53,18.0,19.12,0.32,5.57
2019-11-03 15:00:00,7.01,10.84,36.0,18.0,21.95,0.26,5.31
2019-11-03 16:00:00,24.25,8.99,36.0,10.0,34.34,,5.14
2019-11-03 17:00:00,3.49,10.51,,,43.26,,5.45
2019-11-03 18:00:00,4.22,9.72,23.04,13.75,23.34,,5.46
2019-11-03 19:00:00,14.57,8.69,24.5,9.11,13.54,,5.56
2019-11-03 20:00:00,32.34,7.14,37.43,11.57,7.91,,5.43
2019-11-03 21:00:00,40.21,6.5,49.01,23.28,7.7,,5.37
2019-11-03 22:00:00,84.44,6.22,77.23,30.84,13.46,,5.33
2019-11-03 23:00:00,73.02,4.4,154.9,67.35,14.38,,5.58
2019-11-04 00:00:00,53.48,5.34,103.04,54.85,13.13,,5.6
