Datetime,PM2.5 (ug/m3),PM10 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,44.57,102.0,43.38,11.41,3.79,0.73,4.63
2019-10-31 02:00:00,34.28,75.25,44.05,9.1,3.48,0.69,2.6
2019-10-31 03:00:00,33.0,80.6,52.95,7.78,4.25,0.69,3.17
2019-10-31 04:00:00,23.16,70.05,67.54,10.03,3.12,0.55,5.54
2019-10-31 05:00:00,13.08,45.02,52.0,16.12,3.14,0.55,3.59
2019-10-31 06:00:00,13.79,52.22,36.41,17.72,3.62,0.51,6.34
2019-10-31 07:00:00,16.68,44.7,41.82,16.47,3.57,0.53,7.96
2019-10-31 08:00:00,12.53,52.27,42.64,13.71,3.37,0.63,6.29
2019-10-31 09:00:00,22.73,100.03,49.06,11.22,2.98,0.65,6.85
2019-10-31 10:00:00,67.97,360.38,66.88,10.08,3.12,0.72,9.89
2019-10-31 11:00:00,50.64,232.6,53.92,8.3,3.04,0.64,16.71
2019-10-31 12:00:00,23.85,81.67,49.66,10.15,3.51,0.68,21.51
2019-10-31 13:00:00,19.0,86.0,54.72,13.99,3.38,0.67,23.94
2019-10-31 14:00:00,17.21,86.0,37.9,14.99,2.61,0.57,29.93
2019-10-31 15:00:00,12.54,73.13,39.47,17.07,2.47,0.53,30.32
2019-10-31 16:00:00,10.21,57.24,36.13,13.47,2.58,0.49,19.41
2019-10-31 17:00:00,12.68,58.76,43.02,10.68,2.75,0.54,13.02
2019-10-31 18:00:00,13.0,67.3,46.42,9.23,2.94,0.62,9.65
2019-10-31 19:00:00,19.26,79.07,71.23,7.1,3.24,0.86,3.28
2019-10-31 20:00:00,28.92,116.78,106.28,7.71,4.13,1.24,2.23
2019-10-31 21:00:00,23.74,117.23,112.21,10.5,4.53,1.39,2.27
2019-10-31 22:00:00,31.05,120.69,87.24,13.54,4.37,1.21,2.08
2019-10-31 23:00:00,32.0,104.4,63.71,13.51,4.69,0.95,2.74
2019-11-01 00:00:00,25.74,73.49,50.55,12.66,4.82,0.78,2.49
2019-11-01 01:00:00,29.45,78.36,50.03,10.75,5.59,0.78,2.15
2019-11-01 02:00:00,21.95,71.64,52.85,9.19,5.84,0.72,2.02
2019-11-01 03:00:00,26.0,68.0,44.05,7.76,5.12,0.62,2.5
2019-11-01 04:00:00,18.84,56.01,56.29,8.41,4.9,0.63,1.87
2019-11-01 05:00:00,10.85,45.78,53.73,9.14,4.23,0.61,2.17
2019-11-01 06:00:00,11.79,47.76,68.75,12.36,4.1,0.66,2.06
2019-11-01 07:00:00,15.58,46.16,84.78,12.12,4.55,0.89,2.48
2019-11-01 08:00:00,22.24,78.2,81.02,11.69,4.3,0.9,2.42
2019-11-01 09:00:00,26.58,96.68,50.39,10.8,3.68,0.65,3.93
2019-11-01 10:00:00,16.27,76.79,52.51,8.33,3.49,0.68,5.25
2019-11-01 11:00:00,19.47,67.6,51.99,6.76,3.13,0.59,13.53
2019-11-01 12:00:00,9.3,56.88,55.58,8.34,2.96,0.54,17.64
2019-11-01 13:00:00,6.22,55.08,42.13,10.67,3.35,0.56,36.35
2019-11-01 14:00:00,11.35,70.64,27.55,15.14,2.77,0.56,56.92
2019-11-01 15:00:00,13.79,57.24,25.33,16.45,2.88,0.57,54.46
2019-11-01 16:00:00,16.68,51.39,29.91,14.68,3.3,0.47,30.39
2019-11-01 17:00:00,26.84,69.44,23.5,14.83,3.05,0.61,35.52
2019-11-01 18:00:00,38.73,96.82,27.11,9.65,3.42,0.59,12.15
2019-11-01 19:00:00,15.03,38.28,30.63,7.93,3.03,0.59,10.96
2019-11-01 20:00:00,13.79,33.0,21.87,6.44,2.83,0.55,11.79
2019-11-01 21:00:00,8.65,69.78,32.65,6.22,3.29,0.78,4.31
2019-11-01 22:00:00,6.22,40.72,56.62,5.28,3.56,0.95,2.39
2019-11-01 23:00:00,6.0,21.44,41.29,6.1,2.92,0.67,4.7
2019-11-02 00:00:00,3.63,14.13,15.76,10.77,2.44,0.43,10.59
2019-11-02 01:00:00,2.1,8.34,24.38,10.35,2.47,0.48,3.83
2019-11-02 02:00:00,3.79,16.3,45.65,8.28,3.15,0.61,1.25
2019-11-02 03:00:00,8.47,17.92,38.21,6.74,3.2,0.56,1.38
2019-11-02 04:00:00,7.0,18.0,36.34,6.0,3.27,0.55,1.37
2019-11-02 05:00:00,6.21,21.68,39.14,5.89,3.38,0.54,1.44
2019-11-02 06:00:00,6.89,18.31,81.04,5.0,3.83,0.65,1.26
2019-11-02 07:00:00,8.79,28.14,64.68,10.09,3.42,0.72,1.68
2019-11-02 08:00:00,12.58,37.3,61.22,11.48,4.0,0.85,1.7
2019-11-02 09:00:00,21.92,54.55,61.23,10.57,3.61,0.91,2.26
2019-11-02 10:00:00,24.79,63.38,53.61,9.45,3.61,0.73,4.25
2019-11-02 11:00:00,18.76,55.73,53.6,9.58,3.61,0.57,8.91
2019-11-02 12:00:00,12.63,42.09,58.38,8.3,3.1,0.48,11.51
2019-11-02 13:00:00,8.43,43.76,51.85,11.79,3.31,0.52,18.41
2019-11-02 14:00:00,6.21,34.78,22.23,22.03,2.91,0.48,28.99
2019-11-02 15:00:00,7.79,27.55,14.42,20.55,2.72,0.38,16.75
2019-11-02 16:00:00,8.0,25.16,41.49,19.12,2.88,0.43,12.12
2019-11-02 17:00:00,24.05,48.91,31.98,15.13,2.9,0.41,7.56
2019-11-02 18:00:00,19.74,62.03,36.12,12.03,4.27,0.43,5.5
2019-11-02 19:00:00,13.65,,63.0,9.05,4.19,0.53,3.55
2019-11-02 20:00:00,16.58,53.0,51.11,6.69,3.34,0.58,3.13
2019-11-02 21:00:00,18.79,56.69,56.76,7.15,3.71,0.71,2.79
2019-11-02 22:00:00,10.05,45.01,82.7,7.28,3.64,0.82,1.46
2019-11-02 23:00:00,10.79,48.61,73.97,11.35,3.49,0.74,1.54
2019-11-03 00:00:00,14.57,53.61,111.09,13.99,4.25,0.96,1.62
2019-11-03 01:00:00,17.68,75.15,78.43,12.58,3.9,0.83,1.83
2019-11-03 02:00:00,22.47,83.47,66.37,10.0,3.88,0.75,1.39
2019-11-03 03:00:00,21.21,75.72,48.12,8.49,3.49,0.63,1.64
2019-11-03 04:00:00,16.53,51.02,46.55,7.0,3.45,0.61,1.63
2019-11-03 05:00:00,14.22,53.6,51.86,7.99,3.85,0.64,1.59
