Datetime,CO (mg/m3),Ozone (ug/m3),NOx (ppb),SO2 (ug/m3),PM2.5 (ug/m3)
2019-10-31 01:00:00,1.48,25.23,21.5,64.35,179.0
2019-10-31 02:00:00,1.33,24.64,21.02,67.92,167.75
2019-10-31 03:00:00,1.22,23.09,19.38,67.64,168.25
2019-10-31 04:00:00,1.3,23.95,18.77,66.71,163.0
2019-10-31 05:00:00,1.43,28.39,17.65,71.21,163.75
2019-10-31 06:00:00,1.39,31.34,15.85,71.43,172.0
2019-10-31 07:00:00,1.62,31.5,14.93,67.0,182.5
2019-10-31 08:00:00,1.64,32.73,16.3,66.14,188.75
2019-10-31 09:00:00,1.34,53.79,16.25,65.49,187.0
2019-10-31 10:00:00,1.57,88.29,16.23,68.71,166.0
2019-10-31 11:00:00,1.3,117.33,16.4,66.64,165.75
2019-10-31 12:00:00,1.4,132.76,14.57,60.63,160.25
2019-10-31 13:00:00,1.53,157.72,12.75,74.07,147.0
2019-10-31 14:00:00,1.58,160.3,9.15,69.14,150.5
2019-10-31 15:00:00,1.26,159.33,8.53,53.2,147.75
2019-10-31 16:00:00,1.29,155.31,9.47,47.62,136.75
2019-10-31 17:00:00,1.42,157.08,9.95,62.56,146.0
2019-10-31 18:00:00,1.85,92.9,11.55,67.21,160.5
2019-10-31 19:00:00,2.68,54.91,13.62,76.36,177.25
2019-10-31 20:00:00,2.47,54.16,13.72,77.36,205.25
2019-10-31 21:00:00,2.65,30.7,13.82,75.72,210.75
2019-10-31 22:00:00,2.52,27.11,14.53,74.22,222.25
2019-10-31 23:00:00,2.38,22.88,15.0,69.64,214.5
2019-11-01 00:00:00,1.98,21.75,15.7,67.5,216.0
2019-11-01 01:00:00,1.66,21.91,16.52,64.06,198.5
2019-11-01 02:00:00,1.45,23.73,16.55,63.85,194.5
2019-11-01 03:00:00,1.71,22.29,17.1,68.28,196.5
2019-11-01 04:00:00,1.46,35.52,15.98,69.57,196.25
2019-11-01 05:00:00,1.28,31.98,14.43,68.5,191.5
2019-11-01 06:00:00,1.4,35.84,13.8,68.78,194.5
2019-11-01 07:00:00,1.54,29.36,13.55,69.35,199.75
2019-11-01 08:00:00,1.68,46.02,14.2,68.07,202.5
2019-11-01 09:00:00,1.83,52.29,15.1,73.43,203.75
2019-11-01 10:00:00,1.73,98.74,15.3,73.14,202.5
2019-11-01 11:00:00,2.01,100.77,14.5,72.93,202.0
2019-11-01 12:00:00,2.08,126.65,12.4,61.42,200.75
2019-11-01 13:00:00,1.91,134.04,11.95,63.13,186.0
2019-11-01 14:00:00,1.92,144.97,12.18,64.85,181.0
2019-11-01 15:00:00,1.73,158.58,11.8,69.14,183.75
2019-11-01 16:00:00,2.14,132.12,12.32,65.99,180.5
2019-11-01 17:00:00,2.84,80.79,14.6,68.57,182.0
2019-11-01 18:00:00,3.3,52.45,16.25,70.5,217.5
2019-11-01 19:00:00,6.66,38.95,18.45,73.57,295.5
2019-11-01 20:00:00,7.33,43.13,20.32,72.43,455.25
2019-11-01 21:00:00,6.08,35.25,21.02,70.14,458.5
2019-11-01 22:00:00,7.34,31.34,24.8,72.72,446.0
2019-11-01 23:00:00,7.68,29.57,30.15,64.42,419.5
2019-11-02 00:00:00,5.17,27.91,30.4,52.7,358.0
2019-11-02 01:00:00,4.2,24.22,28.0,63.56,293.75
2019-11-02 02:00:00,4.21,26.31,29.75,70.93,278.5
2019-11-02 03:00:00,4.33,28.45,27.65,64.71,289.0
2019-11-02 04:00:00,3.51,20.25,24.92,58.63,299.0
2019-11-02 05:00:00,2.8,26.04,21.43,65.71,307.75
2019-11-02 06:00:00,2.18,26.47,18.9,68.5,303.75
2019-11-02 07:00:00,2.93,27.32,17.0,64.21,284.75
2019-11-02 08:00:00,2.39,31.39,16.02,65.14,300.25
2019-11-02 09:00:00,2.22,23.47,16.47,58.49,274.75
2019-11-02 10:00:00,2.68,34.4,16.52,55.2,308.0
2019-11-02 11:00:00,2.56,34.77,15.8,58.34,318.25
2019-11-02 12:00:00,2.33,62.36,15.15,62.92,299.0
2019-11-02 13:00:00,1.97,111.38,13.25,65.06,259.75
2019-11-02 14:00:00,1.85,125.04,11.8,66.21,234.0
2019-11-02 15:00:00,1.94,142.13,11.0,67.07,209.0
2019-11-02 16:00:00,1.78,132.92,10.72,67.21,203.0
2019-11-02 17:00:00,1.53,107.85,11.35,63.21,195.75
2019-11-02 18:00:00,1.8,72.43,12.18,63.06,198.25
2019-11-02 19:00:00,2.18,42.7,13.12,60.2,224.25
2019-11-02 20:00:00,2.68,42.43,13.57,56.91,265.25
2019-11-02 21:00:00,3.44,30.38,13.9,56.27,328.0
2019-11-02 22:00:00,3.01,29.09,14.3,53.91,325.0
2019-11-02 23:00:00,2.65,31.07,13.55,55.77,302.5
2019-11-03 00:00:00,2.38,41.52,13.57,57.56,307.0
2019-11-03 01:00:00,2.16,40.29,13.75,61.63,279.75
2019-11-03 02:00:00,2.4,26.68,14.45,63.63,263.75
2019-11-03 03:00:00,2.57,30.16,15.18,66.28,279.5
2019-11-03 04:00:00,2.37,30.22,15.25,68.28,298.5
2019-11-03 05:00:00,2.65,28.39,14.07,61.63,299.0
2019-11-03 06:00:00,2.57,30.59,13.85,61.92,319.25
2019-11-03 07:00:00,2.4,32.47,13.3,67.64,287.25
2019-11-03 08:00:00,2.33,39.43,13.38,69.64,307.5
2019-11-03 09:00:00,2.36,38.04,14.15,64.78,310.5
2019-11-03 10:00:00,1.99,74.09,13.97,63.06,305.0
2019-11-03 11:00:00,2.38,94.56,13.5,63.78,298.0
2019-11-03 12:00:00,2.05,140.69,13.0,63.42,284.75
2019-11-03 13:00:00,1.91,156.81,11.1,67.07,270.0
2019-11-03 14:00:00,1.46,167.53,10.23,71.57,229.25
2019-11-03 15:00:00,1.77,145.35,9.68,67.57,206.75
2019-11-03 16:00:00,1.62,150.06,9.47,67.07,204.5
2019-11-03 17:00:00,1.81,136.83,10.65,70.5,197.5
2019-11-03 18:00:00,2.18,74.79,11.97,71.57,226.25
2019-11-03 19:00:00,2.3,55.08,12.95,74.5,260.75
2019-11-03 20:00:00,2.48,45.32,13.45,74.93,282.75
2019-11-03 21:00:00,2.37,57.65,12.8,69.93,283.25
2019-11-03 22:00:00,2.21,51.59,12.9,65.42,265.0
2019-11-03 23:00:00,2.12,46.18,12.5,65.14,251.75
2019-11-04 00:00:00,1.91,43.93,11.8,63.42,248.0
2019-11-04 01:00:00,1.67,69.43,12.68,71.07,243.75
2019-11-04 02:00:00,1.47,84.59,12.9,70.36,242.5
2019-11-04 03:00:00,1.62,65.74,12.65,63.63,242.0
2019-11-04 04:00:00,1.63,57.43,12.93,59.77,243.25
2019-11-04 05:00:00,1.57,48.97,11.65,60.2,237.75
2019-11-04 06:00:00,1.55,49.5,11.55,57.7,233.5
2019-11-04 07:00:00,1.53,44.57,11.35,63.71,220.5
2019-11-04 08:00:00,1.52,60.97,11.68,66.35,211.5
2019-11-04 09:00:00,1.78,53.74,12.62,69.57,204.0
2019-11-04 10:00:00,2.03,80.9,13.8,69.21,206.0
2019-11-04 11:00:00,1.74,131.69,14.0,66.64,222.0
2019-11-04 12:00:00,1.78,132.17,13.3,64.78,216.0
2019-11-04 13:00:00,1.72,166.78,12.15,66.35,201.5
2019-11-04 14:00:00,1.74,153.6,11.25,64.92,181.75
2019-11-04 15:00:00,1.56,169.14,10.5,64.92,174.0
2019-11-04 16:00:00,1.6,138.44,10.53,64.49,176.75
2019-11-04 17:00:00,1.56,133.67,11.1,65.42,173.75
2019-11-04 18:00:00,1.93,82.08,12.3,65.99,206.5
2019-11-04 19:00:00,2.2,69.49,13.3,58.84,252.75
2019-11-04 20:00:00,2.26,60.16,13.78,60.77,287.0
2019-11-04 21:00:00,2.39,52.56,13.48,61.92,313.0
2019-11-04 22:00:00,2.16,61.02,12.97,64.14,319.25
2019-11-04 23:00:00,2.08,61.45,12.58,69.5,321.75
2019-11-05 00:00:00,1.94,64.34,12.12,70.57,327.0
2019-11-05 01:00:00,1.95,67.4,12.72,70.43,333.5
2019-11-05 02:00:00,1.9,73.29,11.62,67.71,330.0
2019-11-05 03:00:00,1.94,81.86,12.57,66.21,346.75
2019-11-05 04:00:00,1.95,85.08,12.82,66.71,361.0
2019-11-05 05:00:00,2.12,64.08,11.95,65.49,383.5
2019-11-05 06:00:00,2.11,57.91,11.5,66.42,382.25
2019-11-05 07:00:00,2.1,43.72,11.32,60.2,383.0
2019-11-05 08:00:00,2.15,48.97,11.82,58.92,362.25
2019-11-05 09:00:00,2.44,61.56,13.4,65.99,357.0
2019-11-05 10:00:00,2.35,92.15,14.05,62.78,357.25
2019-11-05 11:00:00,2.69,119.37,14.7,65.21,339.0
2019-11-05 12:00:00,3.66,92.47,15.75,73.86,284.25
2019-11-05 13:00:00,1.69,129.38,14.95,64.71,198.25
2019-11-05 14:00:00,1.33,105.49,13.35,60.13,150.5
2019-11-05 15:00:00,1.47,83.47,13.15,61.35,105.5
2019-11-05 16:00:00,1.77,75.81,13.97,64.42,81.75
2019-11-05 17:00:00,2.52,47.09,17.15,59.27,75.75
2019-11-05 18:00:00,2.05,34.29,18.73,54.84,71.25
2019-11-05 19:00:00,2.62,40.93,19.25,66.14,99.0
2019-11-05 20:00:00,2.79,39.22,20.57,72.07,162.25
2019-11-05 21:00:00,2.09,35.47,19.07,65.85,162.25
2019-11-05 22:00:00,1.62,49.82,17.85,66.28,155.25
2019-11-05 23:00:00,1.45,59.2,16.8,63.71,145.0
2019-11-06 00:00:00,1.31,58.99,16.2,65.42,157.0
2019-11-06 01:00:00,1.15,64.08,15.48,60.7,169.25
2019-11-06 02:00:00,0.97,83.31,14.88,61.63,161.0
2019-11-06 03:00:00,1.17,86.95,14.5,63.06,162.75
2019-11-06 04:00:00,1.12,82.29,14.38,65.06,167.75
2019-11-06 05:00:00,1.18,75.7,13.2,65.21,168.5
2019-11-06 06:00:00,1.25,61.56,12.78,68.43,174.5
2019-11-06 07:00:00,1.17,67.72,13.05,64.49,179.5
2019-11-06 08:00:00,1.22,83.95,12.93,64.49,185.0
2019-11-06 09:00:00,1.44,103.19,13.82,67.28,198.25
2019-11-06 10:00:00,1.92,106.45,19.2,68.93,211.5
2019-11-06 11:00:00,1.84,152.9,17.3,68.07,238.75
2019-11-06 12:00:00,1.67,179.37,16.5,66.92,232.0
2019-11-06 13:00:00,1.74,189.33,13.3,68.43,211.75
2019-11-06 14:00:00,1.6,179.9,12.57,69.14,169.75
2019-11-06 15:00:00,1.67,126.87,11.75,63.71,145.0
2019-11-06 16:00:00,1.76,141.97,12.78,61.56,115.0
2019-11-06 17:00:00,1.5,148.13,12.82,65.14,113.5
2019-11-06 18:00:00,2.48,52.02,14.62,67.21,133.0
2019-11-06 19:00:00,2.47,45.65,15.45,67.42,183.75
2019-11-06 20:00:00,3.23,34.88,17.6,66.64,212.75
2019-11-06 21:00:00,3.2,27.32,17.93,69.0,242.75
2019-11-06 22:00:00,2.81,26.52,18.1,72.57,219.75
2019-11-06 23:00:00,2.34,24.43,18.65,69.36,197.0
2019-11-07 00:00:00,1.65,28.56,18.93,66.92,194.0
2019-11-07 01:00:00,1.41,35.73,18.05,64.64,182.25
2019-11-07 02:00:00,1.15,44.68,17.55,63.42,168.0
2019-11-07 03:00:00,1.06,49.82,17.82,68.14,169.5
2019-11-07 04:00:00,0.95,42.7,16.1,72.43,172.75
2019-11-07 05:00:00,1.18,44.68,14.93,67.35,171.25
2019-11-07 06:00:00,1.28,41.68,14.15,64.85,175.25
2019-11-07 07:00:00,1.03,24.22,13.68,62.85,167.5
2019-11-07 08:00:00,1.06,60.16,13.62,63.28,169.5
2019-11-07 09:00:00,1.53,83.58,13.72,68.93,174.75
2019-11-07 10:00:00,1.71,110.36,14.4,69.21,187.0
2019-11-07 11:00:00,1.61,169.99,14.8,67.5,186.25
2019-11-07 12:00:00,1.8,164.9,15.35,70.0,175.5
2019-11-07 13:00:00,1.65,184.83,14.65,70.0,165.75
2019-11-07 14:00:00,2.2,151.67,14.0,68.43,136.75
2019-11-07 15:00:00,1.77,146.69,14.07,62.56,139.5
2019-11-07 16:00:00,1.95,175.35,13.98,60.99,106.75
2019-11-07 17:00:00,3.13,84.01,15.6,57.99,114.25
2019-11-07 18:00:00,5.1,45.86,19.38,62.06,139.75
2019-11-07 19:00:00,6.39,39.27,24.5,49.76,214.0
2019-11-07 20:00:00,2.26,36.22,46.35,54.13,281.5
2019-11-07 21:00:00,5.66,34.77,41.3,63.21,302.0
2019-11-07 22:00:00,4.17,37.61,33.42,56.56,236.5
2019-11-07 23:00:00,6.67,39.16,33.55,74.57,230.75
2019-11-08 00:00:00,5.61,30.59,34.73,82.15,263.0
2019-11-08 01:00:00,3.29,33.0,31.83,66.92,258.0
2019-11-08 02:00:00,2.19,29.57,28.23,60.2,236.5
2019-11-08 03:00:00,2.49,29.57,25.85,64.64,233.75
2019-11-08 04:00:00,2.03,30.22,24.27,67.57,255.25
2019-11-08 05:00:00,2.16,26.31,23.2,71.5,263.75
2019-11-08 06:00:00,2.13,27.75,21.78,74.29,273.75
