Datetime,NH3 (ug/m3),CO (mg/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),NOx (ug/m3)
2019-10-31 01:00:00,7.94,2.0,11.29,31.1,82.7,41.1,34.55
2019-10-31 02:00:00,7.78,1.81,12.76,29.32,35.9,34.1,35.31
2019-10-31 03:00:00,7.72,1.68,15.68,28.27,97.5,26.6,35.34
2019-10-31 04:00:00,7.97,1.52,10.18,32.35,,,38.16
2019-10-31 05:00:00,8.31,1.51,4.25,31.82,,,38.04
2019-10-31 06:00:00,8.18,1.7,11.55,31.13,67.4,47.3,38.16
2019-10-31 07:00:00,8.38,2.06,19.39,32.29,72.7,64.7,37.91
2019-10-31 08:00:00,7.85,3.37,12.95,30.87,20.3,5.1,35.14
2019-10-31 09:00:00,7.95,3.43,14.57,30.69,,,34.68
2019-10-31 10:00:00,7.6,3.37,17.77,30.76,90.5,4.5,35.11
2019-10-31 11:00:00,,,,,,,
2019-10-31 12:00:00,7.94,2.81,16.51,31.41,,,34.45
2019-10-31 13:00:00,7.97,2.36,17.83,33.5,61.7,0.1,36.84
2019-10-31 14:00:00,7.84,1.8,17.48,33.91,,,37.37
2019-10-31 15:00:00,8.24,1.55,16.44,34.43,82.7,69.2,37.38
2019-10-31 16:00:00,7.86,1.4,17.93,30.15,75.1,52.0,36.5
2019-10-31 17:00:00,7.81,1.53,12.48,28.78,68.5,20.3,35.06
2019-10-31 18:00:00,7.74,2.13,15.63,33.48,,,35.44
2019-10-31 19:00:00,7.91,2.34,9.31,30.13,,,35.7
2019-10-31 20:00:00,,,,,,,
2019-10-31 21:00:00,8.09,2.45,13.34,35.19,21.2,8.4,38.9
2019-10-31 22:00:00,8.22,2.6,15.35,33.78,,,38.41
2019-10-31 23:00:00,8.32,2.86,10.85,34.42,,,38.07
2019-11-01 00:00:00,,,,,,,
2019-11-01 01:00:00,,,,,,,
2019-11-01 02:00:00,7.79,3.06,11.63,31.16,,,35.42
2019-11-01 03:00:00,7.77,2.7,16.73,30.26,,,35.13
2019-11-01 04:00:00,7.86,2.43,17.16,33.99,,,35.8
2019-11-01 05:00:00,8.04,2.79,12.9,33.11,,,38.29
2019-11-01 06:00:00,,,,,,,
2019-11-01 07:00:00,8.04,2.84,15.13,35.16,,,37.97
2019-11-01 08:00:00,8.16,3.47,14.56,33.43,,,37.92
2019-11-01 09:00:00,7.86,3.54,13.35,35.0,,,35.2
2019-11-01 10:00:00,7.77,3.26,17.11,32.45,85.1,25.1,34.94
2019-11-01 11:00:00,,,,,,,
2019-11-01 12:00:00,7.78,2.79,18.06,33.11,33.0,19.5,34.29
2019-11-01 13:00:00,7.87,2.32,17.38,34.75,,,36.63
2019-11-01 14:00:00,8.08,1.76,16.46,35.54,,,37.1
2019-11-01 15:00:00,8.13,1.69,10.36,35.7,,,37.48
2019-11-01 16:00:00,,,,,,,
2019-11-01 17:00:00,8.07,1.78,16.22,34.42,,,36.16
2019-11-01 18:00:00,7.68,2.17,12.25,30.83,,,35.15
2019-11-01 19:00:00,7.84,2.93,20.68,32.2,94.6,74.2,35.68
2019-11-01 20:00:00,,,,,,,
2019-11-01 21:00:00,8.07,3.15,17.98,35.99,64.5,10.7,36.93
2019-11-01 22:00:00,8.04,3.22,12.05,36.6,27.2,23.9,39.06
2019-11-01 23:00:00,,,,,,,
2019-11-02 00:00:00,8.1,2.9,13.28,36.49,,,38.86
2019-11-02 01:00:00,8.05,3.02,15.04,34.76,,,37.34
2019-11-02 02:00:00,7.92,3.3,19.05,33.89,,,35.39
2019-11-02 03:00:00,,,,,,,
2019-11-02 04:00:00,7.82,3.12,10.32,36.69,,,35.59
2019-11-02 05:00:00,8.12,3.29,11.21,35.02,,,37.91
2019-11-02 06:00:00,8.29,3.44,12.89,37.93,96.5,80.3,38.79
2019-11-02 07:00:00,,,,,,,
2019-11-02 08:00:00,8.32,3.34,13.71,34.44,,,38.66
2019-11-02 09:00:00,7.99,3.15,13.98,34.71,,,37.53
2019-11-02 10:00:00,,,,,,,
2019-11-02 11:00:00,8.07,2.69,12.62,32.01,,,35.41
2019-11-02 12:00:00,7.92,2.56,16.21,32.69,,,34.69
2019-11-02 13:00:00,7.82,2.01,16.99,35.92,88.5,69.1,36.74
2019-11-02 14:00:00,,,,,,,
2019-11-02 15:00:00,7.92,1.75,12.66,33.62,,,37.24
2019-11-02 16:00:00,8.31,1.63,13.22,36.04,95.1,57.4,37.59
2019-11-02 17:00:00,,,,,,,
