Datetime,PM2.5 (ug/m3),PM10 (ug/m3),SO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,,4.0,0.4,1.23,1.25,0.6,29.0
2019-10-31 02:00:00,,11.5,,0.72,1.2,0.45,51.97
2019-10-31 03:00:00,,7.0,,0.88,1.27,0.48,46.83
2019-10-31 04:00:00,,5.25,,0.55,1.7,0.4,50.65
2019-10-31 05:00:00,,3.0,,0.5,1.25,0.58,45.45
2019-10-31 06:00:00,,2.0,,0.65,1.25,0.62,51.35
2019-10-31 07:00:00,,2.75,,0.85,1.3,0.7,54.7
2019-10-31 08:00:00,0.75,7.5,,1.6,1.27,0.8,44.45
2019-10-31 09:00:00,4.5,14.75,0.33,2.6,1.2,0.96,37.08
2019-10-31 10:00:00,8.25,14.0,1.47,2.55,1.3,1.01,27.68
2019-10-31 11:00:00,9.5,16.75,1.82,2.05,1.3,0.98,25.5
2019-10-31 12:00:00,18.0,24.0,1.7,1.48,1.3,0.88,30.22
2019-10-31 13:00:00,11.25,20.25,0.45,0.75,1.25,0.9,42.3
2019-10-31 14:00:00,8.75,16.25,,1.07,1.45,0.79,47.1
2019-10-31 15:00:00,8.0,15.25,0.25,3.78,1.2,1.19,41.25
2019-10-31 16:00:00,9.0,27.5,0.35,3.9,1.35,1.54,27.12
2019-10-31 17:00:00,12.25,27.0,0.93,4.8,1.32,1.31,29.4
2019-10-31 18:00:00,11.25,26.0,1.55,3.5,1.27,0.86,42.38
2019-10-31 19:00:00,5.0,12.75,1.77,2.85,1.23,0.59,46.55
2019-10-31 20:00:00,1.5,7.75,2.08,1.9,1.23,0.64,47.6
2019-10-31 21:00:00,,4.0,1.45,1.75,1.3,0.76,41.3
2019-10-31 22:00:00,4.25,7.0,,2.25,1.3,0.9,31.07
2019-10-31 23:00:00,4.0,11.75,,3.2,1.3,1.06,20.62
2019-11-01 00:00:00,1.0,17.0,,3.25,1.3,1.03,18.73
2019-11-01 01:00:00,3.5,13.25,0.4,1.45,1.3,0.73,26.27
2019-11-01 02:00:00,5.0,14.0,0.75,0.8,1.33,0.67,24.93
2019-11-01 03:00:00,1.5,10.0,1.4,1.27,1.43,0.7,53.95
2019-11-01 04:00:00,,13.5,0.3,1.27,1.8,0.64,29.35
2019-11-01 05:00:00,0.25,15.0,0.57,0.8,1.3,0.64,17.25
2019-11-01 06:00:00,2.25,15.5,2.23,0.85,1.3,0.67,16.35
2019-11-01 07:00:00,6.0,17.0,2.58,1.35,1.3,0.88,15.5
2019-11-01 08:00:00,13.5,23.75,2.95,1.98,1.4,1.09,16.75
2019-11-01 09:00:00,33.25,39.0,1.98,2.92,1.38,1.12,22.6
2019-11-01 10:00:00,24.25,38.75,2.73,3.05,1.25,1.07,38.65
2019-11-01 11:00:00,20.5,28.5,2.38,3.58,1.27,0.9,56.12
2019-11-01 12:00:00,14.75,25.25,3.92,1.7,1.23,0.73,48.85
2019-11-01 13:00:00,9.75,20.25,2.75,1.2,1.7,0.93,42.5
2019-11-01 14:00:00,6.5,21.75,,2.6,2.35,0.84,36.05
2019-11-01 15:00:00,7.25,21.75,,2.0,1.7,1.04,28.88
2019-11-01 16:00:00,5.75,15.5,,1.85,1.6,1.04,27.88
2019-11-01 17:00:00,9.25,18.75,2.08,2.45,1.48,0.85,27.95
2019-11-01 18:00:00,12.0,24.75,4.15,2.85,1.57,1.24,27.1
2019-11-01 19:00:00,9.0,27.0,3.7,4.85,1.3,1.52,22.45
2019-11-01 20:00:00,23.25,52.25,4.08,5.38,1.48,1.5,18.2
2019-11-01 21:00:00,26.25,67.5,4.2,4.9,1.52,1.71,14.93
2019-11-01 22:00:00,47.0,76.25,3.8,4.1,1.4,1.92,12.48
2019-11-01 23:00:00,34.25,73.0,3.77,3.22,1.33,1.36,14.5
2019-11-02 00:00:00,32.0,52.0,2.75,2.3,1.4,1.13,14.45
2019-11-02 01:00:00,26.0,46.0,1.67,1.83,1.35,0.96,14.07
2019-11-02 02:00:00,24.75,42.75,0.7,1.32,1.3,0.86,14.6
2019-11-02 03:00:00,15.75,32.75,0.8,1.27,1.4,0.77,46.73
2019-11-02 04:00:00,4.5,29.5,0.47,0.8,1.7,0.65,29.4
2019-11-02 05:00:00,13.5,22.75,1.1,0.8,1.35,0.7,15.2
2019-11-02 06:00:00,,24.5,,0.85,1.3,0.82,14.55
2019-11-02 07:00:00,,23.0,,1.05,1.35,0.85,14.68
2019-11-02 08:00:00,19.0,28.0,0.9,1.23,1.4,0.83,17.27
2019-11-02 09:00:00,19.0,28.0,,1.35,1.45,0.83,27.52
2019-11-02 10:00:00,11.0,28.0,,1.38,1.38,0.82,34.57
2019-11-02 11:00:00,11.0,28.0,,2.45,1.38,0.97,33.88
2019-11-02 12:00:00,,30.0,1.23,2.7,1.45,1.08,29.95
2019-11-02 13:00:00,,31.25,,3.0,2.55,1.24,40.8
2019-11-02 14:00:00,7.0,35.75,1.2,3.52,1.85,1.22,45.67
2019-11-02 15:00:00,28.0,36.5,11.07,3.5,1.8,1.23,49.17
2019-11-02 16:00:00,25.25,33.5,2.15,2.48,2.2,1.2,52.47
2019-11-02 17:00:00,16.75,35.75,7.5,2.5,1.67,1.04,49.12
2019-11-02 18:00:00,16.75,30.5,10.1,3.7,1.55,1.17,49.6
2019-11-02 19:00:00,22.75,39.75,10.3,4.9,1.52,1.28,39.07
2019-11-02 20:00:00,34.75,56.75,10.8,5.85,1.38,1.36,30.65
2019-11-02 21:00:00,35.25,61.0,11.57,3.45,1.5,1.19,33.55
2019-11-02 22:00:00,33.5,53.5,12.32,3.9,1.48,1.3,15.52
2019-11-02 23:00:00,44.0,67.0,11.32,3.25,1.58,1.34,8.6
2019-11-03 00:00:00,49.25,68.0,11.93,2.67,1.52,1.16,17.25
2019-11-03 01:00:00,37.25,51.0,10.15,1.85,1.52,0.86,22.52
2019-11-03 02:00:00,14.5,31.5,9.15,0.75,1.35,0.72,33.83
2019-11-03 03:00:00,7.25,18.75,9.38,1.08,1.4,0.75,46.62
2019-11-03 04:00:00,8.25,21.25,9.65,0.85,1.73,0.67,29.2
2019-11-03 05:00:00,8.25,21.0,9.07,0.62,1.3,0.66,23.23
2019-11-03 06:00:00,5.25,16.75,9.1,0.65,1.27,0.7,24.88
2019-11-03 07:00:00,6.0,16.25,8.35,1.23,1.25,0.82,28.12
2019-11-03 08:00:00,14.25,26.0,9.5,1.72,1.27,0.93,19.77
2019-11-03 09:00:00,11.5,26.5,10.1,0.95,1.38,0.76,24.75
2019-11-03 10:00:00,10.25,26.5,9.35,1.05,1.27,0.84,25.88
2019-11-03 11:00:00,12.75,24.5,9.73,1.07,1.38,1.04,46.78
2019-11-03 12:00:00,18.75,31.75,8.62,1.08,1.2,1.09,50.97
2019-11-03 13:00:00,21.5,34.5,8.02,5.53,1.6,1.12,56.62
2019-11-03 14:00:00,23.5,43.0,7.68,2.48,1.4,1.19,57.02
2019-11-03 15:00:00,20.0,32.0,7.53,1.7,1.42,0.99,48.95
2019-11-03 16:00:00,5.5,17.25,7.9,1.88,1.38,0.97,51.7
2019-11-03 17:00:00,9.5,20.25,8.65,1.82,1.48,0.9,50.2
2019-11-03 18:00:00,17.0,26.75,9.0,2.42,1.48,0.97,45.23
2019-11-03 19:00:00,17.0,26.0,9.2,3.2,1.5,1.18,36.42
2019-11-03 20:00:00,33.75,47.0,9.1,2.98,1.4,0.97,26.95
2019-11-03 21:00:00,35.0,43.0,9.57,2.85,1.42,1.24,18.75
2019-11-03 22:00:00,39.25,46.25,9.55,3.1,1.6,1.16,19.18
2019-11-03 23:00:00,39.0,45.25,10.1,1.73,1.58,1.0,22.7
2019-11-04 00:00:00,19.75,31.75,9.62,1.23,1.5,0.92,25.52
2019-11-04 01:00:00,24.25,31.75,8.5,1.02,1.45,0.69,24.23
2019-11-04 02:00:00,17.5,22.5,9.25,0.85,1.4,0.67,24.2
2019-11-04 03:00:00,4.0,15.0,8.77,0.62,1.3,0.67,26.35
2019-11-04 04:00:00,4.75,15.25,7.98,0.68,1.77,0.6,19.82
2019-11-04 05:00:00,4.5,12.25,7.9,0.57,1.38,0.6,20.02
2019-11-04 06:00:00,6.0,10.75,8.78,0.5,1.3,0.61,30.98
2019-11-04 07:00:00,6.25,13.5,9.25,0.77,1.3,0.71,31.2
2019-11-04 08:00:00,9.25,15.75,8.95,1.62,1.35,0.81,29.15
2019-11-04 09:00:00,14.75,20.25,9.85,1.3,1.35,0.7,35.67
2019-11-04 10:00:00,10.5,23.5,11.22,1.12,1.48,0.61,43.88
2019-11-04 11:00:00,9.25,14.75,11.25,0.85,2.12,0.44,51.65
2019-11-04 12:00:00,14.5,22.5,13.9,0.53,1.82,1.0,61.08
2019-11-04 13:00:00,20.0,28.25,9.38,5.8,1.75,1.16,58.72
2019-11-04 14:00:00,24.25,37.75,8.3,2.7,1.9,1.29,60.62
2019-11-04 15:00:00,26.25,35.75,7.58,2.88,1.9,1.29,46.9
2019-11-04 16:00:00,21.25,30.25,7.53,2.5,1.7,1.23,51.23
2019-11-04 17:00:00,21.25,24.25,9.2,2.3,1.95,1.02,54.88
2019-11-04 18:00:00,19.0,22.0,10.82,3.28,1.75,1.08,52.55
2019-11-04 19:00:00,20.0,44.0,10.97,4.9,1.8,1.18,47.65
2019-11-04 20:00:00,21.25,44.0,11.0,4.38,1.62,1.08,37.57
2019-11-04 21:00:00,27.75,45.0,10.32,3.05,1.58,1.25,24.55
2019-11-04 22:00:00,33.75,47.5,9.47,3.98,1.48,1.43,11.55
2019-11-04 23:00:00,28.25,46.5,8.95,3.32,1.4,1.13,17.15
2019-11-05 00:00:00,32.0,48.0,8.05,2.47,1.4,0.98,17.55
2019-11-05 01:00:00,19.5,42.75,9.17,1.65,1.42,0.97,21.18
2019-11-05 02:00:00,5.25,37.25,9.25,1.35,1.4,1.04,20.5
2019-11-05 03:00:00,21.0,32.0,8.78,1.02,1.45,1.0,51.1
2019-11-05 04:00:00,28.0,33.0,9.07,0.98,1.9,0.95,20.0
2019-11-05 05:00:00,26.0,32.5,9.45,0.93,1.45,0.84,8.53
2019-11-05 06:00:00,20.0,33.0,10.6,1.1,1.4,0.89,12.82
2019-11-05 07:00:00,20.0,39.0,11.25,1.25,1.5,0.94,18.2
2019-11-05 08:00:00,26.0,42.0,10.88,1.48,1.5,0.95,26.67
2019-11-05 09:00:00,31.75,51.75,11.25,2.07,1.58,1.14,29.85
2019-11-05 10:00:00,22.5,51.5,11.38,1.05,1.73,0.84,48.48
2019-11-05 11:00:00,18.0,44.0,10.68,1.5,2.22,0.67,50.15
2019-11-05 12:00:00,9.75,45.25,11.65,1.6,2.1,1.2,59.67
2019-11-05 13:00:00,39.0,49.0,10.58,6.15,2.12,1.21,58.3
2019-11-05 14:00:00,48.0,51.0,9.27,2.62,2.2,1.22,63.75
2019-11-05 15:00:00,42.75,51.5,9.35,2.8,2.12,1.29,68.22
2019-11-05 16:00:00,25.5,51.0,10.35,2.88,2.08,1.17,59.68
2019-11-05 17:00:00,21.75,44.75,10.72,2.7,2.0,0.98,51.57
2019-11-05 18:00:00,27.0,48.5,11.45,4.2,1.92,1.16,52.77
2019-11-05 19:00:00,27.0,61.5,11.62,4.5,1.77,1.35,45.65
2019-11-05 20:00:00,12.0,66.5,11.45,5.58,1.82,1.46,35.88
2019-11-05 21:00:00,36.0,86.75,10.73,4.42,1.82,1.48,28.33
2019-11-05 22:00:00,14.0,87.25,8.6,3.15,1.88,1.17,28.93
2019-11-05 23:00:00,56.0,82.0,8.47,3.1,1.8,1.19,22.38
2019-11-06 00:00:00,,,8.45,2.42,1.75,0.98,20.4
