Datetime,PM2.5 (ug/m3),PM10 (ug/m3),SO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),Ozone (ug/m3)
2019-10-31 01:00:00,47.0,90.0,21.0,30.55,,1.01,25.75
2019-10-31 02:00:00,58.75,97.5,29.8,62.0,0.8,0.97,18.75
2019-10-31 03:00:00,91.25,167.75,44.0,71.9,,1.08,11.5
2019-10-31 04:00:00,93.5,173.25,42.82,62.82,,1.18,10.65
2019-10-31 05:00:00,93.25,153.75,26.5,77.6,,1.36,11.68
2019-10-31 06:00:00,80.25,149.5,23.45,120.15,0.1,1.73,11.5
2019-10-31 07:00:00,86.5,237.75,21.2,123.32,0.1,1.78,11.82
2019-10-31 08:00:00,90.5,226.25,20.12,101.08,,2.04,12.45
2019-10-31 09:00:00,75.75,174.75,21.32,33.85,2.0,0.73,35.95
2019-10-31 10:00:00,58.25,101.5,19.1,9.62,4.8,0.23,66.78
2019-10-31 11:00:00,42.25,56.0,16.55,7.25,5.03,2.7,65.02
2019-10-31 12:00:00,43.0,61.5,16.8,9.0,6.7,0.56,66.8
2019-10-31 13:00:00,49.25,65.25,13.52,3.1,8.7,0.49,73.65
2019-10-31 14:00:00,45.5,62.5,5.65,,,0.43,67.55
2019-10-31 15:00:00,33.25,43.25,4.2,,,0.36,69.77
2019-10-31 16:00:00,37.0,44.0,5.05,5.15,39.4,0.34,58.0
2019-10-31 17:00:00,28.0,49.0,3.65,5.7,28.2,0.35,54.02
2019-10-31 18:00:00,30.0,40.0,4.62,10.57,21.25,0.45,44.77
2019-10-31 19:00:00,33.5,44.25,10.4,12.55,19.1,0.57,42.8
2019-10-31 20:00:00,52.25,66.75,16.65,16.95,17.25,0.67,37.83
2019-10-31 21:00:00,76.0,98.0,16.38,18.3,17.27,0.71,35.58
2019-10-31 22:00:00,92.5,132.5,16.43,39.32,15.48,1.2,25.88
2019-10-31 23:00:00,112.0,161.0,20.07,96.43,14.22,1.83,10.75
2019-11-01 00:00:00,211.0,294.0,19.3,65.9,17.07,1.41,11.07
2019-11-01 01:00:00,155.75,289.5,20.85,71.88,15.15,1.02,10.95
2019-11-01 02:00:00,130.25,268.25,18.55,65.05,17.0,0.9,11.0
2019-11-01 03:00:00,99.0,158.0,19.1,58.15,15.18,0.71,11.65
2019-11-01 04:00:00,81.25,122.75,19.9,58.0,17.25,0.65,9.3
2019-11-01 05:00:00,61.0,116.0,20.6,45.45,15.78,0.64,10.85
2019-11-01 06:00:00,75.5,184.0,21.93,71.85,14.05,0.84,11.38
2019-11-01 07:00:00,90.25,176.0,19.28,70.07,15.8,1.09,11.38
2019-11-01 08:00:00,88.75,202.0,19.28,72.65,15.75,1.25,12.43
2019-11-01 09:00:00,76.5,165.0,14.23,44.23,15.6,1.39,18.27
2019-11-01 10:00:00,61.25,125.75,16.75,31.85,16.75,1.85,33.25
2019-11-01 11:00:00,83.0,164.0,13.4,29.15,21.25,2.5,54.22
2019-11-01 12:00:00,74.75,162.75,17.1,18.2,33.45,1.26,79.3
2019-11-01 13:00:00,79.75,158.75,21.15,17.35,25.55,1.46,78.2
